# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.23
metadata : {}


# id : NWRW1800000026.23.1.1
강추위 녹이는 뜨거운 인문학 열풍;2007년 시작 '석학강좌' 성황 "굶주린 지적 욕구 채워주는 12첩 반상" 수강생들 호평

강추위	강추위/NNG
붙들고	붙들/VV+고/EC
질문	질문/NNG
3개를	3/SN+개/NNB+를/JKO
연달아	연달/VV+아/EC
퍼부었다.	퍼붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.23.6.3
그는 "추위를 뚫고 이곳에 와 신문에서나 보던 선생님들의 강의를 직접 들으면 지적 호기심이 펄떡펄떡 뛰는 게 느껴져 안 올 수가 없다"며 "아내도 내가 여기 온단 걸 알기 때문에 아무 소리 안 한다"고 말했다.

그는	그/NP+는/JX
"추위를	"/SS+추위/NNG+를/JKO
뚫고	뚫/VV+고/EC
이곳에	이곳/NP+에/JKB
와	오/VV+아/EC
신문에서나	신문/NNG+에서/JKB+나/JX
보던	보/VV+던/ETM
선생님들의	선생/NNG+님/XSN+들/XSN+의/JKG
강의를	강의/NNG+를/JKO
직접	직접/MAG
들으면	듣/VV+으면/EC
지적	지/NNG+적/XSN
호기심이	호기심/NNG+이/JKS
펄떡펄떡	펄떡펄떡/MAG
뛰는	뛰/VV+는/ETM
게	거/NNB+이/JKS
느껴져	느끼/VV+어/EC+지/VX+어/EC
안	안/MAG
올	오/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"아내도	"/SS+아내/NNG+도/JX
내가	내/NP+가/JKS
여기	여기/NP
온단	오/VV+ㄴ단/ETM
걸	거/NNB+ㄹ/JKO
알기	알/VV+기/ETN
때문에	때문/NNB+에/JKB
아무	아무/MMD
소리	소리/NNG
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.23.6.4
대학에서 디지털콘텐츠디자인을 배우다 미술사로 편입을 준비하는 남아름(21·서울 석촌동)씨는 "진로 변경을 앞두고 인문학을 통해 생각의 폭을 늘리고 싶었는데 기대보다 더 다양한 사고를 접하게 돼 뿌듯하다"고 했다.

대학에서	대학/NNG+에서/JKB
디지털콘텐츠디자인을	디지털/NNG+콘텐츠/NNG+디자인/NNG+을/JKO
배우다	배우/VV+다/EC
미술사로	미술사/NNG+로/JKB
편입을	편입/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
남아름(21·서울	남아름/NNP+(/SS+21/SN+·/SP+서울/NNP
석촌동)씨는	석촌동/NNP+)/SS+씨/NNB+는/JX
"진로	"/SS+진로/NNG
변경을	변경/NNG+을/JKO
앞두고	앞두/VV+고/EC
인문학을	인문학/NNG+을/JKO
통해	통하/VV+아/EC
생각의	생각/NNG+의/JKG
폭을	폭/NNG+을/JKO
늘리고	늘리/VV+고/EC
싶었는데	싶/VX+었/EP+는데/EC
기대보다	기대/NNG+보다/JKB
더	더/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
사고를	사고/NNG+를/JKO
접하게	접하/VV+게/EC
돼	되/VV+어/EC
뿌듯하다"고	뿌듯하/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.23.7.1
지난 2007년 10월 1기를 시작한 '석학인문강좌'는 그동안 최장집 고려대 명예교수, 정운찬 국무총리, 이태진 전 서울대 인문대학장 등 학계의 '스타 교수'들 대부분이 강연자로 나섰다.

지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
10월	10/SN+월/NNB
1기를	1/SN+기/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
'석학인문강좌'는	'/SS+석학/NNG+인문/NNG+강좌/NNG+'/SS+는/JX
그동안	그동안/NNG
최장집	최장집/NNP
고려대	고려대/NNP
명예교수,	명예/NNG+교수/NNG+,/SP
정운찬	정운찬/NNP
국무총리,	국무총리/NNG+,/SP
이태진	이태진/NNP
전	전/MMD
서울대	서울대/NNP
인문대학장	인문대/NNG+학장/NNG
등	등/NNB
학계의	학계/NNG+의/JKG
'스타	'/SS+스타/NNG
교수'들	교수/NNG+'/SS+들/XSN
대부분이	대/XPN+부분/NNG+이/JKS
강연자로	강연자/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.23.7.2
지난해 11월 시작된 3기 강좌는 김우창 이화여대 학술원 석좌교수가 테이프를 끊었고, 두번째로 정옥자 위원장이 이날 5주간의 향연(饗宴)을 마무리지었다.

지난해	지난해/NNG
11월	11/SN+월/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
3기	3/SN+기/NNG
강좌는	강좌/NNG+는/JX
김우창	김우창/NNP
이화여대	이화여대/NNP
학술원	학술원/NNG
석좌교수가	석좌/NNG+교수/NNG+가/JKS
테이프를	테이프/NNG+를/JKO
끊었고,	끊/VV+었/EP+고/EC+,/SP
두번째로	두/MMN+번/NNB+째/XSN+로/JKB
정옥자	정옥자/NNP
위원장이	위원장/NNG+이/JKS
이날	이날/NNG
5주간의	5/SN+주간/NNB+의/JKG
향연(饗宴)을	향연/NNG+(/SS+饗宴/SH+)/SS+을/JKO
마무리지었다.	마무리/NNG+짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.23.7.3
50주간 이어지는 한 기의 강좌에 40주(80%) 이상 참여하면 수료증을 준다.

50주간	50/SN+주간/NNB
이어지는	이어지/VV+는/ETM
한	한/MMN
기의	기/NNG+의/JKG
강좌에	강좌/NNG+에/JKB
40주(80%)	40/SN+주/NNB+(/SS+80/SN+%/SW+)/SS
이상	이상/NNG
참여하면	참여/NNG+하/XSV+면/EC
수료증을	수료증/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.23.7.4
수료증을 받은 수강생은 1기 15명에서 2기 58명으로 4배 가까이 늘었다.

수료증을	수료증/NNG+을/JKO
받은	받/VV+은/ETM
수강생은	수강/NNG+생/XSN+은/JX
1기	1/SN+기/NNG
15명에서	15/SN+명/NNB+에서/JKB
2기	2/SN+기/NNG
58명으로	58/SN+명/NNB+으로/JKB
4배	4/SN+배/NNG
가까이	가까이/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.23.8.1
3기 운영위원장을 맡은 서지문 고려대 교수는 "먹고사는 문제는 웬만큼 해결됐지만 정신은 더 메마르고 각박해져가는 오늘의 사회에서 인간답게 사는 게 무엇인가에 대해 목말라하던 대중들이 이 강좌를 통해 맘껏 갈증을 해소하길 기대한다"고 말했다.

3기	3/SN+기/NNG
운영위원장을	운영/NNG+위원장/NNG+을/JKO
맡은	맡/VV+은/ETM
서지문	서지문/NNP
고려대	고려대/NNP
교수는	교수/NNG+는/JX
"먹고사는	"/SS+먹고살/VV+는/ETM
문제는	문제/NNG+는/JX
웬만큼	웬만큼/MAG
해결됐지만	해결/NNG+되/XSV+었/EP+지만/EC
정신은	정신/NNG+은/JX
더	더/MAG
메마르고	메마르/VA+고/EC
각박해져가는	각박하/VA+아/EC+지/VX+어/EC+가/VX+는/ETM
오늘의	오늘/NNG+의/JKG
사회에서	사회/NNG+에서/JKB
인간답게	인간/NNG+답/XSA+게/EC
사는	살/VV+는/ETM
게	거/NNB+이/JKS
무엇인가에	무엇/NP+이/VCP+ㄴ가/EF+에/JKB
대해	대하/VV+아/EC
목말라하던	목말라하/VV+던/ETM
대중들이	대중/NNG+들/XSN+이/JKS
이	이/MMD
강좌를	강좌/NNG+를/JKO
통해	통하/VV+아/EC
맘껏	맘껏/MAG
갈증을	갈증/NNG+을/JKO
해소하길	해소/NNG+하/XSV+기/ETN+ㄹ/JKO
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.23.8.2
수강 신청은 전화와 인터넷으로 받는다.

수강	수강/NNG
신청은	신청/NNG+은/JX
전화와	전화/NNG+와/JC
인터넷으로	인터넷/NNG+으로/JKB
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000026.23.8.3
3월 6일 시작하는 제4강부터 신청할 수 있다.

3월	3/SN+월/NNB
6일	6/SN+일/NNB
시작하는	시작/NNG+하/XSV+는/ETM
제4강부터	제/XPN+4/SN+강/NNG+부터/JX
신청할	신청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.23.8.4
(02)739-1223, hlectures.nrf.go.kr

(02)739-1223,	(/SS+02/SN+)/SS+739/SN+-/SO+1223/SN+,/SP
hlectures.nrf.go.kr	hlectures/SL+./SP+nrf/SL+./SP+go/SL+./SP+kr/SL


