# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.315
metadata : {}


# id : NWRW1800000038.315.1.1
[특파원 리포트] 과잉 규제 그냥 둔 채 창조경제 어렵다

[특파원	[/SS+특파원/NNG
유방암을	유방암/NNG+을/JKO
일으키는	일으키/VV+는/ETM
변이	변이/NNG
유전자	유전자/NNG
검사를	검사/NNG+를/JKO
받는	받/VV+는/ETM
데만	데/NNB+만/JX
3000달러가	3000/SN+달러/NNB+가/JKS
넘게	넘/VV+게/EC
드는	들/VV+는/ETM
미국에서	미국/NNP+에서/JKB
이	이/MMD
회사의	회사/NNG+의/JKG
99달러짜리	99/SN+달러/NNB+짜리/XSN
'타액채취키트'는	'/SS+타액/NNG+채취/NNG+키트/NNG+'/SS+는/JX
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.315.3.4
그동안 50만명 가까운 고객이 이 서비스를 이용했다.

그동안	그동안/NNG
50만명	50/SN+만/NR+명/NNB
가까운	가깝/VA+ㄴ/ETM
고객이	고객/NNG+이/JKS
이	이/MMD
서비스를	서비스/NNG+를/JKO
이용했다.	이용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.315.3.5
미국 시사주간지 타임은 지난 2008년 유전자 정보 분석의 대중화와 상용화를 이끈 공로로 이 서비스를 '올해의 발명품' 1위로 선정했다.

미국	미국/NNP
시사주간지	시사/NNG+주간지/NNG
타임은	타임/NNP+은/JX
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
유전자	유전자/NNG
정보	정보/NNG
분석의	분석/NNG+의/JKG
대중화와	대중/NNG+화/XSN+와/JC
상용화를	상용/NNG+화/XSN+를/JKO
이끈	이끌/VV+ㄴ/ETM
공로로	공로/NNG+로/JKB
이	이/MMD
서비스를	서비스/NNG+를/JKO
'올해의	'/SS+올해/NNG+의/JKG
발명품'	발명품/NNG+'/SS
1위로	1/SN+위/NNB+로/JKB
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.315.4.1
FDA는 창업한 지 7년이 넘은 회사에 뒤늦게 영업정지 명령을 내렸다 역풍을 맞고 있다.

FDA는	FDA/SL+는/JX
창업한	창업/NNG+하/XSV+ㄴ/ETM
지	지/NNB
7년이	7/SN+년/NNB+이/JKS
넘은	넘/VV+은/ETM
회사에	회사/NNG+에/JKB
뒤늦게	뒤늦/VA+게/EC
영업정지	영업/NNG+정지/NNG
명령을	명령/NNG+을/JKO
내렸다	내리/VV+었/EP+다/EC
역풍을	역풍/NNG+을/JKO
맞고	맞/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.315.4.2
FDA는 "타액채취키트는 의료 장비이기 때문에 사전 승인을 받아야 하는데 받지 않았다"고 규제 이유를 밝혔다.

FDA는	FDA/SL+는/JX
"타액채취키트는	"/SS+타액/NNG+채취/NNG+키트/NNG+는/JX
의료	의료/NNG
장비이기	장비/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
사전	사전/NNG
승인을	승인/NNG+을/JKO
받아야	받/VV+아야/EC
하는데	하/VX+는데/EC
받지	받/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
규제	규제/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.315.4.3
하지만 뉴욕타임스는 "유전자 정보 제공이 의사의 처방에 따라야 하는 의약품처럼 FDA의 규제를 받아야 하는지 의문"이라고 반박했다.

하지만	하지만/MAJ
뉴욕타임스는	뉴욕타임스/NNP+는/JX
"유전자	"/SS+유전자/NNG
정보	정보/NNG
제공이	제공/NNG+이/JKS
의사의	의사/NNG+의/JKG
처방에	처방/NNG+에/JKB
따라야	따르/VV+아야/EC
하는	하/VX+는/ETM
의약품처럼	의약품/NNG+처럼/JKB
FDA의	FDA/SL+의/JKG
규제를	규제/NNG+를/JKO
받아야	받/VV+아야/EC
하는지	하/VX+는지/EC
의문"이라고	의문/NNG+"/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.315.4.4
월스트리트저널은 한술 더 떠 "식품의약품법이 제정된 1938년엔 유전자 분석 자체가 존재하지 않았다"며 "23앤드미는 법률적 근거가 없는 영업정지 명령에 대해 행정소송을 비롯한 법적 대응으로 맞서야 한다"고 주장했다.

월스트리트저널은	월스트리트저널/NNP+은/JX
한술	한술/NNG
더	더/MAG
떠	뜨/VV+어/EC
"식품의약품법이	"/SS+식품/NNG+의약품/NNG+법/NNG+이/JKS
제정된	제정/NNG+되/XSV+ㄴ/ETM
1938년엔	1938/SN+년/NNB+에/JKB+ㄴ/JX
유전자	유전자/NNG
분석	분석/NNG
자체가	자체/NNG+가/JKS
존재하지	존재/NNG+하/XSV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"23앤드미는	"/SS+23앤드미/NNP+는/JX
법률적	법률/NNG+적/XSN
근거가	근거/NNG+가/JKS
없는	없/VA+는/ETM
영업정지	영업/NNG+정지/NNG
명령에	명령/NNG+에/JKB
대해	대하/VV+아/EC
행정소송을	행정/NNG+소송/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
법적	법/NNG+적/XSN
대응으로	대응/NNG+으로/JKB
맞서야	맞서/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.315.5.1
23앤드미 지지자들은 "보건 당국은 병에 걸려 쓰러질 때까지 아무런 예방 조치도 취하지 말라는 말이냐"며 FDA를 비난하고 나섰다.

23앤드미	23앤드미/NNP
지지자들은	지지자/NNG+들/XSN+은/JX
"보건	"/SS+보건/NNG
당국은	당국/NNG+은/JX
병에	병/NNG+에/JKB
걸려	걸리/VV+어/EC
쓰러질	쓰러지/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
아무런	아무런/MMD
예방	예방/NNG
조치도	조치/NNG+도/JX
취하지	취하/VV+지/EC
말라는	말/VX+라는/ETM
말이냐"며	말/NNG+이/VCP+냐/EF+"/SS+며/EC
FDA를	FDA/SL+를/JKO
비난하고	비난/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.315.5.2
백악관 홈페이지에는 오바마 대통령이 직권으로 FDA의 영업정지를 취소하라는 청원 서명운동이 벌어지고 있다.

백악관	백악관/NNP
홈페이지에는	홈페이지/NNG+에/JKB+는/JX
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
직권으로	직권/NNG+으로/JKB
FDA의	FDA/SL+의/JKG
영업정지를	영업/NNG+정지/NNG+를/JKO
취소하라는	취소/NNG+하/XSV+라는/ETM
청원	청원/NNG
서명운동이	서명/NNG+운동/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.315.5.3
반면 FDA를 옹호하는 진영에선 암에 걸리지도 않았는데 유방암 발병 확률을 낮추기 위해 유방 절제 수술을 받은 할리우드 여배우 앤젤리나 졸리의 예를 들며, "불확실한 유전자 정보가 자칫 불필요한 유방암·난소암 수술을 불러올 수 있다"는 논리를 내세우고 있다.

반면	반면/NNG
FDA를	FDA/SL+를/JKO
옹호하는	옹호/NNG+하/XSV+는/ETM
진영에선	진영/NNG+에서/JKB+ㄴ/JX
암에	암/NNG+에/JKB
걸리지도	걸리/VV+지/EC+도/JX
않았는데	않/VX+았/EP+는데/EC
유방암	유방암/NNG
발병	발병/NNG
확률을	확률/NNG+을/JKO
낮추기	낮추/VV+기/ETN
위해	위하/VV+아/EC
유방	유방/NNG
절제	절제/NNG
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
할리우드	할리우드/NNP
여배우	여배우/NNG
앤젤리나	앤젤리나/NNP
졸리의	졸리/NNP+의/JKG
예를	예/NNG+를/JKO
들며,	들/VV+며/EC+,/SP
"불확실한	"/SS+불확실/NNG+하/XSA+ㄴ/ETM
유전자	유전자/NNG
정보가	정보/NNG+가/JKS
자칫	자칫/MAG
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
유방암·난소암	유방암/NNG+·/SP+난소암/NNG
불러올	불러오/VV+ㄹ/ETM
수	수/NNB
있다"는	있/VA+다/EF+"/SS+는/ETM
논리를	논리/NNG+를/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.315.5.4
하지만 이런 논리는 "99달러짜리 테스트를 받은 환자가 추가적으로 어떤 정밀 검진도 받지 않고 유방 절제술을 받는다는 가정 자체가 어리석은 판단"(듀크대 유전학연구소 미샤 앵그리스트 교수)이란 반박에 부딪혀 설득력을 잃고 있다.

하지만	하지만/MAJ
이런	이런/MMD
논리는	논리/NNG+는/JX
"99달러짜리	"/SS+99/SN+달러/NNB+짜리/XSN
테스트를	테스트/NNG+를/JKO
받은	받/VV+은/ETM
환자가	환자/NNG+가/JKS
추가적으로	추가/NNG+적/XSN+으로/JKB
어떤	어떤/MMD
정밀	정밀/NNG
검진도	검진/NNG+도/JX
받지	받/VV+지/EC
않고	않/VX+고/EC
유방	유방/NNG
절제술을	절제술/NNG+을/JKO
받는다는	받/VV+는다는/ETM
가정	가정/NNG
자체가	자체/NNG+가/JKS
어리석은	어리석/VA+은/ETM
판단"(듀크대	판단/NNG+"/SS+(/SS+듀크대/NNP
유전학연구소	유전학/NNG+연구소/NNG
미샤	미샤/NNP
앵그리스트	앵그리스트/NNP
교수)이란	교수/NNG+)/SS+이/VCP+란/ETM
반박에	반박/NNG+에/JKB
부딪혀	부딪히/VV+어/EC
설득력을	설득력/NNG+을/JKO
잃고	잃/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.315.5.5
미국 과학계와 벤처업계에선 '23앤드미' 덕분에 활활 타오르던 바이오 분야 연구 및 창업 열기가 급속히 냉각되지 않을까 우려하고 있다.

미국	미국/NNP
과학계와	과학/NNG+계/XSN+와/JC
벤처업계에선	벤처업/NNG+계/XSN+에서/JKB+ㄴ/JX
'23앤드미'	'/SS+23앤드미/NNP+'/SS
덕분에	덕분/NNG+에/JKB
활활	활활/MAG
타오르던	타오르/VV+던/ETM
바이오	바이오/NNG
분야	분야/NNG
연구	연구/NNG
및	및/MAG
창업	창업/NNG
열기가	열기/NNG+가/JKS
급속히	급속히/MAG
냉각되지	냉각/NNG+되/XSV+지/EC
않을까	않/VX+을까/EF
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.315.6.1
먼 남의 나라 얘기가 아니다.

먼	멀/VA+ㄴ/ETM
남의	남/NNG+의/JKG
나라	나라/NNG
얘기가	얘기/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.315.6.2
유전자 산업 관련 규제는 바이오산업을 미래 신성장동력으로 지정해 집중 육성하려는 우리나라에도 곧 닥칠 문제다.

유전자	유전자/NNG
산업	산업/NNG
관련	관련/NNG
규제는	규제/NNG+는/JX
바이오산업을	바이오산업/NNG+을/JKO
미래	미래/NNG
신성장동력으로	신/XPN+성장/NNG+동력/NNG+으로/JKB
지정해	지정/NNG+하/XSV+아/EC
집중	집중/NNG
육성하려는	육성/NNG+하/XSV+려는/ETM
우리나라에도	우리나라/NNG+에/JKB+도/JX
곧	곧/MAG
닥칠	닥치/VV+ㄹ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.315.6.3
특히 미국에선 허용된 원격진료마저 금지하는 '규제 강국' 우리나라가 박근혜 대통령의 핵심 경제 공약인 창조경제를 실현하려면 시대에 뒤떨어진 낡은 규제는 없는지부터 면밀히 점검해야 할 것이다.

특히	특히/MAG
미국에선	미국/NNP+에서/JKB+ㄴ/JX
허용된	허용/NNG+되/XSV+ㄴ/ETM
원격진료마저	원격/NNG+진료/NNG+마저/JX
금지하는	금지/NNG+하/XSV+는/ETM
'규제	'/SS+규제/NNG
강국'	강국/NNG+'/SS
우리나라가	우리나라/NNG+가/JKS
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
핵심	핵심/NNG
경제	경제/NNG
공약인	공약/NNG+이/VCP+ㄴ/ETM
창조경제를	창조/NNG+경제/NNG+를/JKO
실현하려면	실현/NNG+하/XSV+려면/EC
시대에	시대/NNG+에/JKB
뒤떨어진	뒤떨어지/VV+ㄴ/ETM
낡은	낡/VV+은/ETM
규제는	규제/NNG+는/JX
없는지부터	없/VA+는지/EF+부터/JX
면밀히	면밀히/MAG
점검해야	점검/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


