# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.171
metadata : {}


# id : NWRW1800000030.171.1.1
선생님에 욕설·성희롱·폭행… 올 1학기 학생징계 1800건

선생님에	선생/NNG+님/XSN+에/JKB
징계(교내봉사·사회봉사·특별교육이수·출석정지·퇴학)나	징계/NNG+(/SS+교내/NNG+봉사/NNG+·/SP+사회봉사/NNG+·/SP+특별/NNG+교육/NNG+이수/NNG+·/SP+출석/NNG+정지/NNG+·/SP+퇴학/NNG+)/SS+나/JC
학교별	학교/NNG+별/XSN
학칙으로	학칙/NNG+으로/JKB
정하는	정하/VV+는/ETM
징계를	징계/NNG+를/JKO
받은	받/VV+은/ETM
경우가	경우/NNG+가/JKS
모두	모두/MAG
조사	조사/NNG
대상에	대상/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.171.5.2
기존 방식으로 조사해 파악된 징계건수는 지난 5년간 모두 1214건에 불과했다.

기존	기존/NNG
방식으로	방식/NNG+으로/JKB
조사해	조사/NNG+하/XSV+아/EC
파악된	파악/NNG+되/XSV+ㄴ/ETM
징계건수는	징계/NNG+건수/NNG+는/JX
지난	지나/VV+ㄴ/ETM
5년간	5/SN+년/NNB+간/XSN
모두	모두/MAG
1214건에	1214/SN+건/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.171.6.1
올해 1학기 교권 침해 사례 중에는 교사에 대해 폭언과 욕설을 한 경우가 1010건으로 가장 많았고, 상습적으로 수업 진행을 방해해 징계를 받은 경우가 506건이었다.

올해	올해/NNG
1학기	1/SN+학기/NNG
교권	교권/NNG
침해	침해/NNG
사례	사례/NNG
중에는	중/NNB+에/JKB+는/JX
교사에	교사/NNG+에/JKB
대해	대하/VV+아/EC
폭언과	폭언/NNG+과/JC
욕설을	욕설/NNG+을/JKO
한	하/VV+ㄴ/ETM
경우가	경우/NNG+가/JKS
1010건으로	1010/SN+건/NNB+으로/JKB
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
상습적으로	상습/NNG+적/XSN+으로/JKB
수업	수업/NNG
진행을	진행/NNG+을/JKO
방해해	방해/NNG+하/XSV+아/EC
징계를	징계/NNG+를/JKO
받은	받/VV+은/ETM
506건이었다.	506/SN+건/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.171.6.2
교사를 성희롱한 경우가 40건, 학부모에 의한 교권 침해가 36건, 교사 폭행이 30건 등이었다.

교사를	교사/NNG+를/JKO
성희롱한	성희롱/NNG+하/XSV+ㄴ/ETM
경우가	경우/NNG+가/JKS
40건,	40/SN+건/NNB+,/SP
학부모에	학부모/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
교권	교권/NNG
침해가	침해/NNG+가/JKS
36건,	36/SN+건/NNB+,/SP
교사	교사/NNG
폭행이	폭행/NNG+이/JKS
30건	30/SN+건/NNB
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.171.7.1
경찰에 허위 신고를 해서 학교에 경찰이 자주 찾아오게 하거나, 교사에게 음란 문자를 발송하거나, 여교사를 핸드폰으로 촬영하거나, 수업 중에 음란한 대화를 하거나, 학생을 지도하고 있는 교사 뒤에서 머리카락을 잡아당겼다가 징계를 당한 경우도 있었다.

경찰에	경찰/NNG+에/JKB
허위	허위/NNG
신고를	신고/NNG+를/JKO
해서	하/VV+아서/EC
학교에	학교/NNG+에/JKB
경찰이	경찰/NNG+이/JKS
자주	자주/MAG
찾아오게	찾아오/VV+게/EC
하거나,	하/VV+거나/EC+,/SP
교사에게	교사/NNG+에게/JKB
음란	음란/NNG
문자를	문자/NNG+를/JKO
발송하거나,	발송/NNG+하/XSV+거나/EC+,/SP
여교사를	여교사/NNG+를/JKO
핸드폰으로	핸드폰/NNG+으로/JKB
촬영하거나,	촬영/NNG+하/XSV+거나/EC+,/SP
수업	수업/NNG
중에	중/NNB+에/JKB
음란한	음란/NNG+하/XSA+ㄴ/ETM
대화를	대화/NNG+를/JKO
학생을	학생/NNG+을/JKO
지도하고	지도/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
교사	교사/NNG
뒤에서	뒤/NNG+에서/JKB
머리카락을	머리카락/NNG+을/JKO
잡아당겼다가	잡아당기/VV+었/EP+다가/EC
징계를	징계/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
경우도	경우/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.171.8.1
지역별로는 서울 718건, 부산 203건, 대전 152건, 대구 93건 순이었다.

지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
서울	서울/NNP
718건,	718/SN+건/NNB+,/SP
부산	부산/NNP
203건,	203/SN+건/NNB+,/SP
대전	대전/NNP
152건,	152/SN+건/NNB+,/SP
대구	대구/NNP
93건	93/SN+건/NNB
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.171.8.2
교과부 교원정책과 정성훈 사무관은 "서울은 (팔굽혀펴기, 운동장 돌기 같은) 간접 체벌까지 금지하고 있기 때문에 학생을 지도할 방법이 없는 교사들이 벌점제를 엄격히 시행해 벌점 누적으로 징계받은 학생이 많이 나온 것으로 분석됐다"고 말했다.

교과부	교과부/NNG
교원정책과	교원/NNG+정책과/NNG
정성훈	정성훈/NNP
사무관은	사무관/NNG+은/JX
"서울은	"/SS+서울/NNP+은/JX
(팔굽혀펴기,	(/SS+팔/NNG+굽히/VV+어/EC+펴/VV+기/ETN+,/SP
운동장	운동장/NNG
돌기	돌/VV+기/ETN
같은)	같/VA+은/ETM+)/SS
간접	간접/NNG
체벌까지	체벌/NNG+까지/JX
금지하고	금지/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
학생을	학생/NNG+을/JKO
지도할	지도/NNG+하/XSV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없는	없/VA+는/ETM
교사들이	교사/NNG+들/XSN+이/JKS
벌점제를	벌점/NNG+제/XSN+를/JKO
엄격히	엄격히/MAG
시행해	시행/NNG+하/XSV+아/EC
벌점	벌점/NNG
누적으로	누적/NNG+으로/JKB
징계받은	징계/NNG+받/XSV+은/ETM
학생이	학생/NNG+이/JKS
많이	많이/MAG
나온	나오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다"고	분석/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


