# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.352
metadata : {}


# id : NWRW1800000045.352.1.1
“저소득층 보험료 지원대상 확대… 국민연금 사각지대부터 줄여야”

“저소득층	“/SS+저/XPN+소득/NNG+층/XSN
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.352.5.1
국민연금 가입자(2113만 명) 중에서도 사각지대는 상당하다.

국민연금	국민연금/NNG
가입자(2113만	가입자/NNG+(/SS+2113/SN+만/NR
명)	명/NNB+)/SS
중에서도	중/NNB+에서/JKB+도/JX
사각지대는	사각지대/NNG+는/JX
상당하다.	상당/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.352.5.2
1년 이상 장기체납자가 112만 명, 소득 파악이 되지 않는 납부예외자도 457만 명에 이른다.

1년	1/SN+년/NNB
이상	이상/NNG
장기체납자가	장기/NNG+체납자/NNG+가/JKS
112만	112/SN+만/NR
명,	명/NNB+,/SP
소득	소득/NNG
파악이	파악/NNG+이/JKC
되지	되/VV+지/EC
않는	않/VX+는/ETM
납부예외자도	납부/NNG+예외자/NNG+도/JX
457만	457/SN+만/NR
명에	명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.352.5.3
이런 상황에서 소득대체율을 일괄적으로 인상하면 보험료 인상 요인이 발생해 저소득층은 보험료 납부가 어려워져 사각지대는 더 확대될 가능성이 높다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
소득대체율을	소득/NNG+대체/NNG+율/XSN+을/JKO
일괄적으로	일괄/NNG+적/XSN+으로/JKB
인상하면	인상/NNG+하/XSV+면/EC
보험료	보험료/NNG
인상	인상/NNG
요인이	요인/NNG+이/JKS
발생해	발생/NNG+하/XSV+아/EC
저소득층은	저/XPN+소득/NNG+층/XSN+은/JX
납부가	납부/NNG+가/JKS
어려워져	어렵/VA+어/EC+지/VX+어/EC
사각지대는	사각지대/NNG+는/JX
더	더/MAG
확대될	확대/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000045.352.6.1
비교적 적은 재원으로 사각지대를 해소할 수 있는 대표적인 방법은 국민연금 보험료 지원을 늘리는 것이다.

비교적	비교/NNG+적/XSN
적은	적/VA+은/ETM
재원으로	재원/NNG+으로/JKB
사각지대를	사각지대/NNG+를/JKO
해소할	해소/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
방법은	방법/NNG+은/JX
국민연금	국민연금/NNG
보험료	보험료/NNG
지원을	지원/NNG+을/JKO
늘리는	늘리/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.352.7.1
현재 정부는 10인 미만의 소규모 사업장에서 소득이 월 140만 원 미만인 근로자에게 보험료의 절반을 지원하는 두루누리 사업을 진행하고 있다.

현재	현재/MAG
정부는	정부/NNG+는/JX
10인	10/SN+인/NNG
미만의	미만/NNG+의/JKG
소규모	소/XPN+규모/NNG
사업장에서	사업장/NNG+에서/JKB
소득이	소득/NNG+이/JKS
월	월/NNG
140만	140/SN+만/NR
원	원/NNB
미만인	미만/NNG+이/VCP+ㄴ/ETM
근로자에게	근로자/NNG+에게/JKB
보험료의	보험료/NNG+의/JKG
절반을	절반/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
두루누리	두루/MAG+누리/NNG
사업을	사업/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.352.7.2
약 150만 명을 지원하는데 4681억 원의 예산이 투입되고 있다.

약	약/MMA
150만	150/SN+만/NR
명을	명/NNB+을/JKO
지원하는데	지원/NNG+하/XSV+는데/EC
4681억	4681/SN+억/NR
원의	원/NNB+의/JKG
예산이	예산/NNG+이/JKS
투입되고	투입/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.352.7.3
하지만 자영업자, 골프장 캐디, 학습지 교사 등 특수직 노동자, 일용직 건설 노동자는 이런 혜택을 받지 못하고 있다.

하지만	하지만/MAJ
자영업자,	자영업자/NNG+,/SP
골프장	골프장/NNG
캐디,	캐디/NNG+,/SP
학습지	학습지/NNG
교사	교사/NNG
등	등/NNB
특수직	특수직/NNG
노동자,	노동자/NNG+,/SP
일용직	일용직/NNG
건설	건설/NNG
노동자는	노동자/NNG+는/JX
이런	이런/MMD
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.352.8.1
윤석명 한국보건사회연구원 연구위원은 “대상자를 월 소득 150만 원 이상으로 올리고, 자영업자도 포함시켜야 한다”며 “보험료 지원사업 확대 없이 소득대체율만 높이는 것은 적절하지 않다”고 지적했다.

윤석명	윤석명/NNP
한국보건사회연구원	한국보건사회연구원/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“대상자를	“/SS+대상자/NNG+를/JKO
월	월/NNG
소득	소득/NNG
150만	150/SN+만/NR
원	원/NNB
이상으로	이상/NNG+으로/JKB
올리고,	올리/VV+고/EC+,/SP
자영업자도	자영업자/NNG+도/JX
포함시켜야	포함/NNG+시키/XSV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“보험료	“/SS+보험료/NNG
지원사업	지원/NNG+사업/NNG
확대	확대/NNG
없이	없이/MAG
소득대체율만	소득/NNG+대체/NNG+율/XSN+만/JX
높이는	높이/VV+는/ETM
것은	것/NNB+은/JX
적절하지	적절하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.352.9.1
또 국민연금 최소의무가입기간(10년)을 탄력적으로 운영하는 방안도 대안으로 꼽힌다.

또	또/MAG
국민연금	국민연금/NNG
최소의무가입기간(10년)을	최소/NNG+의무/NNG+가입/NNG+기간/NNG+(/SS+10/SN+년/NNB+)/SS+을/JKO
탄력적으로	탄력/NNG+적/XSN+으로/JKB
운영하는	운영/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
대안으로	대안/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.352.9.2
현재는 10년 동안 보험료를 내야 국민연금을 받을 자격이 생기는데, 경력단절 여성 등에게는 5년으로 낮춰주자는 것.

현재는	현재/NNG+는/JX
10년	10/SN+년/NNB
동안	동안/NNG
보험료를	보험료/NNG+를/JKO
내야	내/VV+어야/EC
국민연금을	국민연금/NNG+을/JKO
받을	받/VV+을/ETM
자격이	자격/NNG+이/JKS
생기는데,	생기/VV+는데/EC+,/SP
경력단절	경력/NNG+단절/NNG
여성	여성/NNG
등에게는	등/NNB+에게/JKB+는/JX
5년으로	5/SN+년/NNB+으로/JKB
낮춰주자는	낮추/VV+어/EC+주/VX+자는/ETM
것.	것/NNB+./SF


# id : NWRW1800000045.352.9.3
석재은 한림대 사회복지학과 교수는 “출산을 한 여성에 대해 최소가입기간을 5년으로 낮춰주면 가장 대표적인 국민연금 사각지대인 경력단절 여성들의 연금 수급권 획득에 큰 도움이 될 수 있다”고 말했다.

석재은	석재은/NNP
한림대	한림대/NNP
사회복지학과	사회/NNG+복지학과/NNG
교수는	교수/NNG+는/JX
“출산을	“/SS+출산/NNG+을/JKO
한	하/VV+ㄴ/ETM
여성에	여성/NNG+에/JKB
대해	대하/VV+아/EC
최소가입기간을	최소/NNG+가입/NNG+기간/NNG+을/JKO
5년으로	5/SN+년/NNB+으로/JKB
낮춰주면	낮추/VV+어/EC+주/VX+면/EC
가장	가장/MAG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
국민연금	국민연금/NNG
사각지대인	사각지대/NNG+이/VCP+ㄴ/ETM
경력단절	경력/NNG+단절/NNG
여성들의	여성/NNG+들/XSN+의/JKG
연금	연금/NNG
수급권	수급/NNG+권/XSN
획득에	획득/NNG+에/JKB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.352.10.1
출산 군복무 등 경제활동에 제한이 있는 기간 동안 보험료를 낸 것으로 인정해주는 크레디트 제도도 획기적인 개선이 필요하다.

출산	출산/NNG
군복무	군/NNG+복무/NNG
등	등/NNB
경제활동에	경제/NNG+활동/NNG+에/JKB
제한이	제한/NNG+이/JKS
있는	있/VA+는/ETM
기간	기간/NNG
동안	동안/NNG
보험료를	보험료/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
인정해주는	인정/NNG+하/XSV+아/EC+주/VX+는/ETM
크레디트	크레디트/NNG
제도도	제도/NNG+도/JX
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
개선이	개선/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.352.10.2
현재 출산 크레디트의 경우 둘째를 낳으면 12개월, 셋째를 낳으면 30개월을 각각 국민연금 가입기간으로 인정해주고 있다.

현재	현재/MAG
출산	출산/NNG
크레디트의	크레디트/NNG+의/JKG
경우	경우/NNG
둘째를	둘째/NR+를/JKO
낳으면	낳/VV+으면/EC
12개월,	12/SN+개월/NNB+,/SP
셋째를	셋째/NNG+를/JKO
30개월을	30/SN+개월/NNB+을/JKO
각각	각각/MAG
국민연금	국민연금/NNG
가입기간으로	가입/NNG+기간/NNG+으로/JKB
인정해주고	인정/NNG+하/XSV+아/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.352.10.3
군 복무 남성에게는 6개월을 인정해준다.

군	군/NNG
복무	복무/NNG
남성에게는	남성/NNG+에게/JKB+는/JX
6개월을	6/SN+개월/NNB+을/JKO
인정해준다.	인정/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.352.10.4
정창률 단국대 사회복지학과 교수는 “영국의 경우 자녀가 12세가 될 때까지 12년을 보험료를 낸 것으로 인정해주고 있다”며 “출산 크레디트는 조금 개선하는 것으로는 별 효과가 없고 획기적인 개선이 있어야 한다”고 말했다.

정창률	정창률/NNP
단국대	단국대/NNP
사회복지학과	사회/NNG+복지학과/NNG
교수는	교수/NNG+는/JX
“영국의	“/SS+영국/NNP+의/JKG
경우	경우/NNG
자녀가	자녀/NNG+가/JKS
12세가	12/SN+세/NNB+가/JKC
될	되/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
12년을	12/SN+년/NNB+을/JKO
보험료를	보험료/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
인정해주고	인정/NNG+하/XSV+아/EC+주/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“출산	“/SS+출산/NNG
크레디트는	크레디트/NNG+는/JX
조금	조금/MAG
개선하는	개선/NNG+하/XSV+는/ETM
것으로는	것/NNB+으로/JKB+는/JX
별	별/MMA
효과가	효과/NNG+가/JKS
없고	없/VA+고/EC
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
개선이	개선/NNG+이/JKS
있어야	있/VA+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.352.11.1
월 408만 원인 보험료 부과 소득 상한선을 올리는 것도 한 방법이다.

월	월/NNG
408만	408/SN+만/NR
원인	원/NNB+이/VCP+ㄴ/ETM
보험료	보험료/NNG
부과	부과/NNG
소득	소득/NNG
상한선을	상한선/NNG+을/JKO
올리는	올리/VV+는/ETM
것도	것/NNB+도/JX
한	한/MMN
방법이다.	방법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.352.11.2
고소득자가 보험료를 더 내고 연금을 더 타게 하는 길을 열어주면, 소득재분배 기능으로 저소득층에게도 혜택이 돌아갈 수 있기 때문이다.

고소득자가	고소득자/NNG+가/JKS
보험료를	보험료/NNG+를/JKO
더	더/MAG
내고	내/VV+고/EC
연금을	연금/NNG+을/JKO
타게	타/VV+게/EC
하는	하/VX+는/ETM
길을	길/NNG+을/JKO
열어주면,	열/VV+어/EC+주/VX+면/EC+,/SP
소득재분배	소득/NNG+재/XPN+분배/NNG
기능으로	기능/NNG+으로/JKB
저소득층에게도	저/XPN+소득/NNG+층/XSN+에게/JKB+도/JX
혜택이	혜택/NNG+이/JKS
돌아갈	돌아가/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


