# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.279
metadata : {}


# id : NWRW1800000056.279.1.1
돌아온 샤라포바, US오픈 3회전 진출

돌아온	돌아오/VV+ㄴ/ETM
이스너는 이날 서브 에이스를 무려 30개나 터뜨리며 1시간45분 만에 완승을 거뒀다.

이스너는	이스너/NNP+는/JX
이날	이날/NNG
서브	서브/NNG
에이스를	에이스/NNG+를/JKO
무려	무려/MAG
30개나	30/SN+개/NNB+나/JX
터뜨리며	터뜨리/VV+며/EC
1시간45분	1/SN+시간/NNB+45/SN+분/NNB
만에	만/NNB+에/JKB
완승을	완승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


