# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.95
metadata : {}


# id : NWRW1800000049.95.1.1
[산학협력]중기청의 ‘맞춤형 사업’ 주관기관… 3년간 37억 지원받아

[산학협력]중기청의	[/SS+산학/NNG+협력/NNG+]/SS+중기청/NNG+의/JKG
약	약/MMA
15억2500만	15/SN+억/NR+2500/SN+만/NR
원을	원/NNB+을/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.95.6.1
올해 선정된 6개 팀 중 졸업생인 김경화 리빙오브젝트 대표는 중국 시장에서 한국 패션스타일 해외 직구 사업을 진행하여 6000만 원의 매출을 기록했다.

올해	올해/NNG
선정된	선정/NNG+되/XSV+ㄴ/ETM
6개	6/SN+개/NNB
팀	팀/NNG
중	중/NNB
졸업생인	졸업/NNG+생/XSN+이/VCP+ㄴ/ETM
김경화	김경화/NNP
리빙오브젝트	리빙오브젝트/NNP
대표는	대표/NNG+는/JX
중국	중국/NNP
시장에서	시장/NNG+에서/JKB
한국	한국/NNP
패션스타일	패션스타일/NNG
해외	해외/NNG
직구	직구/NNG
사업을	사업/NNG+을/JKO
진행하여	진행/NNG+하/XSV+아/EC
6000만	6000/SN+만/NR
원의	원/NNB+의/JKG
매출을	매출/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.95.7.1
서울시와의 민간창업 지원 협력연계사업도 눈길을 끈다.

서울시와의	서울시/NNP+와/JKB+의/JKG
민간창업	민간/NNG+창업/NNG
지원	지원/NNG
협력연계사업도	협력/NNG+연계/NNG+사업/NNG+도/JX
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.95.7.2
서울 소재 창업기업 및 창업프로그램 참가자에게 창업역량을 강화하기 위해 6개월 동안 1억700만 원을 지원하는 액셀러레이팅 프로그램을 실시한다.

서울	서울/NNP
소재	소재/NNG
창업기업	창업/NNG+기업/NNG
및	및/MAG
창업프로그램	창업/NNG+프로그램/NNG
참가자에게	참가자/NNG+에게/JKB
창업역량을	창업/NNG+역량/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
6개월	6/SN+개월/NNB
동안	동안/NNG
1억700만	1/SN+억/NR+700/SN+만/NR
원을	원/NNB+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
액셀러레이팅	액셀러레이팅/NNG
프로그램을	프로그램/NNG+을/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.95.7.3
린스타트업 기반 교육을 진행하며, 투자설명회(IR) 프로그램을 통해 창업기업들에 투자 유치 기회도 제공한다.

린스타트업	린스타트업/NNG
기반	기반/NNG
교육을	교육/NNG+을/JKO
진행하며,	진행/NNG+하/XSV+며/EC+,/SP
투자설명회(IR)	투자/NNG+설명회/NNG+(/SS+IR/SL+)/SS
프로그램을	프로그램/NNG+을/JKO
통해	통하/VV+아/EC
창업기업들에	창업/NNG+기업/NNG+들/XSN+에/JKB
투자	투자/NNG
유치	유치/NNG
기회도	기회/NNG+도/JX
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.95.7.4
실감형 창업 경진대회를 통해 창업자의 사업 아이템을 발전시키는 지원 활동도 한다.

실감형	실감/NNG+형/XSN
창업	창업/NNG
경진대회를	경진/NNG+대회/NNG+를/JKO
통해	통하/VV+아/EC
창업자의	창업자/NNG+의/JKG
사업	사업/NNG
아이템을	아이템/NNG+을/JKO
발전시키는	발전/NNG+시키/XSV+는/ETM
지원	지원/NNG
활동도	활동/NNG+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.95.7.5
올해는 서울시 민간창업 지원 협력연계사업에 선정된 30개 팀 중에 성신여대 2개 팀이 포함됐다.

올해는	올해/NNG+는/JX
서울시	서울시/NNP
민간창업	민간/NNG+창업/NNG
지원	지원/NNG
협력연계사업에	협력/NNG+연계/NNG+사업/NNG+에/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
30개	30/SN+개/NNB
팀	팀/NNG
중에	중/NNB+에/JKB
성신여대	성신여대/NNP
2개	2/SN+개/NNB
팀이	팀/NNG+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.95.7.6
현재 예비창업자로서 창업보육 멘토링과 교육을 받으며 사업 모델을 개발하고 있다.

현재	현재/MAG
예비창업자로서	예비/NNG+창업자/NNG+로서/JKB
창업보육	창업/NNG+보육/NNG
멘토링과	멘토링/NNG+과/JC
교육을	교육/NNG+을/JKO
받으며	받/VV+으며/EC
사업	사업/NNG
모델을	모델/NNG+을/JKO
개발하고	개발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.95.8.1
학생들의 본격적인 창업을 지원하기 위해서는 맞춤형 교육이 중요한데 창업교육센터가 그 역할을 하고 있다.

학생들의	학생/NNG+들/XSN+의/JKG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
창업을	창업/NNG+을/JKO
지원하기	지원/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
맞춤형	맞춤/NNG+형/XSN
교육이	교육/NNG+이/JKS
중요한데	중요/NNG+하/XSA+ㄴ데/EC
창업교육센터가	창업/NNG+교육/NNG+센터/NNG+가/JKS
그	그/MMD
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.95.8.2
여성가족부와 세종창조경제혁신센터가 공동 주최하고 창업교육센터와 창업맞춤형사업화 지원센터가 주관한 제3차 창업특강 ‘창업 여풍 프로포즈’가 9월 28일 성신여대 운정그린캠퍼스에서 열렸다.

여성가족부와	여성/NNG+가족부/NNG+와/JC
세종창조경제혁신센터가	세종창조경제혁신센터/NNP+가/JKS
공동	공동/NNG
주최하고	주최/NNG+하/XSV+고/EC
창업교육센터와	창업/NNG+교육/NNG+센터/NNG+와/JC
창업맞춤형사업화	창업/NNG+맞춤/NNG+형/XSN+사업/NNG+화/XSN
지원센터가	지원/NNG+센터/NNG+가/JKS
주관한	주관/NNG+하/XSV+ㄴ/ETM
제3차	제/XPN+3/SN+차/NNB
창업특강	창업/NNG+특강/NNG
‘창업	‘/SS+창업/NNG
여풍	여풍/NNG
프로포즈’가	프로포즈/NNG+’/SS+가/JKS
9월	9/SN+월/NNB
28일	28/SN+일/NNB
성신여대	성신여대/NNP
운정그린캠퍼스에서	운정그린캠퍼스/NNP+에서/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.95.9.1
1교시는 고은옥 ㈜퍼스트레이디 대표가 ‘여성경호업체 창업 성공 사례’를 통해 여성의 창업 마인드를 고취시키기 위한 강의를 진행하였다.

1교시는	1/SN+교시/NNB+는/JX
고은옥	고은옥/NNP
㈜퍼스트레이디	㈜퍼스트레이디/NNP
대표가	대표/NNG+가/JKS
‘여성경호업체	‘/SS+여성/NNG+경호업체/NNG
창업	창업/NNG
성공	성공/NNG
사례’를	사례/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
여성의	여성/NNG+의/JKG
마인드를	마인드/NNG+를/JKO
고취시키기	고취/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
강의를	강의/NNG+를/JKO
진행하였다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.95.9.2
2교시는 황선주 모델인아카데미 대표가 ‘자신감 있는 자기 소개 방법’ 특강을 통해 여성의 경제활동에 필요한 스피치 태도 및 기법에 대해 강의했다.

2교시는	2/SN+교시/NNB+는/JX
황선주	황선주/NNP
모델인아카데미	모델인아카데미/NNP
대표가	대표/NNG+가/JKS
‘자신감	‘/SS+자신감/NNG
있는	있/VA+는/ETM
자기	자기/NNG
소개	소개/NNG
방법’	방법/NNG+’/SS
특강을	특강/NNG+을/JKO
통해	통하/VV+아/EC
여성의	여성/NNG+의/JKG
경제활동에	경제/NNG+활동/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
스피치	스피치/NNG
태도	태도/NNG
및	및/MAG
기법에	기법/NNG+에/JKB
대해	대하/VV+아/EC
강의했다.	강의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.95.10.1
11월 11일에는 ‘성신 스타트업 제5회 창업 아이디어 경진대회’를 개최했다.

11월	11/SN+월/NNB
11일에는	11/SN+일/NNB+에/JKB+는/JX
‘성신	‘/SS+성신/NNP
스타트업	스타트업/NNG
제5회	제/XPN+5/SN+회/NNB
창업	창업/NNG
아이디어	아이디어/NNG
경진대회’를	경진/NNG+대회/NNG+’/SS+를/JKO
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.95.10.2
이 대회 역시 여성가족부와 세종창조경제혁신센터가 공동 주최하고 창업교육센터와 창업맞춤형사업화 지원센터가 주관했다.

이	이/MMD
대회	대회/NNG
역시	역시/MAG
여성가족부와	여성/NNG+가족부/NNG+와/JC
세종창조경제혁신센터가	세종창조경제혁신센터/NNP+가/JKS
공동	공동/NNG
주최하고	주최/NNG+하/XSV+고/EC
창업교육센터와	창업/NNG+교육/NNG+센터/NNG+와/JC
창업맞춤형사업화	창업/NNG+맞춤/NNG+형/XSN+사업/NNG+화/XSN
지원센터가	지원/NNG+센터/NNG+가/JKS
주관했다.	주관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.95.10.3
대학생의 참신한 아이디어와 우수한 사업 모델을 발굴해 지원함으로써 청년창업을 촉진하기 위한 것이다.

대학생의	대학/NNG+생/XSN+의/JKG
참신한	참신하/VA+ㄴ/ETM
아이디어와	아이디어/NNG+와/JC
우수한	우수/NNG+하/XSA+ㄴ/ETM
사업	사업/NNG
모델을	모델/NNG+을/JKO
발굴해	발굴/NNG+하/XSV+아/EC
지원함으로써	지원/NNG+하/XSV+ㅁ/ETN+으로써/JKB
청년창업을	청년/NNG+창업/NNG+을/JKO
촉진하기	촉진/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.95.10.4
79개 팀 157명이 제안서를 냈고 서류평가를 통과한 20개 팀이 발표 경쟁을 벌였다.

79개	79/SN+개/NNB
팀	팀/NNG
157명이	157/SN+명/NNB+이/JKS
제안서를	제안서/NNG+를/JKO
냈고	내/VV+었/EP+고/EC
서류평가를	서류/NNG+평가/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
20개	20/SN+개/NNB
팀이	팀/NNG+이/JKS
발표	발표/NNG
경쟁을	경쟁/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.95.10.5
대상(여성가족부장관상)에는 ‘지름길 찾는 앱’을 발표한 고산자팀(IT학부 이정하 외 3명)이, 특별상(세종창조경제혁신센터장상)에는 ‘스마트한 한국 쇼핑 서비스’를 발표한 조소과 김경화 학생이 뽑혔다.

대상(여성가족부장관상)에는	대상/NNG+(/SS+여성/NNG+가족부/NNG+장관상/NNG+)/SS+에/JKB+는/JX
‘지름길	‘/SS+지름길/NNG
찾는	찾/VV+는/ETM
앱’을	앱/NNG+’/SS+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
고산자팀(IT학부	고산자/NNP+팀/NNG+(/SS+IT/SL+학부/NNG
이정하	이정하/NNP
외	외/NNB
3명)이,	3/SN+명/NNB+)/SS+이/JKS+,/SP
특별상(세종창조경제혁신센터장상)에는	특별상/NNG+(/SS+세종/NNP+창조/NNG+경제/NNG+혁신/NNG+센터장/NNG+상/NNG+)/SS+에/JKB+는/JX
‘스마트한	‘/SS+스마트/NNG+하/XSA+ㄴ/ETM
한국	한국/NNP
쇼핑	쇼핑/NNG
서비스’를	서비스/NNG+’/SS+를/JKO
조소과	조소과/NNG
김경화	김경화/NNP
학생이	학생/NNG+이/JKS
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.95.10.6
대상 및 특별상 수상자는 12월 여성가족부가 주최하는 ‘아이디어 퀸 공모전’ 본선에 참가하게 된다.

대상	대상/NNG
및	및/MAG
특별상	특별상/NNG
수상자는	수상자/NNG+는/JX
12월	12/SN+월/NNB
여성가족부가	여성/NNG+가족부/NNG+가/JKS
주최하는	주최/NNG+하/XSV+는/ETM
‘아이디어	‘/SS+아이디어/NNG
퀸	퀸/NNG
공모전’	공모전/NNG+’/SS
본선에	본선/NNG+에/JKB
참가하게	참가/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.95.11.1
성신여대는 대상 수상자를 비롯한 10개팀을 창업캠프, 맞춤 멘토링, 창업 워크숍 등을 통해 집중 육성하고 외부 창업경진대회 참가, 창업맞춤형사업 연계 등을 지원하여 미래 청년창업가로 키워 나갈 계획이다.

성신여대는	성신여대/NNP+는/JX
대상	대상/NNG
수상자를	수상자/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
10개팀을	10/SN+개/NNB+팀/NNG+을/JKO
창업캠프,	창업/NNG+캠프/NNG+,/SP
맞춤	맞춤/NNG
멘토링,	멘토링/NNG+,/SP
창업	창업/NNG
워크숍	워크숍/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
집중	집중/NNG
육성하고	육성/NNG+하/XSV+고/EC
외부	외부/NNG
창업경진대회	창업/NNG+경진/NNG+대회/NNG
참가,	참가/NNG+,/SP
창업맞춤형사업	창업/NNG+맞춤/NNG+형/XSN+사업/NNG
연계	연계/NNG
지원하여	지원/NNG+하/XSV+아/EC
미래	미래/NNG
청년창업가로	청년/NNG+창업가/NNG+로/JKB
키워	키우/VV+어/EC
나갈	나가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


