# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.430
metadata : {}


# id : NWRW1800000054.430.1.1
밀월은 밀월, 계산은 계산… 아베에 '칼같은 청구서(무역 압박)' 내밀다

밀월은	밀월/NNG+은/JX
경제 영역에선 철저하게 다른 목소리를 냈다.

경제	경제/NNG
영역에선	영역/NNG+에서/JKB+ㄴ/JX
철저하게	철저/NNG+하/XSA+게/EC
다른	다른/MMD
목소리를	목소리/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.430.4.4
트럼프 대통령은 일본 방문 첫날, 아베 총리와 긴자(銀座) 철판구이집으로 저녁 먹으러 가면서 "좌중이 불편해할 만큼 무역 얘기를 줄곧 하겠다"고 말했다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
일본	일본/NNP
방문	방문/NNG
첫날,	첫날/NNG+,/SP
아베	아베/NNP
총리와	총리/NNG+와/JC
긴자(銀座)	긴자/NNP+(/SS+銀座/SH+)/SS
철판구이집으로	철판구이/NNG+집/NNG+으로/JKB
저녁	저녁/NNG
먹으러	먹/VV+으러/EC
가면서	가/VV+면서/EC
"좌중이	"/SS+좌중/NNG+이/JKS
불편해할	불편/NNG+하/XSA+아/EC+하/VX+ㄹ/ETM
만큼	만큼/NNB
무역	무역/NNG
얘기를	얘기/NNG+를/JKO
줄곧	줄곧/MAG
하겠다"고	하/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.4.5
방일 이틀째 미국 대사관에서 진행된 일본 경제인과의 대화는 '무역 압박'의 피크였다.

방일	방일/NNG
이틀째	이틀/NNG+째/XSN
미국	미국/NNP
대사관에서	대사관/NNG+에서/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
일본	일본/NNP
경제인과의	경제인/NNG+과/JKB+의/JKG
대화는	대화/NNG+는/JX
'무역	'/SS+무역/NNG
압박'의	압박/NNG+'/SS+의/JKG
피크였다.	피크/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.430.5.1
트럼프 대통령은 이 자리에서 "미국이 환태평양경제동반자협정(TPP)에 재가입할 일은 없다"고 다시 한 번 못 박았다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
"미국이	"/SS+미국/NNP+이/JKS
환태평양경제동반자협정(TPP)에	환태평양/NNP+경제/NNG+동반자/NNG+협정/NNG+(/SS+TPP/SL+)/SS+에/JKB
재가입할	재/XPN+가입/NNG+하/XSV+ㄹ/ETM
일은	일/NNG+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
다시	다시/MAG
한	한/MMN
번	번/NNB
못	못/NNG
박았다.	박/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.5.2
그는 "TPP는 좋은 아이디어가 아니었다"면서 "여기에 동의 못하는 분도 계실 테지만, 끝에는 제가 옳았다고 알게 될 것"이라고 했다.

그는	그/NP+는/JX
"TPP는	"/SS+TPP/SL+는/JX
좋은	좋/VA+은/ETM
아이디어가	아이디어/NNG+가/JKC
아니었다"면서	아니/VCN+었/EP+다/EF+"/SS+면서/EC
"여기에	"/SS+여기/NP+에/JKB
동의	동의/NNG
못하는	못/MAG+하/VV+는/ETM
분도	분/NNB+도/JX
계실	계시/VV+ㄹ/ETM
테지만,	터/NNB+이/VCP+지만/EC+,/SP
끝에는	끝/NNG+에/JKB+는/JX
제가	제/NP+가/JKS
옳았다고	옳/VA+았/EP+다고/EC
알게	알/VV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.5.3
TPP는 미국·일본·캐나다·호주 등 12개국을 단일 경제권으로 묶는 다자간 자유무역협정이다.

TPP는	TPP/SL+는/JX
미국·일본·캐나다·호주	미국/NNP+·/SP+일본/NNP+·/SP+캐나다/NNP+·/SP+호주/NNP
등	등/NNB
12개국을	12/SN+개국/NNB+을/JKO
단일	단일/NNG
경제권으로	경제/NNG+권/XSN+으로/JKB
묶는	묶/VV+는/ETM
다자간	다자/NNG+간/NNB
자유무역협정이다.	자유/NNG+무역/NNG+협정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.430.5.4
오바마 때 미·일이 7년의 시간을 들여 밀어붙였다.

오바마	오바마/NNP
때	때/NNG
미·일이	미/NNP+·/SP+일/NNP+이/JKS
7년의	7/SN+년/NNB+의/JKG
시간을	시간/NNG+을/JKO
들여	들이/VV+어/EC
밀어붙였다.	밀어붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.430.5.5
그러나 트럼프는 "TPP는 미국에 재앙"이라며 취임하자마자 탈퇴를 선언했다.

그러나	그러나/MAJ
트럼프는	트럼프/NNP+는/JX
"TPP는	"/SS+TPP/SL+는/JX
미국에	미국/NNP+에/JKB
재앙"이라며	재앙/NNG+"/SS+이/VCP+라며/EC
취임하자마자	취임/NNG+하/XSV+자마자/EC
탈퇴를	탈퇴/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.5.6
아베 총리는 "미국 없는 TPP는 의미 없다"며 미국을 도로 불러들이려 애썼지만, 이날 트럼프 발언으로 '안 되는 일'이라는 게 명확해졌다.

아베	아베/NNP
총리는	총리/NNG+는/JX
"미국	"/SS+미국/NNP
없는	없/VA+는/ETM
TPP는	TPP/SL+는/JX
의미	의미/NNG
없다"며	없/VA+다/EF+"/SS+며/EC
미국을	미국/NNP+을/JKO
도로	도로/MAG
불러들이려	불러들이/VV+려/EC
애썼지만,	애쓰/VV+었/EP+지만/EC+,/SP
이날	이날/NNG
트럼프	트럼프/NNP
발언으로	발언/NNG+으로/JKB
'안	'/SS+안/MAG
되는	되/VV+는/ETM
일'이라는	일/NNG+'/SS+이/VCP+라는/ETM
게	거/NNB+이/JKS
명확해졌다.	명확하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.430.6.1
그는 대일(對日) 무역 적자에 대해서도 강경 발언을 이어갔다.

그는	그/NP+는/JX
대일(對日)	대일/NNG+(/SS+對日/SH+)/SS
무역	무역/NNG
적자에	적자/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
강경	강경/NNG
발언을	발언/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.430.6.2
트럼프 대통령은 "지난 수십 년간 일본이 이익을 본 거 알고 계실 것"이라며 "일본 차를 미국에 실어보내기만 하지 말고, 미국에서 차를 만들어 보라.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
수십	수십/NR
년간	년/NNB+간/XSN
일본이	일본/NNP+이/JKS
이익을	이익/NNG+을/JKO
본	보/VV+ㄴ/ETM
거	거/NNB
알고	알/VV+고/EC
계실	계시/VX+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"일본	"/SS+일본/NNP
차를	차/NNG+를/JKO
미국에	미국/NNP+에/JKB
실어보내기만	싣/VV+어/EC+보내/VV+기/ETN+만/JX
하지	하/VV+지/EC
말고,	말/VX+고/EC+,/SP
미국에서	미국/NNP+에서/JKB
만들어	만들/VV+어/EC
보라.	보/VX+라/EF+./SF


# id : NWRW1800000054.430.6.3
이런 요청 하는 게 무례한가" 하고 물었다.

이런	이런/MMD
요청	요청/NNG
하는	하/VV+는/ETM
게	거/NNB+이/JKS
무례한가"	무례/NNG+하/XSA+ㄴ가/EF+"/SS
하고	하/VV+고/EC
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.430.6.4
또 "(일본의 각종 규제 때문에) 실질적으로 미국은 일본에 자동차 수출을 못하고 있다"며 미국차 수입 규제 완화도 주문했다.

또	또/MAG
"(일본의	"/SS+(/SS+일본/NNP+의/JKG
각종	각종/NNG
규제	규제/NNG
때문에)	때문/NNB+에/JKB+)/SS
실질적으로	실질/NNG+적/XSN+으로/JKB
미국은	미국/NNP+은/JX
일본에	일본/NNP+에/JKB
자동차	자동차/NNG
수출을	수출/NNG+을/JKO
못하고	못/MAG+하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
미국차	미국/NNP+차/NNG
수입	수입/NNG
완화도	완화/NNG+도/JX
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.6.5
고바야시 요시미쓰(小林喜光) 경제동우회 대표간사(미쓰비시케미컬 회장), 손 마사요시(孫正義) 소프트뱅크그룹 회장, 사이카와 히로토(西川廣人) 닛산차 사장, 가타노자카 신야(片野坂眞哉) ANA홀딩스 사장 같은 일본 재계의 거물 수십 명이 숨죽이고 들었다.

고바야시	고바야시/NNP
요시미쓰(小林喜光)	요시미쓰/NNP+(/SS+小林喜光/SH+)/SS
경제동우회	경제동우회/NNP
대표간사(미쓰비시케미컬	대표/NNG+간사/NNG+(/SS+미쓰비시케미컬/NNP
회장),	회장/NNG+)/SS+,/SP
손	손/NNP
마사요시(孫正義)	마사요시/NNP+(/SS+孫正義/SH+)/SS
소프트뱅크그룹	소프트뱅크그룹/NNP
회장,	회장/NNG+,/SP
사이카와	사이카와/NNP
히로토(西川廣人)	히로토/NNP+(/SS+西川廣人/SH+)/SS
닛산차	닛산차/NNP
사장,	사장/NNG+,/SP
가타노자카	가타노자카/NNP
신야(片野坂眞哉)	신야/NNP+(/SS+片野坂眞哉/SH+)/SS
ANA홀딩스	ANA홀딩스/NNP
사장	사장/NNG
같은	같/VA+은/ETM
일본	일본/NNP
재계의	재계/NNG+의/JKG
거물	거물/NNG
수십	수십/NR
명이	명/NNB+이/JKS
숨죽이고	숨죽이/VV+고/EC
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.430.7.1
이날 오후 3시에 열린 미·일 정상 공동 기자회견에서는 일본뿐 아니라 중국도 정조준했다.

이날	이날/NNG
오후	오후/NNG
3시에	3/SN+시/NNB+에/JKB
열린	열리/VV+ㄴ/ETM
미·일	미/NNP+·/SP+일/NNP
정상	정상/NNG
공동	공동/NNG
기자회견에서는	기자/NNG+회견/NNG+에서/JKB+는/JX
일본뿐	일본/NNP+뿐/JX
아니라	아니/VCN+라/EC
중국도	중국/NNP+도/JX
정조준했다.	정조준/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.7.2
트럼프 대통령은 "미·중 무역적자가 연간 3500억~5000억달러"라면서 "지난 정권(전임 오바마 행정부)을 욕하고 싶지는 않지만 정말 부당한 상황"이라고 했다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
"미·중	"/SS+미/NNP+·/SP+중/NNP
무역적자가	무역/NNG+적자/NNG+가/JKS
연간	연간/NNG
3500억~5000억달러"라면서	3500/SN+억/NR+~/SO+5000/SN+억/NR+달러/NNB+"/SS+이/VCP+라면서/EC
"지난	"/SS+지나/VV+ㄴ/ETM
정권(전임	정권/NNG+(/SS+전임/NNG
오바마	오바마/NNP
행정부)을	행정부/NNG+)/SS+을/JKO
욕하고	욕/NNG+하/XSV+고/EC
싶지는	싶/VX+지/EC+는/JX
않지만	않/VX+지만/EC
정말	정말/MAG
부당한	부당/NNG+하/XSA+ㄴ/ETM
상황"이라고	상황/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.7.3
또 "시진핑(習近平) 주석을 친구로 생각하지만, 무역 적자는 감축해야 한다"면서 "중국과는 지식재산권 문제도 있다"고 했다.

또	또/MAG
"시진핑(習近平)	"/SS+시진핑/NNP+(/SS+習近平/SH+)/SS
주석을	주석/NNG+을/JKO
친구로	친구/NNG+로/JKB
생각하지만,	생각/NNG+하/XSV+지만/EC+,/SP
무역	무역/NNG
적자는	적자/NNG+는/JX
감축해야	감축/NNG+하/XSV+아야/EC
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"중국과는	"/SS+중국/NNP+과/JKB+는/JX
지식재산권	지식/NNG+재산/NNG+권/XSN
문제도	문제/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.8.1
트럼프의 거침없는 행보를 지켜본 한국 정부는 비상이 걸렸다.

트럼프의	트럼프/NNP+의/JKG
거침없는	거침없/VA+는/ETM
행보를	행보/NNG+를/JKO
지켜본	지켜보/VV+ㄴ/ETM
한국	한국/NNP
정부는	정부/NNG+는/JX
비상이	비상/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.430.8.2
트럼프 대통령이 7일 시작되는 방한(訪韓) 일정에서도 통상 공세 수위를 높일 가능성이 커졌다.

트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
7일	7/SN+일/NNB
시작되는	시작/NNG+되/XSV+는/ETM
방한(訪韓)	방한/NNG+(/SS+訪韓/SH+)/SS
일정에서도	일정/NNG+에서/JKB+도/JX
통상	통상/NNG
공세	공세/NNG
수위를	수위/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.430.8.3
미국은 교역 상대국 중 한국과의 무역에서 8번째로 많은 적자를 기록하고 있다.

미국은	미국/NNP+은/JX
교역	교역/NNG
상대국	상대국/NNG
중	중/NNB
한국과의	한국/NNP+과/JKB+의/JKG
무역에서	무역/NNG+에서/JKB
8번째로	8/SN+번/NNB+째/XSN+로/JKB
많은	많/VA+은/ETM
적자를	적자/NNG+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.430.8.4
트럼프는 이걸 줄여야 한다고 여러 차례 강조해왔다.

트럼프는	트럼프/NNP+는/JX
이걸	이거/NP+ㄹ/JKO
줄여야	줄이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
여러	여러/MMN
차례	차례/NNG
강조해왔다.	강조/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.430.9.1
한·미 두 나라가 이번 정상회담에서는 북핵만큼 통상도 주요 의제로 다룰 전망이다.

한·미	한·미/NNP
두	두/MMN
나라가	나라/NNG+가/JKS
이번	이번/NNG
정상회담에서는	정상/NNG+회담/NNG+에서/JKB+는/JX
북핵만큼	북핵/NNG+만큼/JKB
통상도	통상/NNG+도/JX
주요	주요/NNG
의제로	의제/NNG+로/JKB
다룰	다루/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.430.9.2
우리 정부는 트럼프 대통령이 한·미 자유무역협정(FTA)에 대해 어떤 말을 할지 촉각을 곤두세우고 있다.

우리	우리/NP
정부는	정부/NNG+는/JX
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
한·미	한·미/NNP
자유무역협정(FTA)에	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+에/JKB
대해	대하/VV+아/EC
어떤	어떤/MMD
말을	말/NNG+을/JKO
할지	하/VV+ㄹ지/EC
촉각을	촉각/NNG+을/JKO
곤두세우고	곤두세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.430.9.3
지난 6월 한·미 정상회담에서도 트럼프는 두 나라 무역 불균형을 따지며 한·미 FTA를 현안으로 띄운 바 있다.

지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
한·미	한·미/NNP
정상회담에서도	정상/NNG+회담/NNG+에서/JKB+도/JX
트럼프는	트럼프/NNP+는/JX
두	두/MMN
나라	나라/NNG
무역	무역/NNG
불균형을	불/XPN+균형/NNG+을/JKO
따지며	따지/VV+며/EC
FTA를	FTA/SL+를/JKO
현안으로	현안/NNG+으로/JKB
띄운	띄우/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.430.9.4
한국은 미국의 요구가 자동차에 집중될 것으로 보고 있다.

한국은	한국/NNP+은/JX
미국의	미국/NNP+의/JKG
요구가	요구/NNG+가/JKS
자동차에	자동차/NNG+에/JKB
집중될	집중/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.430.9.5
미국 자동차 업계는 트럼프 취임 전부터 한국의 여러 안전·환경 규제가 비관세 장벽이라고 주장해왔다.

미국	미국/NNP
자동차	자동차/NNG
업계는	업계/NNG+는/JX
트럼프	트럼프/NNP
취임	취임/NNG
전부터	전/NNG+부터/JX
한국의	한국/NNP+의/JKG
여러	여러/MMN
안전·환경	안전/NNG+·/SP+환경/NNG
규제가	규제/NNG+가/JKS
비관세	비/XPN+관세/NNG
장벽이라고	장벽/NNG+이/VCP+라고/EC
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.430.9.6
트럼프 대통령이 농축산물 시장 개방 같은 민감한 요구를 할 경우에도 큰 파장이 예상된다.

트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
농축산물	농축산물/NNG
시장	시장/NNG
개방	개방/NNG
같은	같/VA+은/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
요구를	요구/NNG+를/JKO
할	하/VV+ㄹ/ETM
경우에도	경우/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
파장이	파장/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.430.9.7
최원목 이화여대 교수는 "미국은 FTA 개정 협상과는 별개로 한국산 세탁기·태양광 모듈에 대한 세이프가드(긴급수입제한조치) 절차를 밟는 것을 비롯해 동시다발적으로 통상 압박을 가하고 있다"면서 "트럼프는 내년 중간 선거를 앞두고 성과를 내야 하는 입장이어서 한국 방문을 계기로 통상 공세를 강화할 가능성이 크다"고 했다.

최원목	최원목/NNP
이화여대	이화여대/NNP
교수는	교수/NNG+는/JX
"미국은	"/SS+미국/NNP+은/JX
FTA	FTA/SL
개정	개정/NNG
협상과는	협상/NNG+과/JKB+는/JX
별개로	별개/NNG+로/JKB
한국산	한국/NNP+산/XSN
세탁기·태양광	세탁기/NNG+·/SP+태양광/NNG
모듈에	모듈/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세이프가드(긴급수입제한조치)	세이프가드/NNG+(/SS+긴급/NNG+수입/NNG+제한/NNG+조치/NNG+)/SS
절차를	절차/NNG+를/JKO
밟는	밟/VV+는/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
동시다발적으로	동시다발/NNG+적/XSN+으로/JKB
통상	통상/NNG
압박을	압박/NNG+을/JKO
가하고	가하/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"트럼프는	"/SS+트럼프/NNP+는/JX
내년	내년/NNG
중간	중간/NNG
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
성과를	성과/NNG+를/JKO
내야	내/VV+어야/EC
하는	하/VX+는/ETM
입장이어서	입장/NNG+이/VCP+어서/EC
한국	한국/NNP
방문을	방문/NNG+을/JKO
계기로	계기/NNG+로/JKB
공세를	공세/NNG+를/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


