# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.318
metadata : {}


# id : NWRW1800000022.318.1.1
['화려한 싱글'은 없다] (上) 가난한 '1인가구' 급증;나홀로 가구 절반, 한 달 수입 100만원 안돼

['화려한	[/SS+'/SS+화려하/VA+ㄴ/ETM
남매를	남매/NNG+를/JKO
키우며	키우/VV+며/EC
살았다.	살/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.4.2
남매가 장성한 뒤 그는 혼자가 됐다.

남매가	남매/NNG+가/JKS
장성한	장성/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
그는	그/NP+는/JX
혼자가	혼자/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.4.3
그는 "자식도 어렵게 살아서 돈 없고 몸 아픈 아버지가 자꾸 연락하면 부담스러울 것"이라며 "가족 없이 혼자 맞는 추석이 너무 싫다"고 했다.

그는	그/NP+는/JX
"자식도	"/SS+자식/NNG+도/JX
어렵게	어렵/VA+게/EC
살아서	살/VV+아서/EC
돈	돈/NNG
없고	없/VA+고/EC
몸	몸/NNG
아픈	아프/VA+ㄴ/ETM
아버지가	아버지/NNG+가/JKS
자꾸	자꾸/MAG
연락하면	연락/NNG+하/XSV+면/EC
부담스러울	부담/NNG+스럽/XSA+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"가족	"/SS+가족/NNG
없이	없이/MAG
혼자	혼자/NNG
맞는	맞/VV+는/ETM
추석이	추석/NNG+이/JKS
너무	너무/MAG
싫다"고	싫/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.5.1
가난한 1인가구가 늘고 있다.

가난한	가난/NNG+하/XSA+ㄴ/ETM
1인가구가	1/SN+인/NNG+가구/NNG+가/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.318.5.2
통계청에 따르면 2009년 9월 현재 전국의 1691만6966가구 중에서 341만5121가구가 혼자 살림을 꾸리는 1인가구다.

통계청에	통계청/NNG+에/JKB
따르면	따르/VV+면/EC
2009년	2009/SN+년/NNB
9월	9/SN+월/NNB
현재	현재/MAG
전국의	전국/NNG+의/JKG
1691만6966가구	1691/SN+만/NR+6966/SN+가구/NNG
중에서	중/NNB+에서/JKB
341만5121가구가	341/SN+만/NR+5121/SN+가구/NNG+가/JKS
혼자	혼자/NNG
살림을	살림/NNG+을/JKO
꾸리는	꾸리/VV+는/ETM
1인가구다.	1/SN+인/NNG+가구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.5.3
1990년에는 열 집 중 한 집이 채 안되던(9.0%) 1인가구가 2000년에는 일곱 집 중 한 집꼴(15.5%)로, 이제는 다섯 집 중 한 집꼴(20.2%)로 19년 만에 2배 이상으로 늘어난 것이다.

1990년에는	1990/SN+년/NNB+에/JKB+는/JX
열	열/NR
집	집/NNG
중	중/NNB
한	한/MMN
집이	집/NNG+이/JKS
채	채/MAG
안되던(9.0%)	안/MAG+되/XSV+던/ETM+(/SS+9/SN+./SP+0/SN+%/SW+)/SS
1인가구가	1/SN+인/NNG+가구/NNG+가/JKS
2000년에는	2000/SN+년/NNB+에/JKB+는/JX
일곱	일곱/NR
집꼴(15.5%)로,	집/NNG+꼴/XSN+(/SS+15/SN+./SP+5/SN+%/SW+)/SS+로/JKB+,/SP
이제는	이제/NNG+는/JX
다섯	다섯/NR
집꼴(20.2%)로	집/NNG+꼴/XSN+(/SS+20/SN+./SP+2/SN+%/SW+)/SS+로/JKB
19년	19/SN+년/NNB
만에	만/NNB+에/JKB
2배	2/SN+배/NNG
이상으로	이상/NNG+으로/JKB
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.6.1
문제는 1인가구 가운데 50.8%가 한 달 수입이 100만원에 못 미치고, 27.1%가 한 달 수입 100만~200만원 사이를 오간다는 점이다.

문제는	문제/NNG+는/JX
1인가구	1/SN+인/NNG+가구/NNG
가운데	가운데/NNG
50.8%가	50/SN+./SP+8/SN+%/SW+가/JKS
한	한/MMN
달	달/NNG
수입이	수입/NNG+이/JKS
100만원에	100/SN+만/NR+원/NNB+에/JKB
못	못/MAG
미치고,	미치/VV+고/EC+,/SP
27.1%가	27/SN+./SP+1/SN+%/SW+가/JKS
수입	수입/NNG
100만~200만원	100/SN+만/NR+~/SO+200/SN+만/NR+원/NNB
사이를	사이/NNG+를/JKO
오간다는	오가/VV+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.6.2
전체 1인가구 열 집 중 여덟 집(77.9%)이 저소득층 혹은 차상위계층인 것이다.

전체	전체/NNG
1인가구	1/SN+인/NNG+가구/NNG
열	열/NR
집	집/NNG
중	중/NNB
여덟	여덟/NR
집(77.9%)이	집/NNG+(/SS+77/SN+./SP+9/SN+%/SW+)/SS+이/JKS
저소득층	저/XPN+소득/NNG+층/XSN
혹은	혹은/MAG
차상위계층인	차상위/NNG+계층/NNG+이/VCP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.6.3
통계청과 전문가들은 지금의 50대가 70대에 접어드는 2030년에는 네 집 중 한 집이 혼자 사는 집이 될 것으로 내다보고 있다.

통계청과	통계청/NNG+과/JC
전문가들은	전문가/NNG+들/XSN+은/JX
지금의	지금/NNG+의/JKG
50대가	50/SN+대/NNB+가/JKS
70대에	70/SN+대/NNB+에/JKB
접어드는	접어들/VV+는/ETM
2030년에는	2030/SN+년/NNB+에/JKB+는/JX
네	네/MMN
집	집/NNG
중	중/NNB
한	한/MMN
집이	집/NNG+이/JKC
혼자	혼자/NNG
사는	살/VV+는/ETM
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다보고	내다보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.318.7.1
서울시정개발연구원 변미리 연구위원은 "안정된 수입을 가진 독신을 뜻하는 이른바 '골드 미스'와 '골드 미스터'는 전체 1인가구 중 극히 일부"라며 "가정을 이루고 싶어도 경제적인 여건이 안돼 혼자 사는 이들이 절대 다수를 차지하는 것이 현실"이라고 했다.

서울시정개발연구원	서울시정개발연구원/NNP
변미리	변미리/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
"안정된	"/SS+안정/NNG+되/XSV+ㄴ/ETM
수입을	수입/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
독신을	독신/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
이른바	이른바/MAG
'골드	'/SS+골드/NNG
미스'와	미스/NNG+'/SS+와/JC
미스터'는	미스터/NNG+'/SS+는/JX
전체	전체/NNG
1인가구	1/SN+인/NNG+가구/NNG
중	중/NNB
극히	극히/MAG
일부"라며	일부/NNG+"/SS+이/VCP+라며/EC
"가정을	"/SS+가정/NNG+을/JKO
이루고	이루/VV+고/EC
싶어도	싶/VX+어도/EC
경제적인	경제/NNG+적/XSN+이/VCP+ㄴ/ETM
여건이	여건/NNG+이/JKC
안돼	안/MAG+되/XSV+어/EC
혼자	혼자/NNG
사는	살/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
절대	절대/NNG
다수를	다수/NNG+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
현실"이라고	현실/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.8.1
1인가구가 늘어나는 것 그 자체는 우리나라만의 현상이 아니다.

1인가구가	1/SN+인/NNG+가구/NNG+가/JKS
늘어나는	늘어나/VV+는/ETM
것	것/NNB
그	그/MMD
자체는	자체/NNG+는/JX
우리나라만의	우리나라/NNG+만/JX+의/JKG
현상이	현상/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.318.8.2
일본, 미국, 유럽은 1990년대에 이미 1인가구 비율이 전체 가구의 20%를 넘어섰다.

일본,	일본/NNP+,/SP
미국,	미국/NNP+,/SP
유럽은	유럽/NNP+은/JX
1990년대에	1990/SN+년대/NNB+에/JKB
이미	이미/MAG
1인가구	1/SN+인/NNG+가구/NNG
비율이	비율/NNG+이/JKS
전체	전체/NNG
가구의	가구/NNG+의/JKG
20%를	20/SN+%/SW+를/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.8.3
우리나라에서 문제되는 것은 라이프스타일의 변화로 자연스럽게 1인가구가 늘어났다기보다 사회구조의 변화와 맞물려 한꺼번에 양산됐다는 점이다.

우리나라에서	우리나라/NNG+에서/JKB
문제되는	문제/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
라이프스타일의	라이프스타일/NNG+의/JKG
변화로	변화/NNG+로/JKB
자연스럽게	자연/NNG+스럽/XSA+게/EC
1인가구가	1/SN+인/NNG+가구/NNG+가/JKS
늘어났다기보다	늘어나/VV+았/EP+다기/ETN+보다/JKB
사회구조의	사회/NNG+구조/NNG+의/JKG
변화와	변화/NNG+와/JKB
맞물려	맞물리/VV+어/EC
한꺼번에	한꺼번에/MAG
양산됐다는	양산/NNG+되/XSV+었/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.8.4
원해서 혼자 사는 사람이 늘어난 게 아니라, 원하지 않는데 어쩔 수 없이 혼자 사는 사람이 늘어났다는 얘기다.

원해서	원/NNG+하/XSV+아서/EC
혼자	혼자/NNG
사는	살/VV+는/ETM
사람이	사람/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
원하지	원/NNG+하/XSV+지/EC
않는데	않/VX+는데/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
늘어났다는	늘어나/VV+았/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.9.1
변 연구위원에 따르면, 한국의 1인가구는 크게 네 그룹으로 나뉜다.

변	변/NNP
연구위원에	연구/NNG+위원/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
한국의	한국/NNP+의/JKG
1인가구는	1/SN+인/NNG+가구/NNG+는/JX
크게	크/VA+게/EC
네	네/MMN
그룹으로	그룹/NNG+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.318.9.2
▲전문직을 가지고 안정된 수입을 올리는 30~40대 ▲보수가 박하고 고용이 불안한 '나쁜 일자리'를 전전하거나 아예 일자리를 찾지 못해 아르바이트로 연명하는 20대~30대 ▲이혼·실직·자녀 조기유학 등 다양한 이유로 가족과 헤어져 혼자 사는 40~50대 ▲고령화가 급속하게 진행되면서 늘어난 60대 이상 등이다.

▲전문직을	▲/SW+전문직/NNG+을/JKO
가지고	가지/VV+고/EC
안정된	안정/NNG+되/XSV+ㄴ/ETM
수입을	수입/NNG+을/JKO
올리는	올리/VV+는/ETM
30~40대	30/SN+~/SO+40/SN+대/NNB
▲보수가	▲/SW+보수/NNG+가/JKS
박하고	박하/VA+고/EC
고용이	고용/NNG+이/JKS
불안한	불안/NNG+하/XSA+ㄴ/ETM
'나쁜	'/SS+나쁘/VA+ㄴ/ETM
일자리'를	일자리/NNG+'/SS+를/JKO
전전하거나	전전/NNG+하/XSV+거나/EC
아예	아예/MAG
일자리를	일자리/NNG+를/JKO
찾지	찾/VV+지/EC
못해	못하/VX+아/EC
아르바이트로	아르바이트/NNG+로/JKB
연명하는	연명/NNG+하/XSV+는/ETM
20대~30대	20/SN+대/NNB+~/SO+30/SN+대/NNG
▲이혼·실직·자녀	▲/SW+이혼/NNG+·/SP+실직/NNG+·/SP+자녀/NNG
조기유학	조기/NNG+유학/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
이유로	이유/NNG+로/JKB
가족과	가족/NNG+과/JKB
헤어져	헤어지/VV+어/EC
혼자	혼자/NNG
사는	살/VV+는/ETM
40~50대	40/SN+~/SO+50/SN+대/NNB
▲고령화가	▲/SW+고령/NNG+화/XSN+가/JKS
급속하게	급속/NNG+하/XSA+게/EC
진행되면서	진행/NNG+되/XSV+면서/EC
늘어난	늘어나/VV+ㄴ/ETM
60대	60/SN+대/NNB
이상	이상/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.10.1
이 가운데 전문직을 가진 30~40대 1인가구는 여가를 즐기고 소비 트렌드를 선도해 '골드미스' '골드미스터'라 불린다.

이	이/MMD
가운데	가운데/NNG
전문직을	전문직/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
30~40대	30/SN+~/SO+40/SN+대/NNB
1인가구는	1/SN+인/NNG+가구/NNG+는/JX
여가를	여가/NNG+를/JKO
즐기고	즐기/VV+고/EC
소비	소비/NNG
트렌드를	트렌드/NNG+를/JKO
선도해	선도/NNG+하/XSV+아/EC
'골드미스'	'/SS+골드/NNG+미스/NNG+'/SS
'골드미스터'라	'/SS+골드/NNG+미스터/NNG+'/SS+이/VCP+라/EC
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.318.10.2
최근 쏟아져나오는 1인용 상품 대부분이 이들을 타깃으로 삼고 있다.

최근	최근/NNG
쏟아져나오는	쏟아지/VV+어/EC+나오/VV+는/ETM
1인용	1/SN+인/NNG+용/XSN
상품	상품/NNG
대부분이	대/XPN+부분/NNG+이/JKS
이들을	이/NP+들/XSN+을/JKO
타깃으로	타깃/NNG+으로/JKB
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.318.11.1
그러나 이들은 전체 1인가구 중 극히 일부다.

그러나	그러나/MAJ
이들은	이/NP+들/XSN+은/JX
전체	전체/NNG
1인가구	1/SN+인/NNG+가구/NNG
중	중/NNB
극히	극히/MAG
일부다.	일부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.11.2
이들을 숫적으로 압도하는 것이 나머지 세 집단이다.

이들을	이/NP+들/XSN+을/JKO
숫적으로	숫/NNG+적/XSN+으로/JKB
압도하는	압도/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
나머지	나머지/NNG
세	세/MMN
집단이다.	집단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.11.3
특히 40~50대 1인가구 증가세가 두드러졌다.

특히	특히/MAG
40~50대	40/SN+~/SO+50/SN+대/NNB
1인가구	1/SN+인/NNG+가구/NNG
증가세가	증가세/NNG+가/JKS
두드러졌다.	두드러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.11.4
통계청에 따르면 40~50대 1인가구는 '2000년 54만7638명→2009년 94만2953명'으로 9년새 1.7배 늘어나 100만명에 육박하게 됐다.

통계청에	통계청/NNG+에/JKB
따르면	따르/VV+면/EC
40~50대	40/SN+~/SO+50/SN+대/NNB
1인가구는	1/SN+인/NNG+가구/NNG+는/JX
'2000년	'/SS+2000/SN+년/NNB
54만7638명→2009년	54/SN+만/NR+7638/SN+명/NNB+→/SW+2009/SN+년/NNB
94만2953명'으로	94/SN+만/NR+2953/SN+명/NNB+'/SS+으로/JKB
9년새	9/SN+년/NNB+새/NNG
1.7배	1/SN+./SP+7/SN+배/NNG
늘어나	늘어나/VV+아/EC
100만명에	100/SN+만/NR+명/NNB+에/JKB
육박하게	육박/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.12.1
전문가들은 40~50대 1인가구가 늘어난 배경으로 IMF 외환위기(1998년)와 신용대란(2004년), 이혼율 급증을 꼽는다.

전문가들은	전문가/NNG+들/XSN+은/JX
40~50대	40/SN+~/SO+50/SN+대/NNB
1인가구가	1/SN+인/NNG+가구/NNG+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
배경으로	배경/NNG+으로/JKB
IMF	IMF/SL
외환위기(1998년)와	외환/NNG+위기/NNG+(/SS+1998/SN+년/NNB+)/SS+와/JC
신용대란(2004년),	신용/NNG+대란/NNG+(/SS+2004/SN+년/NNB+)/SS+,/SP
이혼율	이혼/NNG+율/XSN
급증을	급증/NNG+을/JKO
꼽는다.	꼽/VV+는다/EF+./SF


# id : NWRW1800000022.318.12.2
경제위기 때 사업이 망하거나 실직해 가정불화를 겪다 이혼한 이들이 경제적으로 재기하지 못한채 장기간 혼자 살게 되는 경우가 많다는 것이다.

경제위기	경제/NNG+위기/NNG
때	때/NNG
사업이	사업/NNG+이/JKS
망하거나	망하/VV+거나/EC
실직해	실직/NNG+하/XSV+아/EC
가정불화를	가정불화/NNG+를/JKO
겪다	겪/VV+다/EC
이혼한	이혼/NNG+하/XSV+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
경제적으로	경제/NNG+적/XSN+으로/JKB
재기하지	재기/NNG+하/XSV+지/EC
못한채	못하/VX+ㄴ/ETM+채/NNB
장기간	장기간/NNG
혼자	혼자/NNG
살게	살/VV+게/EC
되는	되/VV+는/ETM
경우가	경우/NNG+가/JKS
많다는	많/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.13.1
서울대 사회복지학과 구인회 교수는 "한국의 40~50대 1인가구는 경제적으로 파탄이 난 상태에서, 정서적으로도 미처 준비되지 않은 채 독신생활을 시작하는 경우가 많다"며 "이혼과 함께 생활도 무너져 '취약계층'으로 전락해버리는 경우가 많다"고 했다.

서울대	서울대/NNP
사회복지학과	사회/NNG+복지학과/NNG
구인회	구인회/NNP
교수는	교수/NNG+는/JX
"한국의	"/SS+한국/NNP+의/JKG
40~50대	40/SN+~/SO+50/SN+대/NNB
1인가구는	1/SN+인/NNG+가구/NNG+는/JX
경제적으로	경제/NNG+적/XSN+으로/JKB
파탄이	파탄/NNG+이/JKS
난	나/VV+ㄴ/ETM
상태에서,	상태/NNG+에서/JKB+,/SP
정서적으로도	정서/NNG+적/XSN+으로/JKB+도/JX
미처	미처/MAG
준비되지	준비/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
독신생활을	독신/NNG+생활/NNG+을/JKO
시작하는	시작/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다"며	많/VA+다/EF+"/SS+며/EC
"이혼과	"/SS+이혼/NNG+과/JKB
함께	함께/MAG
생활도	생활/NNG+도/JX
무너져	무너지/VV+어/EC
'취약계층'으로	'/SS+취약/NNG+계층/NNG+'/SS+으로/JKB
전락해버리는	전락/NNG+하/XSV+아/EC+버리/VX+는/ETM
많다"고	많/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.14.1
서울 은평구 갈현동에 사는 윤성식(52)씨는 9년째 다세대 주택 반(半)지하방에서 혼자 살고 있다.

서울	서울/NNP
은평구	은평구/NNP
갈현동에	갈현동/NNP+에/JKB
사는	살/VV+는/ETM
윤성식(52)씨는	윤성식/NNP+(/SS+52/SN+)/SS+씨/NNB+는/JX
9년째	9/SN+년/NNB+째/XSN
다세대	다세대/NNG
주택	주택/NNG
반(半)지하방에서	반/NNG+(/SS+半/SH+)/SS+지하방/NNG+에서/JKB
혼자	혼자/NNG
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.318.14.2
IMF 외환위기 전까지 그는 부인과 함께 빵집을 운영하면서 딸을 키웠다.

IMF	IMF/SL
외환위기	외환/NNG+위기/NNG
전까지	전/NNG+까지/JX
그는	그/NP+는/JX
부인과	부인/NNG+과/JKB
함께	함께/MAG
빵집을	빵집/NNG+을/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
딸을	딸/NNG+을/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.14.3
무리하게 가게를 확장했다가 외환위기가 닥치는 바람에 1998년 빚 1억2000만원을 떠안고 가게 문을 닫았다.

무리하게	무리/NNG+하/XSA+게/EC
가게를	가게/NNG+를/JKO
확장했다가	확장/NNG+하/XSV+았/EP+다가/EC
외환위기가	외환/NNG+위기/NNG+가/JKS
닥치는	닥치/VV+는/ETM
바람에	바람/NNB+에/JKB
1998년	1998/SN+년/NNB
빚	빚/NNG
1억2000만원을	1/SN+억/NR+2000/SN+만/NR+원/NNB+을/JKO
떠안고	떠안/VV+고/EC
가게	가게/NNG
문을	문/NNG+을/JKO
닫았다.	닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.14.4
빚 때문에 부인과 자주 다투다 끝내 갈라섰다.

빚	빚/NNG
때문에	때문/NNB+에/JKB
부인과	부인/NNG+과/JKB
자주	자주/MAG
다투다	다투/VV+다/EC
끝내	끝내/MAG
갈라섰다.	갈라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.15.1
딸이 할아버지·할머니 손에 크는 동안 그는 고시원에 혼자 살며 공사판 막노동과 택배 기사를 했다.

딸이	딸/NNG+이/JKS
할아버지·할머니	할아버지/NNG+·/SP+할머니/NNG
손에	손/NNG+에/JKB
크는	크/VA+는/ETM
동안	동안/NNG
그는	그/NP+는/JX
고시원에	고시원/NNG+에/JKB
혼자	혼자/NNG
살며	살/VV+며/EC
공사판	공사판/NNG
막노동과	막노동/NNG+과/JC
택배	택배/NNG
기사를	기사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.15.2
그는 "혼자니까 외로워서 술을 많이 마셨고, 그러다보니 결근하는 일이 잦았다"고 했다.

그는	그/NP+는/JX
"혼자니까	"/SS+혼자/NNG+이/VCP+니까/EC
외로워서	외롭/VA+어서/EC
술을	술/NNG+을/JKO
많이	많이/MAG
마셨고,	마시/VV+었/EP+고/EC+,/SP
그러다보니	그러/VV+다/EC+보/VX+니/EC
결근하는	결근/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
잦았다"고	잦/VA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.15.3
그는 한 직장에 오래 다니지 못하고 계속 옮겼다.

그는	그/NP+는/JX
한	한/MMN
직장에	직장/NNG+에/JKB
오래	오래/MAG
다니지	다니/VV+지/EC
못하고	못하/VX+고/EC
계속	계속/MAG
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.15.4
'부양가족이 없으니 아무래도 상관없다'는 생각을 자주 했다.

'부양가족이	'/SS+부양가족/NNG+이/JKS
없으니	없/VA+으니/EC
아무래도	아무래도/MAG
상관없다'는	상관없/VA+다/EF+'/SS+는/ETM
생각을	생각/NNG+을/JKO
자주	자주/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.318.15.5
그런 그가 삶의 자세를 바꿔 성실한 생활인으로 돌아온 것은 불과 2년 전의 일이다.

