# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.218
metadata : {}


# id : NWRW1800000033.218.1.1
호주오픈테니스 男단식 결승 5시간 53분 명승부… 프로스포츠 최장 시간 경기들

호주오픈테니스	호주/NNP+오픈/NNG+테니스/NNG
라이벌이다.	라이벌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.218.5.3
하지만 번번이 승리는 조코비치의 몫이었다.

하지만	하지만/MAJ
번번이	번번이/MAG
승리는	승리/NNG+는/JX
조코비치의	조코비치/NNP+의/JKG
몫이었다.	몫/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.218.5.4
조코비치는 나달과의 최근 상대전적에서 결승에서만 7연승을 달리며 나달에게 사상 첫 메이저 대회 3연속 준우승이라는 수모까지 안겼다.

조코비치는	조코비치/NNP+는/JX
나달과의	나달/NNP+과/JKB+의/JKG
최근	최근/NNG
상대전적에서	상대/NNG+전적/NNG+에서/JKB
결승에서만	결승/NNG+에서/JKB+만/JX
7연승을	7/SN+연승/NNG+을/JKO
달리며	달리/VV+며/EC
나달에게	나달/NNP+에게/JKB
사상	사상/NNG
첫	첫/MMN
메이저	메이저/NNG
대회	대회/NNG
3연속	3/SN+연속/NNG
준우승이라는	준/XPN+우승/NNG+이/VCP+라는/ETM
수모까지	수모/NNG+까지/JX
안겼다.	안기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.218.6.1
최고의 경기력에는 기술, 체력, 정신력, 운 등 네 가지 요소가 따라야 한다.

최고의	최고/NNG+의/JKG
경기력에는	경기력/NNG+에/JKB+는/JX
기술,	기술/NNG+,/SP
체력,	체력/NNG+,/SP
정신력,	정신력/NNG+,/SP
운	운/NNG
등	등/NNB
네	네/MMN
가지	가지/NNB
요소가	요소/NNG+가/JKS
따라야	따르/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.218.6.2
박태환 등을 담당한 조수경 스포츠심리학 박사는 “조코비치와 나달의 기량은 백지 한 장 차이다.

박태환	박태환/NNP
등을	등/NNB+을/JKO
담당한	담당/NNG+하/XSV+ㄴ/ETM
조수경	조수경/NNP
스포츠심리학	스포츠/NNG+심리학/NNG
박사는	박사/NNG+는/JX
“조코비치와	“/SS+조코비치/NNP+와/JC
나달의	나달/NNP+의/JKG
기량은	기량/NNG+은/JX
백지	백지/NNG
한	한/MMN
장	장/NNB
차이다.	차이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.218.6.3
위기 극복 능력에서 조코비치가 앞섰다”고 분석했다.

위기	위기/NNG
극복	극복/NNG
능력에서	능력/NNG+에서/JKB
조코비치가	조코비치/NNP+가/JKS
앞섰다”고	앞서/VV+었/EP+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.218.6.4
나달은 특유의 파이팅 넘치는 제스처와 강한 액션으로 상대를 압도하려고 했다.

나달은	나달/NNP+은/JX
특유의	특유/NNG+의/JKG
파이팅	파이팅/NNG
넘치는	넘치/VV+는/ETM
제스처와	제스처/NNG+와/JC
강한	강하/VA+ㄴ/ETM
액션으로	액션/NNG+으로/JKB
상대를	상대/NNG+를/JKO
압도하려고	압도/NNG+하/XSV+려고/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.218.6.5
하지만 감정을 자제한 조코비치는 자신의 페이스를 지키며 나달의 약점을 집요하게 파고들었다.

하지만	하지만/MAJ
감정을	감정/NNG+을/JKO
자제한	자제/NNG+하/XSV+ㄴ/ETM
조코비치는	조코비치/NNP+는/JX
자신의	자신/NNG+의/JKG
페이스를	페이스/NNG+를/JKO
지키며	지키/VV+며/EC
나달의	나달/NNP+의/JKG
약점을	약점/NNG+을/JKO
집요하게	집요하/VA+게/EC
파고들었다.	파고들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.218.6.6
나달에 대한 조코비치의 자신감도 컸다.

나달에	나달/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
조코비치의	조코비치/NNP+의/JKG
자신감도	자신감/NNG+도/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.218.6.7
나달은 5세트 4-2까지 앞서다 4-4로 동점을 허용한 뒤 샷이 짧아지면서 크게 흔들렸다.

나달은	나달/NNP+은/JX
5세트	5/SN+세트/NNG
4-2까지	4/SN+-/SO+2/SN+까지/JX
앞서다	앞서/VV+다/EC
4-4로	4/SN+-/SO+4/SN+로/JKB
동점을	동점/NNG+을/JKO
허용한	허용/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
샷이	샷/NNG+이/JKS
짧아지면서	짧아지/VV+면서/EC
크게	크/VA+게/EC
흔들렸다.	흔들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.218.7.1
스포츠 현장에는 진땀 나는 마라톤 승부가 남다른 묘미를 전하고 있다.

스포츠	스포츠/NNG
현장에는	현장/NNG+에/JKB+는/JX
진땀	진땀/NNG
나는	나/VV+는/ETM
마라톤	마라톤/NNG
승부가	승부/NNG+가/JKS
남다른	남다르/VA+ㄴ/ETM
묘미를	묘미/NNG+를/JKO
전하고	전하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.218.7.2
2010년 윔블던 테니스에서 존 이즈너(미국)는 니콜라 마위(프랑스)와의 1회전에서 일몰로 사흘 동안 11시간 5분의 혈전 끝에 3-2로 이겼다.

2010년	2010/SN+년/NNB
윔블던	윔블던/NNP
테니스에서	테니스/NNG+에서/JKB
존	존/NNP
이즈너(미국)는	이즈너/NNP+(/SS+미국/NNP+)/SS+는/JX
니콜라	니콜라/NNP
마위(프랑스)와의	마위/NNP+(/SS+프랑스/NNP+)/SS+와/JKB+의/JKG
1회전에서	1/SN+회전/NNB+에서/JKB
일몰로	일몰/NNG+로/JKB
사흘	사흘/NNG
동안	동안/NNG
11시간	11/SN+시간/NNB
5분의	5/SN+분/NNB+의/JKG
혈전	혈전/NNG
끝에	끝/NNG+에/JKB
3-2로	3/SN+-/SO+2/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.218.7.3
타이 브레이크가 없는 5세트의 게임 스코어는 무려 70-68이었다.

타이	타이/NNG
브레이크가	브레이크/NNG+가/JKS
없는	없/VA+는/ETM
5세트의	5/SN+세트/NNG+의/JKG
게임	게임/NNG
스코어는	스코어/NNG+는/JX
무려	무려/MAG
70-68이었다.	70/SN+-/SO+68/SN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.218.7.4
5세트 소요 시간만도 8시간 11분이나 됐다.

5세트	5/SN+세트/NNG
소요	소요/NNG
시간만도	시간/NNG+만/JX+도/JX
8시간	8/SN+시간/NNB
11분이나	11/SN+분/NNB+이나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.218.8.1
국내 프로골프 최다 연장전 기록은 1997년 8월 서아람이 동일레나운클래식에서 11번째 연장 끝에 강수연을 꺾고 우승할 때 나왔다.

국내	국내/NNG
프로골프	프로/NNG+골프/NNG
최다	최다/NNG
연장전	연장전/NNG
기록은	기록/NNG+은/JX
1997년	1997/SN+년/NNB
8월	8/SN+월/NNB
서아람이	서아람/NNP+이/JKS
동일레나운클래식에서	동일레나운클래식/NNG+에서/JKB
11번째	11/SN+번/NNB+째/XSN
연장	연장/NNG
끝에	끝/NNG+에/JKB
강수연을	강수연/NNP+을/JKO
꺾고	꺾/VV+고/EC
우승할	우승/NNG+하/XSV+ㄹ/ETM
때	때/NNG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.218.8.2
서아람은 “중계 방송사 테이프가 동이 날 정도였다”고 당시를 떠올렸다.

서아람은	서아람/NNP+은/JX
“중계	“/SS+중계/NNG
방송사	방송사/NNG
테이프가	테이프/NNG+가/JKS
동이	동/NNG+이/JKS
날	나/VV+ㄹ/ETM
정도였다”고	정도/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
당시를	당시/NNG+를/JKO
떠올렸다.	떠올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.218.8.3
2009년 유소연은 두산매치플레이 챔피언십 결승에서 동갑내기 최혜용과 9차 연장 끝에 트로피를 안았다.

2009년	2009/SN+년/NNB
유소연은	유소연/NNP+은/JX
두산매치플레이	두산/NNP+매치플레이/NNG
챔피언십	챔피언십/NNG
결승에서	결승/NNG+에서/JKB
동갑내기	동갑내기/NNG
최혜용과	최혜용/NNP+과/JKB
9차	9/SN+차/NNB
연장	연장/NNG
끝에	끝/NNG+에/JKB
트로피를	트로피/NNG+를/JKO
안았다.	안/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.218.8.4
2009년 국내 프로농구 동부는 삼성과 3시간 17분 58초 동안 5차 연장을 치른 끝에 이겼다.

2009년	2009/SN+년/NNB
국내	국내/NNG
프로농구	프로/NNG+농구/NNG
동부는	동부/NNP+는/JX
삼성과	삼성/NNP+과/JC
3시간	3/SN+시간/NNB
17분	17/SN+분/NNB
58초	58/SN+초/NNB
동안	동안/NNG
5차	5/SN+차/NNB
연장을	연장/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.218.8.5
당시 삼성 감독이던 안준호 한국농구연맹 이사는 “나중엔 몇 차 연장전인지도 몰랐다”고 말했다.

당시	당시/NNG
삼성	삼성/NNP
감독이던	감독/NNG+이/VCP+던/ETM
안준호	안준호/NNP
한국농구연맹	한국농구연맹/NNP
이사는	이사/NNG+는/JX
“나중엔	“/SS+나중/NNG+에/JKB+ㄴ/JX
몇	몇/NR
차	차/NNB
연장전인지도	연장전/NNG+이/VCP+ㄴ지/EC+도/JX
몰랐다”고	모르/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.218.9.1
극한의 상황을 극복하고 승리를 쟁취하기 위한 조건은 무얼까.

극한의	극한/NNG+의/JKG
상황을	상황/NNG+을/JKO
극복하고	극복/NNG+하/XSV+고/EC
승리를	승리/NNG+를/JKO
쟁취하기	쟁취/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
조건은	조건/NNG+은/JX
무얼까.	무어/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000033.218.9.2
조 박사는 “에너지가 고갈되고 정신력이 떨어지는 순간에는 습관이 나온다.

조	조/NNP
박사는	박사/NNG+는/JX
“에너지가	“/SS+에너지/NNG+가/JKS
고갈되고	고갈/NNG+되/XSV+고/EC
정신력이	정신력/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
순간에는	순간/NNG+에/JKB+는/JX
습관이	습관/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.218.9.3
평소 그런 위기 상황을 가상으로 설정해 반복 훈련하면 도움이 된다”고 조언했다.

평소	평소/NNG
그런	그런/MMD
위기	위기/NNG
상황을	상황/NNG+을/JKO
가상으로	가상/NNG+으로/JKB
설정해	설정/NNG+하/XSV+아/EC
반복	반복/NNG
훈련하면	훈련/NNG+하/XSV+면/EC
도움이	도움/NNG+이/JKC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


