# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.147
metadata : {}


# id : NWRW1800000045.147.1.1
“안중근의사 유해, 뤼순감옥 500m 반경 죄수묘지에 매장 유력”

“안중근의사	“/SS+안중근/NNP+의사/NNG
위에서	위/NNG+에서/JKB
전파를	전파/NNG+를/JKO
발사해	발사/NNG+하/XSV+아/EC
지하의	지하/NNG+의/JKG
물체를	물체/NNG+를/JKO
찾는	찾/VV+는/ETM
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.147.6.3
이전에는 탐색 범위가 깊이 1m 정도였지만 현재는 5m로 늘어났다.

이전에는	이전/NNG+에/JKB+는/JX
탐색	탐색/NNG
범위가	범위/NNG+가/JKS
깊이	깊이/NNG
1m	1/SN+m/SW
정도였지만	정도/NNG+이/VCP+었/EP+지만/EC
현재는	현재/NNG+는/JX
5m로	5/SN+m/SW+로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.147.7.1
안 교수는 GPR를 통해 유골을 안 의사라고 확인할 수 있는 단서로 4가지를 들었다.

안	안/NNP
교수는	교수/NNG+는/JX
GPR를	GPR/SL+를/JKO
통해	통하/VV+아/EC
유골을	유골/NNG+을/JKO
의사라고	의사/NNG+이/VCP+라고/EC
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
단서로	단서/NNG+로/JKB
4가지를	4/SN+가지/NNB+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.147.7.2
△일반 범죄자는 앉은 채로 매장한 반면 안 의사는 누운 채로 매장된 점 △천주교 신자인 안 의사의 금속 십자가가 있다는 점 △당시 사형수는 유리병 안에 이름을 써 넣어 함께 매장한 점 △안 의사가 왼손 약지를 단지한 점 등이 꼽힌다.

△일반	△/SW+일반/NNG
범죄자는	범죄자/NNG+는/JX
앉은	앉/VV+은/ETM
채로	채/NNB+로/JKB
매장한	매장/NNG+하/XSV+ㄴ/ETM
반면	반면/NNG
안	안/NNP
의사는	의사/NNG+는/JX
누운	눕/VV+ㄴ/ETM
매장된	매장/NNG+되/XSV+ㄴ/ETM
점	점/NNG
△천주교	△/SW+천주교/NNG
신자인	신자/NNG+이/VCP+ㄴ/ETM
의사의	의사/NNG+의/JKG
금속	금속/NNG
십자가가	십자가/NNG+가/JKS
있다는	있/VA+다는/ETM
△당시	△/SW+당시/NNG
사형수는	사형수/NNG+는/JX
유리병	유리병/NNG
안에	안/NNG+에/JKB
이름을	이름/NNG+을/JKO
써	쓰/VV+어/EC
넣어	넣/VV+어/EC
함께	함께/MAG
△안	△/SW+안/NNP
의사가	의사/NNG+가/JKS
왼손	왼손/NNG
약지를	약지/NNG+를/JKO
단지한	단지/NNG+하/XSV+ㄴ/ETM
등이	등/NNB+이/JKS
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.147.7.3
2008년 조사에서는 GPR 기술을 활용하지 않았다.

2008년	2008/SN+년/NNB
조사에서는	조사/NNG+에서/JKB+는/JX
GPR	GPR/SL
기술을	기술/NNG+을/JKO
활용하지	활용/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.147.8.1
GPR 조사는 발굴 비용과 시간이 단축되고 중국 당국의 거부감도 줄이는 장점이 있다는 것이 안 교수의 주장이다.

GPR	GPR/SL
조사는	조사/NNG+는/JX
발굴	발굴/NNG
비용과	비용/NNG+과/JC
시간이	시간/NNG+이/JKS
단축되고	단축/NNG+되/XSV+고/EC
중국	중국/NNP
당국의	당국/NNG+의/JKG
거부감도	거부감/NNG+도/JX
줄이는	줄이/VV+는/ETM
장점이	장점/NNG+이/JKS
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
안	안/NNP
교수의	교수/NNG+의/JKG
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.147.8.2
발굴 예정지는 2000m² 정도이며 그중에서도 300m² 정도만 조사하면 된다고 안 교수는 예상했다.

발굴	발굴/NNG
예정지는	예정지/NNG+는/JX
2000m²	2000/SN+m²/SW
정도이며	정도/NNG+이/VCP+며/EC
그중에서도	그중/NNG+에서/JKB+도/JX
300m²	300/SN+m²/SW
정도만	정도/NNG+만/JX
조사하면	조사/NNG+하/XSV+면/EC
된다고	되/VV+ㄴ다고/EC
안	안/NNP
교수는	교수/NNG+는/JX
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.147.9.1
안 교수는 “유골 발굴이 진행되지 않고 있는 것은 기술적 어려움 때문이 아니라 중국과의 발굴 관련 협의가 제대로 이뤄지지 않고 있기 때문”이라고 말했다.

안	안/NNP
교수는	교수/NNG+는/JX
“유골	“/SS+유골/NNG
발굴이	발굴/NNG+이/JKS
진행되지	진행/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
기술적	기술/NNG+적/XSN
어려움	어려움/NNG
때문이	때문/NNB+이/JKC
아니라	아니/VCN+라/EC
중국과의	중국/NNP+과/JKB+의/JKG
발굴	발굴/NNG
관련	관련/NNG
협의가	협의/NNG+가/JKS
제대로	제대로/MAG
이뤄지지	이뤄지/VV+지/EC
있기	있/VX+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.147.9.2
중국은 안 의사의 고향(황해도 해주)이 북한이라는 점 등을 고려해 남북한이 공동으로 발굴하라고 요구하고 있다.

중국은	중국/NNP+은/JX
안	안/NNP
의사의	의사/NNG+의/JKG
고향(황해도	고향/NNG+(/SS+황해도/NNP
해주)이	해주/NNP+)/SS+이/JKS
북한이라는	북한/NNP+이/VCP+라는/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
남북한이	남북한/NNP+이/JKS
공동으로	공동/NNG+으로/JKB
발굴하라고	발굴/NNG+하/XSV+라고/EC
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.147.9.3
이에 대해 안 교수는 “의지도 능력도 안 되는 북한 때문에 자꾸 미룰 수는 없다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
안	안/MAG
교수는	교수/NNG+는/JX
“의지도	“/SS+의지/NNG+도/JX
능력도	능력/NNG+도/JX
되는	되/VV+는/ETM
북한	북한/NNP
때문에	때문/NNB+에/JKB
자꾸	자꾸/MAG
미룰	미루/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.147.9.4
시간이 지날수록 유골이 훼손돼 발굴이 어렵다”고 지적했다.

시간이	시간/NNG+이/JKS
지날수록	지나/VV+ㄹ수록/EC
유골이	유골/NNG+이/JKS
훼손돼	훼손/NNG+되/XSV+어/EC
발굴이	발굴/NNG+이/JKS
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.147.10.1
안 교수는 국군홍보관리소에서 다큐멘터리 ‘대한국인 안중근’(1990년)을 제작하면서 안 의사 유골에 대한 관심을 갖게 됐다.

안	안/NNP
교수는	교수/NNG+는/JX
국군홍보관리소에서	국군홍보관리소/NNP+에서/JKB
다큐멘터리	다큐멘터리/NNG
‘대한국인	‘/SS+대/XPN+한국인/NNG
안중근’(1990년)을	안중근/NNP+’/SS+(/SS+1990/SN+년/NNB+)/SS+을/JKO
제작하면서	제작/NNG+하/XSV+면서/EC
의사	의사/NNG
유골에	유골/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
갖게	갖/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.147.10.2
1991∼2013년 EBS 프로듀서로 근무하며 ‘대륙에 떨친 민족혼’(2011년) 등 안 의사 관련 다큐를 다수 제작했다.

1991∼2013년	1991/SN+∼/SO+2013/SN+년/NNB
EBS	EBS/SL
프로듀서로	프로듀서/NNG+로/JKB
근무하며	근무/NNG+하/XSV+며/EC
‘대륙에	‘/SS+대륙/NNG+에/JKB
떨친	떨치/VV+ㄴ/ETM
민족혼’(2011년)	민족혼/NNG+’/SS+(/SS+2011/SN+년/NNB+)/SS
등	등/NNB
안	안/NNP
의사	의사/NNG
관련	관련/NNG
다큐를	다큐/NNG+를/JKO
다수	다수/NNG
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.147.10.3
2011년 3월 사업회를 발족시킨 후 유골 찾기 활동을 벌이고 있다.

2011년	2011/SN+년/NNB
3월	3/SN+월/NNB
사업회를	사업회/NNG+를/JKO
발족시킨	발족/NNG+시키/XSV+ㄴ/ETM
후	후/NNG
유골	유골/NNG
찾기	찾/VV+기/ETN
활동을	활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.147.11.1
이에 대해 국가보훈처 관계자는 “올해 들어서만 4차례에 걸쳐 중국에 GPR 조사법이 문화재보호구역으로 지정돼 있는 해당 지역을 훼손하지 않는다는 점을 들어 설득하고 있다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국가보훈처	국가/NNG+보훈처/NNG
관계자는	관계자/NNG+는/JX
“올해	“/SS+올해/NNG
들어서만	들/VV+어서/EC+만/JX
4차례에	4/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
중국에	중국/NNP+에/JKB
GPR	GPR/SL
조사법이	조사법/NNG+이/JKS
문화재보호구역으로	문화재/NNG+보호/NNG+구역/NNG+으로/JKB
지정돼	지정/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
해당	해당/NNG
지역을	지역/NNG+을/JKO
훼손하지	훼손/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
설득하고	설득/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


