# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.232
metadata : {}


# id : NWRW1800000038.232.1.1
[평창 동계 스페셜올림픽] 꼴찌로 들어와도 시상대 위로… 모두가 승자

[평창	[/SS+평창/NNP
예민한 성격 탓에 누가 살짝 건드리면 주먹부터 휘둘렀다.

예민한	예민하/VA+ㄴ/ETM
성격	성격/NNG
탓에	탓/NNG+에/JKB
누가	누구/NP+가/JKS
살짝	살짝/MAG
건드리면	건드리/VV+면/EC
주먹부터	주먹/NNG+부터/JX
휘둘렀다.	휘두르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.232.10.1
아버지 김남철(40)씨는 아들에게 미술·음악 치료를 받게 했지만 소용없었다.

아버지	아버지/NNG
김남철(40)씨는	김남철/NNP+(/SS+40/SN+)/SS+씨/NNB+는/JX
아들에게	아들/NNG+에게/JKB
미술·음악	미술/NNG+·/SP+음악/NNG
치료를	치료/NNG+를/JKO
받게	받/VV+게/EC
했지만	하/VX+았/EP+지만/EC
소용없었다.	소용없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.232.10.2
담당 교사들은 감당하기 어렵다면서 김대현을 집으로 돌려보내곤 했다.

담당	담당/NNG
교사들은	교사/NNG+들/XSN+은/JX
감당하기	감당/NNG+하/XSV+기/ETN
어렵다면서	어렵/VA+다면서/EC
김대현을	김대현/NNP+을/JKO
집으로	집/NNG+으로/JKB
돌려보내곤	돌려보내/VV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.232.10.3
김대현은 3년 전 스포츠 재활 치료로 스노보드를 접했다.

김대현은	김대현/NNP+은/JX
3년	3/SN+년/NNB
전	전/NNG
스포츠	스포츠/NNG
재활	재활/NNG
치료로	치료/NNG+로/JKB
스노보드를	스노보드/NNG+를/JKO
접했다.	접하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.232.10.4
처음엔 눈 위에서 구르고 일어서기를 반복했다.

처음엔	처음/NNG+에/JKB+ㄴ/JX
눈	눈/NNG
위에서	위/NNG+에서/JKB
구르고	구르/VV+고/EC
일어서기를	일어서/VV+기/ETN+를/JKO
반복했다.	반복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.232.11.1
그를 가르쳤던 이원(35) 스페셜올림픽 국제기구 기술위원은 "대현이는 그동안 눈 위에서 최소 2000번은 넘어졌을 것"이라며 "넘어질 때마다 일으켜 세우고 '잘한다'고 격려했다"고 했다.

그를	그/NP+를/JKO
가르쳤던	가르치/VV+었/EP+던/ETM
이원(35)	이원/NNP+(/SS+35/SN+)/SS
스페셜올림픽	스페셜올림픽/NNG
국제기구	국제기구/NNG
기술위원은	기술/NNG+위원/NNG+은/JX
"대현이는	"/SS+대현이/NNP+는/JX
그동안	그동안/NNG
눈	눈/NNG
위에서	위/NNG+에서/JKB
최소	최소/NNG
2000번은	2000/SN+번/NNB+은/JX
넘어졌을	넘어지/VV+었/EP+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"넘어질	"/SS+넘어지/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
일으켜	일으키/VV+어/EC
세우고	세우/VV+고/EC
'잘한다'고	'/SS+잘/MAG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
격려했다"고	격려/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.232.12.1
"스노보드를 그만하겠다"고 한 적도 부지기수다.

"스노보드를	"/SS+스노보드/NNG+를/JKO
그만하겠다"고	그만/MAG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
한	하/VV+ㄴ/ETM
적도	적/NNB+도/JX
부지기수다.	부지기수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.232.12.2
그랬던 김대현이 작년 1월 한 번도 넘어지지 않고 슬로프를 내려온 뒤부터 바뀌었다.

그랬던	그렇/VA+었/EP+던/ETM
김대현이	김대현/NNP+이/JKS
작년	작년/NNG
1월	1/SN+월/NNB
한	한/MMN
번도	번/NNB+도/JX
넘어지지	넘어지/VV+지/EC
않고	않/VX+고/EC
슬로프를	슬로프/NNG+를/JKO
내려온	내려오/VV+ㄴ/ETM
뒤부터	뒤/NNG+부터/JX
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.232.12.3
김대현은 평창 동계 스페셜올림픽을 준비하면서 영하 15도의 혹한에도 묵묵히 참고 훈련했다.

김대현은	김대현/NNP+은/JX
평창	평창/NNP
동계	동계/NNG
스페셜올림픽을	스페셜올림픽/NNG+을/JKO
준비하면서	준비/NNG+하/XSV+면서/EC
영하	영하/NNG
15도의	15/SN+도/NNB+의/JKG
혹한에도	혹한/NNG+에/JKB+도/JX
묵묵히	묵묵히/MAG
참고	참/VV+고/EC
훈련했다.	훈련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.232.13.1
최하위로 경기를 마친 김대현은 시무룩한 얼굴이었다.

최하위로	최/XPN+하위/NNG+로/JKB
경기를	경기/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
김대현은	김대현/NNP+은/JX
시무룩한	시무룩하/VA+ㄴ/ETM
얼굴이었다.	얼굴/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.232.13.2
아버지가 "경기가 두 번이나 더 남았으니 그때 가서 잘하면 된다"고 해도 표정이 달라지지 않았다.

아버지가	아버지/NNG+가/JKS
"경기가	"/SS+경기/NNG+가/JKS
두	두/MMN
번이나	번/NNB+이나/JX
더	더/MAG
남았으니	남/VV+았/EP+으니/EC
그때	그때/NNG
가서	가/VV+아서/EC
잘하면	잘/MAG+하/XSV+면/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
해도	하/VV+아도/EC
표정이	표정/NNG+이/JKS
달라지지	달라지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.232.13.3
하지만 다른 선수와 함께 시상대에 올라 리본을 받은 뒤 환하게 웃었다.

하지만	하지만/MAJ
다른	다른/MMD
선수와	선수/NNG+와/JKB
함께	함께/MAG
시상대에	시상대/NNG+에/JKB
올라	오르/VV+아/EC
리본을	리본/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
환하게	환하/VA+게/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.232.14.1
"아빠, 다음 회전 경기에서는 더 열심히 해서 메달 딸게."

"아빠,	"/SS+아빠/NNG+,/SP
다음	다음/NNG
회전	회전/NNG
경기에서는	경기/NNG+에서/JKB+는/JX
더	더/MAG
열심히	열심히/MAG
해서	하/VV+아서/EC
메달	메달/NNG
딸게."	따/VV+ㄹ게/EF+./SF+"/SS


