# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.374
metadata : {}


# id : NWRW1800000033.374.1.1
與 “상설특검 필요”… 文-安측 “차기정권서 재수사”

與	與/SH
“도저히	“/SS+도저히/MAG
수긍할	수긍/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.374.3.2
최 수석은 “시형 씨는 사저 터를 구입한 가격대로 국가에 매각했고, 은행 대출금과 큰아버지로부터 차용한 돈을 갚아서 증여의 실체가 없어졌기 때문에 증여라는 특검의 결론을 받아들일 수 없다”고 말했다.

최	최/NNP
수석은	수석/NNG+은/JX
“시형	“/SS+시형/NNP
씨는	씨/NNB+는/JX
사저	사저/NNG
터를	터/NNG+를/JKO
구입한	구입/NNG+하/XSV+ㄴ/ETM
가격대로	가격/NNG+대로/JX
국가에	국가/NNG+에/JKB
매각했고,	매각/NNG+하/XSV+았/EP+고/EC+,/SP
은행	은행/NNG
대출금과	대출금/NNG+과/JC
큰아버지로부터	큰아버지/NNG+로부터/JKB
차용한	차용/NNG+하/XSV+ㄴ/ETM
돈을	돈/NNG+을/JKO
갚아서	갚/VV+아서/EC
증여의	증여/NNG+의/JKG
실체가	실체/NNG+가/JKS
없어졌기	없어지/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
증여라는	증여/NNG+이/VCP+라는/ETM
특검의	특검/NNG+의/JKG
결론을	결론/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.374.4.1
김인종 전 대통령경호처장 등에 적용한 배임 혐의에 대해서는 “취득 당시 감정평가금액이라는 지극히 형식적 기준만을 토대로 배임 혐의를 적용하는 것은 일방적인 법률 적용”이라고 반박했다.

김인종	김인종/NNP
전	전/MMD
대통령경호처장	대통령/NNG+경호처장/NNG
등에	등/NNB+에/JKB
적용한	적용/NNG+하/XSV+ㄴ/ETM
배임	배임/NNG
혐의에	혐의/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“취득	“/SS+취득/NNG
당시	당시/NNG
감정평가금액이라는	감정/NNG+평가/NNG+금액/NNG+이/VCP+라는/ETM
지극히	지극히/MAG
형식적	형식/NNG+적/XSN
기준만을	기준/NNG+만/JX+을/JKO
토대로	토대/NNG+로/JKB
혐의를	혐의/NNG+를/JKO
적용하는	적용/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
법률	법률/NNG
적용”이라고	적용/NNG+”/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.374.4.2
정치권의 평가는 청와대와 달랐다.

정치권의	정치/NNG+권/XSN+의/JKG
평가는	평가/NNG+는/JX
청와대와	청와대/NNP+와/JKB
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.374.4.3
새누리당 안형환 중앙선거대책위원회 대변인은 이날 브리핑에서 “수사 결과를 놓고 논란과 당사자의 불만이 있을 수 있지만 특검 나름대로 노력했다고 평가하며 그 결과를 존중한다”며 “하루속히 국회에서 상설 특검에 대한 논의와 해결이 필요하다”고 밝혔다.

새누리당	새누리당/NNP
안형환	안형환/NNP
중앙선거대책위원회	중앙/NNG+선거/NNG+대책/NNG+위원회/NNG
대변인은	대변인/NNG+은/JX
이날	이날/NNG
브리핑에서	브리핑/NNG+에서/JKB
“수사	“/SS+수사/NNG
결과를	결과/NNG+를/JKO
놓고	놓/VV+고/EC
논란과	논란/NNG+과/JC
당사자의	당사자/NNG+의/JKG
불만이	불만/NNG+이/JKS
있을	있/VA+을/ETM
수	수/NNB
있지만	있/VA+지만/EC
특검	특검/NNG
나름대로	나름/NNB+대로/JX
노력했다고	노력/NNG+하/XSV+았/EP+다고/EC
평가하며	평가/NNG+하/XSV+며/EC
그	그/MMD
존중한다”며	존중/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“하루속히	“/SS+하루속히/MAG
국회에서	국회/NNG+에서/JKB
상설	상설/NNG
특검에	특검/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의와	논의/NNG+와/JC
해결이	해결/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.374.5.1
야당은 이 대통령 퇴임 후 재조사 가능성도 언급했다.

야당은	야당/NNG+은/JX
이	이/NNP
대통령	대통령/NNG
퇴임	퇴임/NNG
후	후/NNG
재조사	재/XPN+조사/NNG
가능성도	가능/NNG+성/XSN+도/JX
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.374.5.2
민주통합당 문재인 후보 캠프의 박광온 대변인은 “내곡동 특검은 ‘이명박근혜 산성’에 막히고 말았다”고 했고, 박용진 당 대변인은 “(대선에서) 민주정부를 반드시 출범시켜 미진한 부분에 대해 진실을 파헤치겠다”고 주장했다.

민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보	후보/NNG
캠프의	캠프/NNG+의/JKG
박광온	박광온/NNP
대변인은	대변인/NNG+은/JX
“내곡동	“/SS+내곡동/NNP
특검은	특검/NNG+은/JX
‘이명박근혜	‘/SS+이명박근혜/NNP
산성’에	산성/NNG+’/SS+에/JKB
막히고	막히/VV+고/EC
말았다”고	말/VX+았/EP+다/EF+”/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
박용진	박용진/NNP
당	당/NNG
“(대선에서)	“/SS+(/SS+대선/NNG+에서/JKB+)/SS
민주정부를	민주/NNG+정부/NNG+를/JKO
반드시	반드시/MAG
출범시켜	출범/NNG+시키/XSV+어/EC
미진한	미진하/VA+ㄴ/ETM
부분에	부분/NNG+에/JKB
대해	대하/VV+아/EC
진실을	진실/NNG+을/JKO
파헤치겠다”고	파헤치/VV+겠/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.374.5.3
무소속 안철수 후보 측 정연순 대변인은 “대통령의 재직 중 소추금지 규정에 따른 면죄부에 대해서는 (퇴임 후) 추가적인 수사를 비롯한 사법적 심판이 기다리고 있음을 명심하기 바란다”고 말했다.

무소속	무/XPN+소속/NNG
안철수	안철수/NNP
후보	후보/NNG
측	측/NNB
정연순	정연순/NNP
대변인은	대변인/NNG+은/JX
“대통령의	“/SS+대통령/NNG+의/JKG
재직	재직/NNG
중	중/NNB
소추금지	소추/NNG+금지/NNG
규정에	규정/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
면죄부에	면죄부/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
(퇴임	(/SS+퇴임/NNG
후)	후/NNG+)/SS
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
수사를	수사/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
사법적	사법/NNG+적/XSN
심판이	심판/NNG+이/JKS
기다리고	기다리/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
명심하기	명심/NNG+하/XSV+기/ETN
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


