# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.366
metadata : {}


# id : NWRW1800000049.366.1.1
與 잠룡 5인 “지도부 사퇴, 재창당해야”

與	與/SH
열리는	열리/VV+는/ETM
의원총회가	의원/NNG+총회/NNG+가/JKS
지도부	지도부/NNG
거취의	거취/NNG+의/JKG
중대	중대/NNG
분수령이	분수령/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


