# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.237
metadata : {}


# id : NWRW1800000030.237.1.1
[조선데스크] 일본 축구, 일본 문화

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
홍명보 올림픽대표팀 감독은 한·일전에 대해 "경기 내용은 늘 일본이 좋고, 골은 결국 한국이 넣는 게임"이라고 했었다.

홍명보	홍명보/NNP
올림픽대표팀	올림픽/NNG+대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
한·일전에	한·일전/NNG+에/JKB
대해	대하/VV+아/EC
"경기	"/SS+경기/NNG
내용은	내용/NNG+은/JX
늘	늘/MAG
일본이	일본/NNP+이/JKS
좋고,	좋/VA+고/EC+,/SP
골은	골/NNG+은/JX
결국	결국/MAG
한국이	한국/NNP+이/JKS
넣는	넣/VV+는/ETM
게임"이라고	게임/NNG+"/SS+이라고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000030.237.4.1
한·일전의 양상은 양국 문화와도 닮았다.

한·일전의	한·일전/NNG+의/JKG
양상은	양상/NNG+은/JX
양국	양국/NNG
문화와도	문화/NNG+와/JKB+도/JX
닮았다.	닮/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.237.4.2
일본 축구는 미드필드부터 정교한 패스로 골 찬스를 만들어가는 것이 특징이다.

일본	일본/NNP
축구는	축구/NNG+는/JX
미드필드부터	미드필드/NNG+부터/JX
정교한	정교하/VA+ㄴ/ETM
패스로	패스/NNG+로/JKB
골	골/NNG
찬스를	찬스/NNG+를/JKO
만들어가는	만들/VV+어/EC+가/VX+는/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.237.4.3
과정을 중시하는 그네들 문화 그대로다.

과정을	과정/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
그네들	그네/NP+들/XSN
문화	문화/NNG
그대로다.	그대로/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.237.4.4
한국은 과정이 어쨌든 하여간 골을 넣어 승리하곤 했다.

한국은	한국/NNP+은/JX
과정이	과정/NNG+이/JKS
어쨌든	어쨌든/MAG
하여간	하여간/MAG
골을	골/NNG+을/JKO
넣어	넣/VV+어/EC
승리하곤	승리/NNG+하/XSV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.237.4.5
결과를 중시하는 우리 모습인 것처럼 보였다.

결과를	결과/NNG+를/JKO
중시하는	중시/NNG+하/XSV+는/ETM
우리	우리/NP
모습인	모습/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.237.4.6
일본에선 나카타 등의 미드필더들이, 한국에선 차범근·최순호 등의 스트라이커들이 최고 스타 계보를 이어간 것도 우연이 아닐 것이다.

일본에선	일본/NNP+에서/JKB+ㄴ/JX
나카타	나카타/NNP
등의	등/NNB+의/JKG
미드필더들이,	미드필더/NNG+들/XSN+이/JKS+,/SP
한국에선	한국/NNP+에서/JKB+ㄴ/JX
차범근·최순호	차범근/NNP+·/SP+최순호/NNP
스트라이커들이	스트라이커/NNG+들/XSN+이/JKS
최고	최고/NNG
스타	스타/NNG
계보를	계보/NNG+를/JKO
이어간	잇/VV+어/EC+가/VX+ㄴ/ETM
것도	것/NNB+도/JX
우연이	우연/NNG+이/JKC
아닐	아니/VCN+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.237.4.7
한 전문가는 "상대를 배려하는 문화적 특징 때문에 일본 축구가 한계를 맞는 것 같다"는 해석을 내놓기도 했다.

한	한/MMN
전문가는	전문가/NNG+는/JX
"상대를	"/SS+상대/NNG+를/JKO
배려하는	배려/NNG+하/XSV+는/ETM
문화적	문화/NNG+적/XSN
특징	특징/NNG
때문에	때문/NNB+에/JKB
일본	일본/NNP
축구가	축구/NNG+가/JKS
한계를	한계/NNG+를/JKO
맞는	맞/VV+는/ETM
것	것/NNB
같다"는	같/VA+다/EF+"/SS+는/ETM
해석을	해석/NNG+을/JKO
내놓기도	내놓/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.237.4.8
'최고의 찬스가 아니라면 더 좋은 위치에 있는 선수에게 패스한다'는 심리가 결국 골을 넣지 못하는 답답한 축구를 만들었다는 해석이다.

'최고의	'/SS+최고/NNG+의/JKG
찬스가	찬스/NNG+가/JKC
아니라면	아니/VCN+라면/EC
더	더/MAG
좋은	좋/VA+은/ETM
위치에	위치/NNG+에/JKB
있는	있/VA+는/ETM
선수에게	선수/NNG+에게/JKB
패스한다'는	패스/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
심리가	심리/NNG+가/JKS
결국	결국/MAG
골을	골/NNG+을/JKO
넣지	넣/VV+지/EC
못하는	못하/VX+는/ETM
답답한	답답하/VA+ㄴ/ETM
축구를	축구/NNG+를/JKO
만들었다는	만들/VV+었/EP+다는/ETM
해석이다.	해석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.237.5.1
불과 7개월 전만 해도 이런 진단은 모두 사실이었다.

불과	불과/MAG
7개월	7/SN+개월/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
이런	이런/MMD
진단은	진단/NNG+은/JX
모두	모두/MAG
사실이었다.	사실/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.237.5.2
그러나 일본은 남아공월드컵 이후 완전히 다른 팀이 됐다.

그러나	그러나/MAJ
일본은	일본/NNP+은/JX
남아공월드컵	남아공/NNP+월드컵/NNG
이후	이후/NNG
완전히	완전히/MAG
다른	다른/MMD
팀이	팀/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.237.5.3
월드컵에서 북구 강호 덴마크를 3대1로 완파하고, 준우승팀 네덜란드와 대등한 경기(0대1 패배)를 하며 16강에 올랐던 일본은 이번 카타르 아시안컵에선 한국과 호주를 차례로 격파하고 정상을 차지했다.

월드컵에서	월드컵/NNG+에서/JKB
북구	북구/NNP
강호	강호/NNG
덴마크를	덴마크/NNP+를/JKO
3대1로	3/SN+대/NNB+1/SN+로/JKB
완파하고,	완파/NNG+하/XSV+고/EC+,/SP
준우승팀	준/XPN+우승/NNG+팀/NNG
네덜란드와	네덜란드/NNP+와/JKB
대등한	대등/NNG+하/XSA+ㄴ/ETM
경기(0대1	경기/NNG+(/SS+0/SN+대/NNB+1/SN
패배)를	패배/NNG+)/SS+를/JKO
하며	하/VV+며/EC
16강에	16/SN+강/NNB+에/JKB
올랐던	오르/VV+았/EP+던/ETM
일본은	일본/NNP+은/JX
이번	이번/NNG
카타르	카타르/NNP
아시안컵에선	아시안/NNP+컵/NNG+에서/JKB+ㄴ/JX
한국과	한국/NNP+과/JC
호주를	호주/NNP+를/JKO
차례로	차례/NNG+로/JKB
격파하고	격파/NNG+하/XSV+고/EC
정상을	정상/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.237.6.1
짧은 기간에 천지 차이로 변한 일본을 보면서 비등점(沸騰點)이라는 말을 떠올리게 된다.

짧은	짧/VA+은/ETM
기간에	기간/NNG+에/JKB
천지	천지/NNG
차이로	차이/NNG+로/JKB
변한	변하/VV+ㄴ/ETM
일본을	일본/NNP+을/JKO
보면서	보/VV+면서/EC
비등점(沸騰點)이라는	비등점/NNG+(/SS+沸騰點/SH+)/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.237.6.2
오랜 기간 정교하고 빠른 패스, 강력한 미드필드 플레이, 답답할 만큼 과정을 중시하는 축구를 해 온 일본 대표팀이 월드컵이라는 비등점을 거치면서 화학적 변화를 이뤘다는 생각이다.

오랜	오랜/MMA
기간	기간/NNG
정교하고	정교하/VA+고/EC
빠른	빠르/VA+ㄴ/ETM
패스,	패스/NNG+,/SP
강력한	강력/NNG+하/XSA+ㄴ/ETM
미드필드	미드필드/NNG
플레이,	플레이/NNG+,/SP
답답할	답답하/VA+ㄹ/ETM
만큼	만큼/NNB
과정을	과정/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
축구를	축구/NNG+를/JKO
해	하/VV+아/EC
온	오/VX+ㄴ/ETM
일본	일본/NNP
대표팀이	대표/NNG+팀/NNG+이/JKS
월드컵이라는	월드컵/NNG+이/VCP+라는/ETM
비등점을	비등점/NNG+을/JKO
거치면서	거치/VV+면서/EC
화학적	화학/NNG+적/XSN
변화를	변화/NNG+를/JKO
이뤘다는	이루/VV+었/EP+다는/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.237.7.1
지금 일본 축구는 조광래 한국 대표팀 감독이 추구하고 있는 스페인식 축구의 거의 완벽한 동양적 모델이라고 할 수 있다.

지금	지금/MAG
일본	일본/NNP
축구는	축구/NNG+는/JX
조광래	조광래/NNP
한국	한국/NNP
대표팀	대표/NNG+팀/NNG
감독이	감독/NNG+이/JKS
추구하고	추구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
스페인식	스페인식/NNG
축구의	축구/NNG+의/JKG
거의	거의/MAG
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
동양적	동양/NNG+적/XSN
모델이라고	모델/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.237.7.2
남아공월드컵에서 스페인은 엄청나게 빠르고 정확한 패스로 상대를 무력화시키며 우승했다.

남아공월드컵에서	남아공/NNP+월드컵/NNG+에서/JKB
스페인은	스페인/NNP+은/JX
엄청나게	엄청나/VA+게/EC
빠르고	빠르/VA+고/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
패스로	패스/NNG+로/JKB
상대를	상대/NNG+를/JKO
무력화시키며	무력/NNG+화/XSN+시키/XSV+며/EC
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.237.7.3
이번에 일본은 2508회의 패스로 호주(1889회), 한국(1876회) 등을 능가했다.

이번에	이번/NNG+에/JKB
일본은	일본/NNP+은/JX
2508회의	2508/SN+회/NNB+의/JKG
패스로	패스/NNG+로/JKB
호주(1889회),	호주/NNP+(/SS+1889/SN+회/NNB+)/SS+,/SP
한국(1876회)	한국/NNP+(/SS+1876/SN+회/NNB+)/SS
등을	등/NNB+을/JKO
능가했다.	능가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.237.7.4
질적인 변화를 겪으면서 골도 늘었다.

질적인	질/NNG+적/XSN+이/VCP+ㄴ/ETM
변화를	변화/NNG+를/JKO
겪으면서	겪/VV+으면서/EC
골도	골/NNG+도/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.237.7.5
아시안컵에서 일본은 14골로 최다 득점국이 됐다.

아시안컵에서	아시안/NNP+컵/NNG+에서/JKB
일본은	일본/NNP+은/JX
14골로	14/SN+골/NNG+로/JKB
최다	최다/NNG
득점국이	득점국/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.237.7.6
특별한 스트라이커가 없지만 미드필더 누구나 골을 넣는다는 점도 스페인과 같다.

특별한	특별/NNG+하/XSA+ㄴ/ETM
스트라이커가	스트라이커/NNG+가/JKS
없지만	없/VA+지만/EC
미드필더	미드필더/NNG
누구나	누구/NP+나/JX
골을	골/NNG+을/JKO
넣는다는	넣/VV+는다는/ETM
점도	점/NNG+도/JX
스페인과	스페인/NNP+과/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000030.237.7.7
외신들이 "일본이야말로 아시아의 스페인"이라고 평가하는 것은 두 나라 축구가 그만큼 비슷하기 때문이다.

외신들이	외신/NNG+들/XSN+이/JKS
"일본이야말로	"/SS+일본/NNP+이야말로/JX
아시아의	아시아/NNP+의/JKG
스페인"이라고	스페인/NNP+"/SS+이라고/JKQ
평가하는	평가/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
두	두/MMN
나라	나라/NNG
축구가	축구/NNG+가/JKS
그만큼	그만큼/NNG
비슷하기	비슷하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.237.8.1
한국은 월드컵이 끝난 뒤 스페인 배우기를 시작했고, 일본은 이미 10년 전부터 스페인식 축구를 하고 있었다.

한국은	한국/NNP+은/JX
월드컵이	월드컵/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
스페인	스페인/NNP
배우기를	배우/VV+기/ETN+를/JKO
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
일본은	일본/NNP+은/JX
이미	이미/MAG
10년	10/SN+년/NNB
전부터	전/NNG+부터/JX
스페인식	스페인식/NNG
축구를	축구/NNG+를/JKO
하고	하/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.237.8.2
일본 축구의 부활은 이미 오래전에 예고된 것일 수도 있다.

일본	일본/NNP
축구의	축구/NNG+의/JKG
부활은	부활/NNG+은/JX
이미	이미/MAG
오래전에	오래전/NNG+에/JKB
예고된	예고/NNG+되/XSV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.237.8.3
어쩌면 한국은 스페인을 배우기에 앞서 기본과 과정을 중시하는 일본의 성공 사례부터 연구해야 한다.

어쩌면	어쩌면/MAG
한국은	한국/NNP+은/JX
스페인을	스페인/NNP+을/JKO
배우기에	배우/VV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
기본과	기본/NNG+과/JC
과정을	과정/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
일본의	일본/NNP+의/JKG
성공	성공/NNG
사례부터	사례/NNG+부터/JX
연구해야	연구/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


