# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.217
metadata : {}


# id : NWRW1800000021.217.1.1
[분석! 이 경기]타이거 “라이언, 더 크거든 오라”

[분석!	[/SS+분석/NNG+!/SF
200타로	200/SN+타/NNG+로/JKB
공동	공동/NNG
선두가	선두/NNG+가/JKC
된	되/VV+ㄴ/ETM
앤서니	앤서니/NNP
김은	김/NNP+은/JX
마지막	마지막/NNG
날	날/NNG
파란색을	파란색/NNG+을/JKO
입겠다고	입/VV+겠/EP+다고/EC
공언했다.	공언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.217.4.2
우즈를 염두에 둔 발언이었다.

우즈를	우즈/NNP+를/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
발언이었다.	발언/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.217.4.3
지난해 2개 대회에서 우승할 때 각각 회색과 분홍색 셔츠를 입었던 앤서니 김은 ‘블루 라이언’이 되어 ‘레드 타이거’를 잡고 싶어 했다.

지난해	지난해/NNG
2개	2/SN+개/NNB
대회에서	대회/NNG+에서/JKB
우승할	우승/NNG+하/XSV+ㄹ/ETM
때	때/NNG
각각	각각/MAG
회색과	회색/NNG+과/JC
분홍색	분홍색/NNG
셔츠를	셔츠/NNG+를/JKO
입었던	입/VV+었/EP+던/ETM
앤서니	앤서니/NNP
김은	김/NNP+은/JX
‘블루	‘/SS+블루/NNG
라이언’이	라이언/NNP+’/SS+이/JKC
되어	되/VV+어/EC
‘레드	‘/SS+레드/NNG
타이거’를	타이거/NNP+’/SS+를/JKO
잡고	잡/VV+고/EC
싶어	싶/VX+어/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.217.4.4
그러나 현실의 벽은 높았다.

그러나	그러나/MAJ
현실의	현실/NNG+의/JKG
벽은	벽/NNG+은/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.217.4.5
우즈는 3타를 줄여 우승했고 앤서니 김은 1타를 잃고 3위로 처졌다.

우즈는	우즈/NNP+는/JX
3타를	3/SN+타/NNG+를/JKO
줄여	줄이/VV+어/EC
우승했고	우승/NNG+하/XSV+았/EP+고/EC
앤서니	앤서니/NNP
김은	김/NNP+은/JX
1타를	1/SN+타/NNG+를/JKO
잃고	잃/VV+고/EC
3위로	3/SN+위/NNB+로/JKB
처졌다.	처지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.217.5.1
앤서니 김의 출발은 좋았다.

앤서니	앤서니/NNP
김의	김/NNP+의/JKG
출발은	출발/NNG+은/JX
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.217.5.2
1번홀(파4)에서 드라이버 샷을 우즈보다 20야드 이상 더 보낸 뒤 버디를 잡고 단독 선두가 됐다.

1번홀(파4)에서	1/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
드라이버	드라이버/NNG
샷을	샷/NNG+을/JKO
우즈보다	우즈/NNP+보다/JKB
20야드	20/SN+야드/NNB
이상	이상/NNG
더	더/MAG
보낸	보내/VV+ㄴ/ETM
뒤	뒤/NNG
버디를	버디/NNG+를/JKO
잡고	잡/VV+고/EC
단독	단독/NNG
선두가	선두/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.217.5.3
하지만 앤서니 김이 5번, 8번홀(이상 파4)에서 보기를 한 사이 우즈는 6번(파4), 7번홀(파3) 연속 버디로 선두에 오른 뒤 역전을 허용하지 않았다.

하지만	하지만/MAJ
앤서니	앤서니/NNP
김이	김/NNP+이/JKS
5번,	5/SN+번/NNB+,/SP
8번홀(이상	8/SN+번/NNB+홀/NNG+(/SS+이상/NNG
파4)에서	파/NNG+4/SN+)/SS+에서/JKB
보기를	보기/NNG+를/JKO
한	하/VV+ㄴ/ETM
사이	사이/NNG
우즈는	우즈/NNP+는/JX
6번(파4),	6/SN+번/NNB+(/SS+파/NNG+4/SN+)/SS+,/SP
7번홀(파3)	7/SN+번/NNB+홀/NNG+(/SS+파/NNG+3/SN+)/SS
연속	연속/NNG
버디로	버디/NNG+로/JKB
선두에	선두/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
뒤	뒤/NNG
역전을	역전/NNG+을/JKO
허용하지	허용/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.217.5.4
전날까지 3m 내 퍼트를 95% 이상 성공했던 앤서니 김은 이날 90cm 파 퍼트도 놓쳤다.

전날까지	전날/NNG+까지/JX
3m	3/SN+m/SW
내	내/NNB
퍼트를	퍼트/NNG+를/JKO
95%	95/SN+%/SW
이상	이상/NNG
성공했던	성공/NNG+하/XSV+았/EP+던/ETM
앤서니	앤서니/NNP
김은	김/NNP+은/JX
이날	이날/NNG
90cm	90/SN+cm/SW
파	파/NNG
퍼트도	퍼트/NNG+도/JX
놓쳤다.	놓치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.217.5.5
반면 우즈는 16번홀(파5)에서 6m 버디 퍼트를 성공시키는 등 ‘클러치 퍼터’의 면모를 유지했다.

반면	반면/NNG
우즈는	우즈/NNP+는/JX
16번홀(파5)에서	16/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB
6m	6/SN+m/SW
버디	버디/NNG
퍼트를	퍼트/NNG+를/JKO
성공시키는	성공/NNG+시키/XSV+는/ETM
등	등/NNB
‘클러치	‘/SS+클러치/NNG
퍼터’의	퍼터/NNG+’/SS+의/JKG
면모를	면모/NNG+를/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.217.5.6
통산 68승을 거둔 그는 올 시즌 가장 먼저 3승 고지를 밟았다.

통산	통산/NNG
68승을	68/SN+승/NNB+을/JKO
거둔	거두/VV+ㄴ/ETM
그는	그/NP+는/JX
올	올/NNG
시즌	시즌/NNG
가장	가장/MAG
먼저	먼저/MAG
3승	3/SN+승/NNB
고지를	고지/NNG+를/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.217.5.7
선두 또는 공동 선두로 나선 49개 대회에서 46번째 트로피를 안으며 ‘역전 불허’의 전통도 이어 갔다.

선두	선두/NNG
또는	또는/MAG
공동	공동/NNG
선두로	선두/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
49개	49/SN+개/NNB
대회에서	대회/NNG+에서/JKB
46번째	46/SN+번/NNB+째/XSN
트로피를	트로피/NNG+를/JKO
안으며	안/VV+으며/EC
‘역전	‘/SS+역전/NNG
불허’의	불허/NNG+’/SS+의/JKG
전통도	전통/NNG+도/JX
이어	잇/VV+어/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.217.6.1
우즈의 4라운드는 특별하지 않았지만 앤서니 김은 크게 흔들렸다(표 참조).

우즈의	우즈/NNP+의/JKG
4라운드는	4/SN+라운드/NNG+는/JX
특별하지	특별/NNG+하/XSA+지/EC
않았지만	않/VX+았/EP+지만/EC
앤서니	앤서니/NNP
김은	김/NNP+은/JX
크게	크/VA+게/EC
흔들렸다(표	흔들리/VV+었/EP+다/EF+(/SS+표/NNG
참조).	참조/NNG+)/SS+./SF


# id : NWRW1800000021.217.6.2
전날 319.5야드였던 드라이버 샷 비거리는 287야드로, 64%였던 페어웨이 적중률은 36%로 떨어졌다.

전날	전날/NNG
319.5야드였던	319/SN+./SP+5/SN+야드/NNB+이/VCP+었/EP+던/ETM
드라이버	드라이버/NNG
샷	샷/NNG
비거리는	비거리/NNG+는/JX
287야드로,	287/SN+야드/NNB+로/JKB+,/SP
64%였던	64/SN+%/SW+이/VCP+었/EP+던/ETM
페어웨이	페어웨이/NNG
적중률은	적중/NNG+률/XSN+은/JX
36%로	36/SN+%/SW+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.217.6.3
대신 평균 퍼트 수는 1.73개에서 2.08개로 크게 늘었다.

대신	대신/NNG
평균	평균/NNG
퍼트	퍼트/NNG
수는	수/NNG+는/JX
1.73개에서	1/SN+./SP+73/SN+개/NNB+에서/JKB
2.08개로	2/SN+./SP+08/SN+개/NNB+로/JKB
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.217.6.4
앤서니 김은 “퍼트가 안좋았지만 다시 정상에 도전하는 것은 시간문제”라고 말했다.

앤서니	앤서니/NNP
김은	김/NNP+은/JX
“퍼트가	“/SS+퍼트/NNG+가/JKS
안좋았지만	안/MAG+좋/VA+았/EP+지만/EC
다시	다시/MAG
정상에	정상/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
시간문제”라고	시간문제/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.217.7.1
이날 TV중계 해설을 맡았던 원형중 이화여대 교수는 “앤서니 김이 자신만의 경기를 하겠다고 했지만 실제로는 스윙 템포가 무너졌다.

이날	이날/NNG
TV중계	TV/SL+중계/NNG
해설을	해설/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
원형중	원형중/NNP
이화여대	이화여대/NNP
교수는	교수/NNG+는/JX
“앤서니	“/SS+앤서니/NNP
김이	김/NNP+이/JKS
자신만의	자신/NNG+만/JX+의/JKG
경기를	경기/NNG+를/JKO
하겠다고	하/VV+겠/EP+다고/EC
했지만	하/VV+았/EP+지만/EC
실제로는	실제로/MAG+는/JX
스윙	스윙/NNG
템포가	템포/NNG+가/JKS
무너졌다.	무너지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.217.7.2
티샷을 한 뒤 균형을 잡지 못했고 짧은 거리의 퍼트를 번번이 놓쳤다”고 말했다.

티샷을	티/NNG+샷/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
균형을	균형/NNG+을/JKO
잡지	잡/VV+지/EC
못했고	못하/VX+았/EP+고/EC
짧은	짧/VA+은/ETM
거리의	거리/NNG+의/JKG
퍼트를	퍼트/NNG+를/JKO
번번이	번번이/MAG
놓쳤다”고	놓치/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.217.7.3
이어 “우즈는 수술을 통해 휴식을 취하며 더욱 강해졌다.

이어	이어/MAG
“우즈는	“/SS+우즈/NNP+는/JX
수술을	수술/NNG+을/JKO
통해	통하/VV+아/EC
휴식을	휴식/NNG+을/JKO
취하며	취하/VV+며/EC
더욱	더욱/MAG
강해졌다.	강하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.217.7.4
앞으로 3년 정도는 전성기를 이어 갈 것”이라고 전망했다.

앞으로	앞/NNG+으로/JKB
3년	3/SN+년/NNB
정도는	정도/NNG+는/JX
전성기를	전성기/NNG+를/JKO
이어	잇/VV+어/EC
갈	가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.217.7.5
당분간은 우즈의 시대다.

당분간은	당분간/NNG+은/JX
우즈의	우즈/NNP+의/JKG
시대다.	시대/NNG+이/VCP+다/EF+./SF


