# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.188
metadata : {}


# id : NWRW1800000028.188.1.1
유물과 디지털로 복원한 ‘백제의 꿈’

유물과	유물/NNG+과/JC
박물관은 능산리 절을 디지털로 복원한 입체 영상을 선보여, 땅속에 묻힌 절의 웅장한 옛 모습을 재현했다.

박물관은	박물관/NNG+은/JX
능산리	능산리/NNP
절을	절/NNG+을/JKO
디지털로	디지털/NNG+로/JKB
복원한	복원/NNG+하/XSV+ㄴ/ETM
입체	입체/NNG
영상을	영상/NNG+을/JKO
선보여,	선보이/VV+어/EC+,/SP
땅속에	땅속/NNG+에/JKB
묻힌	묻히/VV+ㄴ/ETM
절의	절/NNG+의/JKG
웅장한	웅장하/VA+ㄴ/ETM
옛	옛/MMA
모습을	모습/NNG+을/JKO
재현했다.	재현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.188.4.3
능산리 사지는 충남 부여군 부여읍 능산리에 있으며, 옛 백제 왕도인 사비를 둘러싸고 있던 동라성과 백제왕들이 묻힌 능산리 고분군 사이에 있다.

능산리	능산리/NNP
사지는	사지/NNG+는/JX
충남	충남/NNP
부여군	부여군/NNP
부여읍	부여읍/NNP
능산리에	능산리/NNP+에/JKB
있으며,	있/VA+으며/EC+,/SP
옛	옛/MMA
백제	백제/NNP
왕도인	왕도/NNG+이/VCP+ㄴ/ETM
사비를	사비/NNP+를/JKO
둘러싸고	둘러싸/VV+고/EC
있던	있/VX+던/ETM
동라성과	동라성/NNG+과/JC
백제왕들이	백제/NNP+왕/NNG+들/XSN+이/JKS
묻힌	묻히/VV+ㄴ/ETM
고분군	고분군/NNP
사이에	사이/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.188.5.1
이 절터는 1992년부터 2008년까지 16년 동안 국립 부여박물관을 비롯한 국립문화재연구소, 전통문화학교 등이 총 11차례 발굴 조사를 했다.

이	이/MMD
절터는	절터/NNG+는/JX
1992년부터	1992/SN+년/NNB+부터/JX
2008년까지	2008/SN+년/NNB+까지/JX
16년	16/SN+년/NNB
동안	동안/NNG
국립	국립/NNG
부여박물관을	부여박물관/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
국립문화재연구소,	국립문화재연구소/NNP+,/SP
전통문화학교	전통문화학교/NNP
등이	등/NNB+이/JKS
총	총/MMA
11차례	11/SN+차례/NNG
발굴	발굴/NNG
조사를	조사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.188.5.2
고고학계는 사리감 명문 등을 근거로 이 절이 이 고분들에 묻힌 백제왕들의 영혼을 위로하고 왕릉을 관리하는 기능을 수행하다 백제 27대 왕인 위덕왕(재위 554~598) 때 국가 사찰이 된 것으로 추정하고 있다.

고고학계는	고고학/NNG+계/XSN+는/JX
사리감	사리감/NNG
명문	명문/NNG
등을	등/NNB+을/JKO
근거로	근거/NNG+로/JKB
이	이/MMD
절이	절/NNG+이/JKS
고분들에	고분/NNG+들/XSN+에/JKB
묻힌	묻히/VV+ㄴ/ETM
백제왕들의	백제/NNP+왕/NNG+들/XSN+의/JKG
영혼을	영혼/NNG+을/JKO
위로하고	위로/NNG+하/XSV+고/EC
왕릉을	왕릉/NNG+을/JKO
관리하는	관리/NNG+하/XSV+는/ETM
기능을	기능/NNG+을/JKO
수행하다	수행/NNG+하/XSV+다/EC
백제	백제/NNP
27대	27/SN+대/NNB
왕인	왕/NNG+이/VCP+ㄴ/ETM
위덕왕(재위	위덕왕/NNP+(/SS+재위/NNG
554~598)	554/SN+~/SO+598/SN+)/SS
때	때/NNG
국가	국가/NNG
사찰이	사찰/NNG+이/JKC
된	되/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.188.6.1
부여박물관 이경수 학예사는 “이번 특별전은 능산리 사지로 대표되는 사비백제 시대의 삶과 문화, 고대 칠기 제작기법과 백제 회화를 알리는 계기가 될 것”이라고 말했다.

부여박물관	부여박물관/NNP
이경수	이경수/NNP
학예사는	학예사/NNG+는/JX
“이번	“/SS+이번/NNG
특별전은	특별전/NNG+은/JX
능산리	능산리/NNP
사지로	사지/NNG+로/JKB
대표되는	대표/NNG+되/XSV+는/ETM
사비백제	사비/NNP+백제/NNP
시대의	시대/NNG+의/JKG
삶과	삶/NNG+과/JC
문화,	문화/NNG+,/SP
고대	고대/NNG
칠기	칠기/NNG
제작기법과	제작/NNG+기법/NNG+과/JC
백제	백제/NNP
회화를	회화/NNG+를/JKO
알리는	알리/VV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


