# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.415
metadata : {}


# id : NWRW1800000021.415.1.1
최고시속 394km 세계서 가장 빠른 中고속철 타보니

최고시속	최고/NNG+시속/NNG
구간을	구간/NNG+을/JKO
운행하는	운행/NNG+하/XSV+는/ETM
하루	하루/NNG
편도	편도/NNG
21편	21/SN+편/NNB
중	중/NNB
2회만	2/SN+회/NNB+만/JX
3시간	3/SN+시간/NNB
이내에	이내/NNG+에/JKB
주파하고	주파/NNG+하/XSV+고/EC
나머지는	나머지/NNG+는/JX
50분대다.	50/SN+분/NNB+대/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.415.7.2
광저우의 중국석유 본사에 근무하는 승객 왕옌성(王燕生·41) 씨는 “지금까지는 1시간 반가량 걸리는 비행기를 타고 우한으로 출장을 다녔는데 고속철 개통 후에는 안전하고 편한 고속철도로 바꿨다”며 사용한 기차표 3장을 주머니에서 꺼내 보였다.

광저우의	광저우/NNP+의/JKG
중국석유	중국/NNP+석유/NNG
본사에	본사/NNG+에/JKB
근무하는	근무/NNG+하/XSV+는/ETM
승객	승객/NNG
왕옌성(王燕生·41)	왕옌성/NNP+(/SS+王燕生/SH+·/SP+41/SN+)/SS
씨는	씨/NNB+는/JX
“지금까지는	“/SS+지금/NNG+까지/JX+는/JX
1시간	1/SN+시간/NNB
반가량	반/NNG+가량/XSN
걸리는	걸리/VV+는/ETM
비행기를	비행기/NNG+를/JKO
타고	타/VV+고/EC
우한으로	우한/NNP+으로/JKB
출장을	출장/NNG+을/JKO
다녔는데	다니/VV+었/EP+는데/EC
고속철	고속철/NNG
개통	개통/NNG
후에는	후/NNG+에/JKB+는/JX
안전하고	안전/NNG+하/XSA+고/EC
편한	편하/VA+ㄴ/ETM
고속철도로	고속/NNG+철도/NNG+로/JKB
바꿨다”며	바꾸/VV+었/EP+다/EF+”/SS+며/EC
사용한	사용/NNG+하/XSV+ㄴ/ETM
기차표	기차표/NNG
3장을	3/SN+장/NNB+을/JKO
주머니에서	주머니/NNG+에서/JKB
꺼내	꺼내/VV+어/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.415.8.1
○ 세계 최고기록 수두룩

○	○/SW
세계	세계/NNG
최고기록	최고/NNG+기록/NNG
수두룩	수두룩/XR


# id : NWRW1800000021.415.9.1
우광고속철은 순간 최고속도와 평균속도(시속 341km) 외에도 단일 고속철 길이(1068.6km), 터널(226개)과 교량(684개) 수에서 기존 기록을 갈아 치웠다.

우광고속철은	우광고속철/NNP+은/JX
순간	순간/NNG
최고속도와	최고/NNG+속도/NNG+와/JC
평균속도(시속	평균/NNG+속도/NNG+(/SS+시속/NNG
341km)	341/SN+km/SW+)/SS
외에도	외/NNB+에/JKB+도/JX
단일	단일/NNG
고속철	고속철/NNG
길이(1068.6km),	길이/NNG+(/SS+1068/SN+./SP+6/SN+km/SW+)/SS+,/SP
터널(226개)과	터널/NNG+(/SS+226/SN+개/NNB+)/SS+과/JC
교량(684개)	교량/NNG+(/SS+684/SN+개/NNB+)/SS
수에서	수/NNG+에서/JKB
기존	기존/NNG
기록을	기록/NNG+을/JKO
갈아	갈/VV+아/EC
치웠다.	치우/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.415.9.2
창사류양(長沙瀏陽)터널과 광저우진사(廣州金沙)터널은 도시와 강, 그리고 고속도로 밑을 지나는 구간으로 가장 어려운 공사 구간이었다.

창사류양(長沙瀏陽)터널과	창사류양/NNP+(/SS+長沙瀏陽/SH+)/SS+터널/NNG+과/JC
광저우진사(廣州金沙)터널은	광저우진사/NNP+(/SS+廣州金沙/SH+)/SS+터널/NNG+은/JX
도시와	도시/NNG+와/JC
강,	강/NNG+,/SP
그리고	그리고/MAJ
고속도로	고속/NNG+도로/NNG
밑을	밑/NNG+을/JKO
지나는	지나/VV+는/ETM
구간으로	구간/NNG+으로/JKB
가장	가장/MAG
어려운	어렵/VA+ㄴ/ETM
공사	공사/NNG
구간이었다.	구간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.415.9.3
우한톈싱저우창장(武漢天興洲長江)대교는 왕복 4차로가 위로 지나고, 아래층은 고속철이 다니는 다리로 교각 간 거리(최대 140m), 하중, 설계통행속도, 다리의 폭 등 4가지에서 세계기록을 세웠다.

우한톈싱저우창장(武漢天興洲長江)대교는	우한톈싱저우창장/NNP+(/SS+武漢天興洲長江/SH+)/SS+대교/NNG+는/JX
왕복	왕복/NNG
4차로가	4/SN+차로/NNG+가/JKS
위로	위/NNG+로/JKB
지나고,	지나/VV+고/EC+,/SP
아래층은	아래층/NNG+은/JX
고속철이	고속철/NNG+이/JKS
다니는	다니/VV+는/ETM
다리로	다리/NNG+로/JKB
교각	교각/NNG
간	간/NNB
거리(최대	거리/NNG+(/SS+최대/NNG
140m),	140/SN+m/SW+)/SS+,/SP
하중,	하중/NNG+,/SP
설계통행속도,	설계/NNG+통행/NNG+속도/NNG+,/SP
다리의	다리/NNG+의/JKG
폭	폭/NNG
등	등/NNB
4가지에서	4/SN+가지/NNB+에서/JKB
세계기록을	세계/NNG+기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.415.10.1
승객 쉬사오펑(許少鋒·39) 씨는 페트병을 좌석 식판에 거꾸로 세워 보이며 “일본 신칸센을 몇 번 타 보았지만 이렇게까지 안정적이지는 않았다”며 “중국의 기술이 이렇게 높아졌다”고 자랑스러워했다.

승객	승객/NNG
쉬사오펑(許少鋒·39)	쉬사오펑/NNP+(/SS+許少鋒/SH+·/SP+39/SN+)/SS
씨는	씨/NNB+는/JX
페트병을	페트병/NNG+을/JKO
좌석	좌석/NNG
식판에	식판/NNG+에/JKB
거꾸로	거꾸로/MAG
세워	세우/VV+어/EC
보이며	보이/VV+며/EC
“일본	“/SS+일본/NNP
신칸센을	신칸센/NNP+을/JKO
몇	몇/NR
번	번/NNB
타	타/VV+아/EC
보았지만	보/VX+았/EP+지만/EC
이렇게까지	이렇/VA+게/EC+까지/JX
안정적이지는	안정/NNG+적/XSN+이/VCP+지/EC+는/JX
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“중국의	“/SS+중국/NNP+의/JKG
기술이	기술/NNG+이/JKS
이렇게	이렇/VA+게/EC
높아졌다”고	높아지/VV+었/EP+다/EF+”/SS+고/JKQ
자랑스러워했다.	자랑/NNG+스럽/XSA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.415.11.1
○ 선진국 턱밑까지 추격한 첨단 공법

○	○/SW
선진국	선진국/NNG
턱밑까지	턱밑/NNG+까지/JX
추격한	추격/NNG+하/XSV+ㄴ/ETM
첨단	첨단/NNG
공법	공법/NNG


# id : NWRW1800000021.415.12.1
우광고속철이 자랑하는 것은 안전 제어.

우광고속철이	우광고속철/NNP+이/JKS
자랑하는	자랑/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
안전	안전/NNG
제어.	제어/NNG+./SF


# id : NWRW1800000021.415.12.2
시속 350km로 달리는 열차가 급제동하면 멈추는 데까지 6500m를 더 가야 한다.

시속	시속/NNG
350km로	350/SN+km/SW+로/JKB
달리는	달리/VV+는/ETM
열차가	열차/NNG+가/JKS
급제동하면	급제동/NNG+하/XSV+면/EC
멈추는	멈추/VV+는/ETM
데까지	데/NNB+까지/JX
6500m를	6500/SN+m/SW+를/JKO
더	더/MAG
가야	가/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.415.12.3
우광고속철은 운행 간격이 3분일 때도 있다.

우광고속철은	우광고속철/NNP+은/JX
운행	운행/NNG
간격이	간격/NNG+이/JKS
3분일	3/SN+분/NNB+이/VCP+ㄹ/ETM
때도	때/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.415.12.4
제동장치가 제대로 작동하지 않으면 대형 사고로 이어질 수 있다.

제동장치가	제동/NNG+장치/NNG+가/JKS
제대로	제대로/MAG
작동하지	작동/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
대형	대형/NNG
사고로	사고/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.415.12.5
철도부 겅즈슈(耿志修) 안전총감은 “우광고속철 열차에는 ‘똑똑한 열차’ 개념이 도입됐다”고 설명했다.

철도부	철도부/NNG
겅즈슈(耿志修)	겅즈슈/NNP+(/SS+耿志修/SH+)/SS
안전총감은	안전/NNG+총감/NNG+은/JX
“우광고속철	“/SS+우광고속철/NNP
열차에는	열차/NNG+에/JKB+는/JX
‘똑똑한	‘/SS+똑똑하/VA+ㄴ/ETM
열차’	열차/NNG+’/SS
개념이	개념/NNG+이/JKS
도입됐다”고	도입/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.415.12.6
차 간 거리가 14km 이내로 좁혀지면 우한의 통제센터에서 자동으로 뒤에 오는 차량에 거리 유지를 명령한다.

차	차/NNG
간	간/NNB
거리가	거리/NNG+가/JKS
14km	14/SN+km/SW
이내로	이내/NNG+로/JKB
좁혀지면	좁히/VV+어/EC+지/VX+면/EC
우한의	우한/NNP+의/JKG
통제센터에서	통제/NNG+센터/NNG+에서/JKB
자동으로	자동/NNG+으로/JKB
뒤에	뒤/NNG+에/JKB
오는	오/VV+는/ETM
차량에	차량/NNG+에/JKB
거리	거리/NNG
유지를	유지/NNG+를/JKO
명령한다.	명령/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.415.12.7
중국 철도에는 처음으로 동절기 결빙방지 시스템도 도입됐다.

중국	중국/NNP
철도에는	철도/NNG+에/JKB+는/JX
처음으로	처음/NNG+으로/JKB
동절기	동절기/NNG
결빙방지	결빙/NNG+방지/NNG
시스템도	시스템/NNG+도/JX
도입됐다.	도입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.415.12.8
전 구간 중 700km가량에 일정 정도 이상 빙설이 생기면 이를 녹이는 시스템이 작동한다.

전	전/MMN
구간	구간/NNG
중	중/NNB
700km가량에	700/SN+km/SW+가량/XSN+에/JKB
일정	일정/NNG
정도	정도/NNG
이상	이상/NNG
빙설이	빙설/NNG+이/JKS
생기면	생기/VV+면/EC
이를	이/NP+를/JKO
녹이는	녹이/VV+는/ETM
시스템이	시스템/NNG+이/JKS
작동한다.	작동/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.415.13.1
고속철도 수준은 크게 노반, 철로 부설, 제어 등 전자 시스템, 철도 차량 그리고 승무원 자질 등 5가지에 따라 결정된다.

고속철도	고속/NNG+철도/NNG
수준은	수준/NNG+은/JX
크게	크/VA+게/EC
노반,	노반/NNG+,/SP
철로	철로/NNG
부설,	부설/NNG+,/SP
제어	제어/NNG
등	등/NNB
전자	전자/NNG
시스템,	시스템/NNG+,/SP
철도	철도/NNG
차량	차량/NNG
그리고	그리고/MAJ
승무원	승무원/NNG
자질	자질/NNG
5가지에	5/SN+가지/NNB+에/JKB
따라	따르/VV+아/EC
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.415.13.2
중국은 자국 건설업체가 노반과 철로를 부설하고, 선진국의 기술을 일부 도입했지만 전량 자체적으로 차량을 만들어 중국인 승무원만으로 세계 최고속도를 세계에 보여줘 ‘고속철 선진국’으로 성큼 다가섰다는 평가를 받는다.

중국은	중국/NNP+은/JX
자국	자국/NNG
건설업체가	건설업체/NNG+가/JKS
노반과	노반/NNG+과/JC
철로를	철로/NNG+를/JKO
부설하고,	부설/NNG+하/XSV+고/EC+,/SP
선진국의	선진국/NNG+의/JKG
기술을	기술/NNG+을/JKO
일부	일부/NNG
도입했지만	도입/NNG+하/XSV+았/EP+지만/EC
전량	전량/NNG
자체적으로	자체/NNG+적/XSN+으로/JKB
차량을	차량/NNG+을/JKO
만들어	만들/VV+어/EC
중국인	중국인/NNG
승무원만으로	승무원/NNG+만/JX+으로/JKB
세계	세계/NNG
최고속도를	최고/NNG+속도/NNG+를/JKO
세계에	세계/NNG+에/JKB
보여줘	보이/VV+어/EC+주/VX+어/EC
‘고속철	‘/SS+고속철/NNG
선진국’으로	선진국/NNG+’/SS+으로/JKB
성큼	성큼/MAG
다가섰다는	다가서/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000021.415.13.3
철도부 운수부 장수광(張曙光) 국장도 반관영 통신인 중국신문망과의 인터뷰에서 “열차의 시동, 가속, 고속유지 및 제어 기술은 어느 나라에도 뒤지지 않는다”고 말했다.

철도부	철도부/NNG
운수부	운수부/NNG
장수광(張曙光)	장수광/NNP+(/SS+張曙光/SH+)/SS
국장도	국장/NNG+도/JX
반관영	반/XPN+관영/NNG
통신인	통신/NNG+이/VCP+ㄴ/ETM
중국신문망과의	중국/NNP+신문/NNG+망/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“열차의	“/SS+열차/NNG+의/JKG
시동,	시동/NNG+,/SP
가속,	가속/NNG+,/SP
고속유지	고속/NNG+유지/NNG
및	및/MAG
제어	제어/NNG
기술은	기술/NNG+은/JX
어느	어느/MMD
나라에도	나라/NNG+에/JKB+도/JX
뒤지지	뒤지/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


