# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.166
metadata : {}


# id : NWRW1800000044.166.1.1
정보 자기결정권 ‘헌법 기본권’ 인정 ‘수집제한의 원칙’ 국제규범 굳어져

정보	정보/NNG
국내에선 2003년 교육행정정보시스템(NEIS)의 프라이버시 침해 문제가 제기되면서 ‘정보인권’이란 용어가 통용되기 시작했다.

국내에선	국내/NNG+에서/JKB+ㄴ/JX
2003년	2003/SN+년/NNB
교육행정정보시스템(NEIS)의	교육/NNG+행정/NNG+정보/NNG+시스템/NNG+(/SS+NEIS/SL+)/SS+의/JKG
프라이버시	프라이버시/NNG
침해	침해/NNG
문제가	문제/NNG+가/JKS
제기되면서	제기/NNG+되/XSV+면서/EC
‘정보인권’이란	‘/SS+정보/NNG+인권/NNG+’/SS+이/VCP+란/ETM
용어가	용어/NNG+가/JKS
통용되기	통용/NNG+되/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.166.5.2
헌법재판소는 2005년 ‘개인정보 자기결정권’을 “자신에 관한 정보가 언제 누구에게 어느 범위까지 알려지고 또 이용되도록 할 것인지를 그 정보주체가 스스로 결정할 수 있는 권리”라고 규정했다.

헌법재판소는	헌법/NNG+재판소/NNG+는/JX
2005년	2005/SN+년/NNB
‘개인정보	‘/SS+개인/NNG+정보/NNG
자기결정권’을	자기/NNG+결정/NNG+권/XSN+’/SS+을/JKO
“자신에	“/SS+자신/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
정보가	정보/NNG+가/JKS
언제	언제/MAG
누구에게	누구/NP+에게/JKB
어느	어느/MMD
범위까지	범위/NNG+까지/JX
알려지고	알려지/VV+고/EC
또	또/MAG
이용되도록	이용/NNG+되/XSV+도록/EC
할	하/VX+ㄹ/ETM
것인지를	것/NNB+이/VCP+ㄴ지/EF+를/JKO
그	그/MMD
정보주체가	정보/NNG+주체/NNG+가/JKS
스스로	스스로/MAG
결정할	결정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권리”라고	권리/NNG+”/SS+라고/JKQ
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.166.6.1
당시 헌재는 “현대사회는 개인의 인적 사항이나 생활상의 각종 정보가 정보주체의 의사와 무관하게 타인의 수중에 무한대로 집적되고 이용·공개될 수 있는 새로운 환경에 처하게 됐다”며 개인정보 자기결정권을 헌법상 기본권으로 승인하게 된 배경을 설명했다.

당시	당시/NNG
헌재는	헌재/NNG+는/JX
“현대사회는	“/SS+현대/NNG+사회/NNG+는/JX
개인의	개인/NNG+의/JKG
인적	인/NNG+적/XSN
사항이나	사항/NNG+이나/JC
생활상의	생활/NNG+상/XSN+의/JKG
각종	각종/NNG
정보가	정보/NNG+가/JKS
정보주체의	정보/NNG+주체/NNG+의/JKG
의사와	의사/NNG+와/JKB
무관하게	무관하/VA+게/EC
타인의	타인/NNG+의/JKG
수중에	수중/NNG+에/JKB
무한대로	무한대/NNG+로/JKB
집적되고	집적/NNG+되/XSV+고/EC
이용·공개될	이용/NNG+·/SP+공개/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
새로운	새롭/VA+ㄴ/ETM
환경에	환경/NNG+에/JKB
처하게	처하/VV+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
개인정보	개인/NNG+정보/NNG
자기결정권을	자기/NNG+결정/NNG+권/XSN+을/JKO
헌법상	헌법/NNG+상/XSN
기본권으로	기본/NNG+권/XSN+으로/JKB
승인하게	승인/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.166.6.2
“국가의 개인에 대한 감시능력이 현격히 증대돼 국가가 개인의 일상사를 낱낱이 파악할 수 있게 됐기 때문”이라고도 밝혔다.

“국가의	“/SS+국가/NNG+의/JKG
개인에	개인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감시능력이	감시/NNG+능력/NNG+이/JKS
현격히	현격히/MAG
증대돼	증대/NNG+되/XSV+어/EC
국가가	국가/NNG+가/JKS
개인의	개인/NNG+의/JKG
일상사를	일상사/NNG+를/JKO
낱낱이	낱낱이/MAG
파악할	파악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐기	되/VV+었/EP+기/ETN
때문”이라고도	때문/NNB+”/SS+이라고/JKQ+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.166.6.3
이런 정보인권 보호는 2011년 개인정보보호법 제정으로 제도화됐다.

이런	이런/MMD
정보인권	정보/NNG+인권/NNG
보호는	보호/NNG+는/JX
2011년	2011/SN+년/NNB
개인정보보호법	개인/NNG+정보/NNG+보호법/NNG
제정으로	제정/NNG+으로/JKB
제도화됐다.	제도/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.166.7.1
정보인권은 국제 규범으로도 인정받는다.

정보인권은	정보/NNG+인권/NNG+은/JX
국제	국제/NNG
규범으로도	규범/NNG+으로/JKB+도/JX
인정받는다.	인정/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000044.166.7.2
개인정보 보호에 대한 최초의 국제 규범은 1980년 경제협력개발기구(OECD)의 ‘프라이버시 보호와 개인정보의 국제적 유통에 관한 가이드라인’이다.

개인정보	개인/NNG+정보/NNG
보호에	보호/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최초의	최초/NNG+의/JKG
국제	국제/NNG
규범은	규범/NNG+은/JX
1980년	1980/SN+년/NNB
경제협력개발기구(OECD)의	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS+의/JKG
‘프라이버시	‘/SS+프라이버시/NNG
보호와	보호/NNG+와/JC
개인정보의	개인/NNG+정보/NNG+의/JKG
국제적	국제/NNG+적/XSN
유통에	유통/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
가이드라인’이다.	가이드라인/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000044.166.7.3
가이드라인에는 ‘수집 제한의 원칙’(당사자 동의 등 정당한 절차를 거친 수집만 인정), ‘수집 목적의 명확성 원칙’(수집 목적은 반드시 특정하고, 목적에 맞지 않게 되면 즉시 파기), ‘정확성의 원칙’(사용 목적과 정확하게 맞아야 하고 목적에 필요한 범위 안에서만 보관) 등의 원칙이 담겼다.

가이드라인에는	가이드라인/NNG+에/JKB+는/JX
‘수집	‘/SS+수집/NNG
제한의	제한/NNG+의/JKG
원칙’(당사자	원칙/NNG+’/SS+(/SS+당사자/NNG
동의	동의/NNG
등	등/NNB
정당한	정당하/VA+ㄴ/ETM
절차를	절차/NNG+를/JKO
거친	거칠/VA+ㄴ/ETM
수집만	수집/NNG+만/JX
인정),	인정/NNG+)/SS+,/SP
목적의	목적/NNG+의/JKG
명확성	명확성/NNG
원칙’(수집	원칙/NNG+’/SS+(/SS+수집/NNG
목적은	목적/NNG+은/JX
반드시	반드시/MAG
특정하고,	특정/NNG+하/XSV+고/EC+,/SP
목적에	목적/NNG+에/JKB
맞지	맞/VV+지/EC
않게	않/VX+게/EC
되면	되/VV+면/EC
즉시	즉시/NNG
파기),	파기/NNG+)/SS+,/SP
‘정확성의	‘/SS+정확/NNG+성/XSN+의/JKG
원칙’(사용	원칙/NNG+’/SS+(/SS+사용/NNG
목적과	목적/NNG+과/JKB
정확하게	정확/NNG+하/XSA+게/EC
맞아야	맞/VV+아야/EC
하고	하/VX+고/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
범위	범위/NNG
안에서만	안/NNG+에서/JKB+만/JX
보관)	보관/NNG+)/SS
등의	등/NNB+의/JKG
원칙이	원칙/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.166.7.4
이 가이드라인은 세계 각국의 개인정보 보호 법제와 정보통신 정책의 모태가 됐다.

이	이/MMD
가이드라인은	가이드라인/NNG+은/JX
세계	세계/NNG
각국의	각국/NNG+의/JKG
개인정보	개인/NNG+정보/NNG
보호	보호/NNG
법제와	법제/NNG+와/JKB
정보통신	정보/NNG+통신/NNG
정책의	정책/NNG+의/JKG
모태가	모태/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.166.8.1
지난해 12월 유엔 총회에서는 ‘디지털 시대의 프라이버시권’ 결의안이 통과됐다.

지난해	지난해/NNG
12월	12/SN+월/NNB
유엔	유엔/NNP
총회에서는	총회/NNG+에서/JKB+는/JX
‘디지털	‘/SS+디지털/NNG
시대의	시대/NNG+의/JKG
프라이버시권’	프라이버시/NNG+권/XSN+’/SS
결의안이	결의안/NNG+이/JKS
통과됐다.	통과/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.166.8.2
국가별 테러 대응 조처가 국제인권법에서 보장한 인권과 기본적 자유를 훼손해서는 안 된다는 경고와 함께, 각 국가가 시민들의 프라이버시권을 존중·보호할 것을 촉구하는 내용이 담겼다.

국가별	국가/NNG+별/XSN
테러	테러/NNG
대응	대응/NNG
조처가	조처/NNG+가/JKS
국제인권법에서	국제/NNG+인권법/NNG+에서/JKB
보장한	보장/NNG+하/XSV+ㄴ/ETM
인권과	인권/NNG+과/JC
기본적	기본/NNG+적/XSN
자유를	자유/NNG+를/JKO
훼손해서는	훼손/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
경고와	경고/NNG+와/JKB
함께,	함께/MAG+,/SP
각	각/MMD
국가가	국가/NNG+가/JKS
시민들의	시민/NNG+들/XSN+의/JKG
프라이버시권을	프라이버시/NNG+권/XSN+을/JKO
존중·보호할	존중/NNG+·/SP+보호/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
내용이	내용/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.166.8.3
경제정의실천시민연합, 오픈넷 등 국내 시민단체들은 성명서를 내어 한국 정부의 결의안 이행을 촉구했다.

경제정의실천시민연합,	경제정의실천시민연합/NNP+,/SP
오픈넷	오픈넷/NNP
등	등/NNB
국내	국내/NNG
시민단체들은	시민/NNG+단체/NNG+들/XSN+은/JX
성명서를	성명서/NNG+를/JKO
내어	내/VV+어/EC
한국	한국/NNP
정부의	정부/NNG+의/JKG
결의안	결의안/NNG
이행을	이행/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.166.8.4
“국가정보원이 무분별하게 시민을 감시할 수 없도록 개혁하고, 여전히 선거 시기면 적용되는 인터넷실명제를 폐지해야 한다.”

“국가정보원이	“/SS+국가/NNG+정보원/NNG+이/JKS
무분별하게	무/XPN+분별/NNG+하/XSA+게/EC
시민을	시민/NNG+을/JKO
감시할	감시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
개혁하고,	개혁/NNG+하/XSV+고/EC+,/SP
여전히	여전히/MAG
선거	선거/NNG
시기면	시기/NNG+이/VCP+면/EC
적용되는	적용/NNG+되/XSV+는/ETM
인터넷실명제를	인터넷/NNG+실명/NNG+제/XSN+를/JKO
폐지해야	폐지/NNG+하/XSV+아야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


