# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.355
metadata : {}


# id : NWRW1800000046.355.1.1
[공무원연금 개혁 무산] 朴대통령 "정치권, 黨이해관계 떠나 국민 위한 개혁을"

[공무원연금	[/SS+공무원/NNG+연금/NNG
해봐야	하/VV+아/EC+보/VX+아야/EC
무슨	무슨/MMD
득이	득/NNG+이/JKC
되겠느냐.	되/VV+겠/EP+느냐/EF+./SF


# id : NWRW1800000046.355.5.4
그 자체가 별 의미가 없어서 대응하지 않겠다"고 말했다.

그	그/MMD
자체가	자체/NNG+가/JKS
별	별/MMA
의미가	의미/NNG+가/JKS
없어서	없/VA+어서/EC
대응하지	대응/NNG+하/XSV+지/EC
않겠다"고	않/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


