# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.211
metadata : {}


# id : NWRW1800000038.211.1.1
'범행 보조→주도' 공소장 변경에 SK 최재원(부회장) 반발

'범행	'/SS+범행/NNG
위해'	위하/VV+아/EC+'/SS
횡령했다고	횡령/NNG+하/XSV+았/EP+다고/EC
기재돼	기재/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
공소장과는	공소장/NNG+과/JKB+는/JX
달리	달리/MAG
김원홍씨의	김원홍/NNP+씨/NNB+의/JKG
존재가	존재/NNG+가/JKS
명확히	명확히/MAG
드러나고,	드러나/VV+고/EC+,/SP
최재원	최재원/NNP
부회장이	부회장/NNG+이/JKS
범행을	범행/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
구체화됐다.	구체/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.211.7.1
이에 대해 최재원 부회장 변호인은 "최 부회장의 역할이 보조적 역할에서 주도적 역할로 바뀌었다"며 "종전의 공소 사실과 예비적 공소 사실이 모순되고 검사가 그동안 제출한 의견서와도 대부분 양립하지 않는다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
최재원	최재원/NNP
부회장	부회장/NNG
변호인은	변호인/NNG+은/JX
"최	"/SS+최/NNP
부회장의	부회장/NNG+의/JKG
역할이	역할/NNG+이/JKS
보조적	보조/NNG+적/XSN
역할에서	역할/NNG+에서/JKB
주도적	주도/NNG+적/XSN
역할로	역할/NNG+로/JKB
바뀌었다"며	바뀌/VV+었/EP+다/EF+"/SS+며/EC
"종전의	"/SS+종전/NNG+의/JKG
공소	공소/NNG
사실과	사실/NNG+과/JC
예비적	예비/NNG+적/XSN
사실이	사실/NNG+이/JKS
모순되고	모순/NNG+되/XSV+고/EC
검사가	검사/NNG+가/JKS
그동안	그동안/NNG
제출한	제출/NNG+하/XSV+ㄴ/ETM
의견서와도	의견서/NNG+와/JKB+도/JX
대부분	대/XPN+부분/NNG
양립하지	양립/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.211.7.2
검찰은 A라고 주장하다가 B라는 공소 사실을 제시하는데 왜 A이고 B인지 밝혀 달라"고 요구했다.

검찰은	검찰/NNG+은/JX
A라고	A/SL+이/VCP+라고/EC
주장하다가	주장/NNG+하/XSV+다가/EC
B라는	B/SL+이/VCP+라는/ETM
공소	공소/NNG
사실을	사실/NNG+을/JKO
제시하는데	제시/NNG+하/XSV+는데/EC
왜	왜/MAG
A이고	A/SL+이/VCP+고/EC
B인지	B/SL+이/VCP+ㄴ지/EF
밝혀	밝히/VV+어/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.211.7.3
이어 김 전 대표에 대한 추가 심리를 재판부에 요청했다.

이어	이어/MAG
김	김/NNP
전	전/MMD
대표에	대표/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추가	추가/NNG
심리를	심리/NNG+를/JKO
재판부에	재판부/NNG+에/JKB
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.211.8.1
검찰은 "기존 심리 내용을 바탕으로 공소장이 변경된 것이기 때문에 추가 심리는 필요하지 않다"고 밝혔지만, 재판부는 다음 달 3일 최 부회장 등의 변론을 듣기로 했다.

검찰은	검찰/NNG+은/JX
"기존	"/SS+기존/NNG
심리	심리/NNG
내용을	내용/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
공소장이	공소장/NNG+이/JKS
변경된	변경/NNG+되/XSV+ㄴ/ETM
것이기	것/NNB+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
추가	추가/NNG
심리는	심리/NNG+는/JX
필요하지	필요/NNG+하/XSA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
재판부는	재판부/NNG+는/JX
다음	다음/NNG
달	달/NNG
3일	3/SN+일/NNB
최	최/NNP
부회장	부회장/NNG
등의	등/NNB+의/JKG
변론을	변론/NNG+을/JKO
듣기로	듣/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.211.9.1
한편 최태원 회장 변호인은 "공범인 김원홍(전 SK 고문)의 진술을 듣지 않고서는 실체적 진실을 가릴 수 없다"며 "검찰과 법무부가 (지난달 말 대만에서 붙잡힌) 김원홍의 국내 송환을 위해 어떤 절차를 밟고 있는지 밝혀달라"고 주장했다.

한편	한편/MAG
최태원	최태원/NNP
회장	회장/NNG
변호인은	변호인/NNG+은/JX
"공범인	"/SS+공범/NNG+이/VCP+ㄴ/ETM
김원홍(전	김원홍/NNP+(/SS+전/MMD
SK	SK/SL
고문)의	고문/NNG+)/SS+의/JKG
진술을	진술/NNG+을/JKO
듣지	듣/VV+지/EC
않고서는	않/VX+고서/EC+는/JX
실체적	실체/NNG+적/XSN
진실을	진실/NNG+을/JKO
가릴	가리/VV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
"검찰과	"/SS+검찰/NNG+과/JC
법무부가	법무부/NNG+가/JKS
(지난달	(/SS+지난달/NNG
말	말/NNB
대만에서	대만/NNP+에서/JKB
붙잡힌)	붙잡히/VV+ㄴ/ETM+)/SS
김원홍의	김원홍/NNP+의/JKG
국내	국내/NNG
송환을	송환/NNG+을/JKO
위해	위하/VV+아/EC
어떤	어떤/MMD
절차를	절차/NNG+를/JKO
밟고	밟/VV+고/EC
있는지	있/VX+는지/EF
밝혀달라"고	밝히/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.211.9.2
그러나 재판부는 "김원홍의 입장은 녹음 파일을 통해 이미 명백해졌기 때문에 증인으로 채택할 필요가 없다"고 밝혔다.

그러나	그러나/MAJ
재판부는	재판부/NNG+는/JX
"김원홍의	"/SS+김원홍/NNP+의/JKG
입장은	입장/NNG+은/JX
녹음	녹음/NNG
파일을	파일/NNG+을/JKO
통해	통하/VV+아/EC
이미	이미/MAG
명백해졌기	명백하/VA+아/EC+지/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
증인으로	증인/NNG+으로/JKB
채택할	채택/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.211.10.1
이에 대해 SK 측은 "핵심 증인 없이 항소심 선고를 할 경우 실체적 진실을 밝히는 데 심각한 제약이 따를 수밖에 없다"며 불만을 표시했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
SK	SK/SL
측은	측/NNB+은/JX
"핵심	"/SS+핵심/NNG
증인	증인/NNG
없이	없이/MAG
항소심	항소심/NNG
선고를	선고/NNG+를/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
실체적	실체/NNG+적/XSN
진실을	진실/NNG+을/JKO
밝히는	밝히/VV+는/ETM
데	데/NNB
심각한	심각하/VA+ㄴ/ETM
제약이	제약/NNG+이/JKS
따를	따르/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"며	없/VA+다/EF+"/SS+며/EC
불만을	불만/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


