# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.67
metadata : {}


# id : NWRW1800000053.67.1.1
英, 정책 목표-상세 비용까지 공개 의무화

英,	英/SH+,/SP
발간한다.	발간/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.67.3.4
최근에 나온 공약집들은 분량이 100쪽이 넘을 만큼 자세하다.

최근에	최근/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
공약집들은	공약집/NNG+들/XSN+은/JX
분량이	분량/NNG+이/JKS
100쪽이	100/SN+쪽/NNG+이/JKS
넘을	넘/VV+을/ETM
만큼	만큼/NNB
자세하다.	자세하/VA+다/EF+./SF


# id : NWRW1800000053.67.3.5
각 정당은 집권할 경우 5년 동안 추진할 주요 정책들의 실행기간과 단계별 목표 등을 명확하게 공개한다.

각	각/MMD
정당은	정당/NNG+은/JX
집권할	집권/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
5년	5/SN+년/NNB
동안	동안/NNG
추진할	추진/NNG+하/XSV+ㄹ/ETM
주요	주요/NNG
정책들의	정책/NNG+들/XSN+의/JKG
실행기간과	실행/NNG+기간/NNG+과/JC
단계별	단계/NNG+별/XSN
목표	목표/NNG
등을	등/NNB+을/JKO
명확하게	명확하/VA+게/EC
공개한다.	공개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.67.3.6
언론과 외부 싱크탱크들은 이를 평가하고 검증하는 역할을 맡는다.

언론과	언론/NNG+과/JC
외부	외부/NNG
싱크탱크들은	싱크탱크/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
평가하고	평가/NNG+하/XSV+고/EC
검증하는	검증/NNG+하/XSV+는/ETM
역할을	역할/NNG+을/JKO
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000053.67.4.1
호주는 의회 안에 있는 독립기관인 의회예산처가 선거 기간과 상관없이 정책비용의 재정추계를 지원한다.

호주는	호주/NNP+는/JX
의회	의회/NNG
안에	안/NNG+에/JKB
있는	있/VA+는/ETM
독립기관인	독립/NNG+기관/NNG+이/VCP+ㄴ/ETM
의회예산처가	의회/NNG+예산처/NNG+가/JKS
선거	선거/NNG
기간과	기간/NNG+과/JKB
상관없이	상관없이/MAG
정책비용의	정책/NNG+비용/NNG+의/JKG
재정추계를	재정/NNG+추계/NNG+를/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.67.4.2
정당이나 의원들이 정책 비용을 산출하고 예산을 분석할 때 필요한 정보를 요청하면 제공하는 방식이다.

정당이나	정당/NNG+이나/JC
의원들이	의원/NNG+들/XSN+이/JKS
정책	정책/NNG
비용을	비용/NNG+을/JKO
산출하고	산출/NNG+하/XSV+고/EC
예산을	예산/NNG+을/JKO
분석할	분석/NNG+하/XSV+ㄹ/ETM
때	때/NNG
필요한	필요/NNG+하/XSA+ㄴ/ETM
정보를	정보/NNG+를/JKO
요청하면	요청/NNG+하/XSV+면/EC
제공하는	제공/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.67.4.3
선거 준비 기간을 제외하고는 여당, 야당은 물론이고 무소속 의원도 이용할 수 있다.

선거	선거/NNG
준비	준비/NNG
기간을	기간/NNG+을/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
여당,	여당/NNG+,/SP
야당은	야당/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
무소속	무/XPN+소속/NNG
의원도	의원/NNG+도/JX
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.67.4.4
선거가 끝나면 다음 선거에서 평가 자료로 활용할 수 있도록 정당별 선거공약의 정책비용을 정리한 보고서를 만든다.

선거가	선거/NNG+가/JKS
끝나면	끝나/VV+면/EC
다음	다음/NNG
선거에서	선거/NNG+에서/JKB
평가	평가/NNG
자료로	자료/NNG+로/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
정당별	정당/NNG+별/XSN
선거공약의	선거/NNG+공약/NNG+의/JKG
정책비용을	정책/NNG+비용/NNG+을/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
보고서를	보고서/NNG+를/JKO
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.67.5.1
네덜란드의 정당들도 선거를 앞두고 중앙정부 산하의 중앙계획국(CPB)에 재정 추계를 의뢰할 수 있다.

네덜란드의	네덜란드/NNP+의/JKG
정당들도	정당/NNG+들/XSN+도/JX
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
중앙정부	중앙/NNG+정부/NNG
산하의	산하/NNG+의/JKG
중앙계획국(CPB)에	중앙/NNG+계획국/NNG+(/SS+CPB/SL+)/SS+에/JKB
재정	재정/NNG
추계를	추계/NNG+를/JKO
의뢰할	의뢰/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.67.5.2
의무사항은 아니지만 유권자들에게 신뢰를 받기 위해 재정 추계치를 공개하는 것이 당연하게 여겨진다.

의무사항은	의무/NNG+사항/NNG+은/JX
아니지만	아니/VCN+지만/EC
유권자들에게	유권자/NNG+들/XSN+에게/JKB
신뢰를	신뢰/NNG+를/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
재정	재정/NNG
추계치를	추계/NNG+치/XSN+를/JKO
공개하는	공개/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
당연하게	당연/NNG+하/XSA+게/EC
여겨진다.	여기/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.67.5.3
CPB는 정책별로 직접 소요되는 비용은 물론 거시경제나 고용 등에 미치는 중장기 효과까지 평가해준다.

CPB는	CPB/SL+는/JX
정책별로	정책/NNG+별/XSN+로/JKB
직접	직접/MAG
소요되는	소요/NNG+되/XSV+는/ETM
비용은	비용/NNG+은/JX
물론	물론/MAG
거시경제나	거시/NNG+경제/NNG+나/JC
고용	고용/NNG
등에	등/NNB+에/JKB
미치는	미치/VV+는/ETM
중장기	중장기/NNG
효과까지	효과/NNG+까지/JX
평가해준다.	평가/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.67.5.4
올해 3월 열린 총선을 준비하면서 CPB는 1년 전인 지난해 3월 이미 경제전망보고서를 발간했고 각 정당은 이를 바탕으로 선거공약을 확정해 가을경 재정추계보고서를 냈다.

올해	올해/NNG
3월	3/SN+월/NNB
열린	열리/VV+ㄴ/ETM
총선을	총선/NNG+을/JKO
준비하면서	준비/NNG+하/XSV+면서/EC
CPB는	CPB/SL+는/JX
1년	1/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
지난해	지난해/NNG
이미	이미/MAG
경제전망보고서를	경제/NNG+전망/NNG+보고서/NNG+를/JKO
발간했고	발간/NNG+하/XSV+았/EP+고/EC
각	각/MMD
정당은	정당/NNG+은/JX
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
선거공약을	선거/NNG+공약/NNG+을/JKO
확정해	확정/NNG+하/XSV+아/EC
가을경	가을/NNG+경/XSN
재정추계보고서를	재정/NNG+추계/NNG+보고서/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.67.6.1
하지만 우리나라는 후보자별로 총선거비용 제한액만 규정돼 있을 뿐 구체적인 정책공약의예산을 공개할 의무가 없다.

하지만	하지만/MAJ
우리나라는	우리나라/NNG+는/JX
후보자별로	후보자/NNG+별/XSN+로/JKB
총선거비용	총선거/NNG+비용/NNG
제한액만	제한액/NNG+만/JX
규정돼	규정/NNG+되/XSV+어/EC
있을	있/VX+을/ETM
뿐	뿐/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
정책공약의예산을	정책/NNG+공약/NNG+의/JKG+예산/NNG+을/JKO
공개할	공개/NNG+하/XSV+ㄹ/ETM
의무가	의무/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.67.6.2
2012년 총선을 앞두고는 기획재정부가 정당별로 복지공약에 필요한 예산을 산정하고 발표해 선거관리위원회로부터 경고를 받기도 했다.

2012년	2012/SN+년/NNB
총선을	총선/NNG+을/JKO
앞두고는	앞두/VV+고/EC+는/JX
기획재정부가	기획/NNG+재정부/NNG+가/JKS
정당별로	정당/NNG+별/XSN+로/JKB
복지공약에	복지/NNG+공약/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
예산을	예산/NNG+을/JKO
산정하고	산정/NNG+하/XSV+고/EC
발표해	발표/NNG+하/XSV+아/EC
선거관리위원회로부터	선거/NNG+관리/NNG+위원회/NNG+로부터/JKB
경고를	경고/NNG+를/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.67.7.1
중앙선거관리위원회는 지난해 8월 정당들이 선거공약과 추계비용을 함께 발표하도록 의무화하는 내용을 담은 공직선거법 개정 의견을 국회 정치발전특별위원회에 제출했지만 제대로 논의도 되지 못했다.

중앙선거관리위원회는	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG+는/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
정당들이	정당/NNG+들/XSN+이/JKS
선거공약과	선거/NNG+공약/NNG+과/JC
추계비용을	추계/NNG+비용/NNG+을/JKO
함께	함께/MAG
발표하도록	발표/NNG+하/XSV+도록/EC
의무화하는	의무/NNG+화/XSN+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
공직선거법	공직/NNG+선거법/NNG
개정	개정/NNG
의견을	의견/NNG+을/JKO
국회	국회/NNG
정치발전특별위원회에	정치/NNG+발전/NNG+특별/NNG+위원회/NNG+에/JKB
제출했지만	제출/NNG+하/XSV+았/EP+지만/EC
제대로	제대로/MAG
논의도	논의/NNG+도/JX
되지	되/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.67.7.2
건국대 이현출 교수는 “지금처럼 ‘이쪽 예산을 아껴 저쪽에 쓰겠다’는 식의 두루뭉술한 정보는 유권자의 판단에 도움이 되지 않는다”며 “선거공보물에 정책 실행 방안과 재정추계 등 구체적 정보를 담아야 한다”고 말했다.

건국대	건국대/NNP
이현출	이현출/NNP
교수는	교수/NNG+는/JX
“지금처럼	“/SS+지금/NNG+처럼/JKB
‘이쪽	‘/SS+이쪽/NP
예산을	예산/NNG+을/JKO
아껴	아끼/VV+어/EC
저쪽에	저쪽/NP+에/JKB
쓰겠다’는	쓰/VV+겠/EP+다/EF+’/SS+는/ETM
식의	식/NNB+의/JKG
두루뭉술한	두루뭉술하/VA+ㄴ/ETM
정보는	정보/NNG+는/JX
유권자의	유권자/NNG+의/JKG
판단에	판단/NNG+에/JKB
도움이	도움/NNG+이/JKC
되지	되/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“선거공보물에	“/SS+선거/NNG+공보물/NNG+에/JKB
정책	정책/NNG
실행	실행/NNG
방안과	방안/NNG+과/JC
재정추계	재정/NNG+추계/NNG
등	등/NNB
구체적	구체/NNG+적/XSN
정보를	정보/NNG+를/JKO
담아야	담/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.67.8.1
이번 대선에 출마한 후보들의 선거공약서와 공보물, 10대 공약은 다음 달 9일까지 중앙선관위 정책공약알리미 홈페이지(policy.nec.go.kr)에서 확인할 수 있다.

이번	이번/NNG
대선에	대선/NNG+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
후보들의	후보/NNG+들/XSN+의/JKG
선거공약서와	선거/NNG+공약서/NNG+와/JC
공보물,	공보물/NNG+,/SP
10대	10/SN+대/NNG
공약은	공약/NNG+은/JX
다음	다음/NNG
달	달/NNG
9일까지	9/SN+일/NNB+까지/JX
중앙선관위	중앙/NNG+선관위/NNG
정책공약알리미	정책/NNG+공약/NNG+알리미/NNG
홈페이지(policy.nec.go.kr)에서	홈페이지/NNG+(/SS+policy/SL+./SP+nec/SL+./SP+go/SL+./SP+kr/SL+)/SS+에서/JKB
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


