# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.103
metadata : {}


# id : NWRW1800000053.103.1.1
[지금 칸에서는]홍상수 ‘그 후’ 장외점수 1등 “좋은 예감”

[지금	[/SS+지금/MAG
점수라는	점수/NNG+이/VCP+라는/ETM
데는	데/NNB+는/JX
의미가	의미/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.103.4.5
스페인 영화전문 사이트 토다스 라스 크리티카스도 ‘그 후’에 대해 10점 만점에 8.13이라는 높은 점수를 매겼다.

스페인	스페인/NNP
영화전문	영화/NNG+전문/NNG
사이트	사이트/NNG
토다스	토다스/NNP
라스	라스/NNP
크리티카스도	크리티카스/NNP+도/JX
‘그	‘/SS+그/MMD
후’에	후/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
10점	10/SN+점/NNB
만점에	만점/NNG+에/JKB
8.13이라는	8/SN+./SP+13/SN+이/VCP+라는/ETM
높은	높/VA+은/ETM
점수를	점수/NNG+를/JKO
매겼다.	매기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.103.4.6
다만 “홍상수의 팬들에게 어필할 영화”(스크린데일리)라거나 “단골 소재들을 다르게 변주한 것 같다”(할리우드리포터)는, 전작들과의 유사성을 지적하는 의견도 나왔다.

다만	다만/MAG
“홍상수의	“/SS+홍상수/NNP+의/JKG
팬들에게	팬/NNG+들/XSN+에게/JKB
어필할	어필/NNG+하/XSV+ㄹ/ETM
영화”(스크린데일리)라거나	영화/NNG+”/SS+(/SS+스크린데일리/NNP+)/SS+이/VCP+라거나/EC
“단골	“/SS+단골/NNG
소재들을	소재/NNG+들/XSN+을/JKO
다르게	다르/VA+게/EC
변주한	변주/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”(할리우드리포터)는,	같/VA+다/EF+”/SS+(/SS+할리우드리포터/NNP+)/SS+는/JX+,/SP
전작들과의	전작/NNG+들/XSN+과/JKB+의/JKG
유사성을	유사/NNG+성/XSN+을/JKO
지적하는	지적/NNG+하/XSV+는/ETM
의견도	의견/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.103.5.1
‘그 후’는 자신의 출판사 직원과 사랑에 빠졌다가 헤어진 뒤 괴로워하는 유부남 봉완(권해효)과 그의 아내(조윤희), 새로 온 여직원 아름(김민희), 내연녀 창숙(김새벽)이 겪는 일을 다뤘다.

‘그	‘/SS+그/MMD
후’는	후/NNG+’/SS+는/JX
자신의	자신/NNG+의/JKG
출판사	출판사/NNG
직원과	직원/NNG+과/JKB
사랑에	사랑/NNG+에/JKB
빠졌다가	빠지/VV+었/EP+다가/EC
헤어진	헤어지/VV+ㄴ/ETM
뒤	뒤/NNG
괴로워하는	괴로워하/VV+는/ETM
유부남	유부남/NNG
봉완(권해효)과	봉완/NNP+(/SS+권해효/NNP+)/SS+과/JC
그의	그/NP+의/JKG
아내(조윤희),	아내/NNG+(/SS+조윤희/NNP+)/SS+,/SP
새로	새로/MAG
온	오/VV+ㄴ/ETM
여직원	여직원/NNG
아름(김민희),	아름/NNP+(/SS+김민희/NNP+)/SS+,/SP
내연녀	내연녀/NNG
창숙(김새벽)이	창숙/NNP+(/SS+김새벽/NNP+)/SS+이/JKS
겪는	겪/VV+는/ETM
일을	일/NNG+을/JKO
다뤘다.	다루/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.103.6.1
한편 같은 날 미드나이트 스크리닝 부문에서 공식 상영된 정병길 감독의 ‘악녀’ 기자간담회가 열렸다.

한편	한편/MAG
같은	같/VA+은/ETM
날	날/NNG
미드나이트	미드나이트/NNG
스크리닝	스크리닝/NNG
부문에서	부문/NNG+에서/JKB
공식	공식/NNG
상영된	상영/NNG+되/XSV+ㄴ/ETM
정병길	정병길/NNP
감독의	감독/NNG+의/JKG
‘악녀’	‘/SS+악녀/NNP+’/SS
기자간담회가	기자/NNG+간담회/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.103.6.2
여자 킬러 주인공 역을 맡은 김옥빈은 “행복해서 오늘이 끝나지 않았으면 좋겠다고 생각했다”면서 “오늘도 하루 종일 외신 인터뷰를 했는데 ‘8년 전 영화 박쥐의 뱀파이어가 무서운 킬러가 돼 돌아왔다.

여자	여자/NNG
킬러	킬러/NNG
주인공	주인공/NNG
역을	역/NNG+을/JKO
맡은	맡/VV+은/ETM
김옥빈은	김옥빈/NNP+은/JX
“행복해서	“/SS+행복/NNG+하/XSA+아서/EC
오늘이	오늘/NNG+이/JKS
끝나지	끝나/VV+지/EC
않았으면	않/VX+았/EP+으면/EC
좋겠다고	좋/VA+겠/EP+다고/EC
생각했다”면서	생각/NNG+하/XSV+았/EP+다/EF+”/SS+면서/EC
“오늘도	“/SS+오늘/NNG+도/JX
하루	하루/NNG
종일	종일/NNG
외신	외신/NNG
인터뷰를	인터뷰/NNG+를/JKO
했는데	하/VV+았/EP+는데/EC
‘8년	‘/SS+8/SN+년/NNB
전	전/NNG
영화	영화/NNG
박쥐의	박쥐/NNG+의/JKG
뱀파이어가	뱀파이어/NNG+가/JKS
무서운	무섭/VA+ㄴ/ETM
킬러가	킬러/NNG+가/JKC
돼	되/VV+어/EC
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.103.6.3
고생했고 멋있다’고 해줬다”며 해외 반응을 전했다.

고생했고	고생/NNG+하/XSV+았/EP+고/EC
멋있다’고	멋있/VA+다/EF+’/SS+고/JKQ
해줬다”며	하/VV+아/EC+주/VX+었/EP+다/EF+”/SS+며/EC
해외	해외/NNG
반응을	반응/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.103.7.1
영화는 ‘우린 액션 배우다’(2008년) ‘내가 살인범이다’(2012년) 등 액션 장르에서 두각을 나타낸 정병길 감독이 연출했다.

영화는	영화/NNG+는/JX
‘우린	‘/SS+우리/NP+ㄴ/JX
액션	액션/NNG
배우다’(2008년)	배우/VV+다/EF+’/SS+(/SS+2008/SN+년/NNB+)/SS
‘내가	‘/SS+내/NP+가/JKS
살인범이다’(2012년)	살인범/NNG+이/VCP+다/EF+’/SS+(/SS+2012/SN+년/NNB+)/SS
등	등/NNB
장르에서	장르/NNG+에서/JKB
두각을	두각/NNG+을/JKO
나타낸	나타내/VV+ㄴ/ETM
정병길	정병길/NNP
감독이	감독/NNG+이/JKS
연출했다.	연출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.103.7.2
6개월간 액션스쿨을 수료할 만큼 액션에 대한 애정이 많은 감독답게 이번 영화에서도 총과 칼, 도끼 등을 자유자재로 활용하는 장면이 돋보인다.

6개월간	6/SN+개월/NNB+간/XSN
액션스쿨을	액션/NNG+스쿨/NNG+을/JKO
수료할	수료/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
액션에	액션/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
애정이	애정/NNG+이/JKS
많은	많/VA+은/ETM
감독답게	감독/NNG+답/XSA+게/EC
이번	이번/NNG
영화에서도	영화/NNG+에서/JKB+도/JX
총과	총/NNG+과/JC
칼,	칼/NNG+,/SP
도끼	도끼/NNG
등을	등/NNB+을/JKO
자유자재로	자유자재/NNG+로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
장면이	장면/NNG+이/JKS
돋보인다.	돋보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.103.7.3
정 감독은 “좋은 여배우가 많은데 액션뿐 아니라 여성을 내세운 영화 자체가 없다는 갈증이 있었다”며 “여성 액션을 한다고 하니까 다들 힘들지 않겠느냐며 만류했지만 그래서 청개구리처럼 더 하고 싶었다”고 했다.

정	정/NNP
감독은	감독/NNG+은/JX
“좋은	“/SS+좋/VA+은/ETM
여배우가	여배우/NNG+가/JKS
많은데	많/VA+은데/EC
액션뿐	액션/NNG+뿐/JX
아니라	아니/VCN+라/EC
여성을	여성/NNG+을/JKO
내세운	내세우/VV+ㄴ/ETM
영화	영화/NNG
자체가	자체/NNG+가/JKS
없다는	없/VA+다는/ETM
갈증이	갈증/NNG+이/JKS
있었다”며	있/VV+었/EP+다/EF+”/SS+며/EC
“여성	“/SS+여성/NNG
액션을	액션/NNG+을/JKO
한다고	하/VV+ㄴ다고/EC
하니까	하/VV+니까/EC
다들	다/MAG+들/XSN
힘들지	힘들/VA+지/EC
않겠느냐며	않/VX+겠/EP+느냐며/EC
만류했지만	만류/NNG+하/XSV+았/EP+지만/EC
그래서	그래서/MAJ
청개구리처럼	청개구리/NNG+처럼/JKB
더	더/MAG
하고	하/VV+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


