# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.255
metadata : {}


# id : NWRW1800000029.255.1.1
靑-조현오 경찰청장, ‘디도스 돈거래’ 은폐 논란에 “그런일 없다”

靑-조현오	靑/SH+-/SO+조현오/NNP
관련자들	관련자/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
1000만	1000/SN+만/NR
원의	원/NNB+의/JKG
돈거래가	돈거래/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
사실을	사실/NNG+을/JKO
파악한	파악/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
7일	7/SN+일/NNB
오전	오전/NNG
김	김/NNP
수석에게	수석/NNG+에게/JKB
보고했고,	보고/NNG+하/XSV+았/EP+고/EC+,/SP
오후에는	오후/NNG+에/JKB+는/JX
청와대	청와대/NNP
행정관이	행정관/NNG+이/JKS
사건	사건/NNG
연루자들과	연루자/NNG+들/XSN+과/JKB
술자리를	술자리/NNG+를/JKO
함께한	함께/MAG+하/XSV+ㄴ/ETM
파악해	파악/NNG+하/XSV+아/EC
청와대에	청와대/NNP+에/JKB
보고했다는	보고/NNG+하/XSV+았/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.255.4.2
김 수석이 전화를 건 시점이 보고 직후여서 청와대가 경찰 수사에 영향력을 행사했을 가능성이 높아 보인다는 설명이다.

김	김/NNP
수석이	수석/NNG+이/JKS
전화를	전화/NNG+를/JKO
건	걸/VV+ㄴ/ETM
시점이	시점/NNG+이/JKS
보고	보고/NNG
직후여서	직후/NNG+이/VCP+어서/EC
청와대가	청와대/NNP+가/JKS
경찰	경찰/NNG
수사에	수사/NNG+에/JKB
영향력을	영향력/NNG+을/JKO
행사했을	행사/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아	높/VA+아/EC
보인다는	보이/VV+ㄴ다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.255.5.1
이에 대해 조 청장은 통화 사실은 인정하면서도 외압 의혹은 부인했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
조	조/NNP
청장은	청장/NNG+은/JX
통화	통화/NNG
사실은	사실/NNG+은/JX
인정하면서도	인정/NNG+하/XSV+면서/EC+도/JX
외압	외압/NNG
의혹은	의혹/NNG+은/JX
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.255.5.2
조 청장은 “청와대와 2번 통화했지만 외압은 전혀 없다”며 “첫 번째 통화에서는 박모 행정관이 저녁 자리에 참석했는지 사실 관계를 물어 확인해줬고 두 번째 통화에서는 돈거래에 관해 사실 확인을 물어 수사팀에 확인해 ‘단순한 개인 간 거래로 보인다’고 말해줬다”고 해명했다.

조	조/NNP
청장은	청장/NNG+은/JX
“청와대와	“/SS+청와대/NNP+와/JKB
2번	2/SN+번/NNB
통화했지만	통화/NNG+하/XSV+았/EP+지만/EC
외압은	외압/NNG+은/JX
전혀	전혀/MAG
없다”며	없/VA+다/EF+”/SS+며/EC
“첫	“/SS+첫/MMN
번째	번/NNB+째/XSN
통화에서는	통화/NNG+에서/JKB+는/JX
박모	박/NNP+모/NP
행정관이	행정관/NNG+이/JKS
저녁	저녁/NNG
자리에	자리/NNG+에/JKB
참석했는지	참석/NNG+하/XSV+았/EP+는지/EC
사실	사실/MAG
관계를	관계/NNG+를/JKO
물어	묻/VV+어/EC
확인해줬고	확인/NNG+하/XSV+아/EC+주/VX+었/EP+고/EC
두	두/MMN
돈거래에	돈거래/NNG+에/JKB
관해	관하/VV+아/EC
확인을	확인/NNG+을/JKO
수사팀에	수사/NNG+팀/NNG+에/JKB
확인해	확인/NNG+하/XSV+아/EC
‘단순한	‘/SS+단순/NNG+하/XSA+ㄴ/ETM
개인	개인/NNG
간	간/NNB
거래로	거래/NNG+로/JKB
보인다’고	보이/VV+ㄴ다/EF+’/SS+고/JKQ
말해줬다”고	말/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.255.5.3
청와대도 17일 해명자료를 내 “디도스 공격 사건과 관련해 어떠한 영향력을 행사한 바가 없다”며 “해당 언론사에 대해서는 적절히 대응할 것”이라고 밝혔다.

청와대도	청와대/NNP+도/JX
17일	17/SN+일/NNB
해명자료를	해명/NNG+자료/NNG+를/JKO
내	내/VV+어/EC
“디도스	“/SS+디도스/NNG
공격	공격/NNG
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
어떠한	어떠하/VA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
행사한	행사/NNG+하/XSV+ㄴ/ETM
바가	바/NNB+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“해당	“/SS+해당/NNG
언론사에	언론사/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
적절히	적절히/MAG
대응할	대응/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.255.6.1
한편 서울중앙지검 첨단범죄수사2부(부장 김봉석)는 재·보선 전날 저녁 박희태 국회의장 전 비서 김모 씨와 식사를 함께한 청와대 행정관 박모 씨를 이번 주 중 소환해 조사하기로 했다고 18일 밝혔다.

한편	한편/MAG
서울중앙지검	서울중앙지검/NNP
첨단범죄수사2부(부장	첨단/NNG+범죄/NNG+수사/NNG+2/SN+부/NNG+(/SS+부장/NNG
김봉석)는	김봉석/NNP+)/SS+는/JX
재·보선	재·보선/NNG
전날	전날/NNG
저녁	저녁/NNG
박희태	박희태/NNP
국회의장	국회/NNG+의장/NNG
전	전/MMD
비서	비서/NNG
김모	김/NNP+모/NP
씨와	씨/NNB+와/JKB
식사를	식사/NNG+를/JKO
함께한	함께/MAG+하/XSV+ㄴ/ETM
청와대	청와대/NNP
행정관	행정관/NNG
박모	박/NNP+모/NP
씨를	씨/NNB+를/JKO
이번	이번/NNG
주	주/NNG
중	중/NNB
소환해	소환/NNG+하/XSV+아/EC
조사하기로	조사/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


