# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.401
metadata : {}


# id : NWRW1800000046.401.1.1
'테러방지'도 政爭… 관련法 14년째 낮잠

'테러방지'도	'/SS+테러/NNG+방지/NNG+'/SS+도/JX

또	또/MAG
국회	국회/NNG
차원에서도	차원/NNG+에서/JKB+도/JX
17일	17/SN+일/NNB
국방위를	국방위/NNG+를/JKO
열어	열/VV+어/EC
테러	테러/NNG
대비	대비/NNG
실태를	실태/NNG+를/JKO
점검하고,	점검/NNG+하/XSV+고/EC+,/SP
24일에는	24/SN+일/NNB+에/JKB+는/JX
국정원으로부터	국정원/NNG+으로부터/JKB
정보위	정보위/NNG
현안	현안/NNG
보고를	보고/NNG+를/JKO
받기로	받/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.401.5.2
국회 외통위도 조만간 전체 회의를 열어 재외 국민에 대한 안전 확보 방안 등을 논의할 계획이다.

국회	국회/NNG
외통위도	외통위/NNG+도/JX
조만간	조만간/MAG
전체	전체/NNG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
재외	재외/NNG
국민에	국민/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
안전	안전/NNG
확보	확보/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.401.6.1
야당의 반대로 번번이 무산됐던 '테러 방지법'도 다시 추진될 것으로 보인다.

야당의	야당/NNG+의/JKG
반대로	반대/NNG+로/JKB
번번이	번번이/MAG
무산됐던	무산/NNG+되/XSV+었/EP+던/ETM
'테러	'/SS+테러/NNG
방지법'도	방지법/NNG+'/SS+도/JX
다시	다시/MAG
추진될	추진/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.401.6.2
이철우 새누리당 정보위 간사는 "오는 27일 정보위 법안 심사 소위에서 '테러 방지법'을 논의하자고 야당에 제안해 놓은 상태"라고 했다.

이철우	이철우/NNP
새누리당	새누리당/NNP
정보위	정보위/NNG
간사는	간사/NNG+는/JX
"오는	"/SS+오/VV+는/ETM
27일	27/SN+일/NNB
법안	법안/NNG
심사	심사/NNG
소위에서	소위/NNG+에서/JKB
'테러	'/SS+테러/NNG
방지법'을	방지법/NNG+'/SS+을/JKO
논의하자고	논의/NNG+하/XSV+자고/EC
야당에	야당/NNG+에/JKB
제안해	제안/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
상태"라고	상태/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.401.6.3
정부·여당이 발의한 테러 방지법은 대(對)테러 컨트롤타워를 구축하는 '대테러 기본법'과, 인터넷상에서 테러 활동을 감시하는 '사이버 테러 방지법', 금융 정보를 기반으로 테러 활동을 추적하는 'FIU(금융정보분석원)법' 등 크게 세 가지로 구성된다.

정부·여당이	정부/NNG+·/SP+여당/NNG+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
테러	테러/NNG
방지법은	방지법/NNG+은/JX
대(對)테러	대/NA+(/SS+對/SH+)/SS+테러/NNG
컨트롤타워를	컨트롤/NNG+타워/NNG+를/JKO
구축하는	구축/NNG+하/XSV+는/ETM
'대테러	'/SS+대테러/NNG
기본법'과,	기본법/NNG+'/SS+과/JC+,/SP
인터넷상에서	인터넷/NNG+상/XSN+에서/JKB
활동을	활동/NNG+을/JKO
감시하는	감시/NNG+하/XSV+는/ETM
'사이버	'/SS+사이버/NNG
방지법',	방지법/NNG+'/SS+,/SP
금융	금융/NNG
정보를	정보/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
추적하는	추적/NNG+하/XSV+는/ETM
'FIU(금융정보분석원)법'	'/SS+FIU/SL+(/SS+금융/NNG+정보/NNG+분석원/NNG+)/SS+법/NNG+'/SS
등	등/NNB
크게	크/VA+게/EC
세	세/MMN
가지로	가지/NNB+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.401.6.4
'대테러 기본법'과 '사이버 테러 방지법'은 국정원을 대테러 컨트롤타워로 명문화하자는 것이며, FIU법은 현재 검찰·경찰·국민안전처 등 7개 기관에 제공되는 금융 거래 정보를 국정원에도 제공해 테러 방지에 활용토록 하자는 취지다.

'대테러	'/SS+대테러/NNG
기본법'과	기본법/NNG+'/SS+과/JC
'사이버	'/SS+사이버/NNG
테러	테러/NNG
방지법'은	방지법/NNG+'/SS+은/JX
국정원을	국정원/NNG+을/JKO
대테러	대테러/NNG
컨트롤타워로	컨트롤/NNG+타워/NNG+로/JKB
명문화하자는	명문/NNG+화/XSN+하/XSV+자는/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
FIU법은	FIU/SL+법/NNG+은/JX
현재	현재/MAG
검찰·경찰·국민안전처	검찰/NNG+·/SP+경찰/NNG+·/SP+국민/NNG+안전처/NNG
등	등/NNB
7개	7/SN+개/NNB
기관에	기관/NNG+에/JKB
제공되는	제공/NNG+되/XSV+는/ETM
금융	금융/NNG
거래	거래/NNG
정보를	정보/NNG+를/JKO
국정원에도	국정원/NNG+에/JKB+도/JX
제공해	제공/NNG+하/XSV+아/EC
방지에	방지/NNG+에/JKB
활용토록	활용/NNG+하/XSV+도록/EC
하자는	하/VV+자는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.401.6.5
하지만 세 가지 법안 모두 야당이 "국정원의 사찰 우려가 크다"며 반대하고 있다.

하지만	하지만/MAJ
세	세/MMN
가지	가지/NNB
법안	법안/NNG
모두	모두/MAG
야당이	야당/NNG+이/JKS
"국정원의	"/SS+국정원/NNG+의/JKG
사찰	사찰/NNG
우려가	우려/NNG+가/JKS
크다"며	크/VA+다/EF+"/SS+며/EC
반대하고	반대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.401.6.6
새정치연합 최재천 정책위의장은 이날도 기자 간담회에서 "인권 침해의 우려가 있고, 국정원을 통해 권력이 남용될 우려가 있다"며 "사이버 국가보안법이 될 우려가 있고 (국정원이) 초법적 감시 기구가 된다"고 했다.

새정치연합	새정치연합/NNP
최재천	최재천/NNP
정책위의장은	정책위/NNG+의장/NNG+은/JX
이날도	이날/NNG+도/JX
기자	기자/NNG
간담회에서	간담회/NNG+에서/JKB
"인권	"/SS+인권/NNG
침해의	침해/NNG+의/JKG
우려가	우려/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
국정원을	국정원/NNG+을/JKO
통해	통하/VV+아/EC
권력이	권력/NNG+이/JKS
남용될	남용/NNG+되/XSV+ㄹ/ETM
있다"며	있/VA+다/EF+"/SS+며/EC
"사이버	"/SS+사이버/NNG
국가보안법이	국가/NNG+보안법/NNG+이/JKC
될	되/VV+ㄹ/ETM
있고	있/VA+고/EC
(국정원이)	(/SS+국정원/NNG+이/JKS+)/SS
초법적	초법/NNG+적/XSN
감시	감시/NNG
기구가	기구/NNG+가/JKC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.401.7.1
그러나 정부·여당에서는 "테러 방지를 위해 어떤 형태로든 꼭 필요한 법안"이라고 하고 있다.

그러나	그러나/MAJ
정부·여당에서는	정부/NNG+·/SP+여당/NNG+에서/JKB+는/JX
"테러	"/SS+테러/NNG
방지를	방지/NNG+를/JKO
위해	위하/VV+아/EC
어떤	어떤/MMD
형태로든	형태/NNG+로/JKB+든/JX
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
법안"이라고	법안/NNG+"/SS+이라고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.401.7.2
9·11 테러 후 미국·영국 등 OECD(경제협력개발기구) 국가 대부분이 관련 법을 대폭 정비해 대비 태세를 강화했는데 사실상 우리나라만 '테러 사각지대'에 머물러 있다는 것이다.

9·11	9/SN+·/SP+11/SN
테러	테러/NNG
후	후/NNG
미국·영국	미국/NNP+·/SP+영국/NNP
등	등/NNB
OECD(경제협력개발기구)	OECD/SL+(/SS+경제협력개발기구/NNP+)/SS
국가	국가/NNG
대부분이	대/XPN+부분/NNG+이/JKS
관련	관련/NNG
법을	법/NNG+을/JKO
대폭	대폭/MAG
정비해	정비/NNG+하/XSV+아/EC
대비	대비/NNG
태세를	태세/NNG+를/JKO
강화했는데	강화/NNG+하/XSV+았/EP+는데/EC
사실상	사실상/MAG
우리나라만	우리나라/NNG+만/JX
'테러	'/SS+테러/NNG
사각지대'에	사각지대/NNG+'/SS+에/JKB
머물러	머무르/VV+어/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.401.8.1
앞서 김대중 정부 때인 2001년 9·11 테러를 계기로 국정원이 주도해 테러 방지법을 발의했으나 수사권 분산에 검경이 반발하고 시민단체 등이 인권 침해 가능성을 제기해 무산됐다.

앞서	앞서/MAG
김대중	김대중/NNP
정부	정부/NNG
때인	때/NNG+이/VCP+ㄴ/ETM
2001년	2001/SN+년/NNB
9·11	9/SN+·/SP+11/SN
테러를	테러/NNG+를/JKO
계기로	계기/NNG+로/JKB
국정원이	국정원/NNG+이/JKS
주도해	주도/NNG+하/XSV+아/EC
테러	테러/NNG
방지법을	방지법/NNG+을/JKO
발의했으나	발의/NNG+하/XSV+았/EP+으나/EC
수사권	수사/NNG+권/XSN
분산에	분산/NNG+에/JKB
검경이	검경/NNG+이/JKS
반발하고	반발/NNG+하/XSV+고/EC
시민단체	시민/NNG+단체/NNG
등이	등/NNB+이/JKS
인권	인권/NNG
침해	침해/NNG
가능성을	가능/NNG+성/XSN+을/JKO
제기해	제기/NNG+하/XSV+아/EC
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.401.8.2
17·18대 국회 때 다시 관련 법안이 발의됐으나 이때는 현재 야당의 반대로 폐기된 바 있다.

17·18대	17/SN+·/SP+18/SN+대/NNB
국회	국회/NNG
때	때/NNG
다시	다시/MAG
관련	관련/NNG
법안이	법안/NNG+이/JKS
발의됐으나	발의/NNG+되/XSV+었/EP+으나/EC
이때는	이때/NNG+는/JX
현재	현재/MAG
야당의	야당/NNG+의/JKG
반대로	반대/NNG+로/JKB
폐기된	폐기/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


