# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.389
metadata : {}


# id : NWRW1800000045.389.1.1
여야, 교과서 강대강 대치 속 ‘민생 출구’ 고심

여야,	여야/NNG+,/SP
수	수/NNB
있다는	있/VA+다는/ETM
점이	점/NNG+이/JKS
부담이다.	부담/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.389.12.1
○ 3일 ‘원포인트’ 본회의 개최

○	○/SW
3일	3/SN+일/NNB
‘원포인트’	‘/SS+원포인트/NNG+’/SS
본회의	본회의/NNG
개최	개최/NNG


# id : NWRW1800000045.389.13.1
이런 가운데 새누리당 원유철, 새정치연합 이종걸 원내대표가 1일 만나 ‘원포인트’ 본회의를 3일에 열기로 했다.

이런	이런/MMD
가운데	가운데/NNG
새누리당	새누리당/NNP
원유철,	원유철/NNP+,/SP
새정치연합	새정치연합/NNP
이종걸	이종걸/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
1일	1/SN+일/NNB
만나	만나/VV+아/EC
‘원포인트’	‘/SS+원포인트/NNG+’/SS
본회의를	본회의/NNG+를/JKO
3일에	3/SN+일/NNB+에/JKB
열기로	열/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.389.13.2
여야 간 첨예한 쟁점이 없는 법안과 김태현 중앙선거관리위원 후보자 임명동의안 처리, 공석인 국회 국토교통위원장 선출을 위해서다.

여야	여야/NNG
간	가/VV+ㄴ/ETM
첨예한	첨예하/VA+ㄴ/ETM
쟁점이	쟁점/NNG+이/JKS
없는	없/VA+는/ETM
법안과	법안/NNG+과/JC
김태현	김태현/NNP
중앙선거관리위원	중앙/NNG+선거/NNG+관리/NNG+위원/NNG
후보자	후보자/NNG
임명동의안	임명/NNG+동의안/NNG
처리,	처리/NNG+,/SP
공석인	공석/NNG+이/VCP+ㄴ/ETM
국회	국회/NNG
국토교통위원장	국토/NNG+교통/NNG+위원장/NNG
선출을	선출/NNG+을/JKO
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000045.389.13.3
4일에는 양당 원내대표와 원내수석부대표가 참여하는 ‘2+2 회동’을 열어 정기국회 현안을 논의하기로 했다.

4일에는	4/SN+일/NNB+에/JKB+는/JX
양당	양당/NNG
원내대표와	원내/NNG+대표/NNG+와/JC
원내수석부대표가	원내/NNG+수석/NNG+부대표/NNG+가/JKS
참여하는	참여/NNG+하/XSV+는/ETM
‘2+2	‘/SS+2/SN++/SW+2/SN
회동’을	회동/NNG+’/SS+을/JKO
열어	열/VV+어/EC
정기국회	정기/NNG+국회/NNG
현안을	현안/NNG+을/JKO
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.389.13.4
또 여야 원내대표는 이번 주 해당 상임위 차원에서 한중 FTA 비준동의안의 쟁점을 논의한 뒤 본회의 처리를 위해 노력하기로 뜻을 모았다.

또	또/MAG
여야	여야/NNG
원내대표는	원내/NNG+대표/NNG+는/JX
이번	이번/NNG
주	주/NNG
해당	해당/NNG
상임위	상임위/NNG
차원에서	차원/NNG+에서/JKB
한중	한중/NNP
FTA	FTA/SL
비준동의안의	비준/NNG+동의안/NNG+의/JKG
쟁점을	쟁점/NNG+을/JKO
논의한	논의/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
본회의	본회의/NNG
처리를	처리/NNG+를/JKO
위해	위하/VV+아/EC
노력하기로	노력/NNG+하/XSV+기/ETN+로/JKB
뜻을	뜻/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.389.13.5
민생 현안 처리를 무작정 미룰 수 없다는 정치권의 고민이 반영된 것으로 풀이된다.

민생	민생/NNG
현안	현안/NNG
처리를	처리/NNG+를/JKO
무작정	무/XPN+작정/NNG
미룰	미루/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
정치권의	정치/NNG+권/XSN+의/JKG
고민이	고민/NNG+이/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


