# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.93
metadata : {}


# id : NWRW1800000030.93.1.1
대사 관저서 '김태우 콘서트' 청소년들과 어울린 스티븐스

대사	대사/NNG
김태우는 이날 스티븐스 대사가 제일 좋아하는 노래 '사랑비'로 콘서트를 시작한 후, 이어 '꿈을 꾸다'를 불렀다.

김태우는	김태우/NNP+는/JX
이날	이날/NNG
스티븐스	스티븐스/NNP
대사가	대사/NNG+가/JKS
제일	제일/MAG
좋아하는	좋아하/VV+는/ETM
노래	노래/NNG
'사랑비'로	'/SS+사랑비/NNP+'/SS+로/JKB
콘서트를	콘서트/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
후,	후/NNG+,/SP
이어	이어/MAG
'꿈을	'/SS+꿈/NNG+을/JKO
꾸다'를	꾸/VV+다/EF+'/SS+를/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.93.6.2
스티븐스 대사는 "인기 드라마 '아이리스'를 열심히 보신 분이라면 이 노래(꿈을 꾸다)를 잘 아실 것"이라며 한국 대중문화에 대한 이해가 상당함을 내비쳤다.

스티븐스	스티븐스/NNP
대사는	대사/NNG+는/JX
"인기	"/SS+인기/NNG
드라마	드라마/NNG
'아이리스'를	'/SS+아이리스/NNP+'/SS+를/JKO
열심히	열심히/MAG
보신	보/VV+시/EP+ㄴ/ETM
분이라면	분/NNB+이/VCP+라면/EC
이	이/MMD
노래(꿈을	노래/NNG+(/SS+꿈/NNG+을/JKO
꾸다)를	꾸/VV+다/EF+)/SS+를/JKO
잘	잘/MAG
아실	알/VV+시/EP+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
한국	한국/NNP
대중문화에	대중문화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
상당함을	상당/NNG+하/XSA+ㅁ/ETN+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.93.7.1
그는 "김태우씨는 한국 가요를 몇 개 부르고는 팝송으로 바꿔 스티비 원더의 대표곡 'Isn't She Lovely'와 빌리 조엘의 'New York State of Mind'를 멋지게 불렀다"고 소개했다.

그는	그/NP+는/JX
"김태우씨는	"/SS+김태우/NNP+씨/NNB+는/JX
한국	한국/NNP
가요를	가요/NNG+를/JKO
몇	몇/NR
개	개/NNB
부르고는	부르/VV+고/EC+는/JX
팝송으로	팝송/NNG+으로/JKB
바꿔	바꾸/VV+어/EC
스티비	스티비/NNP
원더의	원더/NNP+의/JKG
대표곡	대표곡/NNG
'Isn't	'/SS+Isn/SL+'/SS+t/SL
She	She/SL
Lovely'와	Lovely/SL+'/SS+와/JC
빌리	빌리/NNP
조엘의	조엘/NNP+의/JKG
'New	'/SS+New/SL
York	York/SL
State	State/SL
of	of/SL
Mind'를	Mind/SL+'/SS+를/JKO
멋지게	멋지/VA+게/EC
불렀다"고	부르/VV+었/EP+다/EF+"/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.93.8.1
이날 콘서트에는 미국의 국제방문자프로그램(IVLP)과 주한 미국대사관의 청소년리더십 프로그램(AYLP) 참가자 등 100여명이 초청됐다.

이날	이날/NNG
콘서트에는	콘서트/NNG+에/JKB+는/JX
미국의	미국/NNP+의/JKG
국제방문자프로그램(IVLP)과	국제/NNG+방문자/NNG+프로그램/NNG+(/SS+IVLP/SL+)/SS+과/JC
주한	주한/NNG
미국대사관의	미국/NNP+대사관/NNG+의/JKG
청소년리더십	청소년/NNG+리더십/NNG
프로그램(AYLP)	프로그램/NNG+(/SS+AYLP/SL+)/SS
참가자	참가자/NNG
등	등/NNB
100여명이	100/SN+여/XSN+명/NNB+이/JKS
초청됐다.	초청/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.93.9.1
그는 "음악을 듣는 것은 한국어 실력을 늘리고 강화하는 좋은 방법 중 하나"라며 "예를 들어 '기억과 추억'이라는 노래를 들으면 한국어 단어의 미묘한 차이를 생각하게 된다"고 말했다.

그는	그/NP+는/JX
"음악을	"/SS+음악/NNG+을/JKO
듣는	듣/VV+는/ETM
것은	것/NNB+은/JX
한국어	한국어/NNP
실력을	실력/NNG+을/JKO
늘리고	늘리/VV+고/EC
강화하는	강화/NNG+하/XSV+는/ETM
좋은	좋/VA+은/ETM
방법	방법/NNG
중	중/NNB
하나"라며	하나/NR+"/SS+이/VCP+라며/EC
"예를	"/SS+예/NNG+를/JKO
들어	들/VV+어/EC
'기억과	'/SS+기억/NNG+과/JC
추억'이라는	추억/NNG+'/SS+이/VCP+라는/ETM
노래를	노래/NNG+를/JKO
들으면	듣/VV+으면/EC
단어의	단어/NNG+의/JKG
미묘한	미묘하/VA+ㄴ/ETM
차이를	차이/NNG+를/JKO
생각하게	생각/NNG+하/XSV+게/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.93.10.1
스티븐스 대사는 자신의 블로그에 한·미관계와 한국생활에 대한 글들을 올려 왔다.

스티븐스	스티븐스/NNP
대사는	대사/NNG+는/JX
자신의	자신/NNG+의/JKG
블로그에	블로그/NNG+에/JKB
한·미관계와	한·미/NNP+관계/NNG+와/JC
한국생활에	한국/NNP+생활/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
글들을	글/NNG+들/XSN+을/JKO
올려	올리/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.93.10.2
'김태우 콘서트 감상문'은 그의 101번째 글이다.

'김태우	'/SS+김태우/NNP
콘서트	콘서트/NNG
감상문'은	감상문/NNG+'/SS+은/JX
그의	그/NP+의/JKG
101번째	101/SN+번/NNB+째/XSN
글이다.	글/NNG+이/VCP+다/EF+./SF


