# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.27
metadata : {}


# id : NWRW1800000038.27.1.1
표결 임박한 美총기규제법… 마지막 승부수 던진 오바마

표결	표결/NNG
숨진	숨지/VV+ㄴ/ETM
'샌디훅	'/SS+샌디훅/NNP
총기난사'	총기/NNG+난사/NNG+'/SS
사건을	사건/NNG+을/JKO
계기로	계기/NNG+로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
이번	이번/NNG
규제	규제/NNG
강화	강화/NNG
노력마저	노력/NNG+마저/JX
실패로	실패/NNG+로/JKB
돌아간다면	돌아가/VV+ㄴ다면/EC
다시는	다시/MAG+는/JX
기회가	기회/NNG+가/JKS
오지	오/VV+지/EC
않을	않/VX+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
보고	보/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.27.5.1
버락 오바마 대통령, 조 바이든 부통령을 포함한 민주당에선 연일 감성적인 연설을 통해 규제 강화의 필요성을 역설하고 있다.

버락	버락/NNP
오바마	오바마/NNP
대통령,	대통령/NNG+,/SP
조	조/NNP
바이든	바이든/NNP
부통령을	부통령/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
민주당에선	민주당/NNP+에서/JKB+ㄴ/JX
연일	연일/MAG
감성적인	감성/NNG+적/XSN+이/VCP+ㄴ/ETM
연설을	연설/NNG+을/JKO
통해	통하/VV+아/EC
규제	규제/NNG
강화의	강화/NNG+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
역설하고	역설/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.27.5.2
리드 민주당 상원 원내대표는 이날 총기로 자살한 아버지 사례까지 언급했다.

리드	리드/NNP
민주당	민주당/NNP
상원	상원/NNG
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
총기로	총기/NNG+로/JKB
자살한	자살/NNG+하/XSV+ㄴ/ETM
아버지	아버지/NNG
사례까지	사례/NNG+까지/JX
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.27.5.3
전날 오바마의 전용기를 타고 워싱턴에 온 샌디훅 참사 유가족들은 이날 하루종일 의원 사무실을 돌며 지지를 호소했다.

전날	전날/NNG
오바마의	오바마/NNP+의/JKG
전용기를	전용기/NNG+를/JKO
타고	타/VV+고/EC
워싱턴에	워싱턴/NNP+에/JKB
온	오/VV+ㄴ/ETM
샌디훅	샌디훅/NNP
참사	참사/NNG
유가족들은	유가족/NNG+들/XSN+은/JX
이날	이날/NNG
하루종일	하루/NNG+종일/NNG
의원	의원/NNG
사무실을	사무실/NNG+을/JKO
돌며	돌/VV+며/EC
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.27.6.1
또 총기 규제의 최대 후원자인 마이클 블룸버그 뉴욕시장이 주도하는 '불법 총기에 반대하는 시장들'(MAIG)은 모든 의원의 총기규제 강화 노력을 'A'부터 'D'까지 등급을 매겨 발표하기로 했다.

또	또/MAG
총기	총기/NNG
규제의	규제/NNG+의/JKG
최대	최대/NNG
후원자인	후원자/NNG+이/VCP+ㄴ/ETM
마이클	마이클/NNP
블룸버그	블룸버그/NNP
뉴욕시장이	뉴욕시장/NNG+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
'불법	'/SS+불법/NNG
총기에	총기/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
시장들'(MAIG)은	시장/NNG+들/XSN+'/SS+(/SS+MAIG/SL+)/SS+은/JX
모든	모든/MMN
의원의	의원/NNG+의/JKG
총기규제	총기/NNG+규제/NNG
강화	강화/NNG
노력을	노력/NNG+을/JKO
'A'부터	'/SS+A/SL+'/SS+부터/JX
'D'까지	'/SS+D/SL+'/SS+까지/JX
등급을	등급/NNG+을/JKO
매겨	매기/VV+어/EC
발표하기로	발표/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.27.6.2
총기규제를 지지하는 일반인과 단체들이 후원금을 낼 때 지표로 활용하게 해 의원들을 압박하겠다는 것이다.

총기규제를	총기/NNG+규제/NNG+를/JKO
지지하는	지지/NNG+하/XSV+는/ETM
일반인과	일반인/NNG+과/JC
단체들이	단체/NNG+들/XSN+이/JKS
후원금을	후원금/NNG+을/JKO
낼	내/VV+ㄹ/ETM
때	때/NNG
지표로	지표/NNG+로/JKB
활용하게	활용/NNG+하/XSV+게/EC
해	하/VX+아/EC
의원들을	의원/NNG+들/XSN+을/JKO
압박하겠다는	압박/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.27.7.1
반면 '총기 규제 반대'를 주도하고 있는 미국총기협회(NRA)는 지금까지 해오던 것처럼 자금력을 바탕으로 한 막강한 로비를 통해 의원들을 포섭하고 있다.

반면	반면/NNG
'총기	'/SS+총기/NNG
규제	규제/NNG
반대'를	반대/NNG+'/SS+를/JKO
주도하고	주도/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
미국총기협회(NRA)는	미국총기협회/NNP+(/SS+NRA/SL+)/SS+는/JX
지금까지	지금/NNG+까지/JX
해오던	하/VV+아/EC+오/VX+던/ETM
것처럼	것/NNB+처럼/JKB
자금력을	자금력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
막강한	막강/NNG+하/XSA+ㄴ/ETM
로비를	로비/NNG+를/JKO
통해	통하/VV+아/EC
의원들을	의원/NNG+들/XSN+을/JKO
포섭하고	포섭/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.27.7.2
전통적으로 총기 소유권을 지지하는 공화당 의원들은 대부분 NRA와 뜻을 같이하고 있으며, 내년 선거를 앞둔 일부 민주당 의원들도 이들의 눈치를 보고 있다.

전통적으로	전통/NNG+적/XSN+으로/JKB
총기	총기/NNG
소유권을	소유/NNG+권/XSN+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
공화당	공화당/NNP
의원들은	의원/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
NRA와	NRA/SL+와/JKB
뜻을	뜻/NNG+을/JKO
같이하고	같이/MAG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
내년	내년/NNG
선거를	선거/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
일부	일부/NNG
민주당	민주당/NNP
의원들도	의원/NNG+들/XSN+도/JX
이들의	이/NP+들/XSN+의/JKG
눈치를	눈치/NNG+를/JKO
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.27.8.1
이달 초 공화당 랜드 폴 상원의원이 "총기 규제를 강화하는 어떤 법안에 대해서도 필리버스터(의사진행방해)로 막겠다"고 선언한 이후 13명이 이에 동참했다.

이달	이달/NNG
초	초/NNB
공화당	공화당/NNP
랜드	랜드/NNP
폴	폴/NNP
상원의원이	상원/NNG+의원/NNG+이/JKS
"총기	"/SS+총기/NNG
규제를	규제/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
어떤	어떤/MMD
법안에	법안/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
필리버스터(의사진행방해)로	필리버스터/NNG+(/SS+의사/NNG+진행/NNG+방해/NNG+)/SS+로/JKB
막겠다"고	막/VV+겠/EP+다/EF+"/SS+고/JKQ
선언한	선언/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
13명이	13/SN+명/NNB+이/JKS
이에	이/NP+에/JKB
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.27.8.2
최근 CBS방송의 여론조사에 따르면 엄격한 총기 규제를 지지하는 여론은 47%로, 샌디훅 초등학교 사건 이후 집계됐던 57%에서 급락했다.

최근	최근/MAG
CBS방송의	CBS방송/NNP+의/JKG
여론조사에	여론/NNG+조사/NNG+에/JKB
따르면	따르/VV+면/EC
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
총기	총기/NNG
규제를	규제/NNG+를/JKO
지지하는	지지/NNG+하/XSV+는/ETM
여론은	여론/NNG+은/JX
47%로,	47/SN+%/SW+로/JKB+,/SP
샌디훅	샌디훅/NNP
초등학교	초등학교/NNG
사건	사건/NNG
이후	이후/NNG
집계됐던	집계/NNG+되/XSV+었/EP+던/ETM
57%에서	57/SN+%/SW+에서/JKB
급락했다.	급락/NNG+하/XSV+았/EP+다/EF+./SF


