# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.245
metadata : {}


# id : NWRW1800000032.245.1.1
현정권 실세 의혹 ‘연결고리’ 찾을까

현정권	현/MMD+정권/NNG
둘	두/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.245.8.2
구체적인 사용 내용이 일부 공개된데다, 비교적 최근인 신 전 차관의 재직 시절까지 카드가 사용됐기 때문이다.

구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
사용	사용/NNG
내용이	내용/NNG+이/JKS
일부	일부/NNG
공개된데다,	공개/NNG+되/XSV+ㄴ/ETM+데/NNB+다/JX+,/SP
비교적	비교/NNG+적/XSN
최근인	최근/NNG+이/VCP+ㄴ/ETM
신	신/NNP
전	전/MMD
차관의	차관/NNG+의/JKG
재직	재직/NNG
시절까지	시절/NNG+까지/JX
카드가	카드/NNG+가/JKS
사용됐기	사용/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.245.8.3
검찰은 압수수색 영장을 발부받아, 법인카드가 사용된 것으로 드러난 국내 백화점·면세점 등 가맹점의 당시 매출 전표 등 금융자료 확보에 나섰다.

검찰은	검찰/NNG+은/JX
압수수색	압수/NNG+수색/NNG
영장을	영장/NNG+을/JKO
발부받아,	발부/NNG+받/XSV+아/EC+,/SP
법인카드가	법인/NNG+카드/NNG+가/JKS
사용된	사용/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러난	드러나/VV+ㄴ/ETM
국내	국내/NNG
백화점·면세점	백화점/NNG+·/SP+면세점/NNG
등	등/NNB
가맹점의	가맹점/NNG+의/JKG
당시	당시/NNG
매출	매출/NNG
전표	전표/NNG
금융자료	금융/NNG+자료/NNG
확보에	확보/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.245.8.4
앞서 검찰은 법인카드 사용 내용 등을 확인하기 위해 지난 7일 이 회장의 집과 사무실 등 10곳을 압수수색했다.

앞서	앞서/MAG
검찰은	검찰/NNG+은/JX
법인카드	법인/NNG+카드/NNG
사용	사용/NNG
내용	내용/NNG
등을	등/NNB+을/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
이	이/NNP
회장의	회장/NNG+의/JKG
집과	집/NNG+과/JC
사무실	사무실/NNG
등	등/NNB
10곳을	10/SN+곳/NNG+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.245.9.1
검찰은 법인카드 사용 내용을 확인한 뒤, 카드 제공의 대가로 ‘에스엘에스 그룹 워크아웃 과정 등에 영향력을 미쳐달라’는 청탁을 한 게 아닌지를 확인해야 한다.

검찰은	검찰/NNG+은/JX
법인카드	법인/NNG+카드/NNG
사용	사용/NNG
내용을	내용/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
카드	카드/NNG
제공의	제공/NNG+의/JKG
대가로	대가/NNG+로/JKB
‘에스엘에스	‘/SS+에스엘에스/NNP
그룹	그룹/NNG
워크아웃	워크아웃/NNG
과정	과정/NNG
등에	등/NNB+에/JKB
영향력을	영향력/NNG+을/JKO
미쳐달라’는	미치/VV+어/EC+달/VX+라/EF+’/SS+는/ETM
청탁을	청탁/NNG+을/JKO
한	하/VV+ㄴ/ETM
게	거/NNB+이/JKC
아닌지를	아니/VCN+ㄴ지/EF+를/JKO
확인해야	확인/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.245.9.2
검찰 출신 변호사는 “신 전 차관이 차관 시절 금품과 법인카드를 사용한 사실이 드러난다면, 정권 실세로서 에스엘에스 그룹 워크아웃 과정 등에 대해서도 포괄적인 업무 연관성을 인정할 수 있을 것으로 보인다”며 “검찰로선 이 부분에 가장 집중할 것”이라고 말했다.

검찰	검찰/NNG
출신	출신/NNG
변호사는	변호사/NNG+는/JX
“신	“/SS+신/NNP
전	전/MMD
차관이	차관/NNG+이/JKS
차관	차관/NNG
시절	시절/NNG
금품과	금품/NNG+과/JC
법인카드를	법인/NNG+카드/NNG+를/JKO
사용한	사용/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러난다면,	드러나/VV+ㄴ다면/EC+,/SP
정권	정권/NNG
실세로서	실세/NNG+로서/JKB
에스엘에스	에스엘에스/NNP
그룹	그룹/NNG
워크아웃	워크아웃/NNG
과정	과정/NNG
등에	등/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
포괄적인	포괄/NNG+적/XSN+이/VCP+ㄴ/ETM
업무	업무/NNG
연관성을	연관/NNG+성/XSN+을/JKO
인정할	인정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“검찰로선	“/SS+검찰/NNG+로서/JKB+ㄴ/JX
이	이/MMD
부분에	부분/NNG+에/JKB
가장	가장/MAG
집중할	집중/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.245.10.1
또 검찰은 신 전 차관이 전직 청와대 고위 관계자 ㄱ씨, 현직 청와대 행정관 ㅇ씨 등한테 줄 상품권을 요구해 2008년 추석과 2009년 설에 5000만원 상당의 상품권을 건넸다는 이 회장 주장에 대해서도 신 전 차관을 상대로 직접 추궁하는 등 사실 여부를 확인할 예정이다.

또	또/MAG
검찰은	검찰/NNG+은/JX
신	신/NNP
전	전/MMD
차관이	차관/NNG+이/JKS
전직	전직/NNG
청와대	청와대/NNP
고위	고위/NNG
관계자	관계자/NNG
ㄱ씨,	ㄱ/NNG+씨/NNB+,/SP
현직	현직/NNG
행정관	행정관/NNG
ㅇ씨	ㅇ/NNG+씨/NNB
등한테	등/NNB+한테/JKB
줄	주/VV+ㄹ/ETM
상품권을	상품/NNG+권/XSN+을/JKO
요구해	요구/NNG+하/XSV+아/EC
2008년	2008/SN+년/NNB
추석과	추석/NNG+과/JC
2009년	2009/SN+년/NNB
설에	설/NNG+에/JKB
5000만원	5000/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
건넸다는	건네/VV+었/EP+다는/ETM
이	이/NNP
회장	회장/NNG
주장에	주장/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
차관을	차관/NNG+을/JKO
상대로	상대/NNG+로/JKB
직접	직접/MAG
추궁하는	추궁/NNG+하/XSV+는/ETM
등	등/NNB
사실	사실/NNG
여부를	여부/NNG+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.245.10.2
다만 백화점 상품권은 포인트 적립을 하지 않았다면 사용 흔적을 찾기 어려워, 검찰이 이를 입증할 증거를 찾아낼 수 있을지는 불투명하다.

다만	다만/MAG
백화점	백화점/NNG
상품권은	상품/NNG+권/XSN+은/JX
포인트	포인트/NNG
적립을	적립/NNG+을/JKO
하지	하/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
사용	사용/NNG
흔적을	흔적/NNG+을/JKO
찾기	찾/VV+기/ETN
어려워,	어렵/VA+어/EC+,/SP
검찰이	검찰/NNG+이/JKS
이를	이/NP+를/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
증거를	증거/NNG+를/JKO
찾아낼	찾아내/VV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
불투명하다.	불/XPN+투명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000032.245.11.1
한편 이 회장은 이날 기자들과 만나, “신재민 관련 의혹은 전체 사건의 100분의 1도 안 된다”고 주장했다.

한편	한편/MAG
이	이/NNP
회장은	회장/NNG+은/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나,	만나/VV+아/EC+,/SP
“신재민	“/SS+신재민/NNP
관련	관련/NNG
의혹은	의혹/NNG+은/JX
전체	전체/NNG
사건의	사건/NNG+의/JKG
100분의	100/SN+분/XSN+의/JKG
1도	1/SN+도/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.245.11.2
그는 “3개월 전에 써놓은 비망록이 있는데, 신 전 차관을 비롯한 많은 내용이 담겨 있다”고 다른 ‘권력 실세’들의 연루 의혹을 내비치면서, “검찰이 제대로 된 수사를 하지 않는다면, 이런 내용을 추가로 공개하겠다”고 말했다.

그는	그/NP+는/JX
“3개월	“/SS+3/SN+개월/NNB
전에	전/NNG+에/JKB
써놓은	쓰/VV+어/EC+놓/VX+은/ETM
비망록이	비망록/NNG+이/JKS
있는데,	있/VA+는데/EC+,/SP
신	신/NNP
전	전/MMD
차관을	차관/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
많은	많/VA+은/ETM
내용이	내용/NNG+이/JKS
담겨	담기/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
다른	다른/MMD
‘권력	‘/SS+권력/NNG
실세’들의	실세/NNG+’/SS+들/XSN+의/JKG
연루	연루/NNG
의혹을	의혹/NNG+을/JKO
내비치면서,	내비치/VV+면서/EC+,/SP
“검찰이	“/SS+검찰/NNG+이/JKS
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
수사를	수사/NNG+를/JKO
하지	하/VV+지/EC
않는다면,	않/VX+는다면/EC+,/SP
이런	이런/MMD
내용을	내용/NNG+을/JKO
추가로	추가/NNG+로/JKB
공개하겠다”고	공개/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


