# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.296
metadata : {}


# id : NWRW1800000032.296.1.1
이규혁 ‘왕의 귀환’/세계선수권 4번째 종합우승

이규혁	이규혁/NNP
최강자를	최강자/NNG+를/JKO
가리는	가리/VV+는/ETM
세계스프린트선수권대회에서	세계/NNG+스프린트/NNG+선수/NNG+권/XSN+대회/NNG+에서/JKB
네번째	네/MMN+번/NNB+째/XSN
종합우승을	종합/NNG+우승/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.296.4.1
이규혁은 24일 오전(한국시각) 네덜란드 헤이렌베인에서 열린 국제빙상경기연맹(ISU) 세계스프린트 스피드스케이팅선수권대회 이틀째 남자 500m 2차 시기에서 34초77로 1위, 1000m 2차 시기에서 1분9초48로 6위를 기록하며 전날 기록(500m 34초92, 1000m 1분9초65)과 합산해 종합우승을 차지했다.

이규혁은	이규혁/NNP+은/JX
24일	24/SN+일/NNB
오전(한국시각)	오전/NNG+(/SS+한국/NNP+시각/NNG+)/SS
네덜란드	네덜란드/NNP
헤이렌베인에서	헤이렌베인/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국제빙상경기연맹(ISU)	국제빙상경기연맹/NNP+(/SS+ISU/SL+)/SS
세계스프린트	세계/NNG+스프린트/NNG
스피드스케이팅선수권대회	스피드/NNG+스케이팅/NNG+선수/NNG+권/XSN+대회/NNG
이틀째	이틀/NNG+째/XSN
남자	남자/NNG
500m	500/SN+m/SW
2차	2/SN+차/NNB
시기에서	시기/NNG+에서/JKB
34초77로	34/SN+초/NNB+77/SN+로/JKB
1위,	1/SN+위/NNB+,/SP
1000m	1000/SN+m/SW
1분9초48로	1/SN+분/NNB+9/SN+초/NNB+48/SN+로/JKB
6위를	6/SN+위/NNB+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
전날	전날/NNG
기록(500m	기록/NNG+(/SS+500/SN+m/SW
34초92,	34/SN+초/NNB+92/SN+,/SP
1분9초65)과	1/SN+분/NNB+9/SN+초/NNB+65/SN+)/SS+과/JKB
합산해	합산/NNG+하/XSV+아/EC
종합우승을	종합/NNG+우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.296.5.1
세계스프린트선수권대회는 이틀 동안 500m와 1000m 두 종목을 두번씩 뛰어 기록을 점수로 환산해 순위를 가린다.

세계스프린트선수권대회는	세계/NNG+스프린트/NNG+선수/NNG+권/XSN+대회/NNG+는/JX
이틀	이틀/NNG
동안	동안/NNG
500m와	500/SN+m/SW+와/JC
1000m	1000/SN+m/SW
두	두/MMN
종목을	종목/NNG+을/JKO
두번씩	두/MMN+번/NNB+씩/XSN
뛰어	뛰/VV+어/EC
기록을	기록/NNG+을/JKO
점수로	점수/NNG+로/JKB
환산해	환산/NNG+하/XSV+아/EC
순위를	순위/NNG+를/JKO
가린다.	가리/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.296.5.2
빠른 스피드가 필요한 500m는 물론 지구력이 함께 요구되는 1000m까지 명실상부한 단거리 최강자를 가리는 대회다.

빠른	빠르/VA+ㄴ/ETM
스피드가	스피드/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
500m는	500/SN+m/SW+는/JX
물론	물론/MAG
지구력이	지구력/NNG+이/JKS
함께	함께/MAG
요구되는	요구/NNG+되/XSV+는/ETM
1000m까지	1000/SN+m/SW+까지/JX
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
단거리	단거리/NNG
최강자를	최강자/NNG+를/JKO
가리는	가리/VV+는/ETM
대회다.	대회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.296.5.3
2007년과 2008년 연속 이 대회 우승을 차지했던 이규혁은 지난해에 이어 올해 다시 우승을 거머쥐며 네번째 정상에 올랐다.

2007년과	2007/SN+년/NNB+과/JC
2008년	2008/SN+년/NNB
연속	연속/NNG
이	이/MMD
대회	대회/NNG
우승을	우승/NNG+을/JKO
차지했던	차지/NNG+하/XSV+았/EP+던/ETM
이규혁은	이규혁/NNP+은/JX
지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
올해	올해/NNG
다시	다시/MAG
거머쥐며	거머쥐/VV+며/EC
네번째	네/MMN+번/NNB+째/XSN
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.296.6.1
지난해 2월 밴쿠버 겨울올림픽에서 아쉽게 메달을 놓치는 등 16년 동안 번번이 올림픽 불운에 울었던 이규혁이지만, 올림픽보다 어렵다는 스프린트선수권대회에서 4차례 우승하는 노장 투혼이 빛났다.

지난해	지난해/NNG
2월	2/SN+월/NNB
밴쿠버	밴쿠버/NNP
겨울올림픽에서	겨울/NNG+올림픽/NNG+에서/JKB
아쉽게	아쉽/VA+게/EC
메달을	메달/NNG+을/JKO
놓치는	놓치/VV+는/ETM
등	등/NNB
16년	16/SN+년/NNB
동안	동안/NNG
번번이	번번이/MAG
올림픽	올림픽/NNG
불운에	불운/NNG+에/JKB
울었던	울/VV+었/EP+던/ETM
이규혁이지만,	이규혁/NNP+이/VCP+지만/EC+,/SP
올림픽보다	올림픽/NNG+보다/JKB
어렵다는	어렵/VA+다는/ETM
스프린트선수권대회에서	스프린트/NNG+선수/NNG+권/XSN+대회/NNG+에서/JKB
4차례	4/SN+차례/NNG
우승하는	우승/NNG+하/XSV+는/ETM
노장	노장/NNG
투혼이	투혼/NNG+이/JKS
빛났다.	빛나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.296.6.2
강력한 맞수로 꼽혔던 후배이자 밴쿠버 겨울올림픽 금메달리스트 모태범을 이틀 연속 500m에서 제치며 1위로 호조를 보였던 이규혁은 다가올 아스타나-알마티 겨울아시아경기대회에서도 좋은 성적을 예고했다.

강력한	강력/NNG+하/XSA+ㄴ/ETM
맞수로	맞수/NNG+로/JKB
꼽혔던	꼽히/VV+었/EP+던/ETM
후배이자	후배/NNG+이/VCP+자/EC
밴쿠버	밴쿠버/NNP
겨울올림픽	겨울/NNG+올림픽/NNG
금메달리스트	금메달리스트/NNG
모태범을	모태범/NNP+을/JKO
이틀	이틀/NNG
연속	연속/NNG
500m에서	500/SN+m/SW+에서/JKB
제치며	제치/VV+며/EC
1위로	1/SN+위/NNB+로/JKB
호조를	호조/NNG+를/JKO
보였던	보이/VV+었/EP+던/ETM
이규혁은	이규혁/NNP+은/JX
다가올	다가오/VV+ㄹ/ETM
아스타나-알마티	아스타나/NNP+-/SO+알마티/NNP
겨울아시아경기대회에서도	겨울/NNG+아시아/NNP+경기/NNG+대회/NNG+에서/JKB+도/JX
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.296.6.3
이규혁은 겨울아시아경기대회에서 1500m 대표로 출전한다.

이규혁은	이규혁/NNP+은/JX
겨울아시아경기대회에서	겨울/NNG+아시아/NNP+경기/NNG+대회/NNG+에서/JKB
1500m	1500/SN+m/SW
대표로	대표/NNG+로/JKB
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.296.6.4
대표팀 선발전 500m에서는 탈락했지만 1500m 부문에서는 선발전 2위로 태극마크를 달았다.

대표팀	대표/NNG+팀/NNG
선발전	선발전/NNG
500m에서는	500/SN+m/SW+에서/JKB+는/JX
탈락했지만	탈락/NNG+하/XSV+았/EP+지만/EC
1500m	1500/SN+m/SW
부문에서는	부문/NNG+에서/JKB+는/JX
2위로	2/SN+위/NNB+로/JKB
태극마크를	태극/NNG+마크/NNG+를/JKO
달았다.	달/VV+았/EP+다/EF+./SF


