# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.287
metadata : {}


# id : NWRW1800000022.287.1.1
[金 前대통령 국장] 北조문단, '김정일 조화' 내린 뒤에야 차에서 내려;"생전에 민족위해 많은 일" 김정일 위원장의 말 전해 조문후 김형오의장 면담 이(李)여사에겐 조의(弔意) 전해… 과거 대북(對北)실세들과 만찬

[金	[/SS+金/SH
내용이	내용/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.3.3
상이군경회 등 보수단체 회원 100여명이 시위를 벌이고 있어 이들을 피해야 했기 때문이다.

상이군경회	상이군경회/NNP
등	등/NNB
보수단체	보수/NNG+단체/NNG
회원	회원/NNG
100여명이	100/SN+여/XSN+명/NNB+이/JKS
시위를	시위/NNG+를/JKO
벌이고	벌이/VV+고/EC
있어	있/VX+어/EC
이들을	이/NP+들/XSN+을/JKO
피해야	피하/VV+아야/EC
했기	하/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.287.4.1
◆조화를 앞세운 조문단

◆조화를	◆/SW+조화/NNG+를/JKO
앞세운	앞세우/VV+ㄴ/ETM
조문단	조문단/NNG


# id : NWRW1800000022.287.5.1
오후 3시40분 조문단은 2대의 에쿠스와 1대의 다이너스티에 나눠 타고 보수단체가 없는 김포공항 후문으로 향했다.

오후	오후/NNG
3시40분	3/SN+시/NNB+40/SN+분/NNB
조문단은	조문단/NNG+은/JX
2대의	2/SN+대/NNB+의/JKG
에쿠스와	에쿠스/NNP+와/JC
1대의	1/SN+대/NNB+의/JKG
다이너스티에	다이너스티/NNG+에/JKB
나눠	나누/VV+어/EC
타고	타/VV+고/EC
보수단체가	보수/NNG+단체/NNG+가/JKS
없는	없/VA+는/ETM
김포공항	김포공항/NNP
후문으로	후문/NNG+으로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.5.2
가로 20m, 세로 10m는 되는 육중한 철문이 열리자 뜻밖에도 흰 트럭이 조문단을 '이끌고' 나왔다.

가로	가로/NNG
20m,	20/SN+m/SW+,/SP
세로	세로/NNG
10m는	10/SN+m/SW+는/JX
되는	되/VV+는/ETM
육중한	육중하/VA+ㄴ/ETM
철문이	철문/NNG+이/JKS
열리자	열리/VV+자/EC
뜻밖에도	뜻밖에/MAG+도/JX
흰	희/VA+ㄴ/ETM
트럭이	트럭/NNG+이/JKS
조문단을	조문단/NNG+을/JKO
'이끌고'	'/SS+이끌/VV+고/EC+'/SS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.5.3
김정일의 조화가 실린 것이었다.

김정일의	김정일/NNP+의/JKG
조화가	조화/NNG+가/JKS
실린	실리/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.287.6.1
오후 3시53분 김 비서 등 북측 사절단이 김 전 대통령의 빈소가 마련된 여의도 국회의사당에 도착했다.

오후	오후/NNG
3시53분	3/SN+시/NNB+53/SN+분/NNB
김	김/NNP
비서	비서/NNG
등	등/NNB
북측	북측/NNG
사절단이	사절단/NNG+이/JKS
전	전/MMD
대통령의	대통령/NNG+의/JKG
빈소가	빈소/NNG+가/JKS
마련된	마련/NNG+되/XSV+ㄴ/ETM
여의도	여의도/NNP
국회의사당에	국회의사당/NNP+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.6.2
'조화의 중요성'을 알지 못하는 우리측 안내원이 "먼저 올라가시라"고 했지만 이들은 내리지 않았다.

'조화의	'/SS+조화/NNG+의/JKG
중요성'을	중요/NNG+성/XSN+'/SS+을/JKO
알지	알/VV+지/EC
못하는	못하/VX+는/ETM
우리측	우리/NP+측/NNB
안내원이	안내원/NNG+이/JKS
"먼저	"/SS+먼저/MAG
올라가시라"고	올라가/VV+시/EP+라/EF+"/SS+고/JKQ
했지만	하/VV+았/EP+지만/EC
이들은	이/NP+들/XSN+은/JX
내리지	내리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.287.6.3
대신 트럭의 문이 먼저 열리고 2m 높이의 조화가 모습을 드러냈다.

대신	대신/NNG
트럭의	트럭/NNG+의/JKG
문이	문/NNG+이/JKS
먼저	먼저/MAG
열리고	열리/VV+고/EC
2m	2/SN+m/SW
높이의	높이/NNG+의/JKG
조화가	조화/NNG+가/JKS
모습을	모습/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.6.4
조문단은 조화를 앞세우고 빈소로 올라갔다.

조문단은	조문단/NNG+은/JX
조화를	조화/NNG+를/JKO
앞세우고	앞세우/VV+고/EC
빈소로	빈소/NNG+로/JKB
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.6.5
일부 시민들이 박수와 함성을 지르며 "환영합니다"를 외쳤고, '우리의 소원은 통일'을 불렀다.

일부	일부/NNG
시민들이	시민/NNG+들/XSN+이/JKS
박수와	박수/NNG+와/JC
함성을	함성/NNG+을/JKO
지르며	지르/VV+며/EC
"환영합니다"를	"/SS+환영/NNG+하/XSV+ㅂ니다/EF+"/SS+를/JKO
외쳤고,	외치/VV+었/EP+고/EC+,/SP
'우리의	'/SS+우리/NP+의/JKG
소원은	소원/NNG+은/JX
통일'을	통일/NNG+'/SS+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.7.1
분향과 묵념을 한 뒤 조문단은 민주당 박지원 의원의 안내로 김 전 대통령의 아들인 홍업·홍걸씨 등 유족과 정세균 민주당 대표, 정동영 의원, 한명숙 전 총리, 박진 국회 외교통일위원장 등 정치권 인사 수십명과 악수했다.

분향과	분향/NNG+과/JC
묵념을	묵념/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
조문단은	조문단/NNG+은/JX
민주당	민주당/NNP
박지원	박지원/NNP
의원의	의원/NNG+의/JKG
안내로	안내/NNG+로/JKB
김	김/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
아들인	아들/NNG+이/VCP+ㄴ/ETM
홍업·홍걸씨	홍업/NNP+·/SP+홍걸/NNP+씨/NNB
등	등/NNB
유족과	유족/NNG+과/JC
정세균	정세균/NNP
대표,	대표/NNG+,/SP
정동영	정동영/NNP
의원,	의원/NNG+,/SP
한명숙	한명숙/NNP
총리,	총리/NNG+,/SP
박진	박진/NNP
국회	국회/NNG
외교통일위원장	외교/NNG+통일/NNG+위원장/NNG
정치권	정치/NNG+권/XSN
인사	인사/NNG
수십명과	수십/NR+명/NNB+과/JKB
악수했다.	악수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.8.1
정 대표가 "김 전 대통령께서는 돌아가시면서도 남북 대화 재개를 희망하셨다"고 하자 김 비서는 짧게 "예"라고만 답했다.

정	정/NNP
대표가	대표/NNG+가/JKS
"김	"/SS+김/NNP
전	전/MMD
대통령께서는	대통령/NNG+께서/JKS+는/JX
돌아가시면서도	돌아가/VV+시/EP+면서/EC+도/JX
남북	남북/NNP
대화	대화/NNG
재개를	재개/NNG+를/JKO
희망하셨다"고	희망/NNG+하/XSV+시/EP+었/EP+다/EF+"/SS+고/JKQ
하자	하/VV+자/EC
김	김/NNP
비서는	비서/NNG+는/JX
짧게	짧/VA+게/EC
"예"라고만	"/SS+예/IC+"/SS+라고/JKQ+만/JX
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.8.2
한 전 총리가 "지난번 노무현 전 대통령 서거 시 북측이 조선중앙통신으로 조의를 표해 주셔서 감사드린다"고 했지만 김 비서는 아무런 말이 없었다.

한	한/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
"지난번	"/SS+지난번/NNG
노무현	노무현/NNP
대통령	대통령/NNG
서거	서거/NNG
시	시/NNB
북측이	북측/NNG+이/JKS
조선중앙통신으로	조선중앙통신/NNP+으로/JKB
조의를	조의/NNG+를/JKO
표해	표/NNG+하/XSV+아/EC
주셔서	주/VX+시/EP+어서/EC
감사드린다"고	감사/NNG+드리/VV+ㄴ다/EF+"/SS+고/JKQ
했지만	하/VV+았/EP+지만/EC
김	김/NNP
비서는	비서/NNG+는/JX
아무런	아무런/MMD
말이	말/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.287.8.3
방명록에는 '정의와 량심을 지켜 민족 앞에 지울 수 없는 흔적을 남긴 김대중 전 대통령을 추모하며 특사조의방문단 김기남'이라고 썼다.

방명록에는	방명록/NNG+에/JKB+는/JX
'정의와	'/SS+정의/NNG+와/JC
량심을	량심/NNG+을/JKO
지켜	지키/VV+어/EC
민족	민족/NNG
앞에	앞/NNG+에/JKB
지울	지우/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
흔적을	흔적/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
김대중	김대중/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
추모하며	추모/NNG+하/XSV+며/EC
특사조의방문단	특사/NNG+조의/NNG+방문단/NNG
김기남'이라고	김기남/NNP+'/SS+이/VCP+라고/EC
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.9.1
◆"북남 화합 위해 할 일 많다"

◆"북남	◆/SW+"/SS+북남/NNP
화합	화합/NNG
위해	위하/VV+아/EC
할	하/VV+ㄹ/ETM
일	일/NNG
많다"	많/VA+다/EF+"/SS


# id : NWRW1800000022.287.10.1
조문을 마친 뒤 박계동 국회 사무총장이 김 비서에게 "김형오 국회의장이 차 한잔 하자고 한다"며 면담을 제안했고, "그러자"고 답해 김 의장과 10여분간 면담이 이뤄졌다.

조문을	조문/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
박계동	박계동/NNP
국회	국회/NNG
사무총장이	사무총장/NNG+이/JKS
김	김/NNP
비서에게	비서/NNG+에게/JKB
"김형오	"/SS+김형오/NNP
국회의장이	국회/NNG+의장/NNG+이/JKS
차	차/NNG
한잔	한잔/NNG
하자고	하/VV+자고/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
면담을	면담/NNG+을/JKO
제안했고,	제안/NNG+하/XSV+았/EP+고/EC+,/SP
"그러자"고	"/SS+그러/VV+자/EF+"/SS+고/JKQ
답해	답/NNG+하/XSV+아/EC
의장과	의장/NNG+과/JKB
10여분간	10/SN+여/XSN+분/NNB+간/XSN
면담이	면담/NNG+이/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.10.2
김 의장이 "이번 기회가 남북관계 돌파구의 계기가 됐으면 하는 바람"이라고 하자 김 비서는 "고인의 명복을 비는 의미에서 북남 화합을 위해 할 일이 많다"고 화답했다.

김	김/NNP
의장이	의장/NNG+이/JKS
"이번	"/SS+이번/NNG
기회가	기회/NNG+가/JKS
남북관계	남북/NNP+관계/NNG
돌파구의	돌파구/NNG+의/JKG
계기가	계기/NNG+가/JKC
됐으면	되/VV+었/EP+으면/EC
하는	하/VX+는/ETM
바람"이라고	바람/NNG+"/SS+이라고/JKQ
하자	하/VV+자/EC
비서는	비서/NNG+는/JX
"고인의	"/SS+고인/NNG+의/JKG
명복을	명복/NNG+을/JKO
비는	빌/VV+는/ETM
의미에서	의미/NNG+에서/JKB
북남	북남/NNP
화합을	화합/NNG+을/JKO
위해	위하/VV+아/EC
할	하/VV+ㄹ/ETM
일이	일/NNG+이/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.11.1
오후 4시35분 조문단은 국회를 떠나 이희호 여사를 만나기 위해 동교동 김대중평화센터로 향했다.

오후	오후/NNG
4시35분	4/SN+시/NNB+35/SN+분/NNB
조문단은	조문단/NNG+은/JX
국회를	국회/NNG+를/JKO
떠나	떠나/VV+아/EC
이희호	이희호/NNP
여사를	여사/NNG+를/JKO
만나기	만나/VV+기/ETN
위해	위하/VV+아/EC
동교동	동교동/NNP
김대중평화센터로	김대중평화센터/NNP+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.11.2
배석했던 박지원 의원은 "김 비서가 함께 온 홍양호 통일부 차관에게 '(누구든) 다 만나겠다'고 했다"며 "적극적인 의사를 펼쳤으니 정부에서 무슨 얘기가 있을 것"이라고 했다.

배석했던	배석/NNG+하/XSV+았/EP+던/ETM
박지원	박지원/NNP
의원은	의원/NNG+은/JX
"김	"/SS+김/NNP
비서가	비서/NNG+가/JKS
함께	함께/MAG
온	오/VV+ㄴ/ETM
홍양호	홍양호/NNP
통일부	통일부/NNG
차관에게	차관/NNG+에게/JKB
'(누구든)	'/SS+(/SS+누구/NP+이/VCP+든/EC+)/SS
다	다/MAG
만나겠다'고	만나/VV+겠/EP+다/EF+'/SS+고/JKQ
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"적극적인	"/SS+적극/NNG+적/XSN+이/VCP+ㄴ/ETM
의사를	의사/NNG+를/JKO
펼쳤으니	펼치/VV+었/EP+으니/EC
정부에서	정부/NNG+에서/JKB
무슨	무슨/MMD
얘기가	얘기/NNG+가/JKS
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.11.3
김 비서는 또 '김대중 전 대통령이 생전에 민족을 위해 많은 일을 하셨다'는 김정일의 말을 전했다.

김	김/NNP
비서는	비서/NNG+는/JX
또	또/MAG
'김대중	'/SS+김대중/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
생전에	생전/NNG+에/JKB
민족을	민족/NNG+을/JKO
위해	위하/VV+아/EC
많은	많/VA+은/ETM
일을	일/NNG+을/JKO
하셨다'는	하/VV+시/EP+었/EP+다/EF+'/SS+는/ETM
김정일의	김정일/NNP+의/JKG
말을	말/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.11.4
그는 김정일의 서명이 적힌 조의 메시지를 읽고 난 뒤 이를 이 여사에게 전달했다.

그는	그/NP+는/JX
김정일의	김정일/NNP+의/JKG
서명이	서명/NNG+이/JKS
적힌	적히/VV+ㄴ/ETM
조의	조의/NNG
메시지를	메시지/NNG+를/JKO
읽고	읽/VV+고/EC
난	나/VX+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
이	이/NNP
여사에게	여사/NNG+에게/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.11.5
이 여사는 조문에 감사의 뜻을 표한 뒤, 스카프와 넥타이를 선물했다.

이	이/NNP
여사는	여사/NNG+는/JX
조문에	조문/NNG+에/JKB
감사의	감사/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
표한	표/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
스카프와	스카프/NNG+와/JC
넥타이를	넥타이/NNG+를/JKO
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.12.1
◆보수단체 "예약한 방이 사라졌다"

◆보수단체	◆/SW+보수/NNG+단체/NNG
"예약한	"/SS+예약/NNG+하/XSV+ㄴ/ETM
방이	방/NNG+이/JKS
사라졌다"	사라지/VV+었/EP+다/EF+"/SS


# id : NWRW1800000022.287.13.1
오후 5시50분쯤 조문단은 숙소인 서울 홍은동 그랜드힐튼호텔에 도착했다.

오후	오후/NNG
5시50분쯤	5/SN+시/NNB+50/SN+분/NNB+쯤/XSN
조문단은	조문단/NNG+은/JX
숙소인	숙소/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
홍은동	홍은동/NNP
그랜드힐튼호텔에	그랜드힐튼호텔/NNP+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.13.2
호텔 바깥에서는 50여명의 보수단체 회원들이 김정일·김정운 사진이 든 피켓을 불태우고 "북한으로 돌아가라"고 외쳤다.

호텔	호텔/NNG
바깥에서는	바깥/NNG+에서/JKB+는/JX
50여명의	50/SN+여/XSN+명/NNB+의/JKG
보수단체	보수/NNG+단체/NNG
회원들이	회원/NNG+들/XSN+이/JKS
김정일·김정운	김정일/NNP+·/SP+김정운/NNP
사진이	사진/NNG+이/JKS
든	들/VV+ㄴ/ETM
피켓을	피켓/NNG+을/JKO
불태우고	불태우/VV+고/EC
"북한으로	"/SS+북한/NNP+으로/JKB
돌아가라"고	돌아가/VV+라/EF+"/SS+고/JKQ
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.13.3
경찰은 이들을 조문단이 보지 못하는 곳으로 밀어냈다.

경찰은	경찰/NNG+은/JX
이들을	이/NP+들/XSN+을/JKO
조문단이	조문단/NNG+이/JKS
보지	보/VV+지/EC
못하는	못하/VX+는/ETM
곳으로	곳/NNG+으로/JKB
밀어냈다.	밀어내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.14.1
조문단은 도열한 경찰관들 사이를 지나 숙소로 올라갔다.

조문단은	조문단/NNG+은/JX
도열한	도열/NNG+하/XSV+ㄴ/ETM
경찰관들	경찰관/NNG+들/XSN
사이를	사이/NNG+를/JKO
지나	지나/VV+아/EC
숙소로	숙소/NNG+로/JKB
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.14.2
경찰관들이 흩어지고, 5분쯤 후 낡은 007가방 5개와 작은 여행용 가방 2~3개가 조문단의 차량에서 내려져 엘리베이터에 실렸고 숙소인 5층에서 멈췄다.

경찰관들이	경찰관/NNG+들/XSN+이/JKS
흩어지고,	흩어지/VV+고/EC+,/SP
5분쯤	5/SN+분/NNB+쯤/XSN
후	후/NNG
낡은	낡/VV+은/ETM
007가방	007/SN+가방/NNG
5개와	5/SN+개/NNB+와/JC
작은	작/VA+은/ETM
여행용	여행/NNG+용/XSN
가방	가방/NNG
2~3개가	2/SN+~/SO+3/SN+개/NNB+가/JKS
조문단의	조문단/NNG+의/JKG
차량에서	차량/NNG+에서/JKB
내려져	내려지/VV+어/EC
엘리베이터에	엘리베이터/NNG+에/JKB
실렸고	실리/VV+었/EP+고/EC
숙소인	숙소/NNG+이/VCP+ㄴ/ETM
5층에서	5/SN+층/NNG+에서/JKB
멈췄다.	멈추/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.15.1
바깥에선 경찰과 경호원들이 '요주의' 보수단체 인사들의 사진이 인쇄된 종이를 들고 드나드는 사람들의 얼굴을 살폈다.

바깥에선	바깥/NNG+에서/JKB+ㄴ/JX
경찰과	경찰/NNG+과/JC
경호원들이	경호원/NNG+들/XSN+이/JKS
'요주의'	'/SS+요주의/NNG+'/SS
보수단체	보수/NNG+단체/NNG
인사들의	인사/NNG+들/XSN+의/JKG
사진이	사진/NNG+이/JKS
인쇄된	인쇄/NNG+되/XSV+ㄴ/ETM
종이를	종이/NNG+를/JKO
들고	들/VV+고/EC
드나드는	드나들/VV+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
얼굴을	얼굴/NNG+을/JKO
살폈다.	살피/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.15.2
30분쯤 후 임동원·이재정 전 통일부 장관, 박지원 의원 등 지난 10년간 대북정책을 책임졌던 실세들이 호텔로 왔다.

30분쯤	30/SN+분/NNB+쯤/XSN
후	후/NNG
임동원·이재정	임동원/NNP+·/SP+이재정/NNP
전	전/MMD
통일부	통일부/NNG
장관,	장관/NNG+,/SP
박지원	박지원/NNP
의원	의원/NNG
등	등/NNB
지난	지나/VV+ㄴ/ETM
10년간	10/SN+년/NNB+간/XSN
대북정책을	대북/NNG+정책/NNG+을/JKO
책임졌던	책임지/VV+었/EP+던/ETM
실세들이	실세/NNG+들/XSN+이/JKS
호텔로	호텔/NNG+로/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.16.1
'호텔 고객'으로 경호원의 눈을 피해 일찌감치 자리 잡은 탈북자 단체 자유북한운동연합의 박상학 대표는 전 정권의 실세들을 향해 "김정일의 장학생들!"이라며 소리쳤다.

'호텔	'/SS+호텔/NNG
고객'으로	고객/NNG+'/SS+으로/JKB
경호원의	경호원/NNG+의/JKG
눈을	눈/NNG+을/JKO
피해	피하/VV+아/EC
일찌감치	일찌감치/MAG
자리	자리/NNG
잡은	잡/VV+은/ETM
탈북자	탈북자/NNG
단체	단체/NNG
자유북한운동연합의	자유북한운동연합/NNP+의/JKG
박상학	박상학/NNP
대표는	대표/NNG+는/JX
전	전/MMD
정권의	정권/NNG+의/JKG
실세들을	실세/NNG+들/XSN+을/JKO
향해	향하/VV+아/EC
"김정일의	"/SS+김정일/NNP+의/JKG
장학생들!"이라며	장학/NNG+생/XSN+들/XSN+!/SF+"/SS+이/VCP+라며/EC
소리쳤다.	소리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.16.2
납북자가족모임 최성용 대표는 "어제 직접 와서 30만원 주고 예약했는데 갑자기 방이 없어졌다"고 소리 질렀다.

납북자가족모임	납북자가족모임/NNP
최성용	최성용/NNP
대표는	대표/NNG+는/JX
"어제	"/SS+어제/MAG
직접	직접/MAG
와서	오/VV+아서/EC
30만원	30/SN+만/NR+원/NNB
주고	주/VV+고/EC
예약했는데	예약/NNG+하/XSV+았/EP+는데/EC
갑자기	갑자기/MAG
방이	방/NNG+이/JKS
없어졌다"고	없어지/VV+었/EP+다/EF+"/SS+고/JKQ
소리	소리/NNG
질렀다.	지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.17.1
호텔로 들어간 북한 조문단은 임 전 장관, 박 의원, 정세현 전 통일부장관 등 김대중평화센터 관계자들과 저녁식사를 하고 밤 10시쯤 자신들의 방으로 올라간 이후 호텔을 나오지 않았다.

호텔로	호텔/NNG+로/JKB
들어간	들어가/VV+ㄴ/ETM
북한	북한/NNP
조문단은	조문단/NNG+은/JX
임	임/NNP
전	전/MMD
장관,	장관/NNG+,/SP
박	박/NNP
의원,	의원/NNG+,/SP
정세현	정세현/NNP
통일부장관	통일부/NNG+장관/NNG
등	등/NNB
김대중평화센터	김대중평화센터/NNP
관계자들과	관계자/NNG+들/XSN+과/JKB
저녁식사를	저녁/NNG+식사/NNG+를/JKO
하고	하/VV+고/EC
밤	밤/NNG
10시쯤	10/SN+시/NNB+쯤/XSN
자신들의	자신/NNG+들/XSN+의/JKG
방으로	방/NNG+으로/JKB
올라간	올라가/VV+ㄴ/ETM
이후	이후/NNG
호텔을	호텔/NNG+을/JKO
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.287.17.2
임 전 장관은 만찬을 마친 뒤 "특별한 것이 없었다. 그냥 저녁자리였다"고 했다.

임	임/NNP
전	전/MMD
장관은	장관/NNG+은/JX
만찬을	만찬/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
"특별한	"/SS+특별/NNG+하/XSA+ㄴ/ETM
것이	것/NNB+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF
그냥	그냥/MAG
저녁자리였다"고	저녁/NNG+자리/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.17.3
