# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.372
metadata : {}


# id : NWRW1800000048.372.1.1
[최재봉의 문학으로] 표절과 문학권력을 넘어서

[최재봉의	[/SS+최재봉/NNP+의/JKG
# id : NWRW1800000048.372.5.2
이와 관련해 천정환 성균관대 교수는 15일 토론회에서 “창비와 문학동네의 일부 편집위원들은 이번 계제에 명예롭게 용퇴하는 것이 바람직하다”는 의견을 내놓았다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
천정환	천정환/NNP
성균관대	성균관대/NNP
교수는	교수/NNG+는/JX
15일	15/SN+일/NNB
토론회에서	토론회/NNG+에서/JKB
“창비와	“/SS+창비/NNP+와/JC
문학동네의	문학동네/NNP+의/JKG
일부	일부/NNG
편집위원들은	편집/NNG+위원/NNG+들/XSN+은/JX
이번	이번/NNG
계제에	계제/NNG+에/JKB
명예롭게	명예/NNG+롭/XSA+게/EC
용퇴하는	용퇴/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
바람직하다”는	바람직하/VA+다/EF+”/SS+는/ETM
의견을	의견/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.372.5.3
민간 사업체인 출판사 편집위원의 거취에 대해 이런 조언을 할 수 있는 근거로 그는 “아직 ‘한국 문학’과 잡지 자체를 공공적인 것으로 받아들이는 경향”을 들었다.

민간	민간/NNG
사업체인	사업체/NNG+이/VCP+ㄴ/ETM
출판사	출판사/NNG
편집위원의	편집/NNG+위원/NNG+의/JKG
거취에	거취/NNG+에/JKB
대해	대하/VV+아/EC
이런	이런/MMD
조언을	조언/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
근거로	근거/NNG+로/JKB
그는	그/NP+는/JX
“아직	“/SS+아직/MAG
‘한국	‘/SS+한국/NNP
문학’과	문학/NNG+’/SS+과/JC
잡지	잡지/NNG
자체를	자체/NNG+를/JKO
공공적인	공공/NNG+적/XSN+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
받아들이는	받아들이/VV+는/ETM
경향”을	경향/NNG+”/SS+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.372.6.1
거칠게 말해서 천 교수의 의견이 ‘망가진 것을 고쳐 쓰자’는 쪽이라면 ‘이참에 버리고 새것을 마련하자’는 생각도 있다.

거칠게	거칠/VA+게/EC
말해서	말/NNG+하/XSV+아서/EC
천	천/NNP
교수의	교수/NNG+의/JKG
의견이	의견/NNG+이/JKS
‘망가진	‘/SS+망가지/VV+ㄴ/ETM
것을	것/NNB+을/JKO
고쳐	고치/VV+어/EC
쓰자’는	쓰/VV+자/EF+’/SS+는/ETM
쪽이라면	쪽/NNB+이/VCP+라면/EC
‘이참에	‘/SS+이참/NNG+에/JKB
버리고	버리/VV+고/EC
새것을	새것/NNG+을/JKO
마련하자’는	마련/NNG+하/XSV+자/EF+’/SS+는/ETM
생각도	생각/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.372.6.2
이날 토론자로 나선 김명인 인하대 교수는 “문학동네에는 처음부터 기대가 없었고 창비에 대한 기대도 오래전에 거두었다”며 “2000년 무렵 문학권력 논쟁을 제기한 선배 세대로서 진작 제도 문학 ‘바깥’을 건설하지 못한 것이 미안하다”고 말했다.

이날	이날/NNG
토론자로	토론자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
김명인	김명인/NNP
인하대	인하대/NNP
교수는	교수/NNG+는/JX
“문학동네에는	“/SS+문학동네/NNP+에/JKB+는/JX
처음부터	처음/NNG+부터/JX
기대가	기대/NNG+가/JKS
없었고	없/VA+었/EP+고/EC
창비에	창비/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
기대도	기대/NNG+도/JX
오래전에	오래전/NNG+에/JKB
거두었다”며	거두/VV+었/EP+다/EF+”/SS+며/EC
“2000년	“/SS+2000/SN+년/NNB
무렵	무렵/NNB
문학권력	문학/NNG+권력/NNG
논쟁을	논쟁/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
선배	선배/NNG
세대로서	세대/NNG+로서/JKB
진작	진작/MAG
제도	제도/NNG
문학	문학/NNG
‘바깥’을	‘/SS+바깥/NNG+’/SS+을/JKO
건설하지	건설/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
것이	것/NNB+이/JKS
미안하다”고	미안/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.372.6.3
발표를 맡은 이동연 문화연대 집행위원장은 ‘304낭독회’와 작가 중심 잡지 <악스트> 창간 등에서 새로운 문학장(場) 출현과 대안적 문학 생산 주체 생성의 가능성을 보았다.

발표를	발표/NNG+를/JKO
맡은	맡/VV+은/ETM
이동연	이동연/NNP
문화연대	문화연대/NNP
집행위원장은	집행/NNG+위원장/NNG+은/JX
‘304낭독회’와	‘/SS+304/SN+낭독회/NNG+’/SS+와/JC
작가	작가/NNG
중심	중심/NNG
잡지	잡지/NNG
<악스트>	</SS+악스트/NNG+>/SS
창간	창간/NNG
등에서	등/NNB+에서/JKB
새로운	새롭/VA+ㄴ/ETM
문학장(場)	문학장/NNG+(/SS+場/SH+)/SS
출현과	출현/NNG+과/JKB
대안적	대안/NNG+적/XSN
문학	문학/NNG
생산	생산/NNG
주체	주체/NNG
생성의	생성/NNG+의/JKG
가능성을	가능/NNG+성/XSN+을/JKO
보았다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.372.6.4
토론자 임태훈은 “한국 문학의 기초적인 토대인 출판 생태계를 시장 기반 수익 창출에서 공공 기반 비용 조달 방식으로 전환해야 한다”는 의견을 내놓았다.

토론자	토론자/NNG
임태훈은	임태훈/NNP+은/JX
“한국	“/SS+한국/NNP
문학의	문학/NNG+의/JKG
기초적인	기초/NNG+적/XSN+이/VCP+ㄴ/ETM
토대인	토대/NNG+이/VCP+ㄴ/ETM
출판	출판/NNG
생태계를	생태/NNG+계/XSN+를/JKO
시장	시장/NNG
기반	기반/NNG
수익	수익/NNG
창출에서	창출/NNG+에서/JKB
공공	공공/NNG
비용	비용/NNG
조달	조달/NNG
방식으로	방식/NNG+으로/JKB
전환해야	전환/NNG+하/XSV+아야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
의견을	의견/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.372.7.1
언론의 책임을 묻는 아픈 지적이 나오는가 하면, 원로 작가 조정래는 신경숙에게 절필을 권유하기도 했다.

언론의	언론/NNG+의/JKG
책임을	책임/NNG+을/JKO
묻는	묻/VV+는/ETM
아픈	아프/VA+ㄴ/ETM
지적이	지적/NNG+이/JKS
나오는가	나오/VV+는가/EF
하면,	하/VV+면/EC+,/SP
원로	원로/NNG
작가	작가/NNG
조정래는	조정래/NNP+는/JX
신경숙에게	신경숙/NNP+에게/JKB
절필을	절필/NNG+을/JKO
권유하기도	권유/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.372.7.2
비평가 ‘선생님’들이 문제라는 작가 천명관의 <악스트> 인터뷰에 대해 손종업 선문대 교수가 ‘쓰레기’ 운운하며 반발(<근대서지> 2015년 상반기호)하는 등 전선이 확산되고 있기도 하다.

비평가	비평가/NNG
‘선생님’들이	‘/SS+선생/NNG+님/XSN+’/SS+들/XSN+이/JKS
문제라는	문제/NNG+이/VCP+라는/ETM
작가	작가/NNG
천명관의	천명관/NNP+의/JKG
<악스트>	</SS+악스트/NNG+>/SS
인터뷰에	인터뷰/NNG+에/JKB
대해	대하/VV+아/EC
손종업	손종업/NNP
선문대	선문대/NNP
교수가	교수/NNG+가/JKS
‘쓰레기’	‘/SS+쓰레기/NNG+’/SS
운운하며	운운/NNG+하/XSV+며/EC
반발(<근대서지>	반발/NNG+(/SS+</SS+근대서지/NNP+>/SS
2015년	2015/SN+년/NNB
상반기호)하는	상반기/NNG+호/NNB+)/SS+하/VV+는/ETM
등	등/NNB
전선이	전선/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있기도	있/VX+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000048.372.7.3
문학동네는 비판적 논자들을 자사 주최 토론회에 초청했다가 이들의 반발을 샀고, 반대로 15일 토론회에 참여해 달라는 요청은 거부했다.

문학동네는	문학동네/NNP+는/JX
비판적	비판/NNG+적/XSN
논자들을	논자/NNG+들/XSN+을/JKO
자사	자사/NNG
주최	주최/NNG
토론회에	토론회/NNG+에/JKB
초청했다가	초청/NNG+하/XSV+았/EP+다가/EC
이들의	이/NP+들/XSN+의/JKG
반발을	반발/NNG+을/JKO
샀고,	사/VV+았/EP+고/EC+,/SP
반대로	반대/NNG+로/JKB
15일	15/SN+일/NNB
참여해	참여/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
요청은	요청/NNG+은/JX
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.372.7.4
창비도 불참했다.

창비도	창비/NNP+도/JX
불참했다.	불참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.372.7.5
이시영 한국작가회의 이사장은 문학권력 비판론자들과 그 비판 대상인 창비, 문학동네, 문학과지성사 편집위원들이 두루 참가하는 토론회를 제안해 놓은 상태다.

이시영	이시영/NNP
한국작가회의	한국작가회의/NNP
이사장은	이사장/NNG+은/JX
문학권력	문학/NNG+권력/NNG
비판론자들과	비판론자/NNG+들/XSN+과/JC
그	그/MMD
비판	비판/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
창비,	창비/NNP+,/SP
문학동네,	문학동네/NNP+,/SP
문학과지성사	문학과지성사/NNP
편집위원들이	편집/NNG+위원/NNG+들/XSN+이/JKS
두루	두루/MAG
참가하는	참가/NNG+하/XSV+는/ETM
토론회를	토론회/NNG+를/JKO
제안해	제안/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.372.7.6
그 토론회는 열릴 수 있을까.

그	그/MMD
토론회는	토론회/NNG+는/JX
열릴	열리/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000048.372.7.7
열린다면 무언가 생산적인 결론이 나올 수 있을까.

열린다면	열리/VV+ㄴ다면/EC
무언가	무어/NP+이/VCP+ㄴ가/EF
생산적인	생산/NNG+적/XSN+이/VCP+ㄴ/ETM
결론이	결론/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


