# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.180
metadata : {}


# id : NWRW1800000038.180.1.1
[기자수첩] "예산 부족에 학부모 무관심까지… 자유학기제, 그리 쉽지 않던데요"

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS

지역사회의	지역/NNG+사회/NNG+의/JKG
협조도	협조/NNG+도/JX
잘	잘/MAG
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.180.5.6
A교사는 "학부모에게 강의를 요청했지만 아무도 응하지 않았다"고 했다.

A교사는	A/SL+교사/NNG+는/JX
"학부모에게	"/SS+학부모/NNG+에게/JKB
강의를	강의/NNG+를/JKO
요청했지만	요청/NNG+하/XSV+았/EP+지만/EC
아무도	아무/NP+도/JX
응하지	응하/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.180.6.1
A교사는 동료 교사들을 적극적으로 참여하게 하는 것이 특히 힘들었다고 했다.

A교사는	A/SL+교사/NNG+는/JX
동료	동료/NNG
교사들을	교사/NNG+들/XSN+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
참여하게	참여/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
특히	특히/MAG
힘들었다고	힘들/VA+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.180.6.2
자신의 수업 준비 시간까지 쪼개 주말과 방학도 반납하고 준비했던 교사들은 "힘들다"는 말을 자주 했고, 결국 이듬해 나가떨어졌다.

자신의	자신/NNG+의/JKG
수업	수업/NNG
준비	준비/NNG
시간까지	시간/NNG+까지/JX
쪼개	쪼개/VV+어/EC
주말과	주말/NNG+과/JC
방학도	방학/NNG+도/JX
반납하고	반납/NNG+하/XSV+고/EC
준비했던	준비/NNG+하/XSV+았/EP+던/ETM
교사들은	교사/NNG+들/XSN+은/JX
"힘들다"는	"/SS+힘들/VA+다/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
자주	자주/MAG
했고,	하/VV+았/EP+고/EC+,/SP
결국	결국/MAG
이듬해	이듬해/NNG
나가떨어졌다.	나가떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.180.6.3
이 모습을 지켜본 다른 교사들은 "아, 난 절대로 못해. 하기 싫다"고 피했다.

이	이/MMD
모습을	모습/NNG+을/JKO
지켜본	지켜보/VV+ㄴ/ETM
다른	다른/MMD
교사들은	교사/NNG+들/XSN+은/JX
"아,	"/SS+아/IC+,/SP
난	나/NP+ㄴ/JX
절대로	절대로/MAG
못해.	못/MAG+하/VV+아/EF+./SF
하기	하/VV+기/ETN
싫다"고	싫/VA+다/EF+"/SS+고/JKQ
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.180.6.4
2016년이면 이 중학교가 1년간 실시한 뒤 중단한 진로 교육을 전국 모든 학교가 한 학기에 집중적으로 실시해야 한다.

2016년이면	2016/SN+년/NNB+이/VCP+면/EC
이	이/MMD
중학교가	중학교/NNG+가/JKS
1년간	1/SN+년/NNB+간/XSN
실시한	실시/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
중단한	중단/NNG+하/XSV+ㄴ/ETM
진로	진로/NNG
교육을	교육/NNG+을/JKO
전국	전국/NNG
모든	모든/MMN
학교가	학교/NNG+가/JKS
한	한/MMN
학기에	학기/NNG+에/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
실시해야	실시/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.180.7.1
A교사는 "교사들은 학교 밖 사정에 어둡고 진로 탐색이 잘돼 있지 않다"며 "이들이 진로 교육에 부담을 느끼지 않게 할 수 있어야 자유학기제가 성공할 것"이라고 말했다.

A교사는	A/SL+교사/NNG+는/JX
"교사들은	"/SS+교사/NNG+들/XSN+은/JX
학교	학교/NNG
밖	밖/NNG
사정에	사정/NNG+에/JKB
어둡고	어둡/VA+고/EC
진로	진로/NNG
탐색이	탐색/NNG+이/JKS
잘돼	잘/MAG+되/XSV+어/EC
있지	있/VX+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
"이들이	"/SS+이/NP+들/XSN+이/JKS
교육에	교육/NNG+에/JKB
부담을	부담/NNG+을/JKO
느끼지	느끼/VV+지/EC
않게	않/VX+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
자유학기제가	자유/NNG+학기/NNG+제/XSN+가/JKS
성공할	성공/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.180.7.2
자유학기제 시행을 앞둔 정부가 귀 기울여야 할 목소리다.

자유학기제	자유/NNG+학기/NNG+제/XSN
시행을	시행/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
정부가	정부/NNG+가/JKS
귀	귀/NNG
기울여야	기울이/VV+어야/EC
할	하/VX+ㄹ/ETM
목소리다.	목소리/NNG+이/VCP+다/EF+./SF


