# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.364
metadata : {}


# id : NWRW1800000025.364.1.1
총알 탄 커플 “인생트랙 함께 달려요”

총알	총알/NNG
전국육상경기선수권에서	전국/NNG+육상/NNG+경기/NNG+선수/NNG+권/XSN+에서/JKB
10초36(초속	10/SN+초/NNB+36/SN+(/SS+초속/NNG
2.1m	2/SN+./SP+1/SN+m/SW
뒷바람으로	뒷바람/NNG+으로/JKB
비공인)을	비/XPN+공인/NNG+)/SS+을/JKO
기록해	기록/NNG+하/XSV+아/EC
1979년	1979/SN+년/NNB
서말구가	서말구/NNP+가/JKS
세운	세우/VV+ㄴ/ETM
한국	한국/NNP
기록(10초34)을	기록/NNG+(/SS+10/SN+초/NNB+34/SN+)/SS+을/JKO
깰	깨/VV+ㄹ/ETM
후보	후보/NNG
1순위로	1/SN+순위/NNG+로/JKB
평가받았다.	평가/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.364.4.3
올해 6월 전국육상경기선수권에서 후배 김국영(19·안양시청)에게 한국 기록 경신의 영광을 넘겨주긴 했지만 그 역시 10초32를 찍으며 상승세를 이어갔다.

올해	올해/NNG
6월	6/SN+월/NNB
전국육상경기선수권에서	전국/NNG+육상/NNG+경기/NNG+선수/NNG+권/XSN+에서/JKB
후배	후배/NNG
김국영(19·안양시청)에게	김국영/NNP+(/SS+19/SN+·/SP+안양시청/NNP+)/SS+에게/JKB
한국	한국/NNP
기록	기록/NNG
경신의	경신/NNG+의/JKG
영광을	영광/NNG+을/JKO
넘겨주긴	넘겨주/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
그	그/MMD
역시	역시/MAG
10초32를	10/SN+초/NNB+32/SN+를/JKO
찍으며	찍/VV+으며/EC
상승세를	상승세/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.364.5.1
김하나는 지난해 전국체전 100m, 200m와 400m 계주, 1600m 계주에서 4관왕에 오르며 대회 최우수선수로 뽑혔다.

김하나는	김하나/NNP+는/JX
지난해	지난해/NNG
전국체전	전국/NNG+체전/NNG
100m,	100/SN+m/SW+,/SP
200m와	200/SN+m/SW+와/JC
400m	400/SN+m/SW
계주,	계주/NNG+,/SP
1600m	1600/SN+m/SW
계주에서	계주/NNG+에서/JKB
4관왕에	4관왕/NNG+에/JKB
오르며	오르/VV+며/EC
대회	대회/NNG
최우수선수로	최/XPN+우수/NNG+선수/NNG+로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.364.5.2
미모를 겸비해 얼짱 스프린터로 불린다.

미모를	미모/NNG+를/JKO
겸비해	겸비/NNG+하/XSV+아/EC
얼짱	얼짱/NNG
스프린터로	스프린터/NNG+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.364.6.1
육상계에선 1년 내내 훈련이 이어지는 종목 특성상 선수끼리 결혼한 사례가 적지 않다.

육상계에선	육상/NNG+계/XSN+에서/JKB+ㄴ/JX
1년	1/SN+년/NNB
내내	내내/MAG
훈련이	훈련/NNG+이/JKS
이어지는	이어지/VV+는/ETM
종목	종목/NNG
특성상	특성/NNG+상/XSN
선수끼리	선수/NNG+끼리/XSN
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
사례가	사례/NNG+가/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.364.6.2
그 시너지 효과가 기록 향상으로 이어지는 경우가 많다는 게 육상인들의 전언.

그	그/MMD
시너지	시너지/NNG
효과가	효과/NNG+가/JKS
기록	기록/NNG
향상으로	향상/NNG+으로/JKB
이어지는	이어지/VV+는/ETM
경우가	경우/NNG+가/JKS
많다는	많/VA+다는/ETM
게	거/NNB+이/JKS
육상인들의	육상인/NNG+들/XSN+의/JKG
전언.	전언/NNG+./SF


# id : NWRW1800000025.364.6.3
광저우 아시아경기 여자 100m 허들 금메달을 따낸 이연경(안양시청)과 남자 허들 간판 이정준(경찰대)도 공인 커플이다.

광저우	광저우/NNP
아시아경기	아시아/NNP+경기/NNG
여자	여자/NNG
100m	100/SN+m/SW
허들	허들/NNG
금메달을	금메달/NNG+을/JKO
따낸	따/VV+아/EC+내/VX+ㄴ/ETM
이연경(안양시청)과	이연경/NNP+(/SS+안양시청/NNP+)/SS+과/JC
남자	남자/NNG
간판	간판/NNG
이정준(경찰대)도	이정준/NNP+(/SS+경찰대/NNP+)/SS+도/JX
공인	공인/NNG
커플이다.	커플/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.364.6.4
아시아경기 여자 멀리뛰기에서 우승한 정순옥(안동시청)은 인터뷰에서 높이뛰기 선수인 남자친구 지재형(문경시청)에 대해 “사랑합니다”라고 공개 고백을 하기도 했다.

아시아경기	아시아/NNP+경기/NNG
여자	여자/NNG
멀리뛰기에서	멀리뛰기/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
정순옥(안동시청)은	정순옥/NNP+(/SS+안동시청/NNP+)/SS+은/JX
인터뷰에서	인터뷰/NNG+에서/JKB
높이뛰기	높이뛰기/NNG
선수인	선수/NNG+이/VCP+ㄴ/ETM
남자친구	남자/NNG+친구/NNG
지재형(문경시청)에	지재형/NNP+(/SS+문경시청/NNP+)/SS+에/JKB
대해	대하/VV+아/EC
“사랑합니다”라고	“/SS+사랑/NNG+하/XSV+ㅂ니다/EF+”/SS+라고/JKQ
공개	공개/NNG
고백을	고백/NNG+을/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


