# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.462
metadata : {}


# id : NWRW1800000022.462.1.1
예산·부수법안 '동시 전투' 치러야;'절대과반' 與, 예결위·본회의 '두번 단독처리' 가능할까_"뜻대로 안되네"… 한나라의 고민거리

예산·부수법안	예산/NNG+·/SP+부수/NNG+법안/NNG
이날 현재 내년 1월 1일 시행을 앞둔 29개 예산부수법안 중 19개 법안이 법사위에 가 있지만, 정식 심사대상으로 상정된 법안은 공무원연금법 등 2건에 불과하다.

이날	이날/NNG
현재	현재/MAG
내년	내년/NNG
1월	1/SN+월/NNB
1일	1/SN+일/NNB
시행을	시행/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
29개	29/SN+개/NNB
예산부수법안	예산/NNG+부수/NNG+법안/NNG
중	중/NNB
19개	19/SN+개/NNB
법안이	법안/NNG+이/JKS
법사위에	법사위/NNG+에/JKB
가	가/VV+아/EC
있지만,	있/VX+지만/EC+,/SP
정식	정식/NNG
심사대상으로	심사/NNG+대상/NNG+으로/JKB
상정된	상정/NNG+되/XSV+ㄴ/ETM
법안은	법안/NNG+은/JX
공무원연금법	공무원/NNG+연금법/NNG
등	등/NNB
2건에	2/SN+건/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000022.462.5.1
한나라당은 이날도 "국세·지방세조정법 등 각 상임위에서 넘어온 예산부수법안을 법사위에 상정해달라"고 요구했으나, 민주당측은 "예산안과 부수법안은 연계해서 처리해야 한다"며 반대했다.

한나라당은	한나라당/NNP+은/JX
이날도	이날/NNG+도/JX
"국세·지방세조정법	"/SS+국세/NNG+·/SP+지방세/NNG+조정법/NNG
등	등/NNB
각	각/MMD
상임위에서	상임위/NNG+에서/JKB
넘어온	넘어오/VV+ㄴ/ETM
예산부수법안을	예산/NNG+부수/NNG+법안/NNG+을/JKO
법사위에	법사위/NNG+에/JKB
상정해달라"고	상정/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
요구했으나,	요구/NNG+하/XSV+았/EP+으나/EC+,/SP
민주당측은	민주당/NNP+측/NNB+은/JX
"예산안과	"/SS+예산안/NNG+과/JC
부수법안은	부수/NNG+법안/NNG+은/JX
연계해서	연계/NNG+하/XSV+아서/EC
처리해야	처리/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.462.5.2
유선호 법사위원장도 "여야 간사 간 원만한 합의가 있어야 법안을 심사할 수 있다"며 버티고 있다.

유선호	유선호/NNP
법사위원장도	법사위원장/NNG+도/JX
"여야	"/SS+여야/NNG
간사	간사/NNG
간	간/NNB
원만한	원만하/VA+ㄴ/ETM
합의가	합의/NNG+가/JKS
있어야	있/VA+어야/EC
법안을	법안/NNG+을/JKO
심사할	심사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
버티고	버티/VV+고/EC
있다.	있/VX+다/EF+./SF


