# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.277
metadata : {}


# id : NWRW1800000026.277.1.1
납품단가 인하 압력 대신 교육강화;대기업들, 中企와 상생 위해 교육·훈련 프로그램 확대

납품단가	납품/NNG+단가/NNG
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
전략적	전략/NNG+적/XSN
사고를	사고/NNG+를/JKO
5개씩	5/SN+개/NNB+씩/XSN
찾아내	찾아내/VV+어/EC
강사에게	강사/NNG+에게/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.277.5.1
강의실에서 만난 삼화전기 근로자 김철순씨는 "강의가 온종일 이어지지만, 창의성 토론 수업이어서 지겹다는 느낌은 들지 않는다. 실제 업무에 복귀했을 때 회사의 목표를 이루기 위해 전략을 짜고 행동하는 데 도움이 될 만한 내용"이라고 평가했다.

강의실에서	강의실/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
삼화전기	삼화전기/NNP
근로자	근로자/NNG
김철순씨는	김철순/NNP+씨/NNB+는/JX
"강의가	"/SS+강의/NNG+가/JKS
온종일	온종일/MAG
이어지지만,	이어지/VV+지만/EC+,/SP
창의성	창의/NNG+성/XSN
토론	토론/NNG
수업이어서	수업/NNG+이/VCP+어서/EC
지겹다는	지겹/VA+다는/ETM
느낌은	느낌/NNG+은/JX
들지	들/VV+지/EC
않는다.	않/VX+는다/EF+./SF
실제	실제/NNG
업무에	업무/NNG+에/JKB
복귀했을	복귀/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
회사의	회사/NNG+의/JKG
목표를	목표/NNG+를/JKO
이루기	이루/VV+기/ETN
위해	위하/VV+아/EC
전략을	전략/NNG+을/JKO
짜고	짜/VV+고/EC
행동하는	행동/NNG+하/XSV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
내용"이라고	내용/NNG+"/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.277.5.2
김씨를 비롯한 이곳 수강생들은 모두 LG전자 협력사 임직원들로, 이날 이곳에서 열린 강좌는 모두 LG전자가 협력사 임직원들에게 제공한 것이다.

김씨를	김/NNP+씨/NNB+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
이곳	이곳/NP
수강생들은	수강/NNG+생/XSN+들/XSN+은/JX
모두	모두/MAG
LG전자	LG전자/NNP
협력사	협력사/NNG
임직원들로,	임직원/NNG+들/XSN+로/JKB+,/SP
이날	이날/NNG
이곳에서	이곳/NP+에서/JKB
열린	열리/VV+ㄴ/ETM
강좌는	강좌/NNG+는/JX
LG전자가	LG전자/NNP+가/JKS
임직원들에게	임직원/NNG+들/XSN+에게/JKB
제공한	제공/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.277.6.1
삼성·LG·SK·포스코 등 국내 주요 대기업들이 협력사 임직원들을 대상으로 하는 각종 교육훈련 프로그램을 올해 들어 크게 확대하고 있다.

삼성·LG·SK·포스코	삼성/NNP+·/SP+LG/SL+·/SP+SK/SL+·/SP+포스코/NNP
등	등/NNB
국내	국내/NNG
주요	주요/NNG
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
협력사	협력사/NNG
임직원들을	임직원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
각종	각종/NNG
교육훈련	교육/NNG+훈련/NNG
프로그램을	프로그램/NNG+을/JKO
올해	올해/NNG
들어	들/VV+어/EC
크게	크/VA+게/EC
확대하고	확대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.277.7.1
삼성전자는 작년부터 기획·인사·재무 등 각 분야 전직 임원 출신 전문가들이 협력사를 대상으로 맞춤형 컨설팅을 해주는 '협력사 경영 컨설팅단'을 운영하고 있다.

삼성전자는	삼성전자/NNP+는/JX
작년부터	작년/NNG+부터/JX
기획·인사·재무	기획/NNG+·/SP+인사/NNG+·/SP+재무/NNG
등	등/NNB
각	각/MMD
분야	분야/NNG
전직	전직/NNG
임원	임원/NNG
출신	출신/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
협력사를	협력사/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
맞춤형	맞춤/NNG+형/XSN
컨설팅을	컨설팅/NNG+을/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
'협력사	'/SS+협력사/NNG
경영	경영/NNG
컨설팅단'을	컨설팅/NNG+단/NNG+'/SS+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.277.7.2
포스코는 매월 1회 계열사 임원급을 대상으로 진행하던 '토요학습'을 최근 협력사 최고경영자들에게도 개방했다.

포스코는	포스코/NNP+는/JX
매월	매월/MAG
1회	1/SN+회/NNB
계열사	계열사/NNG
임원급을	임원급/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
진행하던	진행/NNG+하/XSV+던/ETM
'토요학습'을	'/SS+토요/NNG+학습/NNG+'/SS+을/JKO
최근	최근/NNG
협력사	협력사/NNG
최고경영자들에게도	최고/NNG+경영자/NNG+들/XSN+에게/JKB+도/JX
개방했다.	개방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.277.7.3
현대·기아자동차는 협력사 직원들에게 용접·사출·도금 등 전문 기술을 가르치는 '기술학교'를 운영할 계획이다.

현대·기아자동차는	현대/NNP+·/SP+기아자동차/NNP+는/JX
협력사	협력사/NNG
직원들에게	직원/NNG+들/XSN+에게/JKB
용접·사출·도금	용접/NNG+·/SP+사출/NNG+·/SP+도금/NNG
등	등/NNB
전문	전문/NNG
기술을	기술/NNG+을/JKO
가르치는	가르치/VV+는/ETM
'기술학교'를	'/SS+기술/NNG+학교/NNG+'/SS+를/JKO
운영할	운영/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.277.8.1
LG전자는 지난해 20억원이었던 협력사 교육훈련비를 올해 28억원으로 늘렸다.

LG전자는	LG전자/NNP+는/JX
지난해	지난해/NNG
20억원이었던	20/SN+억/NR+원/NNB+이/VCP+었/EP+던/ETM
협력사	협력사/NNG
교육훈련비를	교육/NNG+훈련비/NNG+를/JKO
올해	올해/NNG
28억원으로	28/SN+억/NR+원/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.277.8.2
내년에는 35억원을 협력사 교육에 투자할 예정이다.

내년에는	내년/NNG+에/JKB+는/JX
35억원을	35/SN+억/NR+원/NNB+을/JKO
협력사	협력사/NNG
교육에	교육/NNG+에/JKB
투자할	투자/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.277.8.3
SK텔레콤은 'SK상생 아카데미'의 수강 신청 자격을 1차 협력사에서 2·3차 협력사로 확대할 예정이다.

SK텔레콤은	SK텔레콤/NNP+은/JX
'SK상생	'/SS+SK/SL+상생/NNG
아카데미'의	아카데미/NNG+'/SS+의/JKG
수강	수강/NNG
신청	신청/NNG
자격을	자격/NNG+을/JKO
1차	1/SN+차/NNB
협력사에서	협력사/NNG+에서/JKB
2·3차	2/SN+·/SP+3/SN+차/NNB
협력사로	협력사/NNG+로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.277.9.1
수강 인원도 늘어나고 있다.

수강	수강/NNG
인원도	인원/NNG+도/JX
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.277.9.2
LG전자의 경우 지난해 2920명이던 수강 인원이 올해는 5751명(예상)으로 늘었다.

LG전자의	LG전자/NNP+의/JKG
경우	경우/NNG
지난해	지난해/NNG
2920명이던	2920/SN+명/NNB+이/VCP+던/ETM
수강	수강/NNG
인원이	인원/NNG+이/JKS
올해는	올해/NNG+는/JX
5751명(예상)으로	5751/SN+명/NNB+(/SS+예상/NNG+)/SS+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.277.9.3
SK텔레콤의 경우 2006년 문을 연 상생아카데미의 온·오프라인 수강생 수가 10만명을 넘어섰다.

SK텔레콤의	SK텔레콤/NNP+의/JKG
경우	경우/NNG
2006년	2006/SN+년/NNB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
상생아카데미의	상생/NNG+아카데미/NNG+의/JKG
온·오프라인	온·오프라인/NNG
수강생	수강/NNG+생/XSN
수가	수/NNG+가/JKS
10만명을	10/SN+만/NR+명/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.277.10.1
이처럼 많은 협력사가 교육과정에 참여한 이유는 '들을만한' 강의가 많아졌기 때문이다.

이처럼	이/NP+처럼/JKB
많은	많/VA+은/ETM
협력사가	협력사/NNG+가/JKS
교육과정에	교육/NNG+과정/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
이유는	이유/NNG+는/JX
'들을만한'	'/SS+듣/VV+을/ETM+만/NNB+하/XSA+ㄴ/ETM+'/SS
강의가	강의/NNG+가/JKS
많아졌기	많아지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.277.11.1
1차 부품업체 삼화콘덴서 김영훈 대리는 "대기업이 제공하는 교육 프로그램이 개설 초기 '리더십 과정' 등 추상적이고 기초적인 내용 중심에서 최근 들어 일본어·중국어 등 어학과정과 환경·품질·구매 등 실제 업무에서 유용하게 적용할 수 있는 내용으로 발전하면서, 중소기업들 사이에서 인기도 높아지고 있다"고 말했다.

1차	1/SN+차/NNB
부품업체	부품업체/NNG
삼화콘덴서	삼화콘덴서/NNP
김영훈	김영훈/NNP
대리는	대리/NNG+는/JX
"대기업이	"/SS+대/XPN+기업/NNG+이/JKS
제공하는	제공/NNG+하/XSV+는/ETM
교육	교육/NNG
프로그램이	프로그램/NNG+이/JKS
개설	개설/NNG
초기	초기/NNG
'리더십	'/SS+리더십/NNG
과정'	과정/NNG+'/SS
등	등/NNB
추상적이고	추상/NNG+적/XSN+이/VCP+고/EC
기초적인	기초/NNG+적/XSN+이/VCP+ㄴ/ETM
내용	내용/NNG
중심에서	중심/NNG+에서/JKB
최근	최근/NNG
들어	들/VV+어/EC
일본어·중국어	일본어/NNP+·/SP+중국어/NNP
어학과정과	어학/NNG+과정/NNG+과/JC
환경·품질·구매	환경/NNG+·/SP+품질/NNG+·/SP+구매/NNG
실제	실제/NNG
업무에서	업무/NNG+에서/JKB
유용하게	유용/NNG+하/XSA+게/EC
적용할	적용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
내용으로	내용/NNG+으로/JKB
발전하면서,	발전/NNG+하/XSV+면서/EC+,/SP
중소기업들	중소기업/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
인기도	인기/NNG+도/JX
높아지고	높아지/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.277.12.1
이처럼 대기업들이 중소기업 교육 강화에 나서는 것은 기존 '납품 단가 인하'를 통한 이익 증대 방식이 한계에 이르고 있다는 판단 때문이다.

이처럼	이/NP+처럼/JKB
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
중소기업	중소기업/NNG
교육	교육/NNG
강화에	강화/NNG+에/JKB
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
기존	기존/NNG
'납품	'/SS+납품/NNG
단가	단가/NNG
인하'를	인하/NNG+'/SS+를/JKO
통한	통하/VV+ㄴ/ETM
이익	이익/NNG
증대	증대/NNG
방식이	방식/NNG+이/JKS
한계에	한계/NNG+에/JKB
이르고	이르/VV+고/EC
있다는	있/VX+다는/ETM
판단	판단/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.277.12.2
세계적으로 저탄소·녹색성장이 강조되는 등 산업의 패러다임 자체가 변하고 있다는 점도 대기업이 협력업체 교육을 강화하는 중요한 이유다.

세계적으로	세계/NNG+적/XSN+으로/JKB
저탄소·녹색성장이	저/XPN+탄소/NNG+·/SP+녹색/NNG+성장/NNG+이/JKS
강조되는	강조/NNG+되/XSV+는/ETM
등	등/NNB
산업의	산업/NNG+의/JKG
패러다임	패러다임/NNG
자체가	자체/NNG+가/JKS
변하고	변하/VV+고/EC
있다는	있/VX+다는/ETM
점도	점/NNG+도/JX
대기업이	대/XPN+기업/NNG+이/JKS
협력업체	협력/NNG+업체/NNG
교육을	교육/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.277.12.3
대기업이 내놓는 최종 생산품이 '탄소인증'을 받으려면 부품을 만드는 협력업체와 공동 노력이 필요하기 때문이다.

대기업이	대/XPN+기업/NNG+이/JKS
내놓는	내놓/VV+는/ETM
최종	최종/NNG
생산품이	생산품/NNG+이/JKS
'탄소인증'을	'/SS+탄소/NNG+인증/NNG+'/SS+을/JKO
받으려면	받/VV+으려면/EC
부품을	부품/NNG+을/JKO
만드는	만들/VV+는/ETM
협력업체와	협력/NNG+업체/NNG+와/JKB
공동	공동/NNG
노력이	노력/NNG+이/JKS
필요하기	필요/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.277.12.4
산업인력공단 기업지원팀 박세훈 차장은 "인재 교육의 필요성이 절실한 중소기업과, 협력업체를 튼튼하게 만들어 '지속 가능한 성장'을 추구하려는 대기업의 이해가 맞아떨어지면서 대기업들의 협력사 교육 프로그램이 확산되는 추세"라고 말했다.

산업인력공단	산업인력공단/NNP
기업지원팀	기업/NNG+지원/NNG+팀/NNG
박세훈	박세훈/NNP
차장은	차장/NNG+은/JX
"인재	"/SS+인재/NNG
교육의	교육/NNG+의/JKG
필요성이	필요/NNG+성/XSN+이/JKS
절실한	절실하/VA+ㄴ/ETM
중소기업과,	중소기업/NNG+과/JC+,/SP
협력업체를	협력/NNG+업체/NNG+를/JKO
튼튼하게	튼튼하/VA+게/EC
만들어	만들/VV+어/EC
'지속	'/SS+지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
성장'을	성장/NNG+'/SS+을/JKO
추구하려는	추구/NNG+하/XSV+려는/ETM
대기업의	대/XPN+기업/NNG+의/JKG
이해가	이해/NNG+가/JKS
맞아떨어지면서	맞아떨어지/VV+면서/EC
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
협력사	협력사/NNG
교육	교육/NNG
프로그램이	프로그램/NNG+이/JKS
확산되는	확산/NNG+되/XSV+는/ETM
추세"라고	추세/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


