# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.242
metadata : {}


# id : NWRW1800000026.242.1.1
[장애를 껴안으면 능력이 보입니다] "경기도 공공기관, 장애인 4%까지 뽑게 할 것";김문수 경기지사

[장애를	[/SS+장애/NNG+를/JKO
# id : NWRW1800000026.242.4.1
김 지사는 특히 "경기도는 전국 지방자치단체 중 공공도서관이 가장 많은 곳"이라며 "우선 일차적으로 144개 공공도서관에서 최소 한 명씩의 장애인을 사서보조원으로 채용하되 급여 수준도 (지금의 복지 일자리 사업 기준 월 20만원을 넘는) 월 85만원대로 대폭 올릴 수 있도록 정책을 추진하겠다"고 말했다.

김	김/NNP
지사는	지사/NNG+는/JX
특히	특히/MAG
"경기도는	"/SS+경기도/NNP+는/JX
전국	전국/NNG
지방자치단체	지방/NNG+자치/NNG+단체/NNG
중	중/NNB
공공도서관이	공공/NNG+도서관/NNG+이/JKS
가장	가장/MAG
많은	많/VA+은/ETM
곳"이라며	곳/NNG+"/SS+이/VCP+라며/EC
"우선	"/SS+우선/MAG
일차적으로	일차/NNG+적/XSN+으로/JKB
144개	144/SN+개/NNB
공공도서관에서	공공/NNG+도서관/NNG+에서/JKB
최소	최소/NNG
한	한/MMN
명씩의	명/NNB+씩/XSN+의/JKG
장애인을	장애인/NNG+을/JKO
사서보조원으로	사서/NNG+보조원/NNG+으로/JKB
채용하되	채용/NNG+하/XSV+되/EC
급여	급여/NNG
수준도	수준/NNG+도/JX
(지금의	(/SS+지금/NNG+의/JKG
복지	복지/NNG
일자리	일자리/NNG
사업	사업/NNG
기준	기준/NNG
월	월/NNG
20만원을	20/SN+만/NR+원/NNB+을/JKO
넘는)	넘/VV+는/ETM+)/SS
85만원대로	85/SN+만/NR+원/NNB+대/XSN+로/JKB
대폭	대폭/MAG
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
정책을	정책/NNG+을/JKO
추진하겠다"고	추진/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.242.5.1
김 지사는 '장애인 일자리'가 진정한 '일하는 복지'란 점을 인터뷰 내내 강조했다.

김	김/NNP
지사는	지사/NNG+는/JX
'장애인	'/SS+장애인/NNG
일자리'가	일자리/NNG+'/SS+가/JKS
진정한	진정하/VA+ㄴ/ETM
'일하는	'/SS+일/NNG+하/XSV+는/ETM
복지'란	복지/NNG+'/SS+이/VCP+란/ETM
점을	점/NNG+을/JKO
인터뷰	인터뷰/NNG
내내	내내/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.242.6.1
"장애인에게 수당만 주면서 '당신은 누군가에 업혀 있고 누군가에 짐이 되고 있다'는 생각을 갖게 해서는 안 됩니다.

"장애인에게	"/SS+장애인/NNG+에게/JKB
수당만	수당/NNG+만/JX
주면서	주/VV+면서/EC
'당신은	'/SS+당신/NP+은/JX
누군가에	누구/NP+이/VCP+ㄴ가/EF+에/JKB
업혀	업히/VV+어/EC
있고	있/VX+고/EC
짐이	짐/NNG+이/JKC
되고	되/VV+고/EC
있다'는	있/VX+다/EF+'/SS+는/ETM
생각을	생각/NNG+을/JKO
갖게	갖/VV+게/EC
해서는	하/VX+아서/EC+는/JX
안	안/MAG
됩니다.	되/VV+ㅂ니다/EF+./SF


# id : NWRW1800000026.242.6.2
장애인에게도 노동의 기회를 제공해 일하는 보람을 주면서 자아실현의 만족, 이웃과 가족이 대견스럽게 생각하는 일을 하고 있다는 자부심을 심어줄 수 있어야 합니다."

장애인에게도	장애인/NNG+에게/JKB+도/JX
노동의	노동/NNG+의/JKG
기회를	기회/NNG+를/JKO
제공해	제공/NNG+하/XSV+아/EC
일하는	일/NNG+하/XSV+는/ETM
보람을	보람/NNG+을/JKO
주면서	주/VV+면서/EC
자아실현의	자아실현/NNG+의/JKG
만족,	만족/NNG+,/SP
이웃과	이웃/NNG+과/JC
가족이	가족/NNG+이/JKS
대견스럽게	대견스럽/VA+게/EC
생각하는	생각/NNG+하/XSV+는/ETM
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
자부심을	자부심/NNG+을/JKO
심어줄	심/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000026.242.7.1
김 지사는 이어 ▲신체가 건강한 지적 장애인은 영농 농사나 재활용품 선별사업 ▲활동이 불편하지만 지적 능력이 있는 장애인은 방송 제작, 진행, 미디어 분야 등에서 '장애인 일자리'를 만드는 데 주력하겠다고 말했다.

김	김/NNP
지사는	지사/NNG+는/JX
이어	이어/MAG
▲신체가	▲/SW+신체/NNG+가/JKS
건강한	건강/NNG+하/XSA+ㄴ/ETM
지적	지/NNG+적/XSN
장애인은	장애인/NNG+은/JX
영농	영농/NNG
농사나	농사/NNG+나/JC
재활용품	재활용품/NNG
선별사업	선별/NNG+사업/NNG
▲활동이	▲/SW+활동/NNG+이/JKS
불편하지만	불편/NNG+하/XSA+지만/EC
능력이	능력/NNG+이/JKS
있는	있/VA+는/ETM
방송	방송/NNG
제작,	제작/NNG+,/SP
진행,	진행/NNG+,/SP
미디어	미디어/NNG
분야	분야/NNG
등에서	등/NNB+에서/JKB
'장애인	'/SS+장애인/NNG
일자리'를	일자리/NNG+'/SS+를/JKO
만드는	만들/VV+는/ETM
데	데/NNB
주력하겠다고	주력/NNG+하/XSV+겠/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


