# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.261
metadata : {}


# id : NWRW1800000056.261.1.1
‘무릎꿇는 엄마’ 더는 없게…특수학교 22곳 이상 짓는다

‘무릎꿇는	‘/SS+무릎/NNG+꿇/VV+는/ETM
국회에서도	국회/NNG+에서/JKB+도/JX
일반	일반/NNG
고교와	고교/NNG+와/JKB
함께	함께/MAG
특수학교를	특수/NNG+학교/NNG+를/JKO
신도시	신/XPN+도시/NNG
학교용지에	학교용지/NNG+에/JKB
포함하는	포함/NNG+하/XSV+는/ETM
‘학교용지	‘/SS+학교용지/NNG
확보	확보/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
특례법’	특례법/NNG+’/SS
개정안이	개정안/NNG+이/JKS
지난달	지난달/NNG
발의된	발의/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.261.10.3
원도심에서도 교육청이나 지방자치단체가 소유한 땅이나, 대학이 소유했지만 잘 쓰지 않는 땅을 특수학교 부지로 활용한다는 계획이다.

원도심에서도	원도심/NNG+에서/JKB+도/JX
교육청이나	교육청/NNG+이나/JC
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
소유한	소유/NNG+하/XSV+ㄴ/ETM
땅이나,	땅/NNG+이나/JC+,/SP
대학이	대학/NNG+이/JKS
소유했지만	소유/NNG+하/XSV+았/EP+지만/EC
잘	잘/MAG
쓰지	쓰/VV+지/EC
않는	않/VX+는/ETM
땅을	땅/NNG+을/JKO
특수학교	특수/NNG+학교/NNG
부지로	부지/NNG+로/JKB
활용한다는	활용/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.261.10.4
교육부 관계자는 “교육지원청별로 특수학교 수요를 파악한 뒤, 부족한 부분에 대해 중앙정부가 직접 개입해 지원하고, 지역 주민과 소통하면서 특수학교 문제를 해결할 것”이라고 말했다.

교육부	교육부/NNG
관계자는	관계자/NNG+는/JX
“교육지원청별로	“/SS+교육/NNG+지원청/NNG+별/XSN+로/JKB
특수학교	특수/NNG+학교/NNG
수요를	수요/NNG+를/JKO
파악한	파악/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
부족한	부족/NNG+하/XSA+ㄴ/ETM
부분에	부분/NNG+에/JKB
대해	대하/VV+아/EC
중앙정부가	중앙/NNG+정부/NNG+가/JKS
직접	직접/MAG
개입해	개입/NNG+하/XSV+아/EC
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
지역	지역/NNG
주민과	주민/NNG+과/JKB
소통하면서	소통/NNG+하/XSV+면서/EC
문제를	문제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.261.11.1
최근 특수교육 대상이 가장 큰 폭으로 늘고 있는 유아 단계에서는 17개 시·도에 1개 이상의 통합유치원 설립을 추진한다.

최근	최근/NNG
특수교육	특수/NNG+교육/NNG
대상이	대상/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
유아	유아/NNG
단계에서는	단계/NNG+에서/JKB+는/JX
17개	17/SN+개/NNB
시·도에	시·도/NNG+에/JKB
1개	1/SN+개/NNB
이상의	이상/NNG+의/JKG
통합유치원	통합/NNG+유치원/NNG
설립을	설립/NNG+을/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.261.11.2
통합유치원은 일반-특수교사가 ‘공동 담임’을 맡아 교실을 운영하는 형태다.

통합유치원은	통합/NNG+유치원/NNG+은/JX
일반-특수교사가	일반/NNG+-/SO+특수/NNG+교사/NNG+가/JKS
‘공동	‘/SS+공동/NNG
담임’을	담임/NNG+’/SS+을/JKO
맡아	맡/VV+아/EC
교실을	교실/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
형태다.	형태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.261.11.3
또 특수교사 배치율도 현재 67% 수준에서 90%대까지 높인다.

또	또/MAG
특수교사	특수/NNG+교사/NNG
배치율도	배치/NNG+율/XSN+도/JX
현재	현재/MAG
67%	67/SN+%/SW
수준에서	수준/NNG+에서/JKB
90%대까지	90/SN+%/SW+대/XSN+까지/JX
높인다.	높이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.261.12.1
2013년부터 5년간 진행된 ‘제4차 특수교육발전 계획’은 2011년 이른바 ‘도가니 사건’ 영향으로 장애학생의 학습 인권 문제에 초점을 맞췄다.

2013년부터	2013/SN+년/NNB+부터/JX
5년간	5/SN+년/NNB+간/XSN
진행된	진행/NNG+되/XSV+ㄴ/ETM
‘제4차	‘/SS+제/XPN+4/SN+차/NNB
특수교육발전	특수/NNG+교육/NNG+발전/NNG
계획’은	계획/NNG+’/SS+은/JX
2011년	2011/SN+년/NNB
이른바	이른바/MAG
‘도가니	‘/SS+도가니/NNG
사건’	사건/NNG+’/SS
영향으로	영향/NNG+으로/JKB
장애학생의	장애/NNG+학생/NNG+의/JKG
학습	학습/NNG
인권	인권/NNG
문제에	문제/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.261.12.2
통합교육에 대한 고려가 부족했다는 점과 특수교육 시설 및 교원 충원이 제때 이뤄지지 않은 점 등이 한계로 꼽혀왔는데, 이번 5차 계획은 이를 보완하는 데 중점을 뒀다.

통합교육에	통합/NNG+교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고려가	고려/NNG+가/JKS
부족했다는	부족/NNG+하/XSA+았/EP+다는/ETM
점과	점/NNG+과/JC
특수교육	특수/NNG+교육/NNG
시설	시설/NNG
및	및/MAG
교원	교원/NNG
충원이	충원/NNG+이/JKS
제때	제때/NNG
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
점	점/NNG
등이	등/NNB+이/JKS
한계로	한계/NNG+로/JKB
꼽혀왔는데,	꼽히/VV+어/EC+오/VX+았/EP+는데/EC+,/SP
이번	이번/NNG
5차	5/SN+차/NNB
계획은	계획/NNG+은/JX
이를	이/NP+를/JKO
보완하는	보완/NNG+하/XSV+는/ETM
데	데/NNB
중점을	중점/NNG+을/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.261.13.1
장애아동 학부모와 관련 단체는 일단 반기는 태도다.

장애아동	장애/NNG+아동/NNG
학부모와	학부모/NNG+와/JC
관련	관련/NNG
단체는	단체/NNG+는/JX
일단	일단/MAG
반기는	반기/VV+는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.261.13.2
김기룡 전국장애인부모연대 사무총장은 “정부가 지역 주민과의 갈등 해결에 직접 개입하는 등 적극적 의지를 보인 것은 긍정적”이라며 “다만 입시 중심 교육 등과 얽혀 대안을 내놓지 못하는 중·고교 특수교육 문제 등 해결해야 할 일이 여전히 많다”고 말했다.

김기룡	김기룡/NNP
전국장애인부모연대	전국장애인부모연대/NNP
사무총장은	사무총장/NNG+은/JX
“정부가	“/SS+정부/NNG+가/JKS
지역	지역/NNG
주민과의	주민/NNG+과/JKB+의/JKG
갈등	갈등/NNG
해결에	해결/NNG+에/JKB
직접	직접/MAG
개입하는	개입/NNG+하/XSV+는/ETM
등	등/NNB
적극적	적극/NNG+적/XSN
의지를	의지/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
것은	것/NNB+은/JX
긍정적”이라며	긍정/NNG+적/XSN+”/SS+이/VCP+라며/EC
“다만	“/SS+다만/MAG
입시	입시/NNG
중심	중심/NNG
교육	교육/NNG
등과	등/NNB+과/JKB
얽혀	얽히/VV+어/EC
대안을	대안/NNG+을/JKO
내놓지	내놓/VV+지/EC
못하는	못하/VX+는/ETM
중·고교	중·고교/NNG
특수교육	특수/NNG+교육/NNG
문제	문제/NNG
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
일이	일/NNG+이/JKS
여전히	여전히/MAG
많다”고	많/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


