# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.64
metadata : {}


# id : NWRW1800000056.64.1.1
신임 미 법무장관도 러시아와 ‘내통’ 의혹

신임	신임/NNG
두 사람은 7월 보수 성향의 싱크탱크인 헤리티지 재단 주최 행사에서 만나 대화를 나눴다.

두	두/MMN
사람은	사람/NNG+은/JX
7월	7/SN+월/NNB
보수	보수/NNG
성향의	성향/NNG+의/JKG
싱크탱크인	싱크탱크/NNG+이/VCP+ㄴ/ETM
헤리티지	헤리티지/NNP
재단	재단/NNG
주최	주최/NNG
행사에서	행사/NNG+에서/JKB
만나	만나/VV+아/EC
대화를	대화/NNG+를/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.64.6.4
당시 각국의 대사 약 50명이 이 행사에 참석했다.

당시	당시/NNG
각국의	각국/NNG+의/JKG
대사	대사/NNG
약	약/MMA
50명이	50/SN+명/NNB+이/JKS
이	이/MMD
행사에	행사/NNG+에/JKB
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.6.5
행사가 끝나고 난 뒤 세션스는 대사 몇명과 따로 대화했는데 그중에 키슬랴크 대사도 있었다.

행사가	행사/NNG+가/JKS
끝나고	끝나/VV+고/EC
난	나/VX+ㄴ/ETM
뒤	뒤/NNG
세션스는	세션스/NNP+는/JX
대사	대사/NNG
몇명과	몇/NR+명/NNB+과/JKB
따로	따로/MAG
대화했는데	대화/NNG+하/XSV+았/EP+는데/EC
그중에	그중/NNG+에/JKB
키슬랴크	키슬랴크/NNP
대사도	대사/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.64.6.6
이어 9월에는 세션스 의원은 자신의 사무실에서 키슬랴크 대사를 개인적으로 만났다.

이어	이어/MAG
9월에는	9/SN+월/NNB+에/JKB+는/JX
세션스	세션스/NNP
의원은	의원/NNG+은/JX
자신의	자신/NNG+의/JKG
사무실에서	사무실/NNG+에서/JKB
키슬랴크	키슬랴크/NNP
대사를	대사/NNG+를/JKO
개인적으로	개인/NNG+적/XSN+으로/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.6.7
당시는 러시아가 미국 대선을 방해하려고 사이버 캠페인을 벌인다는 논란이 한창일 때였다.

당시는	당시/NNG+는/JX
러시아가	러시아/NNP+가/JKS
미국	미국/NNP
대선을	대선/NNG+을/JKO
방해하려고	방해/NNG+하/XSV+려고/EC
사이버	사이버/NNG
캠페인을	캠페인/NNG+을/JKO
벌인다는	벌이/VV+ㄴ다는/ETM
논란이	논란/NNG+이/JKS
한창일	한창/NNG+이/VCP+ㄹ/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.64.7.1
그러나 세션스 장관은 지난 1월 상원 인준 청문회에서 앨 프랭컨 민주당 의원이 ‘대선 때 트럼프 캠프 관계자가 러시아 정부 쪽과 소통했다는 증거를 발견하게 되면 어떻게 할 것이냐’고 묻자, 그는 “그런 어떤 행동도 알지 못한다.

그러나	그러나/MAJ
세션스	세션스/NNP
장관은	장관/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
상원	상원/NNG
인준	인준/NNG
청문회에서	청문회/NNG+에서/JKB
앨	앨/NNP
프랭컨	프랭컨/NNP
민주당	민주당/NNP
의원이	의원/NNG+이/JKS
‘대선	‘/SS+대선/NNG
때	때/NNG
트럼프	트럼프/NNP
캠프	캠프/NNG
관계자가	관계자/NNG+가/JKS
러시아	러시아/NNP
정부	정부/NNG
쪽과	쪽/NNB+과/JKB
소통했다는	소통/NNG+하/XSV+았/EP+다는/ETM
증거를	증거/NNG+를/JKO
발견하게	발견/NNG+하/XSV+게/EC
되면	되/VV+면/EC
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
것이냐’고	것/NNB+이/VCP+냐/EF+’/SS+고/JKQ
묻자,	묻/VV+자/EC+,/SP
그는	그/NP+는/JX
“그런	“/SS+그런/MMD
어떤	어떤/MMD
행동도	행동/NNG+도/JX
알지	알/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.64.7.2
나는 캠프의 대리인으로 한두차례 불린 적이 있는데 러시아 쪽과 소통한 적이 없다”고 답했다.

나는	나/NP+는/JX
캠프의	캠프/NNG+의/JKG
대리인으로	대리인/NNG+으로/JKB
한두차례	한두/MMN+차례/NNG
불린	불리/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있는데	있/VA+는데/EC
러시아	러시아/NNP
쪽과	쪽/NNB+과/JKB
소통한	소통/NNG+하/XSV+ㄴ/ETM
없다”고	없/VA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.7.3
세션스 장관은 또 패트릭 레이히 민주당 의원이 ‘대선일 전후로 러시아 정부와 관련이 있는 사람과 접촉한 적이 있느냐’고 서면으로 질의하자 “아니오”라고 답했다.

세션스	세션스/NNP
장관은	장관/NNG+은/JX
또	또/MAG
패트릭	패트릭/NNP
레이히	레이히/NNP
민주당	민주당/NNP
의원이	의원/NNG+이/JKS
‘대선일	‘/SS+대선일/NNG
전후로	전후/NNG+로/JKB
러시아	러시아/NNP
정부와	정부/NNG+와/JKB
관련이	관련/NNG+이/JKS
있는	있/VA+는/ETM
사람과	사람/NNG+과/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있느냐’고	있/VA+느냐/EF+’/SS+고/JKQ
서면으로	서면/NNG+으로/JKB
질의하자	질의/NNG+하/XSV+자/EC
“아니오”라고	“/SS+아니오/IC+”/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.8.1
이에 대해 세라 이즈거 플로레스 법무부 대변인은 세션스 장관이 당시 키슬랴크 대사와 만난 것은 선거캠프 대리인 자격보다는 상원 군사위윈회 위원으로서의 만남이었으며, 자세한 대화 내용도 기억하지 못하고 있다고 전했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
세라	세라/NNP
이즈거	이즈거/NNP
플로레스	플로레스/NNP
법무부	법무부/NNG
대변인은	대변인/NNG+은/JX
세션스	세션스/NNP
장관이	장관/NNG+이/JKS
당시	당시/NNG
키슬랴크	키슬랴크/NNP
대사와	대사/NNG+와/JKB
만난	만나/VV+ㄴ/ETM
것은	것/NNB+은/JX
선거캠프	선거/NNG+캠프/NNG
대리인	대리인/NNG
자격보다는	자격/NNG+보다/JKB+는/JX
상원	상원/NNG
군사위윈회	군사/NNG+위윈회/NNG
위원으로서의	위원/NNG+으로서/JKB+의/JKG
만남이었으며,	만남/NNG+이/VCP+었/EP+으며/EC+,/SP
자세한	자세하/VA+ㄴ/ETM
대화	대화/NNG
내용도	내용/NNG+도/JX
기억하지	기억/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.8.2
또 세션스가 상원의원으로서 영국과 한국, 일본, 폴란드, 인도, 중국, 캐나다, 오스트레일리아, 독일 대사와도 모두 25차례 이상 대화를 나눴다고 했다.

또	또/MAG
세션스가	세션스/NNP+가/JKS
상원의원으로서	상원/NNG+의원/NNG+으로서/JKB
영국과	영국/NNP+과/JC
한국,	한국/NNP+,/SP
일본,	일본/NNP+,/SP
폴란드,	폴란드/NNP+,/SP
인도,	인도/NNP+,/SP
중국,	중국/NNP+,/SP
캐나다,	캐나다/NNP+,/SP
오스트레일리아,	오스트레일리아/NNP+,/SP
독일	독일/NNP
대사와도	대사/NNG+와/JKB+도/JX
모두	모두/MAG
25차례	25/SN+차례/NNG
이상	이상/NNG
대화를	대화/NNG+를/JKO
나눴다고	나누/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.9.1
그러나 <워싱턴 포스트>는 상원 군사위원회 위원 26명 모두에게 키슬랴크 대사를 지난해 만난 적이 있느냐고 물은 결과, 존 매케인 군사위원장을 포함해 답변한 20명 전원이 지난해 키슬랴크 대사를 만난 적이 없다고 답했다고 보도했다.

그러나	그러나/MAJ
<워싱턴	</SS+워싱턴/NNP
포스트>는	포스트/NNG+>/SS+는/JX
상원	상원/NNG
군사위원회	군사/NNG+위원회/NNG
위원	위원/NNG
26명	26/SN+명/NNB
모두에게	모두/NNG+에게/JKB
키슬랴크	키슬랴크/NNP
대사를	대사/NNG+를/JKO
지난해	지난해/NNG
만난	만나/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있느냐고	있/VA+느냐고/EC
물은	묻/VV+은/ETM
결과,	결과/NNG+,/SP
존	존/NNP
매케인	매케인/NNP
군사위원장을	군사/NNG+위원장/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
답변한	답변/NNG+하/XSV+ㄴ/ETM
20명	20/SN+명/NNB
전원이	전원/NNG+이/JKS
없다고	없/VA+다고/EC
답했다고	답/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.10.1
이 신문의 보도 뒤 세션스 장관은 성명을 내 “대선 선거운동 문제를 논의하려고 어떤 러시아 관리도 만난 적이 없다.

이	이/MMD
신문의	신문/NNG+의/JKG
보도	보도/NNG
뒤	뒤/NNG
세션스	세션스/NNP
장관은	장관/NNG+은/JX
성명을	성명/NNG+을/JKO
내	내/VV+어/EC
“대선	“/SS+대선/NNG
선거운동	선거/NNG+운동/NNG
문제를	문제/NNG+를/JKO
논의하려고	논의/NNG+하/XSV+려고/EC
어떤	어떤/MMD
러시아	러시아/NNP
관리도	관리/NNG+도/JX
만난	만나/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.64.10.2
이번 주장이 무슨 말인지 모르겠다.

이번	이번/NNG
주장이	주장/NNG+이/JKS
무슨	무슨/MMD
말인지	말/NNG+이/VCP+ㄴ지/EC
모르겠다.	모르/VV+겠/EP+다/EF+./SF


# id : NWRW1800000056.64.10.3
그것은 거짓이다”라고 말했다.

그것은	그것/NP+은/JX
거짓이다”라고	거짓/NNG+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.11.1
민주당 의원들은 세션스가 법무장관에서 물러나야 한다고 목소리를 높였다.

민주당	민주당/NNP
의원들은	의원/NNG+들/XSN+은/JX
세션스가	세션스/NNP+가/JKS
법무장관에서	법무/NNG+장관/NNG+에서/JKB
물러나야	물러나/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.64.11.2
낸시 펠로시 민주당 하원 원내대표는 성명을 내 “러시아와의 소통에 대해 의회에 거짓말한 법무장관은 사퇴해야 한다”며 “세션스가 법 집행기관 수장을 맡기에 적절치 않다”고 말했다.

낸시	낸시/NNP
펠로시	펠로시/NNP
민주당	민주당/NNP
하원	하원/NNG
원내대표는	원내/NNG+대표/NNG+는/JX
성명을	성명/NNG+을/JKO
내	내/VV+어/EC
“러시아와의	“/SS+러시아/NNP+와/JKB+의/JKG
소통에	소통/NNG+에/JKB
대해	대하/VV+아/EC
의회에	의회/NNG+에/JKB
거짓말한	거짓말/NNG+하/XSV+ㄴ/ETM
법무장관은	법무/NNG+장관/NNG+은/JX
사퇴해야	사퇴/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“세션스가	“/SS+세션스/NNP+가/JKS
법	법/NNG
집행기관	집행/NNG+기관/NNG
수장을	수장/NNG+을/JKO
맡기에	맡/VV+기/ETN+에/JKB
적절치	적절하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.11.3
프랭컨 상원의원도 성명을 내 “그가 트럼프-러시아 커넥션을 수사하는 법무부와 연방수사국(FBI)를 감독할 수 없다는 사실이 더 분명해졌다”며 세션스 장관에서 수사에 관여하지 말라고 촉구했다.

프랭컨	프랭컨/NNP
상원의원도	상원/NNG+의원/NNG+도/JX
성명을	성명/NNG+을/JKO
내	내/VV+어/EC
“그가	“/SS+그/NP+가/JKS
트럼프-러시아	트럼프/NNP+-/SO+러시아/NNP
커넥션을	커넥션/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
법무부와	법무부/NNG+와/JC
연방수사국(FBI)를	연방수사국/NNP+(/SS+FBI/SL+)/SS+를/JKO
감독할	감독/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
사실이	사실/NNG+이/JKS
더	더/MAG
분명해졌다”며	분명/MAG+하/XSA+아/EC+지/VX+었/EP+다/EF+”/SS+며/EC
세션스	세션스/NNP
장관에서	장관/NNG+에서/JKB
수사에	수사/NNG+에/JKB
관여하지	관여/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.12.1
마이클 플린 전 국가안보보좌관이 키슬랴크 대사와 수차례 접촉해 대러시아 제재 해제 문제 등을 논의하고도 이를 제대로 보고하지 않은 사실이 드러나 지난달 사퇴한 데 세션스 법무장관도 러시아와 접촉한 사실이 드러나면서 ‘러시아 게이트’ 파문은 더 커질 조짐이다.

마이클	마이클/NNP
플린	플린/NNP
전	전/MMD
국가안보보좌관이	국가/NNG+안보/NNG+보좌관/NNG+이/JKS
키슬랴크	키슬랴크/NNP
대사와	대사/NNG+와/JKB
수차례	수차례/NNG
접촉해	접촉/NNG+하/XSV+아/EC
대러시아	대러시아/NNG
제재	제재/NNG
해제	해제/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
논의하고도	논의/NNG+하/XSV+고/EC+도/JX
이를	이/NP+를/JKO
제대로	제대로/MAG
보고하지	보고/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
지난달	지난달/NNG
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
데	데/NNB
세션스	세션스/NNP
법무장관도	법무/NNG+장관/NNG+도/JX
러시아와	러시아/NNP+와/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
드러나면서	드러나/VV+면서/EC
‘러시아	‘/SS+러시아/NNP
게이트’	게이트/NNG+’/SS
파문은	파문/NNG+은/JX
더	더/MAG
커질	커지/VV+ㄹ/ETM
조짐이다.	조짐/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.64.12.2
미 중앙정보국(CIA) 등은 러시아가 트럼프의 대통령 당선을 돕기 위해 민주당 전국위원회 등을 해킹하는 등 미국 대선에 개입했다고 결론을 내린 바 있다.

미	미/NNP
중앙정보국(CIA)	중앙정보국/NNP+(/SS+CIA/SL+)/SS
등은	등/NNB+은/JX
러시아가	러시아/NNP+가/JKS
트럼프의	트럼프/NNP+의/JKG
대통령	대통령/NNG
당선을	당선/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
민주당	민주당/NNP
전국위원회	전국/NNG+위원회/NNG
등을	등/NNB+을/JKO
해킹하는	해킹/NNG+하/XSV+는/ETM
등	등/NNB
미국	미국/NNP
대선에	대선/NNG+에/JKB
개입했다고	개입/NNG+하/XSV+았/EP+다고/EC
결론을	결론/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


