# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.395
metadata : {}


# id : NWRW1800000049.395.1.1
[수도권]‘지옥철’ 9호선 열차 늘린다

[수도권]‘지옥철’	[/SS+수도/NNG+권/XSN+]/SS+‘/SS+지옥철/NNG+’/SS
2호선은	2/SN+호선/NNB+은/JX
한	한/MMN
열차가	열차/NNG+가/JKS
10량으로	10/SN+량/NNB+으로/JKB
구성되지만	구성/NNG+되/XSV+지만/EC
9호선은	9/SN+호선/NNB+은/JX
4량에	4/SN+량/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000049.395.4.1
이에 따라 서울시는 8월부터 12월까지 단계적으로 4량짜리 열차를 총 8대(32량) 추가할 계획이라고 20일 밝혔다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
서울시는	서울시/NNP+는/JX
8월부터	8/SN+월/NNB+부터/JX
12월까지	12/SN+월/NNB+까지/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
4량짜리	4/SN+량/NNB+짜리/XSN
열차를	열차/NNG+를/JKO
총	총/MMA
8대(32량)	8/SN+대/NNB+(/SS+32/SN+량/NNB+)/SS
추가할	추가/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.395.4.2
이렇게 되면 지하철 9호선의 운행 차량은 현재 144량에서 올해 말 176량으로 늘어난다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
지하철	지하철/NNG
9호선의	9/SN+호선/NNB+의/JKG
운행	운행/NNG
차량은	차량/NNG+은/JX
현재	현재/MAG
144량에서	144/SN+량/NNB+에서/JKB
올해	올해/NNG
말	말/NNB
176량으로	176/SN+량/NNB+으로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.395.4.3
지하철 1량의 정원은 158명이다.

지하철	지하철/NNG
1량의	1/SN+량/NNB+의/JKG
정원은	정원/NNG+은/JX
158명이다.	158/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.395.5.1
내년부터는 열차 길이도 길어진다.

내년부터는	내년/NNG+부터/JX+는/JX
열차	열차/NNG
길이도	길이/NNG+도/JX
길어진다.	길어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.395.5.2
한 차량에 많은 승객이 탈 수 있도록 급행 열차를 중심으로 6량 열차가 시범 운영된다.

한	한/MMN
차량에	차량/NNG+에/JKB
많은	많/VA+은/ETM
승객이	승객/NNG+이/JKS
탈	타/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
급행	급행/NNG
열차를	열차/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
6량	6/SN+량/NNB
열차가	열차/NNG+가/JKS
시범	시범/NNG
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.395.5.3
6량 열차의 비중을 점차 늘려 내년 말까지 28대는 4량, 17대는 6량으로 운행할 예정이다.

6량	6/SN+량/NNB
열차의	열차/NNG+의/JKG
비중을	비중/NNG+을/JKO
점차	점차/MAG
늘려	늘리/VV+어/EC
내년	내년/NNG
말까지	말/NNB+까지/JX
28대는	28/SN+대/NNB+는/JX
4량,	4/SN+량/NNB+,/SP
17대는	17/SN+대/NNB+는/JX
6량으로	6/SN+량/NNB+으로/JKB
운행할	운행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.395.6.1
서울시는 2018년 지하철 9호선 3단계(잠실운동장∼보훈병원) 구간이 개통하기 전까지 모든 차량을 6량으로 늘릴 계획이다.

서울시는	서울시/NNP+는/JX
2018년	2018/SN+년/NNB
지하철	지하철/NNG
9호선	9/SN+호선/NNB
3단계(잠실운동장∼보훈병원)	3/SN+단계/NNG+(/SS+잠실운동장/NNP+∼/SO+보훈병원/NNP+)/SS
구간이	구간/NNG+이/JKS
개통하기	개통/NNG+하/XSV+기/ETN
전까지	전/NNG+까지/JX
모든	모든/MMN
차량을	차량/NNG+을/JKO
6량으로	6/SN+량/NNB+으로/JKB
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.395.6.2
늘어난 승객을 수용하기 위해 열차도 4대 추가한다.

늘어난	늘어나/VV+ㄴ/ETM
승객을	승객/NNG+을/JKO
수용하기	수용/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
열차도	열차/NNG+도/JX
4대	4/SN+대/NNB
추가한다.	추가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.395.6.3
이에 따라 지하철 9호선 3단계 구간이 개통하면 총 49대의 6량 열차(294량)가 운행에 투입된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
지하철	지하철/NNG
9호선	9/SN+호선/NNB
3단계	3/SN+단계/NNG
구간이	구간/NNG+이/JKS
개통하면	개통/NNG+하/XSV+면/EC
총	총/MMA
49대의	49/SN+대/NNB+의/JKG
6량	6/SN+량/NNB
열차(294량)가	열차/NNG+(/SS+294/SN+량/NNB+)/SS+가/JKS
운행에	운행/NNG+에/JKB
투입된다.	투입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.395.7.1
열차가 많아진 만큼 열차를 주차할 수 있는 선로인 유치선도 연장된다.

열차가	열차/NNG+가/JKS
많아진	많아지/VV+ㄴ/ETM
만큼	만큼/NNB
열차를	열차/NNG+를/JKO
주차할	주차/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
선로인	선로/NNG+이/VCP+ㄴ/ETM
유치선도	유치선/NNG+도/JX
연장된다.	연장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.395.7.2
서울시는 21일부터 7월 말까지 차량에 전력을 공급하는 시설과 선로전환기, 신호기를 늘리고 개화 차량기지에 6.1km의 유치선을 추가한다고 밝혔다.

서울시는	서울시/NNP+는/JX
21일부터	21/SN+일/NNB+부터/JX
7월	7/SN+월/NNB
말까지	말/NNB+까지/JX
차량에	차량/NNG+에/JKB
전력을	전력/NNG+을/JKO
공급하는	공급/NNG+하/XSV+는/ETM
시설과	시설/NNG+과/JC
선로전환기,	선로/NNG+전환기/NNG+,/SP
신호기를	신호기/NNG+를/JKO
늘리고	늘리/VV+고/EC
개화	개화/NNP
차량기지에	차량/NNG+기지/NNG+에/JKB
6.1km의	6/SN+./SP+1/SN+km/SW+의/JKG
유치선을	유치선/NNG+을/JKO
추가한다고	추가/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.395.8.1
서울시 관계자는 “차량이 늘어나면 출퇴근 때 승객들의 불편이 줄어들 것”이라며 “지하철 9호선의 혼잡을 완화하기 위해 빠른 증차가 이뤄지도록 노력하겠다”고 말했다.

서울시	서울시/NNP
관계자는	관계자/NNG+는/JX
“차량이	“/SS+차량/NNG+이/JKS
늘어나면	늘어나/VV+면/EC
출퇴근	출퇴근/NNG
때	때/NNG
승객들의	승객/NNG+들/XSN+의/JKG
불편이	불편/NNG+이/JKS
줄어들	줄어들/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“지하철	“/SS+지하철/NNG
9호선의	9/SN+호선/NNB+의/JKG
혼잡을	혼잡/NNG+을/JKO
완화하기	완화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
빠른	빠르/VA+ㄴ/ETM
증차가	증차/NNG+가/JKS
이뤄지도록	이뤄지/VV+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


