# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.47
metadata : {}


# id : NWRW1800000029.47.1.1
제4이통, 中企 젖줄 될까

제4이통,	제/XPN+4/SN+이통/NNG+,/SP
최근 최 위원장이 김기문 중기중앙회장을 직접 만나 사업 참여를 권고한 데 이어 최 위원장이 “필요하다면 정부가 공공기관의 자금을 투입할 수 있다”고 언급한 것으로 알려져 중기중앙회가 사업자로 선정될 가능성이 큰 것으로 보인다.

최근	최근/NNG
최	최/NNP
위원장이	위원장/NNG+이/JKS
김기문	김기문/NNP
중기중앙회장을	중기중앙회장/NNG+을/JKO
직접	직접/MAG
만나	만나/VV+아/EC
사업	사업/NNG
참여를	참여/NNG+를/JKO
권고한	권고/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
“필요하다면	“/SS+필요/NNG+하/XSA+다면/EC
정부가	정부/NNG+가/JKS
공공기관의	공공/NNG+기관/NNG+의/JKG
자금을	자금/NNG+을/JKO
투입할	투입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
언급한	언급/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
중기중앙회가	중기중앙회/NNP+가/JKS
사업자로	사업자/NNG+로/JKB
선정될	선정/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.47.7.1
한국모바일인터넷(KMI)이 회장으로 영입한 양승택 전 정보통신부 장관이 갑자기 중기중앙회에 합류한 것도 심상치 않다.

한국모바일인터넷(KMI)이	한국모바일인터넷/NNP+(/SS+KMI/SL+)/SS+이/JKS
회장으로	회장/NNG+으로/JKB
영입한	영입/NNG+하/XSV+ㄴ/ETM
양승택	양승택/NNP
전	전/MMD
정보통신부	정보/NNG+통신부/NNG
장관이	장관/NNG+이/JKS
갑자기	갑자기/MAG
중기중앙회에	중기중앙회/NNP+에/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
심상치	심상하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000029.47.7.2
KMI는 주주 구성과 자금 조달에서 좋은 평가를 받지 못해 사업자 심사에서 이미 두 차례 떨어졌다.

KMI는	KMI/SL+는/JX
주주	주주/NNG
구성과	구성/NNG+과/JC
자금	자금/NNG
조달에서	조달/NNG+에서/JKB
좋은	좋/VA+은/ETM
평가를	평가/NNG+를/JKO
받지	받/VV+지/EC
못해	못하/VX+아/EC
사업자	사업자/NNG
심사에서	심사/NNG+에서/JKB
이미	이미/MAG
두	두/MMN
차례	차례/NNG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.47.7.3
KMI 컨소시엄 참여업체 일부가 중기중앙회에 문을 두드리고 있다는 얘기도 들린다.

KMI	KMI/SL
컨소시엄	컨소시엄/NNG
참여업체	참여/NNG+업체/NNG
일부가	일부/NNG+가/JKS
중기중앙회에	중기중앙회/NNP+에/JKB
문을	문/NNG+을/JKO
두드리고	두드리/VV+고/EC
있다는	있/VX+다는/ETM
얘기도	얘기/NNG+도/JX
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.47.7.4
이에 따라 중소기업계에선 중기중앙회와 KMI가 조만간 컨소시엄을 구성할 가능성도 큰 것으로 전망하고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
중소기업계에선	중소기업/NNG+계/XSN+에서/JKB+ㄴ/JX
중기중앙회와	중기중앙회/NNP+와/JC
KMI가	KMI/SL+가/JKS
조만간	조만간/MAG
컨소시엄을	컨소시엄/NNG+을/JKO
구성할	구성/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.47.7.5
박해철 중기중앙회 대외협력본부장은 “KMI 참여기업들이 중기중앙회 주도의 컨소시엄에 참여할 의사가 있다면 이를 허용할 방침”이라고 말했다.

박해철	박해철/NNP
중기중앙회	중기중앙회/NNP
대외협력본부장은	대외/NNG+협력/NNG+본부장/NNG+은/JX
“KMI	“/SS+KMI/SL
참여기업들이	참여/NNG+기업/NNG+들/XSN+이/JKS
주도의	주도/NNG+의/JKG
컨소시엄에	컨소시엄/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
있다면	있/VA+다면/EC
이를	이/NP+를/JKO
허용할	허용/NNG+하/XSV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.47.8.1
이와 관련해 자본금 1000억 원이 들어가는 중기 전용 홈쇼핑 사업을 올 3월 따낸 중기중앙회가 이보다 6배나 많은 자본금이 필요한 이동통신 사업까지 벌이는 게 적절하냐는 지적이 있다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
자본금	자본금/NNG
1000억	1000/SN+억/NR
원이	원/NNB+이/JKS
들어가는	들어가/VV+는/ETM
중기	중기/NNG
전용	전용/NNG
홈쇼핑	홈쇼핑/NNG
사업을	사업/NNG+을/JKO
올	올/NNG
3월	3/SN+월/NNB
따낸	따내/VV+ㄴ/ETM
중기중앙회가	중기중앙회/NNP+가/JKS
이보다	이/NP+보다/JKB
6배나	6/SN+배/NNG+나/JX
많은	많/VA+은/ETM
자본금이	자본금/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
이동통신	이동/NNG+통신/NNG
사업까지	사업/NNG+까지/JX
벌이는	벌이/VV+는/ETM
게	거/NNB+이/JKS
적절하냐는	적절하/VA+냐는/ETM
지적이	지적/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.47.8.2
더구나 홈쇼핑 사업은 기존 홈쇼핑 채널의 높은 판매수수료 문제 탓에 중소기업들을 도울 수 있다는 명분이 있지만 이동통신 사업은 중소기업 보호 명분이 상대적으로 약하다는 지적도 나온다.

더구나	더구나/MAG
홈쇼핑	홈쇼핑/NNG
사업은	사업/NNG+은/JX
기존	기존/NNG
채널의	채널/NNG+의/JKG
높은	높/VA+은/ETM
판매수수료	판매/NNG+수수료/NNG
문제	문제/NNG
탓에	탓/NNG+에/JKB
중소기업들을	중소기업/NNG+들/XSN+을/JKO
도울	돕/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
명분이	명분/NNG+이/JKS
있지만	있/VA+지만/EC
이동통신	이동/NNG+통신/NNG
중소기업	중소기업/NNG
보호	보호/NNG
상대적으로	상대/NNG+적/XSN+으로/JKB
약하다는	약하/VA+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.47.9.1
망 구축에만 1조 원 이상 들어가는 상황에서 중기중앙회가 대기업 등의 참여를 끌어내기가 쉽지 않다는 관측도 제기된다.

망	망/NNG
구축에만	구축/NNG+에/JKB+만/JX
1조	1/SN+조/NR
원	원/NNB
이상	이상/NNG
들어가는	들어가/VV+는/ETM
상황에서	상황/NNG+에서/JKB
중기중앙회가	중기중앙회/NNP+가/JKS
대기업	대/XPN+기업/NNG
등의	등/NNB+의/JKG
참여를	참여/NNG+를/JKO
끌어내기가	끌어내/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다는	않/VX+다는/ETM
관측도	관측/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.47.9.2
실제로 중기중앙회가 기대를 걸고 있는 삼성전자는 아직까지 통신장비 등 현물 출자에만 참여하겠다는 뜻을 밝히고 있다.

실제로	실제로/MAG
중기중앙회가	중기중앙회/NNP+가/JKS
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있는	있/VX+는/ETM
삼성전자는	삼성전자/NNP+는/JX
아직까지	아직/MAG+까지/JX
통신장비	통신/NNG+장비/NNG
등	등/NNB
현물	현물/NNG
출자에만	출자/NNG+에/JKB+만/JX
참여하겠다는	참여/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝히고	밝히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.47.9.3
삼성전자는 KMI 측에도 400억 원의 현물출자를 약속했다.

삼성전자는	삼성전자/NNP+는/JX
KMI	KMI/SL
측에도	측/NNB+에/JKB+도/JX
400억	400/SN+억/NR
원의	원/NNB+의/JKG
현물출자를	현물/NNG+출자/NNG+를/JKO
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.47.9.4
1000억 원 이상의 출자를 바라는 중기중앙회와 거리가 있는 셈이다.

1000억	1000/SN+억/NR
원	원/NNB
이상의	이상/NNG+의/JKG
출자를	출자/NNG+를/JKO
바라는	바라/VV+는/ETM
중기중앙회와	중기중앙회/NNP+와/JKB
거리가	거리/NNG+가/JKS
있는	있/VA+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.47.10.1
이에 대해 중기중앙회는 200여 개 통신장비 중소기업을 주주로 확보하고 국민주 공모에도 나서는 방안을 검토하고 있다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
중기중앙회는	중기중앙회/NNP+는/JX
200여	200/SN+여/XSN
개	개/NNB
통신장비	통신/NNG+장비/NNG
중소기업을	중소기업/NNG+을/JKO
주주로	주주/NNG+로/JKB
확보하고	확보/NNG+하/XSV+고/EC
국민주	국민주/NNG
공모에도	공모/NNG+에/JKB+도/JX
나서는	나서/VV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.47.10.2
통신장비 업체들을 컨소시엄에 참여시켜 동반성장에 기여할 수 있다는 명분을 확보하겠다는 것이다.

통신장비	통신/NNG+장비/NNG
업체들을	업체/NNG+들/XSN+을/JKO
컨소시엄에	컨소시엄/NNG+에/JKB
참여시켜	참여/NNG+시키/XSV+어/EC
동반성장에	동반/NNG+성장/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
명분을	명분/NNG+을/JKO
확보하겠다는	확보/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.47.11.1
이와 함께 중소기업계에선 중기중앙회가 정부에 대한 예산 의존도를 줄이고 명실상부한 중소기업 대표기관으로 서려면 수익 사업에 적극적으로 참여해야 한다는 의견도 있다.

이와	이/NP+와/JKB
함께	함께/MAG
중소기업계에선	중소기업/NNG+계/XSN+에서/JKB+ㄴ/JX
중기중앙회가	중기중앙회/NNP+가/JKS
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예산	예산/NNG
의존도를	의존도/NNG+를/JKO
줄이고	줄이/VV+고/EC
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
중소기업	중소기업/NNG
대표기관으로	대표/NNG+기관/NNG+으로/JKB
서려면	서/VV+려면/EC
수익	수익/NNG
사업에	사업/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
참여해야	참여/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견도	의견/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.47.11.2
올해 중기중앙회 전체 예산 250억 원(일반회계 기준) 가운데 중소기업청이 41%(103억 원)를 지원했다.

올해	올해/NNG
중기중앙회	중기중앙회/NNP
전체	전체/NNG
예산	예산/NNG
250억	250/SN+억/NR
원(일반회계	원/NNB+(/SS+일반/NNG+회계/NNG
기준)	기준/NNG+)/SS
가운데	가운데/NNG
중소기업청이	중소기업청/NNG+이/JKS
41%(103억	41/SN+%/SW+(/SS+103/SN+억/NR
원)를	원/NNB+)/SS+를/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.47.12.1
한편 중기중앙회는 조만간 이사회 보고자료 등을 바탕으로 중기청 투자 승인을 받을 계획이다.

한편	한편/MAG
중기중앙회는	중기중앙회/NNP+는/JX
조만간	조만간/MAG
이사회	이사회/NNG
보고자료	보고/NNG+자료/NNG
등을	등/NNB+을/JKO
바탕으로	바탕/NNG+으로/JKB
중기청	중기청/NNG
투자	투자/NNG
승인을	승인/NNG+을/JKO
받을	받/VV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.47.12.2
중기청은 중소기업협동조합법에 규정된 중기중앙회 설립 취지 등을 감안해 수익사업 진출 여부를 판단한다.

중기청은	중기청/NNG+은/JX
중소기업협동조합법에	중소기업/NNG+협동조합법/NNG+에/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
중기중앙회	중기중앙회/NNP
설립	설립/NNG
취지	취지/NNG
등을	등/NNB+을/JKO
감안해	감안/NNG+하/XSV+아/EC
수익사업	수익/NNG+사업/NNG
진출	진출/NNG
여부를	여부/NNG+를/JKO
판단한다.	판단/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.47.12.3
중기청 관계자는 “중기중앙회 사업이 실패하면 결국 조합원과 국가 재정에 부담으로 돌아올 수 있기 때문에 사업성 등을 들여다볼 것”이라고 말했다.

중기청	중기청/NNG
관계자는	관계자/NNG+는/JX
“중기중앙회	“/SS+중기중앙회/NNP
사업이	사업/NNG+이/JKS
실패하면	실패/NNG+하/XSV+면/EC
결국	결국/MAG
조합원과	조합원/NNG+과/JC
국가	국가/NNG
재정에	재정/NNG+에/JKB
부담으로	부담/NNG+으로/JKB
돌아올	돌아오/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
사업성	사업/NNG+성/XSN
등을	등/NNB+을/JKO
들여다볼	들여다보/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


