# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.219
metadata : {}


# id : NWRW1800000046.219.1.1
34타석만에… '姜砲(강포)' 터졌다

34타석만에…	34/SN+타석/NNG+만/NNB+에/JKB+…/SE
부문	부문/NNG
2위(45세이브)를	2/SN+위/NNB+(/SS+45/SN+세이브/NNG+)/SS+를/JKO
했던	하/VV+았/EP+던/ETM
정상급	정상급/NNG
마무리	마무리/NNG
투수다.	투수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.219.6.6
올 시즌에도 로젠탈은 이날 경기 전까지 단 한 개의 피홈런과 블론세이브(blown save·구원투수가 리드를 지키지 못하고 동점이나 역전을 허용하는 것)를 허용하지 않으며 평균자책점 0.77을 기록하고 있었다.

올	올/NNG
시즌에도	시즌/NNG+에/JKB+도/JX
로젠탈은	로젠탈/NNP+은/JX
이날	이날/NNG
경기	경기/NNG
전까지	전/NNG+까지/JX
단	단/MMA
한	한/MMN
개의	개/NNB+의/JKG
피홈런과	피/XPN+홈런/NNG+과/JC
블론세이브(blown	블론세이브/NNG+(/SS+blown/SL
save·구원투수가	save/SL+·/SP+구원/NNG+투수/NNG+가/JKS
리드를	리드/NNG+를/JKO
지키지	지키/VV+지/EC
못하고	못하/VX+고/EC
동점이나	동점/NNG+이나/JC
역전을	역전/NNG+을/JKO
허용하는	허용/NNG+하/XSV+는/ETM
것)를	것/NNB+)/SS+를/JKO
허용하지	허용/NNG+하/XSV+지/EC
않으며	않/VX+으며/EC
평균자책점	평균/NNG+자책점/NNG
0.77을	0/SN+./SP+77/SN+을/JKO
기록하고	기록/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.219.7.1
강정호는 특유의 레그킥(leg kick·앞발을 들었다 놓으면서 타격 리듬을 맞추는 동작)을 사용해 로젠탈을 공략했다.

강정호는	강정호/NNP+는/JX
특유의	특유/NNG+의/JKG
레그킥(leg	레그킥/NNG+(/SS+leg/SL
kick·앞발을	kick/SL+·/SP+앞발/NNG+을/JKO
들었다	들/VV+었/EP+다/EC
놓으면서	놓/VV+으면서/EC
타격	타격/NNG
리듬을	리듬/NNG+을/JKO
맞추는	맞추/VV+는/ETM
동작)을	동작/NNG+)/SS+을/JKO
사용해	사용/NNG+하/XSV+아/EC
로젠탈을	로젠탈/NNP+을/JKO
공략했다.	공략/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.7.2
강정호는 지역 언론인 '피츠버그 포스트-가제트' 인터뷰에서 "타석에서 준비가 돼 있었고 타이밍이 완벽했다"고 만족감을 표시했다.

강정호는	강정호/NNP+는/JX
지역	지역/NNG
언론인	언론/NNG+이/VCP+ㄴ/ETM
'피츠버그	'/SS+피츠버그/NNP
포스트-가제트'	포스트/NNP+-/SO+가제트/NNP+'/SS
인터뷰에서	인터뷰/NNG+에서/JKB
"타석에서	"/SS+타석/NNG+에서/JKB
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있었고	있/VX+었/EP+고/EC
타이밍이	타이밍/NNG+이/JKS
완벽했다"고	완벽/NNG+하/XSA+았/EP+다/EF+"/SS+고/JKQ
만족감을	만족감/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.7.3
강정호의 대포로 승부를 연장으로 몰고 간 파이리츠는 연장 14회 끝에 2대3으로 졌다.

강정호의	강정호/NNP+의/JKG
대포로	대포/NNG+로/JKB
승부를	승부/NNG+를/JKO
연장으로	연장/NNG+으로/JKB
몰고	몰/VV+고/EC
간	가/VV+ㄴ/ETM
파이리츠는	파이리츠/NNP+는/JX
연장	연장/NNG
14회	14/SN+회/NNB
끝에	끝/NNG+에/JKB
2대3으로	2/SN+대/NNB+3/SN+으로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.219.7.4
앞선 7회에도 안타를 쳐낸 강정호는 5타수 2안타(1타점)를 기록했다.

앞선	앞서/VV+ㄴ/ETM
7회에도	7/SN+회/NNB+에/JKB+도/JX
안타를	안타/NNG+를/JKO
쳐낸	치/VV+어/EC+내/VX+ㄴ/ETM
강정호는	강정호/NNP+는/JX
5타수	5/SN+타수/NNG
2안타(1타점)를	2/SN+안타/NNG+(/SS+1/SN+타점/NNG+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.7.5
시즌 타율은 0.281까지 끌어올렸다.

시즌	시즌/NNG
타율은	타율/NNG+은/JX
0.281까지	0/SN+./SP+281/SN+까지/JX
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.219.7.6
아직은 내야 백업 멤버 신세인 강정호는 교체 출전시엔 7타수 무안타에 그쳤지만, 선발로 나왔을 땐 25타수 9안타(타율 0.360)의 맹타를 휘두르고 있다.

아직은	아직/MAG+은/JX
내야	내야/NNG
백업	백업/NNG
멤버	멤버/NNG
신세인	신세/NNG+이/VCP+ㄴ/ETM
강정호는	강정호/NNP+는/JX
교체	교체/NNG
출전시엔	출전/NNG+시/NNB+에/JKB+ㄴ/JX
7타수	7/SN+타수/NNG
무안타에	무/XPN+안타/NNG+에/JKB
그쳤지만,	그치/VV+었/EP+지만/EC+,/SP
선발로	선발/NNG+로/JKB
나왔을	나오/VV+았/EP+을/ETM
땐	때/NNG+ㄴ/JX
25타수	25/SN+타수/NNG
9안타(타율	9/SN+안타/NNG+(/SS+타율/NNG
0.360)의	0/SN+./SP+360/SN+)/SS+의/JKG
맹타를	맹타/NNG+를/JKO
휘두르고	휘두르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.219.8.1
클린트 허들 파이리츠 감독도 이를 의식한 듯 "홈런을 치고 더그아웃으로 웃음을 지으며 들어오는 강정호가 보기 좋았다"며 "자신만의 (타격) 해법을 찾은 것 같다"고 말했다.

클린트	클린트/NNP
허들	허들/NNP
파이리츠	파이리츠/NNP
감독도	감독/NNG+도/JX
이를	이/NP+를/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
"홈런을	"/SS+홈런/NNG+을/JKO
치고	치/VV+고/EC
더그아웃으로	더그아웃/NNG+으로/JKB
웃음을	웃음/NNG+을/JKO
지으며	짓/VV+으며/EC
들어오는	들어오/VV+는/ETM
강정호가	강정호/NNP+가/JKS
보기	보/VV+기/ETN
좋았다"며	좋/VA+았/EP+다/EF+"/SS+며/EC
"자신만의	"/SS+자신/NNG+만/JX+의/JKG
(타격)	(/SS+타격/NNG+)/SS
해법을	해법/NNG+을/JKO
찾은	찾/VV+은/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.9.1
◇살아나는 추신수

◇살아나는	◇/SW+살아나/VV+는/ETM
추신수	추신수/NNP


# id : NWRW1800000046.219.10.1
같은 날 추신수는 오클랜드 애슬레틱스와의 홈경기에서 4회 상대 선발 소니 그레이를 두들겨 2루타를 터뜨렸다.

같은	같/VA+은/ETM
날	날/NNG
추신수는	추신수/NNP+는/JX
오클랜드	오클랜드/NNP
애슬레틱스와의	애슬레틱스/NNP+와/JKB+의/JKG
홈경기에서	홈경기/NNG+에서/JKB
4회	4/SN+회/NNB
상대	상대/NNG
선발	선발/NNG
소니	소니/NNP
그레이를	그레이/NNP+를/JKO
두들겨	두들기/VV+어/EC
2루타를	2루타/NNG+를/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.219.10.2
9회엔 1사 만루에서 우익수 희생플라이를 때려 레인저스를 영봉패의 수렁에서 건지는 팀 내 유일한 타점을 올렸다.

9회엔	9/SN+회/NNB+에/JKB+ㄴ/JX
1사	1/SN+사/NNG
만루에서	만루/NNG+에서/JKB
우익수	우익수/NNG
희생플라이를	희생/NNG+플라이/NNG+를/JKO
때려	때리/VV+어/EC
레인저스를	레인저스/NNP+를/JKO
영봉패의	영봉/NNG+패/NNG+의/JKG
수렁에서	수렁/NNG+에서/JKB
건지는	건지/VV+는/ETM
팀	팀/NNG
내	내/NNB
유일한	유일/NNG+하/XSA+ㄴ/ETM
타점을	타점/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.219.10.3
레인저스는 1대7로 패했다.

레인저스는	레인저스/NNP+는/JX
1대7로	1/SN+대/NNB+7/SN+로/JKB
패했다.	패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.10.4
추신수는 3타수 1안타 1볼넷을 기록했다.

추신수는	추신수/NNP+는/JX
3타수	3/SN+타수/NNG
1안타	1/SN+안타/NNG
1볼넷을	1/SN+볼넷/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.10.5
지난달까지 타율이 '메이저리그 꼴찌(0.096)'였던 추신수는 이달 들어 치른 3경기에서 12타수 4안타(타율 0.333)로 살아나는 모습이다.

지난달까지	지난달/NNG+까지/JX
타율이	타율/NNG+이/JKS
'메이저리그	'/SS+메이저리그/NNG
꼴찌(0.096)'였던	꼴찌/NNG+(/SS+0/SN+./SP+096/SN+)/SS+'/SS+이/VCP+었/EP+던/ETM
추신수는	추신수/NNP+는/JX
이달	이달/NNG
들어	들/VV+어/EC
치른	치르/VV+ㄴ/ETM
3경기에서	3/SN+경기/NNG+에서/JKB
12타수	12/SN+타수/NNG
4안타(타율	4/SN+안타/NNG+(/SS+타율/NNG
0.333)로	0/SN+./SP+333/SN+)/SS+로/JKB
살아나는	살아나/VV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.219.10.6
시즌 타율은 0.141로 올라갔다.

시즌	시즌/NNG
타율은	타율/NNG+은/JX
0.141로	0/SN+./SP+141/SN+로/JKB
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.11.1
◇라이브 피칭 임박한 류현진

◇라이브	◇/SW+라이브/NNG
피칭	피칭/NNG
임박한	임박/NNG+하/XSV+ㄴ/ETM
류현진	류현진/NNP


# id : NWRW1800000046.219.12.1
류현진은 5일 부상 이후 네 번째 불펜 피칭을 소화할 예정이다.

류현진은	류현진/NNP+은/JX
5일	5/SN+일/NNB
부상	부상/NNG
이후	이후/NNG
네	네/MMN
번째	번/NNB+째/XSN
불펜	불펜/NNG
피칭을	피칭/NNG+을/JKO
소화할	소화/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.219.12.2
첫 불펜 피칭에서 20개를 던졌던 류현진은 45개까지 투구 수를 늘릴 계획이다.

첫	첫/MMN
불펜	불펜/NNG
피칭에서	피칭/NNG+에서/JKB
20개를	20/SN+개/NNB+를/JKO
던졌던	던지/VV+었/EP+던/ETM
류현진은	류현진/NNP+은/JX
45개까지	45/SN+개/NNB+까지/JX
투구	투구/NNG
수를	수/NNG+를/JKO
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.219.12.3
돈 매팅리 다저스 감독은 "모든 것이 이상 없이 진행된다면 류현진은 이번 주 중으로 라이브 피칭(live pitching·타자들을 세워 놓고 공을 던지는 것)을 할 것"이라고 말했다.

돈	돈/NNP
매팅리	매팅리/NNP
다저스	다저스/NNP
감독은	감독/NNG+은/JX
"모든	"/SS+모든/MMN
것이	것/NNB+이/JKS
이상	이상/NNG
없이	없이/MAG
진행된다면	진행/NNG+되/XSV+ㄴ다면/EC
류현진은	류현진/NNP+은/JX
이번	이번/NNG
주	주/NNG
중으로	중/NNB+으로/JKB
라이브	라이브/NNG
피칭(live	피칭/NNG+(/SS+live/SL
pitching·타자들을	pitching/SL+·/SP+타자/NNG+들/XSN+을/JKO
세워	세우/VV+어/EC
놓고	놓/VX+고/EC
공을	공/NNG+을/JKO
던지는	던지/VV+는/ETM
것)을	것/NNB+)/SS+을/JKO
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.13.1
지난 3월 18일 레인저스와의 시범 경기 등판 이후 왼쪽 어깨 통증에 시달린 류현진은 부상자 명단에 오른 뒤 재활에 매진해왔다.

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
18일	18/SN+일/NNB
레인저스와의	레인저스/NNP+와/JKB+의/JKG
시범	시범/NNG
경기	경기/NNG
등판	등판/NNG
이후	이후/NNG
왼쪽	왼쪽/NNG
어깨	어깨/NNG
통증에	통증/NNG+에/JKB
시달린	시달리/VV+ㄴ/ETM
류현진은	류현진/NNP+은/JX
부상자	부상자/NNG
명단에	명단/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
뒤	뒤/NNG
재활에	재활/NNG+에/JKB
매진해왔다.	매진/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.219.13.2
그동안 가벼운 캐치볼과 롱토스, 불펜 피칭까지 차근차근 몸을 만들었는데, 라이브 피칭 단계까지 소화하면 그동안 추측만 무성했던 마운드 복귀 시점도 윤곽이 드러날 것으로 보인다.

그동안	그동안/NNG
가벼운	가볍/VA+ㄴ/ETM
캐치볼과	캐치볼/NNG+과/JC
롱토스,	롱토스/NNG+,/SP
불펜	불펜/NNG
피칭까지	피칭/NNG+까지/JX
차근차근	차근차근/MAG
몸을	몸/NNG+을/JKO
만들었는데,	만들/VV+었/EP+는데/EC+,/SP
라이브	라이브/NNG
피칭	피칭/NNG
단계까지	단계/NNG+까지/JX
소화하면	소화/NNG+하/XSV+면/EC
추측만	추측/NNG+만/JX
무성했던	무성하/VA+았/EP+던/ETM
마운드	마운드/NNG
복귀	복귀/NNG
시점도	시점/NNG+도/JX
윤곽이	윤곽/NNG+이/JKS
드러날	드러나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


