# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.241
metadata : {}


# id : NWRW1800000046.241.1.1
우즈 웁스(oops:이크·감탄사) 입스(yips:샷 실패 불안증세)… 2015 놀라운 골프뉴스 1위

우즈	우즈/NNP
하기도	하/VV+기/ETN+도/JX
전에	전/NNG+에/JKB
실패에	실패/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
두려움으로	두려움/NNG+으로/JKB
나타나는	나타나/VV+는/ETM
각종	각종/NNG
불안	불안/NNG
증세를	증세/NNG+를/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.241.5.2
이는 어이없는 실수로 이어진다.

이는	이/NP+는/JX
어이없는	어이없/VA+는/ETM
실수로	실수/NNG+로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.241.5.3
야구·농구 등 종목을 가리지 않는다.

야구·농구	야구/NNG+·/SP+농구/NNG
등	등/NNB
종목을	종목/NNG+을/JKO
가리지	가리/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.241.5.4
섬세하고 예민한 스포츠인 골프에서 더 두드러져 보인다.

섬세하고	섬세하/VA+고/EC
예민한	예민하/VA+ㄴ/ETM
스포츠인	스포츠/NNG+이/VCP+ㄴ/ETM
골프에서	골프/NNG+에서/JKB
더	더/MAG
두드러져	두드러지/VV+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.241.5.5
수없는 반복 훈련으로 자동적으로 이뤄지는 샷도 '혹시 안 맞으면 어떡하지?' 하는 불안감이 들면 클럽의 움직임을 의식하면서 오히려 흔들리는 것이다.

수없는	수없/VA+는/ETM
반복	반복/NNG
훈련으로	훈련/NNG+으로/JKB
자동적으로	자동/NNG+적/XSN+으로/JKB
이뤄지는	이뤄지/VV+는/ETM
샷도	샷/NNG+도/JX
'혹시	'/SS+혹시/MAG
안	안/MAG
맞으면	맞/VV+으면/EC
어떡하지?'	어떡하/VV+지/EF+?/SF+'/SS
하는	하/VV+는/ETM
불안감이	불안감/NNG+이/JKS
들면	들/VV+면/EC
클럽의	클럽/NNG+의/JKG
움직임을	움직임/NNG+을/JKO
의식하면서	의식/NNG+하/XSV+면서/EC
오히려	오히려/MAG
흔들리는	흔들리/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.241.6.1
자판을 두드리는 타이피스트나 피아니스트 등 특정 근육을 반복 사용하는 사람들도 입스를 겪는다.

자판을	자판/NNG+을/JKO
두드리는	두드리/VV+는/ETM
타이피스트나	타이피스트/NNG+나/JC
피아니스트	피아니스트/NNG
등	등/NNB
특정	특정/NNG
근육을	근육/NNG+을/JKO
반복	반복/NNG
사용하는	사용/NNG+하/XSV+는/ETM
사람들도	사람/NNG+들/XSN+도/JX
입스를	입스/NNG+를/JKO
겪는다.	겪/VV+는다/EF+./SF


# id : NWRW1800000046.241.6.2
미국 메이요 클리닉의 연구 결과에 따르면 전 세계 골퍼의 25%가량이 입스를 경험하는 것으로 나타났다.

미국	미국/NNP
메이요	메이요/NNP
클리닉의	클리닉/NNG+의/JKG
연구	연구/NNG
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
전	전/MMN
세계	세계/NNG
골퍼의	골퍼/NNG+의/JKG
25%가량이	25/SN+%/SW+가량/XSN+이/JKS
입스를	입스/NNG+를/JKO
경험하는	경험/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.7.1
권성호 서울대학교 체육교육과 교수(스포츠심리학)는 "같은 동작을 반복하는 골프에서 한순간 실수가 바로 입스로 이어지기 쉽다"고 설명한다.

권성호	권성호/NNP
서울대학교	서울대학교/NNP
체육교육과	체육/NNG+교육과/NNG
교수(스포츠심리학)는	교수/NNG+(/SS+스포츠/NNG+심리학/NNG+)/SS+는/JX
"같은	"/SS+같/VA+은/ETM
동작을	동작/NNG+을/JKO
반복하는	반복/NNG+하/XSV+는/ETM
골프에서	골프/NNG+에서/JKB
한순간	한순간/NNG
실수가	실수/NNG+가/JKS
바로	바로/MAG
입스로	입스/NNG+로/JKB
이어지기	이어지/VV+기/ETN
쉽다"고	쉽/VA+다/EF+"/SS+고/JKQ
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.241.7.2
뚜렷한 이유나 예고도 없이 찾아올 수 있다는 뜻이다.

뚜렷한	뚜렷하/VA+ㄴ/ETM
이유나	이유/NNG+나/JC
예고도	예고/NNG+도/JX
없이	없이/MAG
찾아올	찾아오/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.241.7.3
더 잘해보겠다는 다짐이 오히려 입스로 연결되는 경우도 있다.

더	더/MAG
잘해보겠다는	잘/MAG+하/XSV+아/EC+보/VX+겠/EP+다는/ETM
다짐이	다짐/NNG+이/JKS
오히려	오히려/MAG
입스로	입스/NNG+로/JKB
연결되는	연결/NNG+되/XSV+는/ETM
경우도	경우/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.241.7.4
2008년 US여자오픈에서 최연소 우승한 박인비가 대표적이다.

2008년	2008/SN+년/NNB
US여자오픈에서	US/SL+여자/NNG+오픈/NNG+에서/JKB
최연소	최/XPN+연소/NNG
우승한	우승/NNG+하/XSV+ㄴ/ETM
박인비가	박인비/NNP+가/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.241.7.5
"타이틀에 걸맞은 골퍼가 되고 싶다"며 자신의 스윙을 의식하기 시작하면서 오히려 드라이버부터 아이언까지 '총체적인 입스'에 시달렸다.

"타이틀에	"/SS+타이틀/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
골퍼가	골퍼/NNG+가/JKC
되고	되/VV+고/EC
싶다"며	싶/VX+다/EF+"/SS+며/EC
자신의	자신/NNG+의/JKG
스윙을	스윙/NNG+을/JKO
의식하기	의식/NNG+하/XSV+기/ETN
시작하면서	시작/NNG+하/XSV+면서/EC
오히려	오히려/MAG
드라이버부터	드라이버/NNG+부터/JX
아이언까지	아이언/NNG+까지/JX
'총체적인	'/SS+총체/NNG+적/XSN+이/VCP+ㄴ/ETM
입스'에	입스/NNG+'/SS+에/JKB
시달렸다.	시달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.241.7.6
박인비는 남편이 된 스윙코치 남기협씨에게 스윙의 기본을 다시 배우고야 4년 가까운 슬럼프를 극복했다.

박인비는	박인비/NNP+는/JX
남편이	남편/NNG+이/JKC
된	되/VV+ㄴ/ETM
스윙코치	스윙코치/NNG
남기협씨에게	남기협/NNP+씨/NNB+에게/JKB
스윙의	스윙/NNG+의/JKG
기본을	기본/NNG+을/JKO
다시	다시/MAG
배우고야	배우/VV+고/EC+야/JX
4년	4/SN+년/NNB
가까운	가깝/VA+ㄴ/ETM
슬럼프를	슬럼프/NNG+를/JKO
극복했다.	극복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.7.7
한국 여자 골프의 신데렐라가 된 박성현도 드라이버 입스로 고생했다.

한국	한국/NNP
여자	여자/NNG
골프의	골프/NNG+의/JKG
신데렐라가	신데렐라/NNP+가/JKC
된	되/VV+ㄴ/ETM
박성현도	박성현/NNP+도/JX
드라이버	드라이버/NNG
입스로	입스/NNG+로/JKB
고생했다.	고생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.7.8
270야드 안팎 장타를 때리지만 늘 OB(아웃오브바운즈)가 날까 조마조마한 심정이었다.

270야드	270/SN+야드/NNB
안팎	안팎/NNG
장타를	장타/NNG+를/JKO
때리지만	때리/VV+지만/EC
늘	늘/MAG
OB(아웃오브바운즈)가	OB/SL+(/SS+아웃오브바운즈/NNG+)/SS+가/JKS
날까	나/VV+ㄹ까/EF
조마조마한	조마조마/MAG+하/XSA+ㄴ/ETM
심정이었다.	심정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.241.7.9
지난해 한화금융클래식에서는 4번홀(파5)에서만 OB 3개를 내고 12타를 치며 "입스가 호환마마보다 무섭다"는 말을 실감했다.

지난해	지난해/NNG
한화금융클래식에서는	한화금융/NNP+클래식/NNG+에서/JKB+는/JX
4번홀(파5)에서만	4/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB+만/JX
OB	OB/SL
3개를	3/SN+개/NNB+를/JKO
내고	내/VV+고/EC
12타를	12/SN+타/NNG+를/JKO
치며	치/VV+며/EC
"입스가	"/SS+입스/NNG+가/JKS
호환마마보다	호환/NNG+마마/NNG+보다/JKB
무섭다"는	무섭/VA+다/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
실감했다.	실감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.7.10
박성현은 "스윙이 좋았다고 생각하는 중학 시절 샷 동영상을 보고 연습하며 극복했다"고 했다.

박성현은	박성현/NNP+은/JX
"스윙이	"/SS+스윙/NNG+이/JKS
좋았다고	좋/VA+았/EP+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
중학	중학/NNG
시절	시절/NNG
샷	샷/NNG
동영상을	동영상/NNG+을/JKO
보고	보/VV+고/EC
연습하며	연습/NNG+하/XSV+며/EC
극복했다"고	극복/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.8.1
두 차례 마스터스를 제패한 독일 골퍼 베른하르트 랑거는 현역 시절 내내 퍼트 입스에 시달렸다.

두	두/MMN
차례	차례/NNG
마스터스를	마스터스/NNG+를/JKO
제패한	제패/NNG+하/XSV+ㄴ/ETM
독일	독일/NNP
골퍼	골퍼/NNG
베른하르트	베른하르트/NNP
랑거는	랑거/NNP+는/JX
현역	현역/NNG
시절	시절/NNG
내내	내내/MAG
퍼트	퍼트/NNG
입스에	입스/NNG+에/JKB
시달렸다.	시달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.241.8.2
"매 대회 퍼팅 그립이 다르다"고 할 만큼 생각할 수 있는 모든 그립을 다 시도했다.

"매	"/SS+매/MMD
대회	대회/NNG
퍼팅	퍼팅/NNG
그립이	그립/NNG+이/JKS
다르다"고	다르/VA+다/EF+"/SS+고/JKQ
할	하/VV+ㄹ/ETM
만큼	만큼/NNB
생각할	생각/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
모든	모든/MMN
그립을	그립/NNG+을/JKO
다	다/MAG
시도했다.	시도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.8.3
결국 손목 움직임을 최소화할 수 있는 롱퍼터로 전향해 시니어 투어 최강자가 됐다.

결국	결국/MAG
손목	손목/NNG
움직임을	움직임/NNG+을/JKO
최소화할	최소/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
롱퍼터로	롱퍼터/NNG+로/JKB
전향해	전향/NNG+하/XSV+아/EC
시니어	시니어/NNG
투어	투어/NNG
최강자가	최강자/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.241.9.1
우즈가 두 차례 허리 수술을 받은 것도 '깜짝 뉴스' 3위에 올랐다.

우즈가	우즈/NNP+가/JKS
두	두/MMN
차례	차례/NNG
허리	허리/NNG
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
것도	것/NNB+도/JX
'깜짝	'/SS+깜짝/MAG
뉴스'	뉴스/NNG+'/SS
3위에	3/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.9.2
로리 매킬로이(북아일랜드)가 축구를 하다가 발목을 다쳐 브리티시오픈에 출전하지 못한 것이 2위였다.

로리	로리/NNP
매킬로이(북아일랜드)가	매킬로이/NNP+(/SS+북아일랜드/NNP+)/SS+가/JKS
축구를	축구/NNG+를/JKO
하다가	하/VV+다가/EC
발목을	발목/NNG+을/JKO
다쳐	다치/VV+어/EC
브리티시오픈에	브리티시/NNP+오픈/NNG+에/JKB
출전하지	출전/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
것이	것/NNB+이/JKS
2위였다.	2/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.241.9.3
제이슨 데이(호주)가 US오픈 2라운드 도중 현기증으로 쓰러진 것이 4위에 올랐다.

제이슨	제이슨/NNP
데이(호주)가	데이/NNP+(/SS+호주/NNP+)/SS+가/JKS
US오픈	US/SL+오픈/NNG
2라운드	2/SN+라운드/NNG
도중	도중/NNG
현기증으로	현기증/NNG+으로/JKB
쓰러진	쓰러지/VV+ㄴ/ETM
것이	것/NNB+이/JKS
4위에	4/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


