# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.52
metadata : {}


# id : NWRW1800000033.52.1.1
신세계, 대표 7명-전략실장 대폭 물갈이

신세계,	신세계/NNP+,/SP
# id : NWRW1800000033.52.7.1
신세계인터내셔날 대표이사에 최홍성 신세계건설 레저부문 대표(63), 신세계건설 대표이사에 신세계건설 영업총괄 윤기열 부사장(58), 신세계사이먼 대표이사에 신세계사이먼 강명구 지원담당 상무(53), 신세계L&B 대표이사에는 이마트 HMR담당 김운아 상무보(48)가 각각 선임됐다.

신세계인터내셔날	신세계인터내셔날/NNP
대표이사에	대표/NNG+이사/NNG+에/JKB
최홍성	최홍성/NNP
신세계건설	신세계건설/NNP
레저부문	레저/NNG+부문/NNG
대표(63),	대표/NNG+(/SS+63/SN+)/SS+,/SP
영업총괄	영업/NNG+총괄/NNG
윤기열	윤기열/NNP
부사장(58),	부사장/NNG+(/SS+58/SN+)/SS+,/SP
신세계사이먼	신세계사이먼/NNP
강명구	강명구/NNP
지원담당	지원/NNG+담당/NNG
상무(53),	상무/NNG+(/SS+53/SN+)/SS+,/SP
신세계L&B	신세계L&B/NNP
대표이사에는	대표/NNG+이사/NNG+에/JKB+는/JX
이마트	이마트/NNP
HMR담당	HMR/SL+담당/NNG
김운아	김운아/NNP
상무보(48)가	상무보/NNG+(/SS+48/SN+)/SS+가/JKS
각각	각각/MAG
선임됐다.	선임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.52.7.2
백화점 상품본부장인 김성환 부사장(53)은 신세계푸드와 SVN 대표이사를 겸직하게 된다.

백화점	백화점/NNG
상품본부장인	상품/NNG+본부장/NNG+이/VCP+ㄴ/ETM
김성환	김성환/NNP
부사장(53)은	부사장/NNG+(/SS+53/SN+)/SS+은/JX
신세계푸드와	신세계푸드/NNP+와/JC
SVN	SVN/SL
대표이사를	대표/NNG+이사/NNG+를/JKO
겸직하게	겸직/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.52.8.1
이번 인사로 대표이사의 평균 나이는 57.3세에서 54.9세로 낮아졌다.

이번	이번/NNG
인사로	인사/NNG+로/JKB
대표이사의	대표/NNG+이사/NNG+의/JKG
평균	평균/NNG
나이는	나이/NNG+는/JX
57.3세에서	57/SN+./SP+3/SN+세/NNB+에서/JKB
54.9세로	54/SN+./SP+9/SN+세/NNB+로/JKB
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.52.8.2
업계는 불황, 대형마트 영업규제, 검찰이 수사 중인 계열사 지원 의혹 수사, 롯데쇼핑과의 인천점 갈등 등 악재가 겹친 신세계가 새로운 전략을 찾기 위해 ‘공격형 리더’를 전진 배치한 것으로 해석하고 있다.

업계는	업계/NNG+는/JX
불황,	불황/NNG+,/SP
대형마트	대형/NNG+마트/NNG
영업규제,	영업/NNG+규제/NNG+,/SP
검찰이	검찰/NNG+이/JKS
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
계열사	계열사/NNG
지원	지원/NNG
의혹	의혹/NNG
수사,	수사/NNG+,/SP
롯데쇼핑과의	롯데쇼핑/NNP+과/JKB+의/JKG
인천점	인천점/NNG
갈등	갈등/NNG
등	등/NNB
악재가	악재/NNG+가/JKS
겹친	겹치/VV+ㄴ/ETM
신세계가	신세계/NNP+가/JKS
새로운	새롭/VA+ㄴ/ETM
전략을	전략/NNG+을/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
‘공격형	‘/SS+공격/NNG+형/XSN
리더’를	리더/NNG+’/SS+를/JKO
전진	전진/NNG
배치한	배치/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석하고	해석/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


