# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.34
metadata : {}


# id : NWRW1800000038.34.1.1
뛰는 인간 위에 나는 바퀴벌레

뛰는	뛰/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다"고	나타나/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.34.4.2
독일바퀴는 최대 1.3㎝ 크기의 작은 바퀴벌레 종이다.

독일바퀴는	독일/NNP+바퀴/NNG+는/JX
최대	최대/NNG
1.3㎝	1/SN+./SP+3/SN+㎝/SW
크기의	크기/NNG+의/JKG
작은	작/VA+은/ETM
바퀴벌레	바퀴벌레/NNG
종이다.	종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.34.4.3
국내에서도 서식하며, '집바퀴'로 불린다.

국내에서도	국내/NNG+에서/JKB+도/JX
서식하며,	서식/NNG+하/XSV+며/EC+,/SP
'집바퀴'로	'/SS+집/NNG+바퀴/NNG+'/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.34.5.1
연구진에 따르면 인간이 뿌리는 형태의 살충제에 이어 독이 든 미끼를 사용하기 시작한 직후인 1993년부터 일부 독일바퀴가 단것을 피하는 현상이 처음으로 관찰됐다.

연구진에	연구진/NNG+에/JKB
따르면	따르/VV+면/EC
인간이	인간/NNG+이/JKS
뿌리는	뿌리/VV+는/ETM
형태의	형태/NNG+의/JKG
살충제에	살충제/NNG+에/JKB
이어	잇/VV+어/EC
독이	독/NNG+이/JKS
든	들/VV+ㄴ/ETM
미끼를	미끼/NNG+를/JKO
사용하기	사용/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
직후인	직후/NNG+이/VCP+ㄴ/ETM
1993년부터	1993/SN+년/NNB+부터/JX
일부	일부/NNG
독일바퀴가	독일/NNP+바퀴/NNG+가/JKS
단것을	단것/NNG+을/JKO
피하는	피하/VV+는/ETM
현상이	현상/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
관찰됐다.	관찰/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.34.5.2
바퀴벌레는 보통 새 살충제가 등장하면 박테리아처럼 해당 살충제에 내성(耐性)을 키우는 방식으로 이에 맞서왔다.

바퀴벌레는	바퀴벌레/NNG+는/JX
보통	보통/MAG
새	새/MMA
살충제가	살충제/NNG+가/JKS
등장하면	등장/NNG+하/XSV+면/EC
박테리아처럼	박테리아/NNG+처럼/JKB
해당	해당/NNG
살충제에	살충제/NNG+에/JKB
내성(耐性)을	내성/NNG+(/SS+耐性/SH+)/SS+을/JKO
키우는	키우/VV+는/ETM
방식으로	방식/NNG+으로/JKB
이에	이/NP+에/JKB
맞서왔다.	맞서/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.34.6.1
그러나 독일바퀴가 선택한 방식은 아예 단것을 피하는 쪽이었다.

그러나	그러나/MAJ
독일바퀴가	독일/NNP+바퀴/NNG+가/JKS
선택한	선택/NNG+하/XSV+ㄴ/ETM
방식은	방식/NNG+은/JX
아예	아예/MAG
단것을	단것/NNG+을/JKO
피하는	피하/VV+는/ETM
쪽이었다.	쪽/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.34.6.2
바퀴벌레는 몸 여러 곳에 난 수많은 미세한 털을 통해 맛을 느낀다.

바퀴벌레는	바퀴벌레/NNG+는/JX
몸	몸/NNG
여러	여러/MMN
곳에	곳/NNG+에/JKB
난	나/VV+ㄴ/ETM
수많은	수많/VA+은/ETM
미세한	미세/NNG+하/XSA+ㄴ/ETM
털을	털/NNG+을/JKO
통해	통하/VV+아/EC
맛을	맛/NNG+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.34.6.3
이 털에는 단맛에 반응하는 세포와 쓴맛에 반응하는 세포가 따로 있다.

이	이/MMD
털에는	털/NNG+에/JKB+는/JX
단맛에	단맛/NNG+에/JKB
반응하는	반응/NNG+하/XSV+는/ETM
세포와	세포/NNG+와/JC
쓴맛에	쓴맛/NNG+에/JKB
세포가	세포/NNG+가/JKS
따로	따로/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.34.6.4
일부 독일바퀴의 경우, 미끼로 자주 사용되는 포도당에 접촉하자 두 세포가 동시에 반응했다.

일부	일부/NNG
독일바퀴의	독일/NNP+바퀴/NNG+의/JKG
경우,	경우/NNG+,/SP
미끼로	미끼/NNG+로/JKB
자주	자주/MAG
사용되는	사용/NNG+되/XSV+는/ETM
포도당에	포도당/NNG+에/JKB
접촉하자	접촉/NNG+하/XSV+자/EC
두	두/MMN
세포가	세포/NNG+가/JKS
동시에	동시/NNG+에/JKB
반응했다.	반응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.34.6.5
연구진이 포도당이 든 젤리를 강제로 입에 밀어 넣자 이를 뱉어내기까지 했다.

연구진이	연구진/NNG+이/JKS
포도당이	포도당/NNG+이/JKS
든	들/VV+ㄴ/ETM
젤리를	젤리/NNG+를/JKO
강제로	강제/NNG+로/JKB
입에	입/NNG+에/JKB
밀어	밀/VV+어/EC
넣자	넣/VV+자/EC
이를	이/NP+를/JKO
뱉어내기까지	뱉/VV+어/EC+내/VX+기/ETN+까지/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.34.7.1
연구진은 이러한 특성이 나중에 경험을 통해 배운 것이 아니라 이미 대(代)를 이어 유전되고 있다는 사실도 밝혀냈다.

연구진은	연구진/NNG+은/JX
이러한	이러하/VA+ㄴ/ETM
특성이	특성/NNG+이/JKS
나중에	나중/NNG+에/JKB
경험을	경험/NNG+을/JKO
통해	통하/VV+아/EC
배운	배우/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
이미	이미/MAG
대(代)를	대/NNG+(/SS+代/SH+)/SS+를/JKO
이어	잇/VV+어/EC
유전되고	유전/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
사실도	사실/NNG+도/JX
밝혀냈다.	밝혀내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.34.7.2
처음엔 일부 돌연변이만 이런 특성을 가지고 태어났지만, 5년 만에 25세대까지 내려가는 빠른 번식 속도로 인해 순식간에 퍼져 나가고 있다고 연구진은 덧붙였다.

처음엔	처음/NNG+에/JKB+ㄴ/JX
일부	일부/NNG
돌연변이만	돌연변이/NNG+만/JX
이런	이런/MMD
특성을	특성/NNG+을/JKO
가지고	가지/VV+고/EC
태어났지만,	태어나/VV+았/EP+지만/EC+,/SP
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
25세대까지	25/SN+세대/NNG+까지/JX
내려가는	내려가/VV+는/ETM
빠른	빠르/VA+ㄴ/ETM
번식	번식/NNG
속도로	속도/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
순식간에	순식/NNG+간/XSN+에/JKB
퍼져	퍼지/VV+어/EC
나가고	나가/VX+고/EC
있다고	있/VX+다고/EC
연구진은	연구진/NNG+은/JX
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.34.8.1
연구에 참여한 코비 샬 박사는 "바퀴벌레는 적응력이 대단히 뛰어나고, 인간과의 '군비 경쟁'에서 밀리지 않고 있다"며 "하지만 이번 연구로 밝혀진 바퀴벌레의 비밀이 인간의 승리에 도움이 될 것"이라고 설명했다.

연구에	연구/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
코비	코비/NNP
샬	샬/NNP
박사는	박사/NNG+는/JX
"바퀴벌레는	"/SS+바퀴벌레/NNG+는/JX
적응력이	적응력/NNG+이/JKS
대단히	대단히/MAG
뛰어나고,	뛰어나/VA+고/EC+,/SP
인간과의	인간/NNG+과/JKB+의/JKG
'군비	'/SS+군비/NNG
경쟁'에서	경쟁/NNG+'/SS+에서/JKB
밀리지	밀리/VV+지/EC
않고	않/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"하지만	"/SS+하지만/MAJ
이번	이번/NNG
연구로	연구/NNG+로/JKB
밝혀진	밝히/VV+어/EC+지/VX+ㄴ/ETM
바퀴벌레의	바퀴벌레/NNG+의/JKG
비밀이	비밀/NNG+이/JKS
인간의	인간/NNG+의/JKG
승리에	승리/NNG+에/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.34.8.2
연구 결과는 24일 발행된 사이언스지(誌)에 실렸다.

연구	연구/NNG
결과는	결과/NNG+는/JX
24일	24/SN+일/NNB
발행된	발행/NNG+되/XSV+ㄴ/ETM
사이언스지(誌)에	사이언스지/NNP+(/SS+誌/SH+)/SS+에/JKB
실렸다.	실리/VV+었/EP+다/EF+./SF


