# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.90
metadata : {}


# id : NWRW1800000038.90.1.1
유럽을 지휘한 서른셋 한국 여인

유럽을	유럽/NNP+을/JKO
"2012년 봄에 프랑크푸르트 오페라에서 '라보엠'을 지휘했는데, 극장장이 매우 만족해하면서 2014년 가을에 올라갈 벨리니의 '몽유병의 여인' 지휘를 즉석에서 맡겼어요.

"2012년	"/SS+2012/SN+년/NNB
봄에	봄/NNG+에/JKB
프랑크푸르트	프랑크푸르트/NNP
오페라에서	오페라/NNG+에서/JKB
'라보엠'을	'/SS+라보엠/NNP+'/SS+을/JKO
지휘했는데,	지휘/NNG+하/XSV+았/EP+는데/EC+,/SP
극장장이	극장장/NNG+이/JKS
매우	매우/MAG
만족해하면서	만족/NNG+하/XSA+아/EC+하/VX+면서/EC
2014년	2014/SN+년/NNB
가을에	가을/NNG+에/JKB
올라갈	올라가/VV+ㄹ/ETM
벨리니의	벨리니/NNP+의/JKG
'몽유병의	'/SS+몽유병/NNG+의/JKG
여인'	여인/NNG+'/SS
지휘를	지휘/NNG+를/JKO
즉석에서	즉석/NNG+에서/JKB
맡겼어요.	맡기/VV+었/EP+어요/EF+./SF


# id : NWRW1800000038.90.5.3
마침 그때 '박쥐' 지휘자를 찾던 ENO 음악감독이 친구인 프랑크푸르트 오페라 극장장과 통화하다가 제 얘기를 듣고 제의를 해왔습니다."

마침	마침/MAG
그때	그때/NNG
'박쥐'	'/SS+박쥐/NNP+'/SS
지휘자를	지휘자/NNG+를/JKO
찾던	찾/VV+던/ETM
ENO	ENO/SL
음악감독이	음악/NNG+감독/NNG+이/JKS
친구인	친구/NNG+이/VCP+ㄴ/ETM
프랑크푸르트	프랑크푸르트/NNP
오페라	오페라/NNG
극장장과	극장장/NNG+과/JKB
통화하다가	통화/NNG+하/XSV+다가/EC
제	저/NP+의/JKG
얘기를	얘기/NNG+를/JKO
듣고	듣/VV+고/EC
제의를	제의/NNG+를/JKO
해왔습니다."	하/VV+아/EC+오/VX+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000038.90.6.1
'박쥐'는 개막 공연 직후, 평론가들의 악평에 시달렸다.

'박쥐'는	'/SS+박쥐/NNP+'/SS+는/JX
개막	개막/NNG
공연	공연/NNG
직후,	직후/NNG+,/SP
평론가들의	평론가/NNG+들/XSN+의/JKG
악평에	악평/NNG+에/JKB
시달렸다.	시달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.90.6.2
"심리극보다는 시트콤 같다"는 평가도 나왔다.

"심리극보다는	"/SS+심리극/NNG+보다/JKB+는/JX
시트콤	시트콤/NNG
같다"는	같/VA+다/EF+"/SS+는/ETM
평가도	평가/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.90.6.3
하지만 김은선의 지휘에 대해선 "효과적이고 뛰어난 지휘"(일간지 인디펜던트)라는 우호적 비평이 다수였다.

하지만	하지만/MAJ
김은선의	김은선/NNP+의/JKG
지휘에	지휘/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"효과적이고	"/SS+효과/NNG+적/XSN+이/VCP+고/EC
뛰어난	뛰어나/VA+ㄴ/ETM
지휘"(일간지	지휘/NNG+"/SS+(/SS+일간지/NNG
인디펜던트)라는	인디펜던트/NNG+)/SS+이/VCP+라는/ETM
우호적	우호/NNG+적/XSN
비평이	비평/NNG+이/JKS
다수였다.	다수/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.90.6.4
"첫 5분이 가장 중요합니다.

"첫	"/SS+첫/MMN
5분이	5/SN+분/NNB+이/JKS
가장	가장/MAG
중요합니다.	중요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000038.90.6.5
의자에 기대 앉은 오케스트라 단원들이 등받이에서 몸을 떼서 앞으로 몸을 숙이도록 만들어야 해요.

의자에	의자/NNG+에/JKB
기대	기대/VV+어/EC
앉은	앉/VV+은/ETM
오케스트라	오케스트라/NNG
단원들이	단원/NNG+들/XSN+이/JKS
등받이에서	등받이/NNG+에서/JKB
몸을	몸/NNG+을/JKO
떼서	떼/VV+어서/EC
앞으로	앞/NNG+으로/JKB
숙이도록	숙이/VV+도록/EC
만들어야	만들/VV+어야/EC
해요.	하/VX+아요/EF+./SF


# id : NWRW1800000038.90.6.6
내가 원하는 소리와 템포, 뉘앙스를 정확히 보여주면 단원들이 저절로 따라옵니다."

내가	내/NP+가/JKS
원하는	원/NNG+하/XSV+는/ETM
소리와	소리/NNG+와/JC
템포,	템포/NNG+,/SP
뉘앙스를	뉘앙스/NNG+를/JKO
정확히	정확히/MAG
보여주면	보이/VV+어/EC+주/VX+면/EC
단원들이	단원/NNG+들/XSN+이/JKS
저절로	저절로/MAG
따라옵니다."	따라오/VV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.90.7.1
2008년 스페인 지휘자 헤수스 로페스-코보스가 주최하는 지휘 콩쿠르에서 우승하면서 마드리드 극장 부지휘자가 됐지만, 2010년 여름 오스트리아 빈으로 활동무대를 옮기자 모든 게 달라졌다.

2008년	2008/SN+년/NNB
스페인	스페인/NNP
지휘자	지휘자/NNG
헤수스	헤수스/NNP
로페스-코보스가	로페스/NNP+-/SO+코보스/NNP+가/JKS
주최하는	주최/NNG+하/XSV+는/ETM
지휘	지휘/NNG
콩쿠르에서	콩쿠르/NNG+에서/JKB
우승하면서	우승/NNG+하/XSV+면서/EC
마드리드	마드리드/NNP
극장	극장/NNG
부지휘자가	부지휘자/NNG+가/JKC
됐지만,	되/VV+었/EP+지만/EC+,/SP
2010년	2010/SN+년/NNB
여름	여름/NNG
오스트리아	오스트리아/NNP
빈으로	빈/NNP+으로/JKB
활동무대를	활동/NNG+무대/NNG+를/JKO
옮기자	옮기/VV+자/EC
모든	모든/MMN
게	거/NNB+이/JKS
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.90.7.2
자리가 없었다.

자리가	자리/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.90.7.3
"동양인 여성인 데다 나이까지 어리니 받아주질 않더라고요.

"동양인	"/SS+동양인/NNG
여성인	여성/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
나이까지	나이/NNG+까지/JX
어리니	어리/VA+니/EC
받아주질	받/VV+아/EC+주/VX+지/EC+ㄹ/JX
않더라고요.	않/VX+더라고/EF+요/JX+./SF


# id : NWRW1800000038.90.7.4
그래도 걱정 안 했어요.

그래도	그러/VV+어도/EC
걱정	걱정/NNG
안	안/MAG
했어요.	하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000038.90.7.5
작곡에서 지휘로 전공을 바꿀 때부터 이미 각오했거든요." 1주일짜리 임시 부지휘자로 전전하면서 기회를 기다렸다.

작곡에서	작곡/NNG+에서/JKB
지휘로	지휘/NNG+로/JKB
전공을	전공/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
이미	이미/MAG
각오했거든요."	각오/NNG+하/XSV+았/EP+거든/EF+요/JX+./SF+"/SS
1주일짜리	1/SN+주일/NNB+짜리/XSN
임시	임시/NNG
부지휘자로	부지휘자/NNG+로/JKB
전전하면서	전전/NNG+하/XSV+면서/EC
기회를	기회/NNG+를/JKO
기다렸다.	기다리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.90.8.1
프랑크푸르트 오페라의 '라보엠'의 성공적 데뷔가 전환점이 됐다.

프랑크푸르트	프랑크푸르트/NNP
오페라의	오페라/NNG+의/JKG
'라보엠'의	'/SS+라보엠/NNP+'/SS+의/JKG
성공적	성공/NNG+적/XSN
데뷔가	데뷔/NNG+가/JKS
전환점이	전환점/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.90.8.2
ENO 지휘가 끝나는 다음 달이면 프랑스 낭시에서 콘서트를 지휘하고, 2014년엔 이탈리아 마체라타 오페라 페스티벌에서 푸치니 '토스카'를, 빈 폴크스 극장과 마르세유 극장에선 '라트라비아타'가 예정돼 있다.

ENO	ENO/SL
지휘가	지휘/NNG+가/JKS
끝나는	끝나/VV+는/ETM
다음	다음/NNG
달이면	달/NNG+이/VCP+면/EC
프랑스	프랑스/NNP
낭시에서	낭시/NNP+에서/JKB
콘서트를	콘서트/NNG+를/JKO
지휘하고,	지휘/NNG+하/XSV+고/EC+,/SP
2014년엔	2014/SN+년/NNB+에/JKB+ㄴ/JX
이탈리아	이탈리아/NNP
마체라타	마체라타/NNP
오페라	오페라/NNG
페스티벌에서	페스티벌/NNG+에서/JKB
푸치니	푸치니/NNP
'토스카'를,	'/SS+토스카/NNP+'/SS+를/JKO+,/SP
빈	빈/NNP
폴크스	폴크스/NNP
극장과	극장/NNG+과/JC
마르세유	마르세유/NNP
극장에선	극장/NNG+에서/JKB+ㄴ/JX
'라트라비아타'가	'/SS+라트라비아타/NNP+'/SS+가/JKS
예정돼	예정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.90.9.1
"이제 시작에 불과해요.

"이제	"/SS+이제/MAG
시작에	시작/NNG+에/JKB
불과해요.	불과/MAG+하/XSA+아요/EF+./SF


# id : NWRW1800000038.90.9.2
빈 국립오페라극장에서 제의가 들어와도 사양하려고요.

빈	빈/NNP
국립오페라극장에서	국립/NNG+오페라/NNG+극장/NNG+에서/JKB
제의가	제의/NNG+가/JKS
들어와도	들어오/VV+아도/EC
사양하려고요.	사양/NNG+하/XSV+려고/EF+요/JX+./SF


# id : NWRW1800000038.90.9.3
유럽 문화를 제 것으로 만들어 유럽인들이 제 오페라와 심포니 지휘를 듣고 감동하게 하고 싶어요.

유럽	유럽/NNP
문화를	문화/NNG+를/JKO
제	저/NP+의/JKG
것으로	것/NNB+으로/JKB
만들어	만들/VV+어/EC
유럽인들이	유럽인/NNG+들/XSN+이/JKS
오페라와	오페라/NNG+와/JC
심포니	심포니/NNG
지휘를	지휘/NNG+를/JKO
듣고	듣/VV+고/EC
감동하게	감동/NNG+하/XSV+게/EC
하고	하/VX+고/EC
싶어요.	싶/VX+어요/EF+./SF


# id : NWRW1800000038.90.9.4
전 아직 그 정도는 아니거든요."

전	저/NP+ㄴ/JX
아직	아직/MAG
그	그/MMD
정도는	정도/NNG+는/JX
아니거든요."	아니/VCN+거든/EF+요/JX+./SF+"/SS


