# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.224
metadata : {}


# id : NWRW1800000040.224.1.1
정부와 협의 규정한 ‘진주의료원법’ 무산

정부와	정부/NNG+와/JKB
전해철 민주당 의원은 법사위 전체회의에서 “진주의료원 관련법 등 중요한 문제인데 논의조차 되지 않는 것은 문제”라고 지적했다.

전해철	전해철/NNP
민주당	민주당/NNP
의원은	의원/NNG+은/JX
법사위	법사위/NNG
전체회의에서	전체/NNG+회의/NNG+에서/JKB
“진주의료원	“/SS+진주의료원/NNP
관련법	관련/NNG+법/NNG
등	등/NNB
중요한	중요/NNG+하/XSA+ㄴ/ETM
문제인데	문제/NNG+이/VCP+ㄴ데/EC
논의조차	논의/NNG+조차/JX
되지	되/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
문제”라고	문제/NNG+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.224.6.2
일부 새누리당 의원들은 ‘지방자치권 침해’를 이유로 개정안 처리에 반대하고 있는 것으로 전해졌다.

일부	일부/NNG
새누리당	새누리당/NNP
의원들은	의원/NNG+들/XSN+은/JX
‘지방자치권	‘/SS+지방/NNG+자치/NNG+권/XSN
침해’를	침해/NNG+’/SS+를/JKO
이유로	이유/NNG+로/JKB
개정안	개정안/NNG
처리에	처리/NNG+에/JKB
반대하고	반대/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.224.7.1
시민·보건의료단체들은 즉각 반발하고 나섰다.

시민·보건의료단체들은	시민/NNG+·/SP+보건/NNG+의료/NNG+단체/NNG+들/XSN+은/JX
즉각	즉각/MAG
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.224.7.2
무상의료운동본부는 이날 오후 서울 여의도 새누리당사 앞에서 회견을 열어 “자치단체장이 정치적 목적에 따라 일방적으로 지방의료원을 폐업하지 못하도록 하고, 지방의료원이 공공병원으로서 유지·발전될 수 있도록 하는 최소한의 장치인 진주의료원법은 반드시 통과돼야 한다”고 밝혔다.

무상의료운동본부는	무상의료운동본부/NNP+는/JX
이날	이날/NNG
오후	오후/NNG
서울	서울/NNP
여의도	여의도/NNP
새누리당사	새누리당사/NNP
앞에서	앞/NNG+에서/JKB
회견을	회견/NNG+을/JKO
열어	열/VV+어/EC
“자치단체장이	“/SS+자치/NNG+단체장/NNG+이/JKS
정치적	정치/NNG+적/XSN
목적에	목적/NNG+에/JKB
따라	따르/VV+아/EC
일방적으로	일방/NNG+적/XSN+으로/JKB
지방의료원을	지방/NNG+의료원/NNG+을/JKO
폐업하지	폐업/NNG+하/XSV+지/EC
못하도록	못하/VX+도록/EC
하고,	하/VX+고/EC+,/SP
지방의료원이	지방/NNG+의료원/NNG+이/JKS
공공병원으로서	공공/NNG+병원/NNG+으로서/JKB
유지·발전될	유지/NNG+·/SP+발전/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
최소한의	최소한/NNG+의/JKG
장치인	장치/NNG+이/VCP+ㄴ/ETM
진주의료원법은	진주의료원법/NNG+은/JX
반드시	반드시/MAG
통과돼야	통과/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.224.7.3
앞서 전국보건의료산업노조도 국회에서 회견을 열어 지방의료원법 처리를 촉구했다.

앞서	앞서/MAG
전국보건의료산업노조도	전국보건의료산업노조/NNP+도/JX
국회에서	국회/NNG+에서/JKB
회견을	회견/NNG+을/JKO
열어	열/VV+어/EC
지방의료원법	지방/NNG+의료원/NNG+법/NNG
처리를	처리/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.224.8.1
이밖에 법사위 처리가 무산된 보건복지위 관련 법안 개정안은 국민연금이 고갈되더라도 국가가 연금 지급을 보장하는 국민연금법과 법조문에서 장애인에 대한 표현을 순화하는 내용의 장애인복지법이다.

이밖에	이/NP+밖/NNG+에/JKB
법사위	법사위/NNG
처리가	처리/NNG+가/JKS
무산된	무산/NNG+되/XSV+ㄴ/ETM
보건복지위	보건/NNG+복지위/NNG
관련	관련/NNG
법안	법안/NNG
개정안은	개정안/NNG+은/JX
국민연금이	국민연금/NNG+이/JKS
고갈되더라도	고갈/NNG+되/XSV+더라도/EC
국가가	국가/NNG+가/JKS
연금	연금/NNG
지급을	지급/NNG+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
국민연금법과	국민연금법/NNG+과/JC
법조문에서	법조문/NNG+에서/JKB
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
표현을	표현/NNG+을/JKO
순화하는	순화/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
장애인복지법이다.	장애인/NNG+복지법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.224.8.2
보건복지위 소속 민주당 의원 모두는 이날 성명을 내어 “새누리당과 박근혜 정부는 국민연금법이 반드시 원안대로 6월 임시국회에서 통과되도록 하라”고 촉구했다.

보건복지위	보건/NNG+복지위/NNG
소속	소속/NNG
민주당	민주당/NNP
의원	의원/NNG
모두는	모두/NNG+는/JX
이날	이날/NNG
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“새누리당과	“/SS+새누리당/NNP+과/JC
박근혜	박근혜/NNP
정부는	정부/NNG+는/JX
국민연금법이	국민연금법/NNG+이/JKS
반드시	반드시/MAG
원안대로	원안/NNG+대로/JX
6월	6/SN+월/NNB
임시국회에서	임시/NNG+국회/NNG+에서/JKB
통과되도록	통과/NNG+되/XSV+도록/EC
하라”고	하/VX+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


