# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.285
metadata : {}


# id : NWRW1800000044.285.1.1
한국축구에 ‘판타지스타’가 나타났다

한국축구에	한국/NNP+축구/NNG+에/JKB
“이승우의	“/SS+이승우/NNP+의/JKG
골을	골/NNG+을/JKO
보니	보/VV+니/EC
이	이/MMD
세대에서는	세대/NNG+에서/JKB+는/JX
한국을	한국/NNP+을/JKO
이기기	이기/VV+기/ETN
힘들	힘들/VA+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
탄식했다.	탄식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.285.6.1
스페인의 <문도 데포르티보>는 “이승우가 아시아 대회에서 놀라운 득점을 이어갔다.

스페인의	스페인/NNP+의/JKG
<문도	</SS+문도/NNP
데포르티보>는	데포르티보/NNP+>/SS+는/JX
“이승우가	“/SS+이승우/NNP+가/JKS
아시아	아시아/NNP
대회에서	대회/NNG+에서/JKB
놀라운	놀랍/VA+ㄴ/ETM
득점을	득점/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.285.6.2
두번째 골은 예술 작품이었다”고 보도했고, 브라질 최대 통신사 <글로부>도 “이승우는 바르셀로나 유스팀에서도 가장 잠재력이 높은 선수로 꼽힌다.

두번째	두/MMN+번/NNB+째/XSN
골은	골/NNG+은/JX
예술	예술/NNG
작품이었다”고	작품/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
보도했고,	보도/NNG+하/XSV+았/EP+고/EC+,/SP
브라질	브라질/NNP
최대	최대/NNG
통신사	통신사/NNG
<글로부>도	</SS+글로부/NNP+>/SS+도/JX
“이승우는	“/SS+이승우/NNP+는/JX
바르셀로나	바르셀로나/NNP
유스팀에서도	유스팀/NNG+에서/JKB+도/JX
가장	가장/MAG
잠재력이	잠재력/NNG+이/JKS
높은	높/VA+은/ETM
선수로	선수/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.285.6.3
두번째 골은 1986년 월드컵 때 마라도나가 잉글랜드를 상대로 넣은 골과 매우 유사했다”고 전했다.

두번째	두/MMN+번/NNB+째/XSN
골은	골/NNG+은/JX
1986년	1986/SN+년/NNB
월드컵	월드컵/NNG
때	때/NNG
마라도나가	마라도나/NNP+가/JKS
잉글랜드를	잉글랜드/NNP+를/JKO
상대로	상대/NNG+로/JKB
넣은	넣/VV+은/ETM
골과	골/NNG+과/JKB
매우	매우/MAG
유사했다”고	유사/NNG+하/XSA+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.285.7.1
이승우는 스페인 프로축구 FC바르셀로나 유소년 팀의 최상위 레벨인 후베닐A의 에이스다.

이승우는	이승우/NNP+는/JX
스페인	스페인/NNP
프로축구	프로/NNG+축구/NNG
FC바르셀로나	FC/SL+바르셀로나/NNP
유소년	유소년/NNG
팀의	팀/NNG+의/JKG
최상위	최/XPN+상위/NNG
레벨인	레벨/NNG+이/VCP+ㄴ/ETM
후베닐A의	후베닐/NNP+A/SL+의/JKG
에이스다.	에이스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.285.7.2
리버풀, 첼시 등 다른 명문 클럽이 눈독을 들이자 바르셀로나는 지난 3월 이승우와 5년 재계약을 체결했다.

리버풀,	리버풀/NNP+,/SP
첼시	첼시/NNP
등	등/NNB
다른	다른/MMD
명문	명문/NNG
클럽이	클럽/NNG+이/JKS
눈독을	눈독/NNG+을/JKO
들이자	들이/VV+자/EC
바르셀로나는	바르셀로나/NNP+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
이승우와	이승우/NNP+와/JKB
5년	5/SN+년/NNB
재계약을	재/XPN+계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.285.7.3
이승우가 바르셀로나 성인팀에 올라가는 것은 시간문제다.

이승우가	이승우/NNP+가/JKS
바르셀로나	바르셀로나/NNP
성인팀에	성인/NNG+팀/NNG+에/JKB
올라가는	올라가/VV+는/ETM
것은	것/NNB+은/JX
시간문제다.	시간문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.285.8.1
이승우의 활약을 가장 반가워하는 것은 대형 공격수에 목마른 국내 축구팬들이다.

이승우의	이승우/NNP+의/JKG
활약을	활약/NNG+을/JKO
가장	가장/MAG
반가워하는	반가워하/VV+는/ETM
것은	것/NNB+은/JX
대형	대형/NNG
공격수에	공격수/NNG+에/JKB
목마른	목마르/VA+ㄴ/ETM
국내	국내/NNG
축구팬들이다.	축구/NNG+팬/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000044.285.8.2
한준희 <한국방송>(KBS) 해설위원은 “이승우는 한국 축구에서 좀처럼 보기 드물었던 현대 축구에 적합한 공격수”라고 평가했다.

한준희	한준희/NNP
<한국방송>(KBS)	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS
해설위원은	해설/NNG+위원/NNG+은/JX
“이승우는	“/SS+이승우/NNP+는/JX
한국	한국/NNP
축구에서	축구/NNG+에서/JKB
좀처럼	좀처럼/MAG
보기	보/VV+기/ETN
드물었던	드물/VA+었/EP+던/ETM
현대	현대/NNG
축구에	축구/NNG+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
공격수”라고	공격수/NNG+”/SS+라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.285.8.3
한 해설위원은 “일반적으로 판타지스타(Fantasista)라 하면 드리블, 슛, 패스 능력을 두루 갖춘 선수다.

한	한/MMN
해설위원은	해설/NNG+위원/NNG+은/JX
“일반적으로	“/SS+일반/NNG+적/XSN+으로/JKB
판타지스타(Fantasista)라	판타지스타/NNG+(/SS+Fantasista/SL+)/SS+이/VCP+라/EC
하면	하/VV+면/EC
드리블,	드리블/NNG+,/SP
슛,	슛/NNG+,/SP
패스	패스/NNG
능력을	능력/NNG+을/JKO
두루	두루/MAG
갖춘	갖추/VV+ㄴ/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.285.8.4
이승우는 여기에 폭발적인 스피드까지 가지고 있다.

이승우는	이승우/NNP+는/JX
여기에	여기/NP+에/JKB
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
스피드까지	스피드/NNG+까지/JX
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.285.8.5
이렇게 네 가지를 모두 갖춘 선수는 한국은 물론 세계적으로도 드물다”고 덧붙였다.

이렇게	이렇/VA+게/EC
네	네/MMN
가지를	가지/NNB+를/JKO
모두	모두/MAG
갖춘	갖추/VV+ㄴ/ETM
선수는	선수/NNG+는/JX
한국은	한국/NNP+은/JX
물론	물론/MAG
세계적으로도	세계/NNG+적/XSN+으로/JKB+도/JX
드물다”고	드물/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.285.9.1
벌써부터 이승우의 대표팀 승선 이야기가 나오고 있다.

벌써부터	벌써/MAG+부터/JX
이승우의	이승우/NNP+의/JKG
대표팀	대표/NNG+팀/NNG
승선	승선/NNG
이야기가	이야기/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.285.9.2
동시에 일각에서는 이승우의 ‘튀는’ 성격이 걸림돌이 될 것이란 우려도 나온다.

동시에	동시/NNG+에/JKB
일각에서는	일각/NNG+에서/JKB+는/JX
이승우의	이승우/NNP+의/JKG
‘튀는’	‘/SS+튀/VV+는/ETM+’/SS
성격이	성격/NNG+이/JKS
걸림돌이	걸림돌/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.285.9.3
한준희 해설위원은 “이승우도 대표팀에서 주변과 조화되기 위해 노력해야 하지만, 동시에 한국 축구도 이승우처럼 개성 강한 선수들을 받아들일 수 있는 준비가 돼 있는지 생각해봐야 한다”고 말했다.

한준희	한준희/NNP
해설위원은	해설/NNG+위원/NNG+은/JX
“이승우도	“/SS+이승우/NNP+도/JX
대표팀에서	대표/NNG+팀/NNG+에서/JKB
주변과	주변/NNG+과/JKB
조화되기	조화/NNG+되/XSV+기/ETN
위해	위하/VV+아/EC
노력해야	노력/NNG+하/XSV+아야/EC
하지만,	하/VX+지만/EC+,/SP
동시에	동시/NNG+에/JKB
한국	한국/NNP
축구도	축구/NNG+도/JX
이승우처럼	이승우/NNP+처럼/JKB
개성	개성/NNG
강한	강하/VA+ㄴ/ETM
선수들을	선수/NNG+들/XSN+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있는지	있/VX+는지/EC
생각해봐야	생각/NNG+하/XSV+아/EC+보/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


