# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.343
metadata : {}


# id : NWRW1800000024.343.1.1
전북도, 2010 세계음식관광축제 유치

전북도,	전북도/NNP+,/SP
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.343.4.2
축제는 공식행사, 전시행사, 학술대회 및 설명회를 비롯해 △세계 요리사 경연대회 △음식 명인 요리시연 △세계 전통 음식 퍼레이드 △한류 스타와 함께하는 음식기행 등으로 꾸며진다.

축제는	축제/NNG+는/JX
공식행사,	공식/NNG+행사/NNG+,/SP
전시행사,	전시/NNG+행사/NNG+,/SP
학술대회	학술/NNG+대회/NNG
및	및/MAG
설명회를	설명회/NNG+를/JKO
비롯해	비롯하/VV+아/EC
△세계	△/SW+세계/NNG
요리사	요리사/NNG
경연대회	경연/NNG+대회/NNG
△음식	△/SW+음식/NNG
명인	명인/NNG
요리시연	요리/NNG+시연/NNG
전통	전통/NNG
음식	음식/NNG
퍼레이드	퍼레이드/NNG
△한류	△/SW+한류/NNG
스타와	스타/NNG+와/JKB
함께하는	함께/MAG+하/XSV+는/ETM
음식기행	음식/NNG+기행/NNG
등으로	등/NNB+으로/JKB
꾸며진다.	꾸미/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.343.5.1
유기상 도 문화관광국장은 “축제기간에 하루 평균 3만명씩, 모두 21만명이 방문해 경제적 파급효과가 800억원에 달할 것으로 보인다”며 “축제가 성공적으로 끝나면 2011년과 2012년에도 전북에서 다시 개최하기로 위원회와 협의했다”고 말했다.

유기상	유기상/NNP
도	도/NNG
문화관광국장은	문화관광국장/NNG+은/JX
“축제기간에	“/SS+축제/NNG+기간/NNG+에/JKB
하루	하루/NNG
평균	평균/NNG
3만명씩,	3/SN+만/NR+명/NNB+씩/XSN+,/SP
모두	모두/MAG
21만명이	21/SN+만/NR+명/NNB+이/JKS
방문해	방문/NNG+하/XSV+아/EC
경제적	경제/NNG+적/XSN
파급효과가	파급/NNG+효과/NNG+가/JKS
800억원에	800/SN+억/NR+원/NNB+에/JKB
달할	달하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“축제가	“/SS+축제/NNG+가/JKS
성공적으로	성공/NNG+적/XSN+으로/JKB
끝나면	끝나/VV+면/EC
2011년과	2011/SN+년/NNB+과/JC
2012년에도	2012/SN+년/NNB+에/JKB+도/JX
전북에서	전북/NNP+에서/JKB
다시	다시/MAG
개최하기로	개최/NNG+하/XSV+기/ETN+로/JKB
위원회와	위원회/NNG+와/JKB
협의했다”고	협의/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


