# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.85
metadata : {}


# id : NWRW1800000053.85.1.1
[Bio 의약]유럽 4종, 美1종, 韓4종… 바이오시밀러 제품 판매허가 획득

[Bio	[/SS+Bio/SL
특히 지난달 온트루잔트의 판매 승인을 통해 기존 자가면역질환 치료제뿐 아니라 항암항체 치료제 분야에서의 연구개발(R&D) 역량을 인정받았으며, 유럽에서 글로벌 톱10 바이오의약품의 바이오시밀러를 가장 많이 보유한 기업이 됐다.

특히	특히/MAG
지난달	지난달/NNG
온트루잔트의	온트루잔트/NNP+의/JKG
판매	판매/NNG
승인을	승인/NNG+을/JKO
통해	통하/VV+아/EC
기존	기존/NNG
자가면역질환	자가/NNG+면역/NNG+질환/NNG
치료제뿐	치료제/NNG+뿐/JX
아니라	아니/VCN+라/EC
항암항체	항암/NNG+항체/NNG
치료제	치료제/NNG
분야에서의	분야/NNG+에서/JKB+의/JKG
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
역량을	역량/NNG+을/JKO
인정받았으며,	인정/NNG+받/XSV+았/EP+으며/EC+,/SP
유럽에서	유럽/NNP+에서/JKB
글로벌	글로벌/NNG
톱10	톱/NNG+10/SN
바이오의약품의	바이오/NNG+의약품/NNG+의/JKG
바이오시밀러를	바이오시밀러/NNG+를/JKO
가장	가장/MAG
많이	많이/MAG
보유한	보유/NNG+하/XSV+ㄴ/ETM
기업이	기업/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.85.5.1
삼성바이오에피스의 파트너사인 바이오젠에 따르면, 올해 3분기까지 유럽 내 ‘베네팔리’, ‘플릭사비’의 매출액은 2억5800만 달러(약 2840억 원)에 이른다.

삼성바이오에피스의	삼성바이오에피스/NNP+의/JKG
파트너사인	파트너사/NNG+이/VCP+ㄴ/ETM
바이오젠에	바이오젠/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
올해	올해/NNG
3분기까지	3/SN+분기/NNG+까지/JX
유럽	유럽/NNP
내	내/NNB
‘베네팔리’,	‘/SS+베네팔리/NNP+’/SS+,/SP
‘플릭사비’의	‘/SS+플릭사비/NNP+’/SS+의/JKG
매출액은	매출액/NNG+은/JX
2억5800만	2/SN+억/NR+5800/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
2840억	2840/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.85.5.2
지난해 두 제품의 3분기 총 누적 매출액 4800만 달러와 비교하면 1년 새 5배 이상으로 증가한 수치다.

지난해	지난해/NNG
두	두/MMN
제품의	제품/NNG+의/JKG
3분기	3/SN+분기/NNG
총	총/MMA
누적	누적/NNG
매출액	매출액/NNG
4800만	4800/SN+만/NR
달러와	달러/NNB+와/JKB
비교하면	비교/NNG+하/XSV+면/EC
1년	1/SN+년/NNB
새	새/NNG
5배	5/SN+배/NNG
이상으로	이상/NNG+으로/JKB
증가한	증가/NNG+하/XSV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.85.6.1
특히 엔브렐 바이오시밀러 ‘베네팔리’는 3분기에만 9920만 달러(약 1100억 원)의 매출을 기록해 시장점유율이 2분기 20%, 3분기 30%를 넘을 것으로 업계는 추정하고 있다.

특히	특히/MAG
엔브렐	엔브렐/NNP
바이오시밀러	바이오시밀러/NNG
‘베네팔리’는	‘/SS+베네팔리/NNP+’/SS+는/JX
3분기에만	3/SN+분기/NNG+에/JKB+만/JX
9920만	9920/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
1100억	1100/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
매출을	매출/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
시장점유율이	시장/NNG+점유/NNG+율/XSN+이/JKS
2분기	2/SN+분기/NNG
20%,	20/SN+%/SW+,/SP
3분기	3/SN+분기/NNG
30%를	30/SN+%/SW+를/JKO
넘을	넘/VV+을/ETM
것으로	것/NNB+으로/JKB
업계는	업계/NNG+는/JX
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.85.7.1
삼성바이오에피스는 내년에도 기존 판매 제품의 매출 증가와 함께 온트루잔트의 유럽 출시, 렌플렉시스의 미국 시장 본격화 등으로 성장세를 지속할 것으로 전망된다.

삼성바이오에피스는	삼성바이오에피스/NNP+는/JX
내년에도	내년/NNG+에/JKB+도/JX
기존	기존/NNG
판매	판매/NNG
제품의	제품/NNG+의/JKG
매출	매출/NNG
증가와	증가/NNG+와/JKB
함께	함께/MAG
온트루잔트의	온트루잔트/NNP+의/JKG
유럽	유럽/NNP
출시,	출시/NNG+,/SP
렌플렉시스의	렌플렉시스/NNP+의/JKG
미국	미국/NNP
시장	시장/NNG
본격화	본격/NNG+화/XSN
등으로	등/NNB+으로/JKB
성장세를	성장세/NNG+를/JKO
지속할	지속/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.85.8.1
삼성바이오에피스는 올해 8월 일본 다케다제약과 신약 공동 개발 파트너십을 체결하고 급성 췌장염 치료 후보 제품인 ‘TAK-671’의 공동 개발에 착수했다.

삼성바이오에피스는	삼성바이오에피스/NNP+는/JX
올해	올해/NNG
8월	8/SN+월/NNB
일본	일본/NNP
다케다제약과	다케다제약/NNP+과/JC
신약	신약/NNG
공동	공동/NNG
개발	개발/NNG
파트너십을	파트너십/NNG+을/JKO
체결하고	체결/NNG+하/XSV+고/EC
급성	급성/NNG
췌장염	췌장염/NNG
치료	치료/NNG
후보	후보/NNG
제품인	제품/NNG+이/VCP+ㄴ/ETM
‘TAK-671’의	‘/SS+TAK/SL+-/SO+671/SN+’/SS+의/JKG
개발에	개발/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.85.8.2
이번 파트너십을 통해 삼성바이오에피스는 지난 5년간 바이오시밀러 R&D를 성공적으로 수행한 플랫폼 및 기술을 세계적으로 인정받을 수 있게 되었으며, 향후 이러한 R&D 역량을 바이오 신약 개발로 확대할 수 있는 초석을 다졌다.

이번	이번/NNG
파트너십을	파트너십/NNG+을/JKO
통해	통하/VV+아/EC
삼성바이오에피스는	삼성바이오에피스/NNP+는/JX
지난	지나/VV+ㄴ/ETM
5년간	5/SN+년/NNB+간/XSN
바이오시밀러	바이오시밀러/NNG
R&D를	R/SL+&/SW+D/SL+를/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
수행한	수행/NNG+하/XSV+ㄴ/ETM
플랫폼	플랫폼/NNG
및	및/MAG
기술을	기술/NNG+을/JKO
세계적으로	세계/NNG+적/XSN+으로/JKB
인정받을	인정/NNG+받/XSV+을/ETM
수	수/NNB
있게	있/VA+게/EC
되었으며,	되/VV+었/EP+으며/EC+,/SP
향후	향후/NNG
이러한	이러하/VA+ㄴ/ETM
R&D	R/SL+&/SW+D/SL
역량을	역량/NNG+을/JKO
바이오	바이오/NNG
신약	신약/NNG
개발로	개발/NNG+로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
있는	있/VA+는/ETM
초석을	초석/NNG+을/JKO
다졌다.	다지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.85.9.1
10월에는 국내 시판 중인 바이오시밀러 제품 2종에 대한 독점판매계약을 기존 MSD에서 유한양행으로 이전하는 전략적 파트너십을 체결하였으며, 11월에는 대웅제약과 유방암 바이오시밀러 ‘삼페넷’의 국내 판권 계약을 맺으며 국내 항암 시장 영업에도 힘을 쏟고 있다.

10월에는	10/SN+월/NNB+에/JKB+는/JX
국내	국내/NNG
시판	시판/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
바이오시밀러	바이오시밀러/NNG
제품	제품/NNG
2종에	2/SN+종/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
독점판매계약을	독점/NNG+판매/NNG+계약/NNG+을/JKO
기존	기존/NNG
MSD에서	MSD/SL+에서/JKB
유한양행으로	유한양행/NNP+으로/JKB
이전하는	이전/NNG+하/XSV+는/ETM
전략적	전략/NNG+적/XSN
파트너십을	파트너십/NNG+을/JKO
체결하였으며,	체결/NNG+하/XSV+았/EP+으며/EC+,/SP
11월에는	11/SN+월/NNB+에/JKB+는/JX
대웅제약과	대웅제약/NNP+과/JC
유방암	유방암/NNG
‘삼페넷’의	‘/SS+삼페넷/NNP+’/SS+의/JKG
판권	판권/NNG
계약을	계약/NNG+을/JKO
맺으며	맺/VV+으며/EC
항암	항암/NNG
시장	시장/NNG
영업에도	영업/NNG+에/JKB+도/JX
힘을	힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.85.10.1
또 삼성바이오에피스는 올해 2월부터 바이오·제약 업계 관계자들이 참석하는 ‘바이오업계 교류회’를 개최하고 있다.

또	또/MAG
삼성바이오에피스는	삼성바이오에피스/NNP+는/JX
올해	올해/NNG
2월부터	2/SN+월/NNB+부터/JX
바이오·제약	바이오/NNG+·/SP+제약/NNG
업계	업계/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
참석하는	참석/NNG+하/XSV+는/ETM
‘바이오업계	‘/SS+바이오/NNG+업계/NNG
교류회’를	교류회/NNG+’/SS+를/JKO
개최하고	개최/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.85.10.2
10월까지 총 5회가 열린 바이오업계 교류회에는 매회 100여 개의 국내 제약·바이오 업체 및 투자사, 학계, 의료계 전문가들이 참석해 업계 트렌드와 정보를 공유하고 네트워킹함으로써 국내 바이오업계의 활성화에 기여하고 있다.

10월까지	10/SN+월/NNB+까지/JX
총	총/MMA
5회가	5/SN+회/NNB+가/JKS
열린	열리/VV+ㄴ/ETM
바이오업계	바이오/NNG+업계/NNG
교류회에는	교류회/NNG+에/JKB+는/JX
매회	매회/MAG
100여	100/SN+여/XSN
개의	개/NNB+의/JKG
국내	국내/NNG
제약·바이오	제약/NNG+·/SP+바이오/NNG
업체	업체/NNG
및	및/MAG
투자사,	투자사/NNG+,/SP
학계,	학계/NNG+,/SP
의료계	의료/NNG+계/XSN
전문가들이	전문가/NNG+들/XSN+이/JKS
참석해	참석/NNG+하/XSV+아/EC
업계	업계/NNG
트렌드와	트렌드/NNG+와/JC
정보를	정보/NNG+를/JKO
공유하고	공유/NNG+하/XSV+고/EC
네트워킹함으로써	네트워킹/NNG+하/XSV+ㅁ/ETN+으로써/JKB
바이오업계의	바이오/NNG+업계/NNG+의/JKG
활성화에	활성/NNG+화/XSN+에/JKB
기여하고	기여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.85.11.1
삼성바이오에피스는 미래 바이오 산업 인재양성을 위해 2015년부터 KAIST 학생들을 대상으로 ‘연구노트 경진대회’도 진행하고 있다.

삼성바이오에피스는	삼성바이오에피스/NNP+는/JX
미래	미래/NNG
바이오	바이오/NNG
산업	산업/NNG
인재양성을	인재/NNG+양성/NNG+을/JKO
위해	위하/VV+아/EC
2015년부터	2015/SN+년/NNB+부터/JX
KAIST	KAIST/SL
학생들을	학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
‘연구노트	‘/SS+연구/NNG+노트/NNG
경진대회’도	경진/NNG+대회/NNG+’/SS+도/JX
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.85.11.2
‘연구노트 경진대회’는 삼성바이오에피스가 다년간 연구한 연구노트 작성 기준을 바이오 분야 전공 대학생들에게 전파해 글로벌 스탠더드를 체득할 수 있는 기회를 제공하는 사회공헌활동이다.

‘연구노트	‘/SS+연구/NNG+노트/NNG
경진대회’는	경진/NNG+대회/NNG+’/SS+는/JX
삼성바이오에피스가	삼성바이오에피스/NNP+가/JKS
다년간	다년/NNG+간/XSN
연구한	연구/NNG+하/XSV+ㄴ/ETM
연구노트	연구/NNG+노트/NNG
작성	작성/NNG
기준을	기준/NNG+을/JKO
바이오	바이오/NNG
분야	분야/NNG
전공	전공/NNG
대학생들에게	대학/NNG+생/XSN+들/XSN+에게/JKB
전파해	전파/NNG+하/XSV+아/EC
글로벌	글로벌/NNG
스탠더드를	스탠더드/NNG+를/JKO
체득할	체득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
사회공헌활동이다.	사회/NNG+공헌/NNG+활동/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.85.11.3
올해는 그 대상을 확대해 4월에 전남대, 포스텍과도 협약식을 맺었다.

올해는	올해/NNG+는/JX
그	그/MMD
대상을	대상/NNG+을/JKO
확대해	확대/NNG+하/XSV+아/EC
4월에	4/SN+월/NNB+에/JKB
전남대,	전남대/NNP+,/SP
포스텍과도	포스텍/NNP+과/JKB+도/JX
협약식을	협약식/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


