# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.57
metadata : {}


# id : NWRW1800000022.57.1.1
오늘, 빛을 보았습니다 김수환 추기경이 각막 기증… 2명 눈 떠;19세때 시력잃은 73세 환자 30년전 공장서 사고당한 사람

오늘,	오늘/MAG+,/SP
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.57.3.2
의사들은 김 추기경의 마지막을 지켜본 정진석 추기경 등 신부, 수녀들을 잠깐 병실 밖으로 내보냈다.

의사들은	의사/NNG+들/XSN+은/JX
김	김/NNP
추기경의	추기경/NNG+의/JKG
마지막을	마지막/NNG+을/JKO
지켜본	지켜보/VV+ㄴ/ETM
정진석	정진석/NNP
추기경	추기경/NNG
등	등/NNB
신부,	신부/NNG+,/SP
수녀들을	수녀/NNG+들/XSN+을/JKO
잠깐	잠깐/MAG
병실	병실/NNG
밖으로	밖/NNG+으로/JKB
내보냈다.	내보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.57.3.3
안과 과장 주천기(53) 교수가 김 추기경의 유해를 향해 목멘 소리로 말했다.

안과	안과/NNG
과장	과장/NNG
주천기(53)	주천기/NNP+(/SS+53/SN+)/SS
교수가	교수/NNG+가/JKS
김	김/NNP
추기경의	추기경/NNG+의/JKG
유해를	유해/NNG+를/JKO
향해	향하/VV+아/EC
목멘	목메/VV+ㄴ/ETM
소리로	소리/NNG+로/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.3.4
▶관련기사 A4·5면

▶관련기사	▶/SW+관련/NNG+기사/NNG
A4·5면	A/SL+4/SN+·/SP+5/SN+면/NNG


# id : NWRW1800000022.57.4.1
"하늘나라에 가시면서 숭고한 일을 하셔서 감사합니다.

"하늘나라에	"/SS+하늘나라/NNG+에/JKB
가시면서	가/VV+시/EP+면서/EC
숭고한	숭고하/VA+ㄴ/ETM
일을	일/NNG+을/JKO
하셔서	하/VV+시/EP+어서/EC
감사합니다.	감사/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000022.57.4.2
다른 사람에게 새 빛을 줄 수 있도록 최선을 다하겠습니다."

다른	다른/MMD
사람에게	사람/NNG+에게/JKB
새	새/MMA
빛을	빛/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
최선을	최선/NNG+을/JKO
다하겠습니다."	다/MAG+하/XSV+겠/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000022.57.5.1
변용수(30) 전문의는 "야위셨지만, 돌아가신 분이라고 생각할 수 없을 정도로 온화하고 평안한 표정이셨다"고 했다.

변용수(30)	변용수/NNP+(/SS+30/SN+)/SS
전문의는	전문의/NNG+는/JX
"야위셨지만,	"/SS+야위/VV+시/EP+었/EP+지만/EC+,/SP
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
분이라고	분/NNB+이/VCP+라고/EC
생각할	생각/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
온화하고	온화하/VA+고/EC
평안한	평안/NNG+하/XSA+ㄴ/ETM
표정이셨다"고	표정/NNG+이/VCP+시/EP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.5.2
수술은 오후 7시부터 30분 동안 진행됐다.

수술은	수술/NNG+은/JX
오후	오후/NNG
7시부터	7/SN+시/NNB+부터/JX
30분	30/SN+분/NNB
동안	동안/NNG
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.57.5.3
의사들은 추기경의 양쪽 눈을 거둔 뒤 병원 안에 있는 '안구은행'으로 옮겨서 이식에 적합한 상태인지 확인했다.

의사들은	의사/NNG+들/XSN+은/JX
추기경의	추기경/NNG+의/JKG
양쪽	양쪽/NNG
눈을	눈/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
뒤	뒤/NNG
병원	병원/NNG
안에	안/NNG+에/JKB
있는	있/VA+는/ETM
'안구은행'으로	'/SS+안구은행/NNG+'/SS+으로/JKB
옮겨서	옮기/VV+어서/EC
이식에	이식/NNG+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
상태인지	상태/NNG+이/VCP+ㄴ지/EC
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.5.4
변 전문의는 "연세에 비해 각막이 깨끗했고, 두께와 세포 밀도도 정상이었다"고 했다.

변	변/NNP
전문의는	전문의/NNG+는/JX
"연세에	"/SS+연세/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
각막이	각막/NNG+이/JKS
깨끗했고,	깨끗하/VA+았/EP+고/EC+,/SP
두께와	두께/NNG+와/JC
세포	세포/NNG
밀도도	밀도/NNG+도/JX
정상이었다"고	정상/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.5.5
이날 밤 9시30분쯤 김 추기경의 유해는 명동성당으로 운구됐고, 김 추기경의 각막은 병원에 남았다.

이날	이날/NNG
밤	밤/NNG
9시30분쯤	9/SN+시/NNB+30/SN+분/NNB+쯤/XSN
김	김/NNP
추기경의	추기경/NNG+의/JKG
유해는	유해/NNG+는/JX
명동성당으로	명동성당/NNP+으로/JKB
운구됐고,	운구/NNG+되/XSV+었/EP+고/EC+,/SP
각막은	각막/NNG+은/JX
병원에	병원/NNG+에/JKB
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.6.1
이튿날인 17일 오전 9시쯤 각막 이식 수술 대기자인 서울의 A(73)씨와 경북의 B(70)씨 집에 전화가 걸려왔다.

이튿날인	이튿날/NNG+이/VCP+ㄴ/ETM
17일	17/SN+일/NNB
오전	오전/NNG
9시쯤	9/SN+시/NNB+쯤/XSN
각막	각막/NNG
이식	이식/NNG
수술	수술/NNG
대기자인	대기자/NNG+이/VCP+ㄴ/ETM
서울의	서울/NNP+의/JKG
A(73)씨와	A/SL+(/SS+73/SN+)/SS+씨/NNB+와/JC
경북의	경북/NNP+의/JKG
B(70)씨	B/SL+(/SS+70/SN+)/SS+씨/NNB
집에	집/NNG+에/JKB
전화가	전화/NNG+가/JKS
걸려왔다.	걸리/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.57.6.2
"각막이 준비됐으니 빨리 서울성모병원으로 오라"는 내용이었다.

"각막이	"/SS+각막/NNG+이/JKS
준비됐으니	준비/NNG+되/XSV+었/EP+으니/EC
빨리	빨리/MAG
서울성모병원으로	서울성모병원/NNP+으로/JKB
오라"는	오/VV+라/EF+"/SS+는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.57.7.1
A씨는 1시간 30분 만에 아들(42)의 부축을 받으며 병원에 들어서 입원 수속을 마쳤다.

A씨는	A/SL+씨/NNB+는/JX
1시간	1/SN+시간/NNB
30분	30/SN+분/NNB
만에	만/NNB+에/JKB
아들(42)의	아들/NNG+(/SS+42/SN+)/SS+의/JKG
부축을	부축/NNG+을/JKO
받으며	받/VV+으며/EC
병원에	병원/NNG+에/JKB
들어서	들어서/VV+어/EC
입원	입원/NNG
수속을	수속/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.57.7.2
B씨도 오후 2시30분쯤 병원에 도착해 곧바로 수술복으로 갈아입었다.

B씨도	B/SL+씨/NNB+도/JX
오후	오후/NNG
2시30분쯤	2/SN+시/NNB+30/SN+분/NNB+쯤/XSN
병원에	병원/NNG+에/JKB
도착해	도착/NNG+하/XSV+아/EC
곧바로	곧바로/MAG
수술복으로	수술복/NNG+으로/JKB
갈아입었다.	갈아입/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.57.8.1
A씨는 "19살 때 고향에서 과일을 따다가 나뭇가지에 오른쪽 눈을 찔려 시력을 완전히 잃었고, 그 후 왼쪽 눈 시력이 떨어져 1~2m 앞만 어렴풋이 분간할 수 있게 됐다"고 했다.

A씨는	A/SL+씨/NNB+는/JX
"19살	"/SS+19/SN+살/NNB
때	때/NNG
고향에서	고향/NNG+에서/JKB
과일을	과일/NNG+을/JKO
따다가	따/VV+다가/EC
나뭇가지에	나뭇가지/NNG+에/JKB
오른쪽	오른쪽/NNG
눈을	눈/NNG+을/JKO
찔려	찔리/VV+어/EC
시력을	시력/NNG+을/JKO
완전히	완전히/MAG
잃었고,	잃/VV+었/EP+고/EC+,/SP
그	그/MMD
후	후/NNG
왼쪽	왼쪽/NNG
눈	눈/NNG
시력이	시력/NNG+이/JKS
떨어져	떨어지/VV+어/EC
1~2m	1/SN+~/SO+2/SN+m/SW
앞만	앞/NNG+만/JX
어렴풋이	어렴풋이/MAG
분간할	분간/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.8.2
2006년과 2007년에 두 차례 수술을 받고 왼쪽 눈 시력을 일부 회복했지만 이내 다시 침침해졌다고 한다.

2006년과	2006/SN+년/NNB+과/JC
2007년에	2007/SN+년/NNB+에/JKB
두	두/MMN
차례	차례/NNG
수술을	수술/NNG+을/JKO
받고	받/VV+고/EC
왼쪽	왼쪽/NNG
눈	눈/NNG
시력을	시력/NNG+을/JKO
일부	일부/NNG
회복했지만	회복/NNG+하/XSV+았/EP+지만/EC
이내	이내/MAG
다시	다시/MAG
침침해졌다고	침침하/VA+아/EC+지/VX+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.57.8.3
아들은 "50년 넘게 집에서만 지내신 어머니가 이번에야말로 눈을 뜨면 좋겠다"고 기원했다.

아들은	아들/NNG+은/JX
"50년	"/SS+50/SN+년/NNB
넘게	넘/VV+게/EC
집에서만	집/NNG+에서/JKB+만/JX
지내신	지내/VV+시/EP+ㄴ/ETM
어머니가	어머니/NNG+가/JKS
이번에야말로	이번/NNG+에/JKB+야말로/JX
눈을	눈/NNG+을/JKO
뜨면	뜨/VV+면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
기원했다.	기원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.9.1
B씨는 "30년 전, 다니던 공장에서 폭발사고가 나서 왼쪽 시력을 잃었다"며 "그동안 농사일을 마음먹은 만큼 못했는데, 시력을 회복해 다시 농사를 지을 수 있게 되면 좋겠다"고 했다.

B씨는	B/SL+씨/NNB+는/JX
"30년	"/SS+30/SN+년/NNB
전,	전/NNG+,/SP
다니던	다니/VV+던/ETM
공장에서	공장/NNG+에서/JKB
폭발사고가	폭발/NNG+사고/NNG+가/JKS
나서	나/VV+아서/EC
왼쪽	왼쪽/NNG
시력을	시력/NNG+을/JKO
잃었다"며	잃/VV+었/EP+다/EF+"/SS+며/EC
"그동안	"/SS+그동안/NNG
농사일을	농사일/NNG+을/JKO
마음먹은	마음먹/VV+은/ETM
만큼	만큼/NNB
못했는데,	못/MAG+하/VV+았/EP+는데/EC+,/SP
회복해	회복/NNG+하/XSV+아/EC
다시	다시/MAG
농사를	농사/NNG+를/JKO
지을	짓/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되면	되/VV+면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.10.1
두 사람은 병원 직원들에게 "어제(16일) 여기서 김 추기경이 돌아가셨다고 들었다"며 "혹시 내가 이식받을 각막이 그분이 기증하신 것이냐"고 물었다.

두	두/MMN
사람은	사람/NNG+은/JX
병원	병원/NNG
직원들에게	직원/NNG+들/XSN+에게/JKB
"어제(16일)	"/SS+어제/NNG+(/SS+16/SN+일/NNB+)/SS
여기서	여기/NP+서/JKB
김	김/NNP
추기경이	추기경/NNG+이/JKS
돌아가셨다고	돌아가/VV+시/EP+었/EP+다고/EC
들었다"며	듣/VV+었/EP+다/EF+"/SS+며/EC
"혹시	"/SS+혹시/MAG
내가	내/NP+가/JKS
이식받을	이식/NNG+받/XSV+을/ETM
각막이	각막/NNG+이/JKS
그분이	그분/NP+이/JKS
기증하신	기증/NNG+하/XSV+시/EP+ㄴ/ETM
것이냐"고	것/NNB+이/VCP+냐/EF+"/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.57.10.2
병원 직원들은 "각막 기증자와 이식 대상자의 신원을 밝히는 게 규정상 금지돼 있어 알려줄 수 없다"고 답했다.

병원	병원/NNG
직원들은	직원/NNG+들/XSN+은/JX
"각막	"/SS+각막/NNG
기증자와	기증자/NNG+와/JC
이식	이식/NNG
대상자의	대상자/NNG+의/JKG
신원을	신원/NNG+을/JKO
밝히는	밝히/VV+는/ETM
게	거/NNB+이/JKS
규정상	규정/NNG+상/XSN
금지돼	금지/NNG+되/XSV+어/EC
있어	있/VX+어/EC
알려줄	알리/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.11.1
병원측은 "각막 이식 수술은 각막이 들어올 때마다 그때그때 이뤄진다"고 했다.

병원측은	병원/NNG+측/NNB+은/JX
"각막	"/SS+각막/NNG
이식	이식/NNG
수술은	수술/NNG+은/JX
각막이	각막/NNG+이/JKS
들어올	들어오/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
그때그때	그때그때/MAG
이뤄진다"고	이뤄지/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.11.2
적출된 각막의 보존 기한은 7일이지만, 대부분 만 하루 안에 이식 수술이 이뤄진다.

적출된	적출/NNG+되/XSV+ㄴ/ETM
각막의	각막/NNG+의/JKG
보존	보존/NNG
기한은	기한/NNG+은/JX
7일이지만,	7/SN+일/NNB+이/VCP+지만/EC+,/SP
대부분	대/XPN+부분/NNG
만	만/MMA
하루	하루/NNG
안에	안/NNG+에/JKB
이식	이식/NNG
수술이	수술/NNG+이/JKS
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.57.11.3
병원 관계자는 "양쪽 눈 실명이나 응급 안(眼) 질환을 앓는 환자, 또 나이가 적은 환자일수록 우선순위가 되며, 기증자와 이식 대상자의 나이도 고려한다"고 했다.

병원	병원/NNG
관계자는	관계자/NNG+는/JX
"양쪽	"/SS+양쪽/NNG
눈	눈/NNG
실명이나	실명/NNG+이나/JC
응급	응급/NNG
안(眼)	안/NA+(/SS+眼/SH+)/SS
질환을	질환/NNG+을/JKO
앓는	앓/VV+는/ETM
환자,	환자/NNG+,/SP
또	또/MAG
나이가	나이/NNG+가/JKS
적은	적/VA+은/ETM
환자일수록	환자/NNG+이/VCP+ㄹ수록/EC
우선순위가	우선순위/NNG+가/JKC
되며,	되/VV+며/EC+,/SP
기증자와	기증자/NNG+와/JC
이식	이식/NNG
대상자의	대상자/NNG+의/JKG
나이도	나이/NNG+도/JX
고려한다"고	고려/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.12.1
'사랑의 장기기증 운동본부'는 이날 "김 추기경이 각막을 기증한 뒤, 장기기증 서약 상담이 평소보다 두 배 이상 늘었다"며 "온라인과 전화로 '추기경을 보고 나도 베풀어야겠다고 결심했다'는 사연이 쏟아졌다"고 했다.

'사랑의	'/SS+사랑/NNG+의/JKG
장기기증	장기/NNG+기증/NNG
운동본부'는	운동/NNG+본부/NNG+'/SS+는/JX
이날	이날/NNG
"김	"/SS+김/NNP
추기경이	추기경/NNG+이/JKS
각막을	각막/NNG+을/JKO
기증한	기증/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
서약	서약/NNG
상담이	상담/NNG+이/JKS
평소보다	평소/NNG+보다/JKB
두	두/MMN
배	배/NNG
이상	이상/NNG
늘었다"며	늘/VV+었/EP+다/EF+"/SS+며/EC
"온라인과	"/SS+온라인/NNG+과/JC
전화로	전화/NNG+로/JKB
'추기경을	'/SS+추기경/NNG+을/JKO
보고	보/VV+고/EC
나도	나/NP+도/JX
베풀어야겠다고	베풀/VV+어야/EC+하/VX+겠/EP+다고/EC
결심했다'는	결심/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
사연이	사연/NNG+이/JKS
쏟아졌다"고	쏟아지/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.12.2
김 추기경은 이 세상에 눈(目)과 사랑을 남기고 떠났다.

김	김/NNP
추기경은	추기경/NNG+은/JX
이	이/MMD
세상에	세상/NNG+에/JKB
눈(目)과	눈/NNG+(/SS+目/SH+)/SS+과/JC
사랑을	사랑/NNG+을/JKO
남기고	남기/VV+고/EC
떠났다.	떠나/VV+았/EP+다/EF+./SF


