# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.128
metadata : {}


# id : NWRW1800000048.128.1.1
트랜스젠더, 백악관 고위 공무원에 첫 임명

트랜스젠더,	트랜스젠더/NNG+,/SP

밸러리	밸러리/NNP
재럿	재럿/NNP
백악관	백악관/NNP
선임보좌관은	선임/NNG+보좌관/NNG+은/JX
18일	18/SN+일/NNB
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
‘전미	‘/SS+전미/NNG
성전환자	성전환자/NNG
평등센터’에서	평등/NNG+센터/NNG+’/SS+에서/JKB
인종·경제정의	인종/NNG+·/SP+경제/NNG+정의/NNG
담당	담당/NNG
정책	정책/NNG
보좌관으로	보좌관/NNG+으로/JKB
근무하고	근무/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘여성	‘/SS+여성/NNG
성전환자’	성전환자/NNG+’/SS
라피	라피/NNP
프리드먼	프리드먼/NNP
걸스팬(28)을	걸스팬/NNP+(/SS+28/SN+)/SS+을/JKO
인사처의	인사처/NNG+의/JKG
지원·채용	지원/NNG+·/SP+채용/NNG
국장으로	국장/NNG+으로/JKB
임명했다고	임명/NNG+하/XSV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.128.7.2
재럿 보좌관은 이같은 사실을 공개한 뒤 “성전환 미국인, 특히 유색 성전환자와 가난한 성전환자 등의 삶을 개선하기 위한 그의 노력이 오바마 행정부의 가치를 반영하고 있다”고 발탁 배경을 설명했다.

재럿	재럿/NNP
보좌관은	보좌관/NNG+은/JX
이같은	이/NP+같/VA+은/ETM
사실을	사실/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“성전환	“/SS+성전환/NNG
미국인,	미국인/NNG+,/SP
특히	특히/MAG
유색	유색/NNG
성전환자와	성전환자/NNG+와/JC
가난한	가난/NNG+하/XSA+ㄴ/ETM
성전환자	성전환자/NNG
등의	등/NNB+의/JKG
삶을	삶/NNG+을/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
그의	그/NP+의/JKG
노력이	노력/NNG+이/JKS
오바마	오바마/NNP
행정부의	행정부/NNG+의/JKG
가치를	가치/NNG+를/JKO
반영하고	반영/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
발탁	발탁/NNG
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.128.7.3
걸스팬은 정부 부처나 기구에서 대통령을 보좌할 인재들을 찾는 일을 주로 맡게 된다.

걸스팬은	걸스팬/NNP+은/JX
정부	정부/NNG
부처나	부처/NNG+나/JC
기구에서	기구/NNG+에서/JKB
대통령을	대통령/NNG+을/JKO
보좌할	보좌/NNG+하/XSV+ㄹ/ETM
인재들을	인재/NNG+들/XSN+을/JKO
찾는	찾/VV+는/ETM
일을	일/NNG+을/JKO
주로	주로/MAG
맡게	맡/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.128.8.1
외신들을 종합하면, 걸스팬은 온두라스에서 태어나 매사추세츠주 브루클린에 살고 있던 유대계 출신의 미혼모한테 입양됐다.

외신들을	외신/NNG+들/XSN+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
걸스팬은	걸스팬/NNP+은/JX
온두라스에서	온두라스/NNP+에서/JKB
태어나	태어나/VV+아/EC
매사추세츠주	매사추세츠주/NNP
브루클린에	브루클린/NNP+에/JKB
살고	살/VV+고/EC
있던	있/VX+던/ETM
유대계	유대/NNP+계/XSN
출신의	출신/NNG+의/JKG
미혼모한테	미혼모/NNG+한테/JKB
입양됐다.	입양/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.128.8.2
걸스팬은 12살 때부터 남성동성애자로 자신의 성정체성을 인식하기 시작했으며, 대학 1학년 때 노르웨이로 잠시 이주한 직후부터 여성과 같은 옷차림을 하고 다니기 시작했다고 한다.

걸스팬은	걸스팬/NNP+은/JX
12살	12/SN+살/NNB
때부터	때/NNG+부터/JX
남성동성애자로	남성/NNG+동성애자/NNG+로/JKB
자신의	자신/NNG+의/JKG
성정체성을	성/NNG+정체/NNG+성/XSN+을/JKO
인식하기	인식/NNG+하/XSV+기/ETN
시작했으며,	시작/NNG+하/XSV+았/EP+으며/EC+,/SP
대학	대학/NNG
1학년	1/SN+학년/NNG
때	때/NNG
노르웨이로	노르웨이/NNP+로/JKB
잠시	잠시/MAG
이주한	이주/NNG+하/XSV+ㄴ/ETM
직후부터	직후/NNG+부터/JX
여성과	여성/NNG+과/JKB
같은	같/VA+은/ETM
옷차림을	옷차림/NNG+을/JKO
하고	하/VV+고/EC
다니기	다니/VV+기/ETN
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.128.9.1
걸스팬은 매사추세츠 주의회에서 성전환자임을 공개적으로 밝히고 근무를 한 첫 인물이었다.

걸스팬은	걸스팬/NNP+은/JX
매사추세츠	매사추세츠/NNP
주의회에서	주/NNG+의회/NNG+에서/JKB
성전환자임을	성전환자/NNG+이/VCP+ㅁ/ETN+을/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
밝히고	밝히/VV+고/EC
근무를	근무/NNG+를/JKO
한	하/VV+ㄴ/ETM
첫	첫/MMN
인물이었다.	인물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.128.9.2
주의회에서 일하면서 걸스팬은 성전환자 평등권법을 통과시키는 데도 중요한 역할을 했다고 외신들은 전했다.

주의회에서	주/NNG+의회/NNG+에서/JKB
일하면서	일/NNG+하/XSV+면서/EC
걸스팬은	걸스팬/NNP+은/JX
성전환자	성전환자/NNG
평등권법을	평등/NNG+권/XSN+법/NNG+을/JKO
통과시키는	통과/NNG+시키/XSV+는/ETM
데도	데/NNB+도/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
외신들은	외신/NNG+들/XSN+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.128.9.3
2011년부터 지난해 봄까지는 매사추세츠 에이즈 행동위원회의 상임이사로 일했다.

2011년부터	2011/SN+년/NNB+부터/JX
지난해	지난해/NNG
봄까지는	봄/NNG+까지/JX+는/JX
매사추세츠	매사추세츠/NNP
에이즈	에이즈/NNG
행동위원회의	행동/NNG+위원회/NNG+의/JKG
상임이사로	상임/NNG+이사/NNG+로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.128.10.1
성전환자 평등센터에 근무하기 위해 지난해 4월 워싱턴으로 근거지를 옮긴 걸스팬은, 성전환자 재소자의 수감 조건 개선이나 경찰의 인종차별적 수사 막기, 성전환자 불법이민자들의 마구잡이 구금 제한 등과 같은 활발한 인권 보호활동을 벌였다.

성전환자	성전환자/NNG
평등센터에	평등/NNG+센터/NNG+에/JKB
근무하기	근무/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지난해	지난해/NNG
4월	4/SN+월/NNB
워싱턴으로	워싱턴/NNP+으로/JKB
근거지를	근거지/NNG+를/JKO
옮긴	옮기/VV+ㄴ/ETM
걸스팬은,	걸스팬/NNP+은/JX+,/SP
재소자의	재소자/NNG+의/JKG
수감	수감/NNG
조건	조건/NNG
개선이나	개선/NNG+이나/JC
경찰의	경찰/NNG+의/JKG
인종차별적	인종/NNG+차별/NNG+적/XSN
수사	수사/NNG
막기,	막/VV+기/ETN+,/SP
불법이민자들의	불법/NNG+이민자/NNG+들/XSN+의/JKG
마구잡이	마구잡이/NNG
구금	구금/NNG
제한	제한/NNG
등과	등/NNB+과/JKB
같은	같/VA+은/ETM
활발한	활발하/VA+ㄴ/ETM
인권	인권/NNG
보호활동을	보호/NNG+활동/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.128.11.1
이런 이유로 성소수자 인권단체들은 그의 백악관 임명을 크게 환영하는 분위기다.

이런	이런/MMD
이유로	이유/NNG+로/JKB
성소수자	성/NNG+소수자/NNG
인권단체들은	인권/NNG+단체/NNG+들/XSN+은/JX
그의	그/NP+의/JKG
백악관	백악관/NNP
임명을	임명/NNG+을/JKO
크게	크/VA+게/EC
환영하는	환영/NNG+하/XSV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.128.11.2
성전환자 평등센터의 마라 케이슬링 이사는 성명을 통해 “내 친구 걸스팬이 백악관 직원으로 임명된 것은 그의 활동에 감동을 받아온 나를 비롯한 수많은 사람들을 고무시키고 있다”고 밝혔다.

성전환자	성전환자/NNG
평등센터의	평등/NNG+센터/NNG+의/JKG
마라	마라/NNP
케이슬링	케이슬링/NNP
이사는	이사/NNG+는/JX
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
“내	“/SS+나/NP+의/JKG
친구	친구/NNG
걸스팬이	걸스팬/NNP+이/JKS
백악관	백악관/NNP
직원으로	직원/NNG+으로/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
그의	그/NP+의/JKG
활동에	활동/NNG+에/JKB
감동을	감동/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
나를	나/NP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
수많은	수많/VA+은/ETM
사람들을	사람/NNG+들/XSN+을/JKO
고무시키고	고무/NNG+시키/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.128.12.1
버락 오바마 대통령은 그동안 동성애자의 인권 증진에는 적극적이라는 평가를 받아왔지만, 성전환자 문제에는 상대적으로 소극적이라는 비판을 받아왔다.

버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
그동안	그동안/NNG
동성애자의	동성애자/NNG+의/JKG
인권	인권/NNG
증진에는	증진/NNG+에/JKB+는/JX
적극적이라는	적극/NNG+적/XSN+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받아왔지만,	받/VV+아/EC+오/VX+았/EP+지만/EC+,/SP
성전환자	성전환자/NNG
문제에는	문제/NNG+에/JKB+는/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
소극적이라는	소극/NNG+적/XSN+이/VCP+라는/ETM
비판을	비판/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.128.12.2
지난 6월 백악관에서 열린 성소수자 초청행사에선 한 성전환자가 대통령의 연설을 방해하다 쫓겨나는 사건이 발생하기도 했다.

지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
백악관에서	백악관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
성소수자	성/NNG+소수자/NNG
초청행사에선	초청/NNG+행사/NNG+에서/JKB+ㄴ/JX
한	한/MMN
성전환자가	성전환자/NNG+가/JKS
대통령의	대통령/NNG+의/JKG
연설을	연설/NNG+을/JKO
방해하다	방해/NNG+하/XSV+다/EC
쫓겨나는	쫓겨나/VV+는/ETM
사건이	사건/NNG+이/JKS
발생하기도	발생/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.128.12.3
그러나 최근 들어 성전환자의 군 복무를 금지한 현행 규정을 폐기하라고 국방부를 압박해, 거의 결정 단계에 이르는 등 성전환자 문제에도 관심을 기울이기 시작했다.

그러나	그러나/MAJ
최근	최근/NNG
들어	들/VV+어/EC
성전환자의	성전환자/NNG+의/JKG
군	군/NNG
복무를	복무/NNG+를/JKO
금지한	금지/NNG+하/XSV+ㄴ/ETM
현행	현행/NNG
규정을	규정/NNG+을/JKO
폐기하라고	폐기/NNG+하/XSV+라고/EC
국방부를	국방부/NNG+를/JKO
압박해,	압박/NNG+하/XSV+아/EC+,/SP
거의	거의/MAG
결정	결정/NNG
단계에	단계/NNG+에/JKB
이르는	이르/VV+는/ETM
등	등/NNB
성전환자	성전환자/NNG
문제에도	문제/NNG+에/JKB+도/JX
관심을	관심/NNG+을/JKO
기울이기	기울이/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.128.13.1
성전환자들은 직장을 잡기 어려운 탓에 빈곤 비율이 높고, 집주인들의 거부감으로 주거지를 구하기도 쉽지 않다.

성전환자들은	성전환자/NNG+들/XSN+은/JX
직장을	직장/NNG+을/JKO
잡기	잡/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
탓에	탓/NNG+에/JKB
빈곤	빈곤/NNG
비율이	비율/NNG+이/JKS
높고,	높/VA+고/EC+,/SP
집주인들의	집주인/NNG+들/XSN+의/JKG
거부감으로	거부감/NNG+으로/JKB
주거지를	주거지/NNG+를/JKO
구하기도	구하/VV+기/ETN+도/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000048.128.13.2
특히, 유색 인종의 성전환자들은 종종 혐오 범죄의 대상이 되고 있다.

특히,	특히/MAG+,/SP
유색	유색/NNG
인종의	인종/NNG+의/JKG
성전환자들은	성전환자/NNG+들/XSN+은/JX
종종	종종/MAG
혐오	혐오/NNG
범죄의	범죄/NNG+의/JKG
대상이	대상/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


