# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.200
metadata : {}


# id : NWRW1800000044.200.1.1
안전점검 업체는 을, 선주는 갑 세월호 구명뗏목 점검 업체, 청해진 임원에 500만원 건네

안전점검	안전/NNG+점검/NNG
1840만원,	1840/SN+만/NR+원/NNB+,/SP
39개를	39/SN+개/NNB+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
오하마나호는	오하마나호/NNP+는/JX
1560만원이	1560/SN+만/NR+원/NNB+이/JKS
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.200.8.1
수사본부는 지난해 6월 말 청해진해운 안전관리담당 임원 ㄱ(59)씨와 ㅎ사 대표 ㄴ(55)씨 사이에 오간 500만원의 성격에 주목하고 있다.

수사본부는	수사본부/NNG+는/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
말	말/NNB
청해진해운	청해진해운/NNP
안전관리담당	안전/NNG+관리/NNG+담당/NNG
임원	임원/NNG
ㄱ(59)씨와	ㄱ/NNG+(/SS+59/SN+)/SS+씨/NNB+와/JC
ㅎ사	ㅎ/NNG+사/NNG
대표	대표/NNG
ㄴ(55)씨	ㄴ/NNG+(/SS+55/SN+)/SS+씨/NNB
사이에	사이/NNG+에/JKB
오간	오가/VV+ㄴ/ETM
500만원의	500/SN+만/NR+원/NNB+의/JKG
성격에	성격/NNG+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.200.9.1
검찰 관계자와 ㄴ씨 등의 말을 종합하면, 당시 ㄱ씨는 ㄴ대표에게 전화를 걸어 “집을 사는데 돈이 부족하니 500만원을 빌려줄 수 있느냐”고 물었고, ㄴ대표는 ㄱ씨의 개인 통장으로 500만원을 이체해줬다.

검찰	검찰/NNG
관계자와	관계자/NNG+와/JC
ㄴ씨	ㄴ/NNG+씨/NNB
등의	등/NNB+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
당시	당시/NNG
ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
ㄴ대표에게	ㄴ/NNG+대표/NNG+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
“집을	“/SS+집/NNG+을/JKO
사는데	사/VV+는데/EC
돈이	돈/NNG+이/JKS
부족하니	부족/NNG+하/XSA+니/EC
500만원을	500/SN+만/NR+원/NNB+을/JKO
빌려줄	빌려주/VV+ㄹ/ETM
수	수/NNB
있느냐”고	있/VA+느냐/EF+”/SS+고/JKQ
물었고,	묻/VV+었/EP+고/EC+,/SP
ㄴ대표는	ㄴ/NNG+대표/NNG+는/JX
ㄱ씨의	ㄱ/NNG+씨/NNB+의/JKG
개인	개인/NNG
통장으로	통장/NNG+으로/JKB
이체해줬다.	이체/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.200.9.2
ㄴ대표는 “선주나 조선소, 한국선급 등에서 이런 요청을 받으면 약한 처지에 있는 이들이 거부하기는 어렵다”고 말했다.

ㄴ대표는	ㄴ/NNG+대표/NNG+는/JX
“선주나	“/SS+선주/NNG+나/JC
조선소,	조선소/NNG+,/SP
한국선급	한국선급/NNP
등에서	등/NNB+에서/JKB
이런	이런/MMD
요청을	요청/NNG+을/JKO
받으면	받/VV+으면/EC
약한	약하/VA+ㄴ/ETM
처지에	처지/NNG+에/JKB
있는	있/VA+는/ETM
이들이	이/NP+들/XSN+이/JKS
거부하기는	거부/NNG+하/XSV+기/ETN+는/JX
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.200.9.3
그는 “무슨 대가를 바라고 빌려준 것은 아니다.

그는	그/NP+는/JX
“무슨	“/SS+무슨/MMD
대가를	대가/NNG+를/JKO
바라고	바라/VV+고/EC
빌려준	빌려주/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000044.200.9.4
만약 뇌물이라면 계좌로 이체했겠느냐”며 “차용증은 받지 않았다”고 덧붙였다.

만약	만약/MAG
뇌물이라면	뇌물/NNG+이/VCP+라면/EC
계좌로	계좌/NNG+로/JKB
이체했겠느냐”며	이체/NNG+하/XSV+았/EP+겠/EP+느냐/EF+”/SS+며/EC
“차용증은	“/SS+차용증/NNG+은/JX
받지	받/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.200.10.1
ㄱ씨는 <한겨레>와의 통화에서 돈을 빌린 사실을 인정했다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
돈을	돈/NNG+을/JKO
빌린	빌리/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.200.10.2
그는 “수사에서 밝혀지겠지만 2년 전 아파트를 분양받아 중도금을 치르고 있는데 돈이 부족했다.

그는	그/NP+는/JX
“수사에서	“/SS+수사/NNG+에서/JKB
밝혀지겠지만	밝혀지/VV+겠/EP+지만/EC
2년	2/SN+년/NNB
전	전/NNG
아파트를	아파트/NNG+를/JKO
분양받아	분양/NNG+받/XSV+아/EC
중도금을	중도금/NNG+을/JKO
치르고	치르/VV+고/EC
있는데	있/VX+는데/EC
돈이	돈/NNG+이/JKS
부족했다.	부족/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000044.200.10.3
빌린 돈의 이자는 올 6월에 갚을 때 1년치를 은행금리에 맞춰 줄 예정이었다”고 말했다.

빌린	빌리/VV+ㄴ/ETM
돈의	돈/NNG+의/JKG
이자는	이자/NNG+는/JX
올	올/NNG
6월에	6/SN+월/NNB+에/JKB
갚을	갚/VV+을/ETM
때	때/NNG
1년치를	1/SN+년/NNB+치/NNB+를/JKO
은행금리에	은행/NNG+금리/NNG+에/JKB
맞춰	맞추/VV+어/EC
줄	주/VX+ㄹ/ETM
예정이었다”고	예정/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.200.11.1
구명뗏목 점검은 선주 쪽에서 자격을 갖춘 업체 30~40곳 가운데 1곳을 선정해 계약한 뒤 선박에 실린 구명뗏목을 해당 업체로 보내 수리 또는 교체하는 방식으로 이뤄진다.

구명뗏목	구명/NNG+뗏목/NNG
점검은	점검/NNG+은/JX
선주	선주/NNG
쪽에서	쪽/NNB+에서/JKB
자격을	자격/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
업체	업체/NNG
30~40곳	30/SN+~/SO+40/SN+곳/NNG
가운데	가운데/NNG
1곳을	1/SN+곳/NNG+을/JKO
선정해	선정/NNG+하/XSV+아/EC
계약한	계약/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
선박에	선박/NNG+에/JKB
실린	실리/VV+ㄴ/ETM
구명뗏목을	구명/NNG+뗏목/NNG+을/JKO
해당	해당/NNG
업체로	업체/NNG+로/JKB
보내	보내/VV+어/EC
수리	수리/NNG
또는	또는/MAG
교체하는	교체/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.200.11.2
선주가 ‘갑’이고, 수주를 해야 하는 점검 업체가 ‘을’이 되는 구조다.

선주가	선주/NNG+가/JKS
‘갑’이고,	‘/SS+갑/NNG+’/SS+이/VCP+고/EC+,/SP
수주를	수주/NNG+를/JKO
해야	하/VV+아야/EC
하는	하/VX+는/ETM
점검	점검/NNG
업체가	업체/NNG+가/JKS
‘을’이	‘/SS+을/NNG+’/SS+이/JKC
되는	되/VV+는/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.200.11.3
이런 불합리한 구조 탓에 점검 자체가 허술해진다는 비판이 나온다.

이런	이런/MMD
불합리한	불/XPN+합리/NNG+하/XSA+ㄴ/ETM
구조	구조/NNG
탓에	탓/NNG+에/JKB
점검	점검/NNG
자체가	자체/NNG+가/JKS
허술해진다는	허술하/VA+아/EC+지/VX+ㄴ다는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.200.11.4
최종적인 선박 검사는 구명설비·무선설비·기관수리·선체수리 등 분야별로 작성된 점검 업체들의 의견서를 토대로 한국선급이 시행한다.

최종적인	최종/NNG+적/XSN+이/VCP+ㄴ/ETM
선박	선박/NNG
검사는	검사/NNG+는/JX
구명설비·무선설비·기관수리·선체수리	구명/NNG+설비/NNG+·/SP+무선/NNG+설비/NNG+·/SP+기관/NNG+수리/NNG+·/SP+선체/NNG+수리/NNG
등	등/NNB
분야별로	분야/NNG+별/XSN+로/JKB
작성된	작성/NNG+되/XSV+ㄴ/ETM
점검	점검/NNG
업체들의	업체/NNG+들/XSN+의/JKG
의견서를	의견서/NNG+를/JKO
토대로	토대/NNG+로/JKB
한국선급이	한국선급/NNP+이/JKS
시행한다.	시행/NNG+하/XSV+ㄴ다/EF+./SF


