# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.53
metadata : {}


# id : NWRW1800000041.53.1.1
퓰리처賞 선택은… 국익보다 국민의 알권리

퓰리처賞	퓰리처/NNP+賞/SH
미	미/NNP
언론재벌	언론/NNG+재벌/NNG
조지프	조지프/NNP
퓰리처의	퓰리처/NNP+의/JKG
유언에	유언/NNG+에/JKB
따라	따르/VV+아/EC
1917년	1917/SN+년/NNB
창설됐다.	창설/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.53.5.2
헝가리 출신 유대계 미국인인 그는 19세기 말 미 최대 신문 뉴욕월드 등을 운영했다.

헝가리	헝가리/NNP
출신	출신/NNG
유대계	유대/NNP+계/XSN
미국인인	미국인/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
19세기	19/SN+세기/NNG
말	말/NNB
미	미/NNP
최대	최대/NNG
신문	신문/NNG
뉴욕월드	뉴욕월드/NNP
등을	등/NNB+을/JKO
운영했다.	운영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.53.5.3
전문 언론인 교육기관의 시초로 평가받는 컬럼비아대 저널리즘스쿨도 그의 유산으로 만들어졌다.

전문	전문/NNG
언론인	언론인/NNG
교육기관의	교육/NNG+기관/NNG+의/JKG
시초로	시초/NNG+로/JKB
평가받는	평가/NNG+받/XSV+는/ETM
컬럼비아대	컬럼비아대/NNP
저널리즘스쿨도	저널리즘/NNG+스쿨/NNG+도/JX
그의	그/NP+의/JKG
유산으로	유산/NNG+으로/JKB
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.53.5.4
퓰리처상은 수상자를 미 언론사에서 활동하는 기자로 한정하고 있지만 가디언 보도는 뉴욕 지사를 통해 나와 수상이 가능했다.

퓰리처상은	퓰리처상/NNG+은/JX
수상자를	수상자/NNG+를/JKO
미	미/NNP
언론사에서	언론사/NNG+에서/JKB
활동하는	활동/NNG+하/XSV+는/ETM
기자로	기자/NNG+로/JKB
한정하고	한정/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
가디언	가디언/NNP
보도는	보도/NNG+는/JX
뉴욕	뉴욕/NNP
지사를	지사/NNG+를/JKO
통해	통하/VV+아/EC
나와	나오/VV+아/EC
수상이	수상/NNG+이/JKS
가능했다.	가능/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000041.53.5.5
시상식은 5월 말 컬럼비아대에서 열린다.

시상식은	시상식/NNG+은/JX
5월	5/SN+월/NNB
말	말/NNB
컬럼비아대에서	컬럼비아대/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.53.6.1
그동안 미 보수층에서는 스노든 관련 보도가 전 세계를 뒤흔든 엄청난 특종인 것은 분명하지만 국가안보를 훼손했다며 비판을 강하게 제기했다.

그동안	그동안/NNG
미	미/NNP
보수층에서는	보수/NNG+층/XSN+에서/JKB+는/JX
스노든	스노든/NNP
관련	관련/NNG
보도가	보도/NNG+가/JKS
전	전/MMN
세계를	세계/NNG+를/JKO
뒤흔든	뒤흔들/VV+ㄴ/ETM
엄청난	엄청나/VA+ㄴ/ETM
특종인	특종/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
분명하지만	분명/MAG+하/XSA+지만/EC
국가안보를	국가/NNG+안보/NNG+를/JKO
훼손했다며	훼손/NNG+하/XSV+았/EP+다며/EC
비판을	비판/NNG+을/JKO
강하게	강하/VA+게/EC
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.53.6.2
비판론자들은 문건 제공자인 스노든이 러시아로 망명하자 그가 용기 있는 ‘내부 고발자’가 아닌 ‘반역자’에 가깝다고 주장하기도 했다.

비판론자들은	비판론자/NNG+들/XSN+은/JX
문건	문건/NNG
제공자인	제공자/NNG+이/VCP+ㄴ/ETM
스노든이	스노든/NNP+이/JKS
러시아로	러시아/NNP+로/JKB
망명하자	망명/NNG+하/XSV+자/EC
그가	그/NP+가/JKS
용기	용기/NNG
있는	있/VA+는/ETM
‘내부	‘/SS+내부/NNG
고발자’가	고발자/NNG+’/SS+가/JKC
아닌	아니/VCN+ㄴ/ETM
‘반역자’에	‘/SS+반역자/NNG+’/SS+에/JKB
가깝다고	가깝/VA+다고/EC
주장하기도	주장/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.53.6.3
미 보수성향 시민단체 ‘애큐러시 인 미디어’는 “미국인을 테러 공격에 노출시키고 군인들을 죽음으로 몰아넣은 기밀문서를 건네받은 사람이 퓰리처상을 받으면 안 된다”고 주장해왔다.

미	미/NNP
보수성향	보수/NNG+성향/NNG
시민단체	시민/NNG+단체/NNG
‘애큐러시	‘/SS+애큐러시/NNP
인	인/NNP
미디어’는	미디어/NNP+’/SS+는/JX
“미국인을	“/SS+미국인/NNG+을/JKO
테러	테러/NNG
공격에	공격/NNG+에/JKB
노출시키고	노출/NNG+시키/XSV+고/EC
군인들을	군인/NNG+들/XSN+을/JKO
죽음으로	죽음/NNG+으로/JKB
몰아넣은	몰아넣/VV+은/ETM
기밀문서를	기밀문서/NNG+를/JKO
건네받은	건네받/VV+은/ETM
사람이	사람/NNG+이/JKS
퓰리처상을	퓰리처상/NNG+을/JKO
받으면	받/VV+으면/EC
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.53.7.1
하지만 퓰리처상은 정보원이 아니라 보도 자체에 수여하므로 사회적 의미와 파장에 초점을 맞춰야 하고 이번 보도가 국가기관의 정보 수집 및 사생활 침해에 관한 광범위한 논쟁을 촉발시켰다는 점 등이 선정위원 19명의 마음을 움직인 것으로 보인다.

하지만	하지만/MAJ
퓰리처상은	퓰리처상/NNG+은/JX
정보원이	정보원/NNG+이/JKC
아니라	아니/VCN+라/EC
보도	보도/NNG
자체에	자체/NNG+에/JKB
수여하므로	수여/NNG+하/XSV+므로/EC
사회적	사회/NNG+적/XSN
의미와	의미/NNG+와/JC
파장에	파장/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞춰야	맞추/VV+어야/EC
하고	하/VX+고/EC
이번	이번/NNG
보도가	보도/NNG+가/JKS
국가기관의	국가/NNG+기관/NNG+의/JKG
정보	정보/NNG
수집	수집/NNG
및	및/MAG
사생활	사생활/NNG
침해에	침해/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
논쟁을	논쟁/NNG+을/JKO
촉발시켰다는	촉발/NNG+시키/XSV+었/EP+다는/ETM
점	점/NNG
등이	등/NNB+이/JKS
선정위원	선정/NNG+위원/NNG
19명의	19/SN+명/NNB+의/JKG
마음을	마음/NNG+을/JKO
움직인	움직이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.53.7.2
이번 보도에 비판적이었던 버락 오바마 미 대통령은 논란이 계속되자 NSA의 정보수집 범위를 제한했다.

이번	이번/NNG
보도에	보도/NNG+에/JKB
비판적이었던	비판/NNG+적/XSN+이/VCP+었/EP+던/ETM
버락	버락/NNP
오바마	오바마/NNP
미	미/NNP
대통령은	대통령/NNG+은/JX
논란이	논란/NNG+이/JKS
계속되자	계속/NNG+되/XSV+자/EC
NSA의	NSA/SL+의/JKG
정보수집	정보/NNG+수집/NNG
범위를	범위/NNG+를/JKO
제한했다.	제한/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.53.8.1
러시아 모스크바 인근에 머물고 있는 것으로 알려진 스노든은 이날 “두 신문의 노력 덕분에 전 세계의 미래가 밝아졌다”고 수상을 축하했다.

러시아	러시아/NNP
모스크바	모스크바/NNP
인근에	인근/NNG+에/JKB
머물고	머물/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
스노든은	스노든/NNP+은/JX
이날	이날/NNG
“두	“/SS+두/MMN
신문의	신문/NNG+의/JKG
노력	노력/NNG
덕분에	덕분/NNG+에/JKB
전	전/MMN
세계의	세계/NNG+의/JKG
미래가	미래/NNG+가/JKS
밝아졌다”고	밝아지/VV+었/EP+다/EF+”/SS+고/JKQ
수상을	수상/NNG+을/JKO
축하했다.	축하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.53.8.2
이어 “정부의 불법 활동에 대한 감시가 필요하다고 믿는 이들에게 큰 보상”이라며 “엄청난 위협에 맞서 헌신과 열정으로 관련 내용을 보도한 취재진에게 큰 빚을 졌다”고 덧붙였다.

이어	이어/MAG
“정부의	“/SS+정부/NNG+의/JKG
불법	불법/NNG
활동에	활동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감시가	감시/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
믿는	믿/VV+는/ETM
이들에게	이/NNB+들/XSN+에게/JKB
큰	크/VA+ㄴ/ETM
보상”이라며	보상/NNG+”/SS+이/VCP+라며/EC
“엄청난	“/SS+엄청나/VA+ㄴ/ETM
위협에	위협/NNG+에/JKB
맞서	맞서/VV+어/EC
헌신과	헌신/NNG+과/JC
열정으로	열정/NNG+으로/JKB
관련	관련/NNG
내용을	내용/NNG+을/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
취재진에게	취재진/NNG+에게/JKB
빚을	빚/NNG+을/JKO
졌다”고	지/VV+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.53.9.1
한편 올해 속보 부문은 지난해 4월 보스턴 마라톤 테러 소식을 심층 보도한 보스턴글로브가, 사진 부문은 지난해 9월 케냐 쇼핑몰 테러 사진을 보도한 뉴욕타임스(NYT)가 각각 수상했다.

한편	한편/MAG
올해	올해/NNG
속보	속보/NNG
부문은	부문/NNG+은/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
보스턴	보스턴/NNP
마라톤	마라톤/NNG
테러	테러/NNG
소식을	소식/NNG+을/JKO
심층	심층/NNG
보도한	보도/NNG+하/XSV+ㄴ/ETM
보스턴글로브가,	보스턴글로브/NNP+가/JKS+,/SP
사진	사진/NNG
9월	9/SN+월/NNB
케냐	케냐/NNP
쇼핑몰	쇼핑몰/NNG
사진을	사진/NNG+을/JKO
뉴욕타임스(NYT)가	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+가/JKS
각각	각각/MAG
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


