# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.76
metadata : {}


# id : NWRW1800000041.76.1.1
[2014 국가소비자중심브랜드대상]우수한 품질+스포츠 마케팅, 글로벌 톱 10 진입위한 원동력

[2014	[/SS+2014/SN
혁신을	혁신/NNG+을/JKO
위해	위하/VV+아/EC
‘넥센타이어’로	‘/SS+넥센타이어/NNP+’/SS+로/JKB
회사명을	회사명/NNG+을/JKO
변경했다.	변경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.76.3.2
이후 국내외 최고 수준인 연평균 약 20%의 매출신장률을 거두며 가파른 성장세를 이어왔다.

이후	이후/NNG
국내외	국내외/NNG
최고	최고/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
연평균	연평균/NNG
약	약/MMA
20%의	20/SN+%/SW+의/JKG
매출신장률을	매출/NNG+신장/NNG+률/XSN+을/JKO
거두며	거두/VV+며/EC
가파른	가파르/VA+ㄴ/ETM
성장세를	성장세/NNG+를/JKO
이어왔다.	잇/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.76.3.3
그 결과 2000년 당시 8%에 불과하던 내수시장 점유율도 현재 25%를 넘어서고 있다.

그	그/MMD
결과	결과/NNG
2000년	2000/SN+년/NNB
당시	당시/NNG
8%에	8/SN+%/SW+에/JKB
불과하던	불과/MAG+하/XSA+던/ETM
내수시장	내수/NNG+시장/NNG
점유율도	점유/NNG+율/XSN+도/JX
현재	현재/MAG
25%를	25/SN+%/SW+를/JKO
넘어서고	넘어서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.76.4.1
또 전 세계 130여 개국에 250여 개의 딜러를 가진 명실상부한 글로벌 회사로 발돋움하기에 이르렀다.

또	또/MAG
전	전/MMN
세계	세계/NNG
130여	130/SN+여/XSN
개국에	개국/NNB+에/JKB
250여	250/SN+여/XSN
개의	개/NNB+의/JKG
딜러를	딜러/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
글로벌	글로벌/NNG
회사로	회사/NNG+로/JKB
발돋움하기에	발돋움/NNG+하/XSV+기/ETN+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.76.4.2
2013년에는 미국 ‘JD 파워’의 신차용 타이어 만족도 조사에서 세계 유수의 타이어 제조사들을 제치고 글로벌 톱 10에 진입했다.

2013년에는	2013/SN+년/NNB+에/JKB+는/JX
미국	미국/NNP
‘JD	‘/SS+JD/SL
파워’의	파워/NNG+’/SS+의/JKG
신차용	신차/NNG+용/XSN
타이어	타이어/NNG
만족도	만족도/NNG
조사에서	조사/NNG+에서/JKB
세계	세계/NNG
유수의	유수/NNG+의/JKG
제조사들을	제조사/NNG+들/XSN+을/JKO
제치고	제치/VV+고/EC
글로벌	글로벌/NNG
톱	톱/NNG
10에	10/SN+에/JKB
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.76.5.1
넥센타이어는 이에 만족하지 않고, 미국법인 독일법인 중국법인을 포함하여 세계 각국에 판매법인 및 지점을 설립하고 있다.

넥센타이어는	넥센타이어/NNP+는/JX
이에	이/NP+에/JKB
만족하지	만족/NNG+하/XSA+지/EC
않고,	않/VX+고/EC+,/SP
미국법인	미국/NNP+법인/NNG
독일법인	독일/NNP+법인/NNG
중국법인을	중국/NNP+법인/NNG+을/JKO
포함하여	포함/NNG+하/XSV+아/EC
세계	세계/NNG
각국에	각국/NNG+에/JKB
판매법인	판매/NNG+법인/NNG
및	및/MAG
지점을	지점/NNG+을/JKO
설립하고	설립/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.76.5.2
세계 최대 타이어 시장으로 급부상하고 있는 중국 칭다오 시에 대규모 생산공장과 연구개발(R&D)센터를 건립하고, 상하이를 거점으로 베이징 광저우 등 중국 주요 도시에 지점을 설립하며 중국시장 공략에 강한 시동을 걸고 있다.

세계	세계/NNG
최대	최대/NNG
타이어	타이어/NNG
시장으로	시장/NNG+으로/JKB
급부상하고	급부상/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
중국	중국/NNP
칭다오	칭다오/NNP
시에	시/NNG+에/JKB
대규모	대/XPN+규모/NNG
생산공장과	생산/NNG+공장/NNG+과/JC
연구개발(R&D)센터를	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+센터/NNG+를/JKO
건립하고,	건립/NNG+하/XSV+고/EC+,/SP
상하이를	상하이/NNP+를/JKO
거점으로	거점/NNG+으로/JKB
베이징	베이징/NNP
광저우	광저우/NNP
등	등/NNB
주요	주요/NNG
도시에	도시/NNG+에/JKB
지점을	지점/NNG+을/JKO
설립하며	설립/NNG+하/XSV+며/EC
중국시장	중국/NNP+시장/NNG
공략에	공략/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
시동을	시동/NNG+을/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.76.6.1
품질 경쟁력과 양질의 노동력 확보를 위해 국내에 대규모 투자를 결정했다.

품질	품질/NNG
경쟁력과	경쟁력/NNG+과/JC
양질의	양질/NNG+의/JKG
노동력	노동력/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+아/EC
국내에	국내/NNG+에/JKB
대규모	대/XPN+규모/NNG
투자를	투자/NNG+를/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.76.6.2
경남 창녕에 1조5000억 원을 투자해 신공장을 설립하고 2012년 3월부터 가동을 시작했다.

경남	경남/NNP
창녕에	창녕/NNP+에/JKB
1조5000억	1/SN+조/NR+5000/SN+억/NR
원을	원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
신공장을	신/XPN+공장/NNG+을/JKO
설립하고	설립/NNG+하/XSV+고/EC
2012년	2012/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
가동을	가동/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.76.7.1
신공장에서는 고유가시대에 대비한 자동차 구매패턴의 변화에 맞춰 효율성 높은 연비 기능을 가진 친환경 타이어와 초고성능 타이어 등 프리미엄 제품군을 집중 생산하고 있다.

신공장에서는	신/XPN+공장/NNG+에서/JKB+는/JX
고유가시대에	고/XPN+유가/NNG+시대/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
자동차	자동차/NNG
구매패턴의	구매/NNG+패턴/NNG+의/JKG
변화에	변화/NNG+에/JKB
맞춰	맞추/VV+어/EC
효율성	효율/NNG+성/XSN
높은	높/VA+은/ETM
연비	연비/NNG
기능을	기능/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
친환경	친/XPN+환경/NNG
타이어와	타이어/NNG+와/JKB
초고성능	초/XPN+고/XPN+성능/NNG
타이어	타이어/NNG
등	등/NNB
프리미엄	프리미엄/NNG
제품군을	제품군/NNG+을/JKO
집중	집중/NNG
생산하고	생산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.76.8.1
넥센타이어는 2010년부터 국내 프로야구단 ‘넥센히어로즈’의 성공적인 스포츠마케팅 사례를 만들어 냈다.

넥센타이어는	넥센타이어/NNP+는/JX
2010년부터	2010/SN+년/NNB+부터/JX
국내	국내/NNG
프로야구단	프로/NNG+야구단/NNG
‘넥센히어로즈’의	‘/SS+넥센히어로즈/NNP+’/SS+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
스포츠마케팅	스포츠/NNG+마케팅/NNG
사례를	사례/NNG+를/JKO
만들어	만들/VV+어/EC
냈다.	내/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.76.8.2
이후 ‘넥센타이어 스피드레이싱’ ‘슈퍼레이스 N9000클래스’ 등 지속적인 모터스포츠 후원을 통해 상당한 성과를 거뒀다.

이후	이후/NNG
‘넥센타이어	‘/SS+넥센타이어/NNP
스피드레이싱’	스피드/NNG+레이싱/NNG+’/SS
‘슈퍼레이스	‘/SS+슈퍼/NNG+레이스/NNG
N9000클래스’	N/SL+9000/SN+클래스/NNG+’/SS
등	등/NNB
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
모터스포츠	모터스포츠/NNG
후원을	후원/NNG+을/JKO
통해	통하/VV+아/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
성과를	성과/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.76.8.3
지난해부터는 여자프로골프 KLPGA대회인 ‘넥센-세인트나인 마스터즈’ 개최로 프리미엄 스포츠 분야까지 마케팅 범위를 넓혀나가고 있다.

지난해부터는	지난해/NNG+부터/JX+는/JX
여자프로골프	여자/NNG+프로/NNG+골프/NNG
KLPGA대회인	KLPGA/SL+대회/NNG+이/VCP+ㄴ/ETM
‘넥센-세인트나인	‘/SS+넥센-세인트나인/NNP
마스터즈’	마스터즈/NNG+’/SS
개최로	개최/NNG+로/JKB
프리미엄	프리미엄/NNG
스포츠	스포츠/NNG
분야까지	분야/NNG+까지/JX
마케팅	마케팅/NNG
범위를	범위/NNG+를/JKO
넓혀나가고	넓히/VV+어/EC+나가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.76.9.1
이와 함께 미국 메이저리그 ‘LA 다저스’ ‘디트로이트 타이거즈’ ‘애틀랜타 브레이브스’ 및 독일 분데스리가 ‘VFL 볼프스부르크’ ‘아인트라흐 프랑크푸르트’ 등 해외에서도 다양한 스포츠마케팅 활동으로 ‘넥센’의 이름을 널리 알리고 있다.

이와	이/NP+와/JKB
함께	함께/MAG
미국	미국/NNP
메이저리그	메이저리그/NNG
‘LA	‘/SS+LA/SL
다저스’	다저스/NNP+’/SS
‘디트로이트	‘/SS+디트로이트/NNP
타이거즈’	타이거즈/NNP+’/SS
‘애틀랜타	‘/SS+애틀랜타/NNP
브레이브스’	브레이브스/NNP+’/SS
및	및/MAG
독일	독일/NNP
분데스리가	분데스리가/NNG
‘VFL	‘/SS+VFL/SL
볼프스부르크’	볼프스부르크/NNP+’/SS
‘아인트라흐	‘/SS+아인트라흐/NNP
프랑크푸르트’	프랑크푸르트/NNP+’/SS
등	등/NNB
해외에서도	해외/NNG+에서/JKB+도/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
스포츠마케팅	스포츠/NNG+마케팅/NNG
활동으로	활동/NNG+으로/JKB
‘넥센’의	‘/SS+넥센/NNP+’/SS+의/JKG
이름을	이름/NNG+을/JKO
널리	널리/MAG
알리고	알리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.76.10.1
한편 넥센타이어 측은 “창녕공장의 투자가 완료되는 2018년에는 3개 공장을 합쳐 총생산량 6000만 개 이상이 될 것이다.

한편	한편/MAG
넥센타이어	넥센타이어/NNP
측은	측/NNB+은/JX
“창녕공장의	“/SS+창녕/NNP+공장/NNG+의/JKG
투자가	투자/NNG+가/JKS
완료되는	완료/NNG+되/XSV+는/ETM
2018년에는	2018/SN+년/NNB+에/JKB+는/JX
3개	3/SN+개/NNB
공장을	공장/NNG+을/JKO
합쳐	합치/VV+어/EC
총생산량	총생산량/NNG
6000만	6000/SN+만/NR
개	개/NNB
이상이	이상/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.76.10.2
품질경쟁력, 첨단기술력에서 대한민국을 대표하는 타이어사의 위상으로 글로벌 10위권대의 타이어사로 거듭날 것”이라고 전했다.

품질경쟁력,	품질/NNG+경쟁력/NNG+,/SP
첨단기술력에서	첨단/NNG+기술력/NNG+에서/JKB
대한민국을	대한민국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
타이어사의	타이어사/NNG+의/JKG
위상으로	위상/NNG+으로/JKB
글로벌	글로벌/NNG
10위권대의	10/SN+위/NNB+권/XSN+대/XSN+의/JKG
타이어사로	타이어사/NNG+로/JKB
거듭날	거듭나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


