# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.319
metadata : {}


# id : NWRW1800000053.319.1.1
‘일장기 말소’ 애국정신 현충원에 잠들다

‘일장기	‘/SS+일장기/NNG
사진과	사진/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
일체의	일체/NNG+의/JKG
활동이	활동/NNG+이/JKS
금지됐다.	금지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.319.5.5
선생은 지방을 전전하다 광복 후 경기 수원시 수원북중에서 화학교사로 근무하던 중 세상을 떠났다.

선생은	선생/NNG+은/JX
지방을	지방/NNG+을/JKO
전전하다	전전/NNG+하/XSV+다/EC
광복	광복/NNG
후	후/NNG
경기	경기/NNP
수원시	수원시/NNP
수원북중에서	수원북중/NNP+에서/JKB
화학교사로	화학/NNG+교사/NNG+로/JKB
근무하던	근무/NNG+하/XSV+던/ETM
중	중/NNB
세상을	세상/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.319.6.1
한국 독립운동사와 언론사에 한 획을 그은 신 선생은 별세한 지 62년 만인 7일 서울 동작구 국립서울현충원에 잠들었다.

한국	한국/NNP
독립운동사와	독립운동사/NNG+와/JC
언론사에	언론사/NNG+에/JKB
한	한/MMN
획을	획/NNG+을/JKO
그은	긋/VV+은/ETM
신	신/NNP
선생은	선생/NNG+은/JX
별세한	별세/NNG+하/XSV+ㄴ/ETM
지	지/NNB
62년	62/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
7일	7/SN+일/NNB
서울	서울/NNP
동작구	동작구/NNP
국립서울현충원에	국립서울현충원/NNP+에/JKB
잠들었다.	잠들/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.319.6.2
별세 직후 수원북중 인근에 묻힌 선생의 유해는 1972년 안성시 선산으로 옮겨졌다.

별세	별세/NNG
직후	직후/NNG
수원북중	수원북중/NNP
인근에	인근/NNG+에/JKB
묻힌	묻히/VV+ㄴ/ETM
선생의	선생/NNG+의/JKG
유해는	유해/NNG+는/JX
1972년	1972/SN+년/NNB
안성시	안성시/NNP
선산으로	선산/NNG+으로/JKB
옮겨졌다.	옮기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.319.6.3
그렇게 40년 넘게 안성에 있다가 국가보훈처의 지원으로 이번에 현충원으로 옮겨졌다.

그렇게	그렇/VA+게/EC
40년	40/SN+년/NNB
넘게	넘/VV+게/EC
안성에	안성/NNP+에/JKB
있다가	있/VA+다가/EC
국가보훈처의	국가/NNG+보훈처/NNG+의/JKG
지원으로	지원/NNG+으로/JKB
이번에	이번/NNG+에/JKB
현충원으로	현충원/NNP+으로/JKB
옮겨졌다.	옮기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.319.7.1
신 선생의 유해는 이날 현충원 충혼당 320호에 안장됐다.

신	신/NNP
선생의	선생/NNG+의/JKG
유해는	유해/NNG+는/JX
이날	이날/NNG
현충원	현충원/NNP
충혼당	충혼당/NNP
320호에	320/SN+호/NNB+에/JKB
안장됐다.	안장/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.319.7.2
선생의 부인인 오숙근 씨의 유해도 함께 안장됐다.

선생의	선생/NNG+의/JKG
부인인	부인/NNG+이/VCP+ㄴ/ETM
오숙근	오숙근/NNP
씨의	씨/NNB+의/JKG
유해도	유해/NNG+도/JX
함께	함께/MAG
안장됐다.	안장/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.319.7.3
신 사무총장은 “사진을 전문으로 하신 분 중에서는 유일하게 국립묘지에 애국지사로 안장된 것”이라며 “사진 역사에서도 전례가 드문 일이기 때문에 더욱 자랑스럽다”고 말했다.

신	신/NNP
사무총장은	사무총장/NNG+은/JX
“사진을	“/SS+사진/NNG+을/JKO
전문으로	전문/NNG+으로/JKB
하신	하/VV+시/EP+ㄴ/ETM
분	분/NNB
중에서는	중/NNB+에서/JKB+는/JX
유일하게	유일/NNG+하/XSA+게/EC
국립묘지에	국립묘지/NNG+에/JKB
애국지사로	애국지사/NNG+로/JKB
안장된	안장/NNG+되/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“사진	“/SS+사진/NNG
역사에서도	역사/NNG+에서/JKB+도/JX
전례가	전례/NNG+가/JKS
드문	드물/VA+ㄴ/ETM
일이기	일/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
더욱	더욱/MAG
자랑스럽다”고	자랑/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


