# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.289
metadata : {}


# id : NWRW1800000056.289.1.1
‘국민청원’ 부른 프로배구 오심 …“사상 최고 징계”

‘국민청원’	‘/SS+국민/NNG+청원/NNG+’/SS
한국배구연맹은 “역사상 최고의 징계를 내렸다”며 “재발 방지를 위해 현재 추진하고 있는 경기 및 심판 운영 선진화 작업을 앞당겨 시행할 것”이라고 밝혔다.

한국배구연맹은	한국배구연맹/NNP+은/JX
“역사상	“/SS+역사/NNG+상/XSN
최고의	최고/NNG+의/JKG
징계를	징계/NNG+를/JKO
내렸다”며	내리/VV+었/EP+다/EF+”/SS+며/EC
“재발	“/SS+재발/NNG
방지를	방지/NNG+를/JKO
위해	위하/VV+아/EC
현재	현재/MAG
추진하고	추진/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
경기	경기/NNG
및	및/MAG
심판	심판/NNG
운영	운영/NNG
선진화	선진/NNG+화/XSN
작업을	작업/NNG+을/JKO
앞당겨	앞당기/VV+어/EC
시행할	시행/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.289.8.1
한국배구연맹은 그러나 팬들이 요구하는 재경기 개최는 전혀 검토하지 않고 있다.

한국배구연맹은	한국배구연맹/NNP+은/JX
그러나	그러나/MAJ
팬들이	팬/NNG+들/XSN+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
재경기	재/XPN+경기/NNG
개최는	개최/NNG+는/JX
전혀	전혀/MAG
검토하지	검토/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.289.8.2
V리그 운영 요강에 따르면 재경기는 경기 개최가 불가능하거나 중지됐을 때 가능하며 오심 등 경기 내적인 이유는 재경기 사유가 될 수 없다.

V리그	V/SL+리그/NNG
운영	운영/NNG
요강에	요강/NNG+에/JKB
따르면	따르/VV+면/EC
재경기는	재/XPN+경기/NNG+는/JX
경기	경기/NNG
개최가	개최/NNG+가/JKS
불가능하거나	불/XPN+가능/NNG+하/XSA+거나/EC
중지됐을	중지/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
가능하며	가능/NNG+하/XSA+며/EC
오심	오심/NNG
등	등/NNB
내적인	내/NNB+적/XSN+이/VCP+ㄴ/ETM
이유는	이유/NNG+는/JX
재경기	재/XPN+경기/NNG
사유가	사유/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.289.8.3
배구연맹 관계자는 “팬들의 분노는 알지만, 어떤 종목도 오심을 이유로 재경기를 하도록 규정된 종목은 없다”고 말했다.

배구연맹	배구/NNG+연맹/NNG
관계자는	관계자/NNG+는/JX
“팬들의	“/SS+팬/NNG+들/XSN+의/JKG
분노는	분노/NNG+는/JX
알지만,	알/VV+지만/EC+,/SP
어떤	어떤/MMD
종목도	종목/NNG+도/JX
오심을	오심/NNG+을/JKO
이유로	이유/NNG+로/JKB
재경기를	재/XPN+경기/NNG+를/JKO
하도록	하/VV+도록/EC
규정된	규정/NNG+되/XSV+ㄴ/ETM
종목은	종목/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.289.8.4
오심 피해자인 케이비손해보험은 이날 보도자료를 내어 “배구연맹의 공식 사과와 징계 결과를 대승적 차원에서 수용하겠다”며 “연맹이 추진하는 ‘경기 및 심판 운영 선진화 작업’이 원활히 진행되도록 다른 구단과 연계해서 적극적으로 협조하겠다”고 밝혔다.

오심	오심/NNG
피해자인	피해자/NNG+이/VCP+ㄴ/ETM
케이비손해보험은	케이비손해보험/NNP+은/JX
이날	이날/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“배구연맹의	“/SS+배구/NNG+연맹/NNG+의/JKG
공식	공식/NNG
사과와	사과/NNG+와/JC
징계	징계/NNG
결과를	결과/NNG+를/JKO
대승적	대승/NNG+적/XSN
차원에서	차원/NNG+에서/JKB
수용하겠다”며	수용/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“연맹이	“/SS+연맹/NNG+이/JKS
추진하는	추진/NNG+하/XSV+는/ETM
‘경기	‘/SS+경기/NNG
및	및/MAG
심판	심판/NNG
운영	운영/NNG
선진화	선진/NNG+화/XSN
작업’이	작업/NNG+’/SS+이/JKS
원활히	원활히/MAG
진행되도록	진행/NNG+되/XSV+도록/EC
다른	다른/MMD
구단과	구단/NNG+과/JKB
연계해서	연계/NNG+하/XSV+아서/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
협조하겠다”고	협조/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.289.8.5
19일 한전-케이비손보 경기 오심은 결정적인 순간 경기의 흐름을 바꾸었다.

19일	19/SN+일/NNB
한전-케이비손보	한전/NNP+-/SO+케이비손보/NNP
경기	경기/NNG
오심은	오심/NNG+은/JX
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
순간	순간/NNG
경기의	경기/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
바꾸었다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.289.8.6
세트점수 1-1로 맞서던 3세트 20-20에서 케이비손보는 오심으로 1점을 내줬고, 권순찬 감독이 항의하다 경고 누적으로 추가 1점을 허용하며 20-22까지 점수 차가 벌어졌다.

세트점수	세트/NNG+점수/NNG
1-1로	1/SN+-/SO+1/SN+로/JKB
맞서던	맞서/VV+던/ETM
3세트	3/SN+세트/NNG
20-20에서	20/SN+-/SO+20/SN+에서/JKB
케이비손보는	케이비손보/NNP+는/JX
오심으로	오심/NNG+으로/JKB
1점을	1/SN+점/NNB+을/JKO
내줬고,	내주/VV+었/EP+고/EC+,/SP
권순찬	권순찬/NNP
감독이	감독/NNG+이/JKS
항의하다	항의/NNG+하/XSV+다/EC
경고	경고/NNG
누적으로	누적/NNG+으로/JKB
추가	추가/NNG
허용하며	허용/NNG+하/XSV+며/EC
20-22까지	20/SN+-/SO+22/SN+까지/JX
점수	점수/NNG
차가	차/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.289.8.7
21-20이어야 할 점수가 순식간에 역전됐다.

21-20이어야	21/SN+-/SO+20/SN+이/VCP+어야/EC
할	하/VX+ㄹ/ETM
점수가	점수/NNG+가/JKS
순식간에	순식/NNG+간/XSN+에/JKB
역전됐다.	역전/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.289.8.8
경기는 한국전력의 세트점수 3-1 승리로 끝났다.

경기는	경기/NNG+는/JX
한국전력의	한국전력/NNP+의/JKG
세트점수	세트/NNG+점수/NNG
3-1	3/SN+-/SO+1/SN
승리로	승리/NNG+로/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.289.9.1
오심 논란은 파울을 보지 못한 단순 실수가 아니라 미숙한 경기 진행 탓에 벌어졌다는 점에서 파장이 커졌다.

오심	오심/NNG
논란은	논란/NNG+은/JX
파울을	파울/NNG+을/JKO
보지	보/VV+지/EC
못한	못하/VX+ㄴ/ETM
단순	단순/NNG
실수가	실수/NNG+가/JKC
아니라	아니/VCN+라/EC
미숙한	미숙/NNG+하/XSA+ㄴ/ETM
경기	경기/NNG
진행	진행/NNG
탓에	탓/NNG+에/JKB
벌어졌다는	벌어지/VV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
파장이	파장/NNG+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.289.9.2
애초 주심은 한국전력 이재목의 캐치볼 파울을 먼저 선언했으나 한국전력이 케이비손보 양준식의 네트터치에 대해 비디오판독 요청을 하자 이 부문을 판독해 점수를 매겼다.

애초	애초/NNG
주심은	주심/NNG+은/JX
한국전력	한국전력/NNP
이재목의	이재목/NNP+의/JKG
캐치볼	캐치볼/NNG
파울을	파울/NNG+을/JKO
먼저	먼저/MAG
선언했으나	선언/NNG+하/XSV+았/EP+으나/EC
한국전력이	한국전력/NNP+이/JKS
케이비손보	케이비손보/NNP
양준식의	양준식/NNP+의/JKG
네트터치에	네트/NNG+터치/NNG+에/JKB
대해	대하/VV+아/EC
비디오판독	비디오/NNG+판독/NNG
요청을	요청/NNG+을/JKO
하자	하/VV+자/EC
이	이/MMD
부문을	부문/NNG+을/JKO
판독해	판독/NNG+하/XSV+아/EC
점수를	점수/NNG+를/JKO
매겼다.	매기/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.289.9.3
그러나 애초 캐치볼이 네트터치에 앞서 선언됐기 때문에 비디오판독의 결과는 의미가 없었다.

그러나	그러나/MAJ
애초	애초/NNG
캐치볼이	캐치볼/NNG+이/JKS
네트터치에	네트/NNG+터치/NNG+에/JKB
앞서	앞서/VV+어/EC
선언됐기	선언/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
비디오판독의	비디오/NNG+판독/NNG+의/JKG
결과는	결과/NNG+는/JX
의미가	의미/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.289.10.1
이날 오심은 팬들의 거센 항의를 받고 있다.

이날	이날/NNG
오심은	오심/NNG+은/JX
팬들의	팬/NNG+들/XSN+의/JKG
거센	거세/VA+ㄴ/ETM
항의를	항의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.289.10.2
청와대 누리집 ‘국민청원 및 제안’에도 재경기를 요구하는 청원이 올라 21일 오후 현재 512명이 참여하고 있다.

청와대	청와대/NNP
누리집	누리집/NNG
‘국민청원	‘/SS+국민/NNG+청원/NNG
및	및/MAG
제안’에도	제안/NNG+’/SS+에/JKB+도/JX
재경기를	재/XPN+경기/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
청원이	청원/NNG+이/JKS
올라	오르/VV+아/EC
21일	21/SN+일/NNB
오후	오후/NNG
현재	현재/MAG
512명이	512/SN+명/NNB+이/JKS
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.289.10.3
청원 개요에는 “네티즌들이 올해 배구 최악의 경기라고 평할 정도인데요.

청원	청원/NNG
개요에는	개요/NNG+에/JKB+는/JX
“네티즌들이	“/SS+네티즌/NNG+들/XSN+이/JKS
올해	올해/NNG
배구	배구/NNG
최악의	최악/NNG+의/JKG
경기라고	경기/NNG+이/VCP+라고/EC
평할	평/NNG+하/XSV+ㄹ/ETM
정도인데요.	정도/NNG+이/VCP+ㄴ데/EF+요/JX+./SF


# id : NWRW1800000056.289.10.4
그래서 이 경기 참관한 감독관과 주부심에게 책임을 묻고 해당 경기 재경기를 강력 요구합니다”라는 요청이 적혔다.

그래서	그래서/MAJ
이	이/MMD
경기	경기/NNG
참관한	참관/NNG+하/XSV+ㄴ/ETM
감독관과	감독관/NNG+과/JC
주부심에게	주부심/NNG+에게/JKB
책임을	책임/NNG+을/JKO
묻고	묻/VV+고/EC
해당	해당/NNG
재경기를	재/XPN+경기/NNG+를/JKO
강력	강력/NNG
요구합니다”라는	요구/NNG+하/XSV+ㅂ니다/EF+”/SS+이/VCP+라는/ETM
요청이	요청/NNG+이/JKS
적혔다.	적히/VV+었/EP+다/EF+./SF


