# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.235
metadata : {}


# id : NWRW1800000052.235.1.1
우병우, 가족회사 통해 재산축소 세금회피했나

우병우,	우병우/NNP+,/SP
방법이다.	방법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.235.7.3
액수와 관계없이, 고위공직자 검증을 맡는 민정수석으로서 부적절한 태도라는 지적이 일고 있다.

액수와	액수/NNG+와/JKB
관계없이,	관계없이/MAG+,/SP
고위공직자	고위/NNG+공직자/NNG
검증을	검증/NNG+을/JKO
맡는	맡/VV+는/ETM
민정수석으로서	민정/NNG+수석/NNG+으로서/JKB
부적절한	부적절하/VA+ㄴ/ETM
태도라는	태도/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.235.8.1
우 수석은 공직자 재산공개에서 최근 2년 연속 아내 이아무개(48)씨, 세 자녀와 함께 비상장기업 ㈜정강의 주식을 보유하고 있다고 신고했다.

우	우/NNP
수석은	수석/NNG+은/JX
공직자	공직자/NNG
재산공개에서	재산/NNG+공개/NNG+에서/JKB
최근	최근/NNG
2년	2/SN+년/NNB
연속	연속/NNG
아내	아내/NNG
이아무개(48)씨,	이/NNP+아무개/NP+(/SS+48/SN+)/SS+씨/NNB+,/SP
세	세/MMN
자녀와	자녀/NNG+와/JKB
함께	함께/MAG
비상장기업	비/XPN+상장/NNG+기업/NNG
㈜정강의	㈜/SW+정강/NNP+의/JKG
주식을	주식/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.235.8.2
정강은 부동산 매매 및 임대 등을 목적으로 1993년 자본금 5000만원으로 설립됐다.

정강은	정강/NNP+은/JX
부동산	부동산/NNG
매매	매매/NNG
및	및/MAG
임대	임대/NNG
등을	등/NNB+을/JKO
목적으로	목적/NNG+으로/JKB
1993년	1993/SN+년/NNB
자본금	자본금/NNG
5000만원으로	5000/SN+만/NR+원/NNB+으로/JKB
설립됐다.	설립/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.235.8.3
우 수석의 장인인 고 이상달 회장이 세운 회사로 추정되며, 현재 아내 이씨가 50%, 우 수석이 20%, 세 자녀가 10%씩 지분을 보유하고 있다.

우	우/NNP
수석의	수석/NNG+의/JKG
장인인	장인/NNG+이/VCP+ㄴ/ETM
고	고/MMA
이상달	이상달/NNP
회장이	회장/NNG+이/JKS
세운	세우/VV+ㄴ/ETM
회사로	회사/NNG+로/JKB
추정되며,	추정/NNG+되/XSV+며/EC+,/SP
현재	현재/MAG
아내	아내/NNG
이씨가	이/NNP+씨/NNB+가/JKS
50%,	50/SN+%/SW+,/SP
수석이	수석/NNG+이/JKS
20%,	20/SN+%/SW+,/SP
세	세/MMN
자녀가	자녀/NNG+가/JKS
10%씩	10/SN+%/SW+씩/XSN
지분을	지분/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.235.8.4
말 그대로 우 수석 가족회사인 셈이다.

말	말/NNG
그대로	그대로/MAG
우	우/NNP
수석	수석/NNG
가족회사인	가족/NNG+회사/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.235.9.1
21일 <한겨레>가 입수한 이 회사의 감사보고서 등을 보면 지난해 부동산 임대수익으로 1억여원, 이자수익으로 8200여만원을 얻은 이 회사에 우 수석 아내 이씨가 75억원을 빌려준 것으로 나와 있다.

21일	21/SN+일/NNB
<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
입수한	입수/NNG+하/XSV+ㄴ/ETM
이	이/MMD
회사의	회사/NNG+의/JKG
감사보고서	감사/NNG+보고서/NNG
등을	등/NNB+을/JKO
보면	보/VV+면/EC
지난해	지난해/NNG
부동산	부동산/NNG
임대수익으로	임대/NNG+수익/NNG+으로/JKB
1억여원,	1/SN+억/NR+여/XSN+원/NNB+,/SP
이자수익으로	이자/NNG+수익/NNG+으로/JKB
8200여만원을	8200/SN+여/XSN+만/NR+원/NNB+을/JKO
얻은	얻/VV+은/ETM
회사에	회사/NNG+에/JKB
우	우/NNP
수석	수석/NNG
아내	아내/NNG
이씨가	이/NNP+씨/NNB+가/JKS
75억원을	75/SN+억/NR+원/NNB+을/JKO
빌려준	빌려주/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.235.9.2
현재 정강의 총자산은 81억여원이다.

현재	현재/MAG
정강의	정강/NNP+의/JKG
총자산은	총자산/NNG+은/JX
81억여원이다.	81/SN+억/NR+여/XSN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.235.10.1
현행 공직자윤리법에 따르면 법인의 자산은 등록할 의무가 없다.

현행	현행/NNG
공직자윤리법에	공직자/NNG+윤리법/NNG+에/JKB
따르면	따르/VV+면/EC
법인의	법인/NNG+의/JKG
자산은	자산/NNG+은/JX
등록할	등록/NNG+하/XSV+ㄹ/ETM
의무가	의무/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.235.10.2
따라서 공직자가 소유한 법인 재산의 증감 여부는 전혀 알 수 없다.

따라서	따라서/MAJ
공직자가	공직자/NNG+가/JKS
소유한	소유/NNG+하/XSV+ㄴ/ETM
법인	법인/NNG
재산의	재산/NNG+의/JKG
증감	증감/NNG
여부는	여부/NNG+는/JX
전혀	전혀/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.235.10.3
우 수석의 아내처럼 자기 소유 법인에 돈을 빌려주고 이 돈의 투자 등으로 인해 법인의 자산(81억여원)이 늘어나도 법인에 빌려준 돈(75억원)만 ‘사인간 채권’으로 기재될 뿐이다.

우	우/NNP
수석의	수석/NNG+의/JKG
아내처럼	아내/NNG+처럼/JKB
자기	자기/NP
소유	소유/NNG
법인에	법인/NNG+에/JKB
돈을	돈/NNG+을/JKO
빌려주고	빌려주/VV+고/EC
이	이/MMD
돈의	돈/NNG+의/JKG
투자	투자/NNG
등으로	등/NNB+으로/JKB
인해	인/NNG+하/XSV+아/EC
법인의	법인/NNG+의/JKG
자산(81억여원)이	자산/NNG+(/SS+81/SN+억/NR+여/XSN+원/NNB+)/SS+이/JKS
늘어나도	늘어나/VV+아도/EC
빌려준	빌리/VV+어/EC+주/VX+ㄴ/ETM
돈(75억원)만	돈/NNG+(/SS+75/SN+억/NR+원/NNB+)/SS+만/JX
‘사인간	‘/SS+사인/NNG+간/NNB
채권’으로	채권/NNG+’/SS+으로/JKB
기재될	기재/NNG+되/XSV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.235.11.1
또 비상장 주식은 거래가격이 아닌 액면가로 신고하면 된다.

또	또/MAG
비상장	비/XPN+상장/NNG
주식은	주식/NNG+은/JX
거래가격이	거래/NNG+가격/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
액면가로	액면/NNG+가/XSN+로/JKB
신고하면	신고/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.235.11.2
실제 우 수석은 지난 3월 공직자 재산공개에서 모두 393억7000만원의 재산을 신고하며 ㈜정강과 관련해선 액면가(주당 1만원)로 전체 가족이 5000만원의 주식을 보유하고 있다고 신고했다.

실제	실제/MAG
우	우/NNP
수석은	수석/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
공직자	공직자/NNG
재산공개에서	재산/NNG+공개/NNG+에서/JKB
모두	모두/MAG
393억7000만원의	393/SN+억/NR+7000/SN+만/NR+원/NNB+의/JKG
재산을	재산/NNG+을/JKO
신고하며	신고/NNG+하/XSV+며/EC
㈜정강과	㈜/SW+정강/NNP+과/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
액면가(주당	액면/NNG+가/XSN+(/SS+주/NNG+당/XSN
1만원)로	1/SN+만/NR+원/NNB+)/SS+로/JKB
전체	전체/NNG
가족이	가족/NNG+이/JKS
5000만원의	5000/SN+만/NR+원/NNB+의/JKG
주식을	주식/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.235.11.3
아내가 이 회사에 빌려준 75억원은 신고액에 포함되어 있기 때문에 5억여원의 재산이 누락된 셈이다.

아내가	아내/NNG+가/JKS
이	이/MMD
회사에	회사/NNG+에/JKB
빌려준	빌리/VV+어/EC+주/VX+ㄴ/ETM
75억원은	75/SN+억/NR+원/NNB+은/JX
신고액에	신고액/NNG+에/JKB
포함되어	포함/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
5억여원의	5/SN+억/NR+여/XSN+원/NNB+의/JKG
재산이	재산/NNG+이/JKS
누락된	누락/NNG+되/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.235.11.4
한 공인회계사는 “정강의 경우, 자산 대부분이 이씨로부터 빌린 채무라 전체 재산 규모에 비하면 누락액이 크다고 할 수 없지만, 법인의 규모가 커지면 신고금액과 실제 법인 자산가치가 기하급수적으로 차이 나면서 재산 내역이 왜곡된다”고 말했다.

한	한/MMN
공인회계사는	공인/NNG+회계사/NNG+는/JX
“정강의	“/SS+정강/NNP+의/JKG
경우,	경우/NNG+,/SP
자산	자산/NNG
대부분이	대/XPN+부분/NNG+이/JKS
이씨로부터	이/NNP+씨/NNB+로부터/JKB
빌린	빌리/VV+ㄴ/ETM
채무라	채무/NNG+이/VCP+라/EC
전체	전체/NNG
재산	재산/NNG
규모에	규모/NNG+에/JKB
비하면	비/NNG+하/XSV+면/EC
누락액이	누락액/NNG+이/JKS
크다고	크/VA+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없지만,	없/VA+지만/EC+,/SP
법인의	법인/NNG+의/JKG
규모가	규모/NNG+가/JKS
커지면	커지/VV+면/EC
신고금액과	신고/NNG+금액/NNG+과/JC
실제	실제/NNG
법인	법인/NNG
자산가치가	자산/NNG+가치/NNG+가/JKS
기하급수적으로	기하급수/NNG+적/XSN+으로/JKB
차이	차이/NNG
나면서	나/VV+면서/EC
내역이	내역/NNG+이/JKS
왜곡된다”고	왜곡/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.235.11.5
또 다른 공인회계사도 “개인이 별도로 법인을 만들어 돈을 굴리면 신분이 드러나지 않고 자금 흐름도 훨씬 불투명해진다”고 말했다.

또	또/MAG
다른	다른/MMD
공인회계사도	공인/NNG+회계사/NNG+도/JX
“개인이	“/SS+개인/NNG+이/JKS
별도로	별도/NNG+로/JKB
법인을	법인/NNG+을/JKO
만들어	만들/VV+어/EC
돈을	돈/NNG+을/JKO
굴리면	굴리/VV+면/EC
신분이	신분/NNG+이/JKS
드러나지	드러나/VV+지/EC
않고	않/VX+고/EC
자금	자금/NNG
흐름도	흐름/NNG+도/JX
훨씬	훨씬/MAG
불투명해진다”고	불/XPN+투명/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.235.11.6
공직자 재산등록 때 ‘자동차’가 없다고 신고한 우 수석 일가가 이 회사 법인 소유의 차량을 사적 용도로 썼을 가능성도 제기된다.

공직자	공직자/NNG
재산등록	재산/NNG+등록/NNG
때	때/NNG
‘자동차’가	‘/SS+자동차/NNG+’/SS+가/JKS
없다고	없/VA+다고/EC
신고한	신고/NNG+하/XSV+ㄴ/ETM
우	우/NNP
수석	수석/NNG
일가가	일가/NNG+가/JKS
이	이/MMD
회사	회사/NNG
법인	법인/NNG
소유의	소유/NNG+의/JKG
차량을	차량/NNG+을/JKO
사적	사/NNG+적/XSN
용도로	용도/NNG+로/JKB
썼을	쓰/VV+었/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.235.12.1
또한 개인이 법인을 설립해 수익을 올리면 개인 명의로 소득을 신고할 때보다 세금을 줄일 수 있다.

또한	또한/MAG
개인이	개인/NNG+이/JKS
법인을	법인/NNG+을/JKO
설립해	설립/NNG+하/XSV+아/EC
수익을	수익/NNG+을/JKO
올리면	올리/VV+면/EC
개인	개인/NNG
명의로	명의/NNG+로/JKB
소득을	소득/NNG+을/JKO
신고할	신고/NNG+하/XSV+ㄹ/ETM
때보다	때/NNG+보다/JKB
세금을	세금/NNG+을/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.235.12.2
지난해 정강의 법인세 차감 전 순이익은 1억5000여만원이었고 970여만원의 법인세를 냈다.

지난해	지난해/NNG
정강의	정강/NNP+의/JKG
법인세	법인세/NNG
차감	차감/NNG
전	전/MMD
순이익은	순이익/NNG+은/JX
1억5000여만원이었고	1/SN+억/NR+5000/SN+여/XSN+만/NR+원/NNB+이/VCP+었/EP+고/EC
970여만원의	970/SN+여/XSN+만/NR+원/NNB+의/JKG
법인세를	법인세/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.235.12.3
만약 개인 소득으로 신고해 소득세율 38%가 적용됐다면 4000여만원의 세금을 더 냈어야 했다.

만약	만약/MAG
개인	개인/NNG
소득으로	소득/NNG+으로/JKB
신고해	신고/NNG+하/XSV+아/EC
소득세율	소득세/NNG+율/XSN
38%가	38/SN+%/SW+가/JKS
적용됐다면	적용/NNG+되/XSV+었/EP+다면/EC
4000여만원의	4000/SN+여/XSN+만/NR+원/NNB+의/JKG
세금을	세금/NNG+을/JKO
더	더/MAG
냈어야	내/VV+었/EP+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.235.13.1
김상조 한성대 무역학과 교수는 “개인 재산을 법인 명의로 돌려 투자에 나서는 것은 부자들이 세금을 줄이기 위해 쓰는 방법으로 불법은 아니다.

김상조	김상조/NNP
한성대	한성대/NNP
무역학과	무역학과/NNG
교수는	교수/NNG+는/JX
“개인	“/SS+개인/NNG
재산을	재산/NNG+을/JKO
법인	법인/NNG
명의로	명의/NNG+로/JKB
돌려	돌리/VV+어/EC
투자에	투자/NNG+에/JKB
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
부자들이	부자/NNG+들/XSN+이/JKS
세금을	세금/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
쓰는	쓰/VV+는/ETM
방법으로	방법/NNG+으로/JKB
불법은	불법/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000052.235.13.2
그러나 사정기관을 총괄하고 고위공직자 검증을 맡는 민정수석이 이런 행위를 했다는 것은 도덕적 비난을 피할 수 없다”고 말했다.

그러나	그러나/MAJ
사정기관을	사정/NNG+기관/NNG+을/JKO
총괄하고	총괄/NNG+하/XSV+고/EC
고위공직자	고위/NNG+공직자/NNG
검증을	검증/NNG+을/JKO
맡는	맡/VV+는/ETM
민정수석이	민정/NNG+수석/NNG+이/JKS
이런	이런/MMD
행위를	행위/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
것은	것/NNB+은/JX
도덕적	도덕/NNG+적/XSN
비난을	비난/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


