# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.55
metadata : {}


# id : NWRW1800000029.55.1.1
“10년을 달렸다… 남미 고로제철소 꿈 이뤘다”

“10년을	“/SS+10/SN+년/NNB+을/JKO
지난해 11월 주요 20개국(G20) 정상회의를 위해 방문한 시드 페레이라 고메스 세아라 주지사를 사옥으로 초청해 제철소 건설에 대한 동국제강의 의지를 직접 설명하기도 했다.

지난해	지난해/NNG
11월	11/SN+월/NNB
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의를	정상/NNG+회의/NNG+를/JKO
위해	위하/VV+아/EC
방문한	방문/NNG+하/XSV+ㄴ/ETM
시드	시드/NNP
페레이라	페레이라/NNP
고메스	고메스/NNP
세아라	세아라/NNP
주지사를	주지사/NNG+를/JKO
사옥으로	사옥/NNG+으로/JKB
초청해	초청/NNG+하/XSV+아/EC
제철소	제철소/NNG
건설에	건설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
동국제강의	동국제강/NNP+의/JKG
의지를	의지/NNG+를/JKO
직접	직접/MAG
설명하기도	설명/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.55.8.1
이 같은 장 회장의 열정에 탄복한 고메스 주지사는 “장 회장 아버지의 뜻을 브라질에 새겨놓자”고 제안했고, 이 제안은 제철소를 위해 설립된 페셍 항만 다목적 부두의 이름이 ‘Cais Song-Won(카이스 송원·송원 부두라는 뜻)’으로 명명되는 계기가 됐다.

이	이/MMD
같은	같/VA+은/ETM
장	장/NNP
회장의	회장/NNG+의/JKG
열정에	열정/NNG+에/JKB
탄복한	탄복/NNG+하/XSV+ㄴ/ETM
고메스	고메스/NNP
주지사는	주지사/NNG+는/JX
“장	“/SS+장/NNP
회장	회장/NNG
아버지의	아버지/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
브라질에	브라질/NNP+에/JKB
새겨놓자”고	새기/VV+어/EC+놓/VX+자/EF+”/SS+고/JKQ
제안했고,	제안/NNG+하/XSV+았/EP+고/EC+,/SP
제안은	제안/NNG+은/JX
제철소를	제철소/NNG+를/JKO
위해	위하/VV+아/EC
설립된	설립/NNG+되/XSV+ㄴ/ETM
페셍	페셍/NNP
항만	항만/NNG
다목적	다목적/NNG
부두의	부두/NNG+의/JKG
이름이	이름/NNG+이/JKS
‘Cais	‘/SS+Cais/SL
Song-Won(카이스	Song/SL+-/SO+Won/SL+(/SS+카이스/NNG
송원·송원	송원/NNP+·/SP+송원/NNP
부두라는	부두/NNG+이/VCP+라는/ETM
뜻)’으로	뜻/NNG+)/SS+’/SS+으로/JKB
명명되는	명명/NNG+되/XSV+는/ETM
계기가	계기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.55.8.2
송원(松園)은 고 장상태 회장의 호다.

송원(松園)은	송원/NNP+(/SS+松園/SH+)/SS+은/JX
고	고/MMA
장상태	장상태/NNP
회장의	회장/NNG+의/JKG
호다.	호/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.55.9.1
○ 고로 제철소 건설 급물살

○	○/SW
고로	고로/NNG
제철소	제철소/NNG
건설	건설/NNG
급물살	급물살/NNG


# id : NWRW1800000029.55.10.1
이날 현황보고식을 통해 CSP의 고로 제철소 건설은 급물살을 타게 됐다.

이날	이날/NNG
현황보고식을	현황/NNG+보고식/NNG+을/JKO
통해	통하/VV+아/EC
CSP의	CSP/SL+의/JKG
고로	고로/NNG
제철소	제철소/NNG
건설은	건설/NNG+은/JX
급물살을	급물살/NNG+을/JKO
타게	타/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.55.10.2
지우마 대통령은 “연방정부는 고로 제철소가 가동될 때까지 전폭적인 지원을 할 것”이라고 밝혔다.

지우마	지우마/NNP
대통령은	대통령/NNG+은/JX
“연방정부는	“/SS+연방/NNG+정부/NNG+는/JX
고로	고로/NNG
제철소가	제철소/NNG+가/JKS
가동될	가동/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
전폭적인	전폭/NNG+적/XSN+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.55.11.1
CSP는 2015년까지 연간 생산 능력 300만 t 규모의 고로 제철소를 가동한 뒤 이후 300만 t 규모의 고로를 추가로 건설할 계획이다.

CSP는	CSP/SL+는/JX
2015년까지	2015/SN+년/NNB+까지/JX
연간	연간/NNG
생산	생산/NNG
능력	능력/NNG
300만	300/SN+만/NR
t	t/SW
규모의	규모/NNG+의/JKG
고로	고로/NNG
제철소를	제철소/NNG+를/JKO
가동한	가동/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이후	이후/NNG
고로를	고로/NNG+를/JKO
추가로	추가/NNG+로/JKB
건설할	건설/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.55.11.2
고로 제철소의 철광석 공급은 발레가, 제철소의 건설 및 기술 지원은 포스코가, 최종 제품인 슬래브의 수요는 동국제강이 소화하는 역할을 맡게 된다.

고로	고로/NNG
제철소의	제철소/NNG+의/JKG
철광석	철광석/NNG
공급은	공급/NNG+은/JX
발레가,	발레/NNP+가/JKS+,/SP
건설	건설/NNG
및	및/MAG
기술	기술/NNG
지원은	지원/NNG+은/JX
포스코가,	포스코/NNP+가/JKS+,/SP
최종	최종/NNG
제품인	제품/NNG+이/VCP+ㄴ/ETM
슬래브의	슬래브/NNG+의/JKG
수요는	수요/NNG+는/JX
동국제강이	동국제강/NNP+이/JKS
소화하는	소화/NNG+하/XSV+는/ETM
역할을	역할/NNG+을/JKO
맡게	맡/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


