# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.398
metadata : {}


# id : NWRW1800000045.398.1.1
[中 위안화, 3대 기축통화로]달러 의존 줄여 외환리스크 축소 기대

[中	[/SS+中/SH
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“외환보유액의	“/SS+외환/NNG+보유액/NNG+의/JKG
건전성도	건전/NNG+성/XSN+도/JX
좋아지고,	좋/VA+아/EC+지/VX+고/EC+,/SP
안정성에도	안정/NNG+성/XSN+에/JKB+도/JX
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.398.6.1
그러나 거꾸로 중국 경제에 큰 문제가 생길 경우 한국이 받을 충격이 커질 것이라는 점을 우려하는 시각도 적지 않다.

그러나	그러나/MAJ
거꾸로	거꾸로/MAG
중국	중국/NNP
경제에	경제/NNG+에/JKB
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
생길	생기/VV+ㄹ/ETM
경우	경우/NNG
한국이	한국/NNP+이/JKS
받을	받/VV+을/ETM
충격이	충격/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
점을	점/NNG+을/JKO
우려하는	우려/NNG+하/XSV+는/ETM
시각도	시각/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.398.6.2
김정식 연세대 교수는 “이제 중국의 영향력이 더 커질 것이고 자칫 한국의 자본시장이 중국에 예속될 위험이 있다”며 “지금까지 국제통화로 인정받기 위해 위안화 평가절하를 자제해 온 중국이 앞으로 위안화 가치를 내린다면 우리 수출에도 나쁜 영향을 미칠 것”이라고 지적했다.

김정식	김정식/NNP
연세대	연세대/NNP
교수는	교수/NNG+는/JX
“이제	“/SS+이제/MAG
중국의	중국/NNP+의/JKG
영향력이	영향력/NNG+이/JKS
더	더/MAG
커질	커지/VV+ㄹ/ETM
것이고	것/NNB+이/VCP+고/EC
자칫	자칫/MAG
한국의	한국/NNP+의/JKG
자본시장이	자본/NNG+시장/NNG+이/JKS
중국에	중국/NNP+에/JKB
예속될	예속/NNG+되/XSV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“지금까지	“/SS+지금/NNG+까지/JX
국제통화로	국제/NNG+통화/NNG+로/JKB
인정받기	인정/NNG+받/XSV+기/ETN
위해	위하/VV+아/EC
위안화	위안화/NNG
평가절하를	평가/NNG+절하/NNG+를/JKO
자제해	자제/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
중국이	중국/NNP+이/JKS
앞으로	앞/NNG+으로/JKB
가치를	가치/NNG+를/JKO
내린다면	내리/VV+ㄴ다면/EC
우리	우리/NP
수출에도	수출/NNG+에/JKB+도/JX
나쁜	나쁘/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.398.7.1
다만 세계 각국에서 국제통화가 된 위안화의 수요가 지금보다 증가할 것이라는 점을 감안하면 중장기적으로 위안화 가치는 지금보다 상승할 것으로 보는 시각이 많다.

다만	다만/MAG
세계	세계/NNG
각국에서	각국/NNG+에서/JKB
국제통화가	국제/NNG+통화/NNG+가/JKC
된	되/VV+ㄴ/ETM
위안화의	위안화/NNG+의/JKG
수요가	수요/NNG+가/JKS
지금보다	지금/NNG+보다/JKB
증가할	증가/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
중장기적으로	중장기/NNG+적/XSN+으로/JKB
위안화	위안화/NNG
가치는	가치/NNG+는/JX
상승할	상승/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보는	보/VV+는/ETM
시각이	시각/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000045.398.8.1
금융시장에서도 기대와 우려가 교차하고 있다.

금융시장에서도	금융/NNG+시장/NNG+에서/JKB+도/JX
기대와	기대/NNG+와/JC
우려가	우려/NNG+가/JKS
교차하고	교차/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.398.8.2
위안화가 기축통화 반열에 올라서면서 중국이 미국, 유럽처럼 경기부양책을 자신 있게 펼 수 있게 됐다는 점은 시장의 호재로 꼽힌다.

위안화가	위안화/NNG+가/JKS
기축통화	기축/NNG+통화/NNG
반열에	반열/NNG+에/JKB
올라서면서	올라서/VV+면서/EC
중국이	중국/NNP+이/JKS
미국,	미국/NNP+,/SP
유럽처럼	유럽/NNP+처럼/JKB
경기부양책을	경기/NNG+부양책/NNG+을/JKO
자신	자신/NNG
있게	있/VA+게/EC
펼	펴/VV+ㄹ/ETM
수	수/NNB
됐다는	되/VV+었/EP+다는/ETM
점은	점/NNG+은/JX
시장의	시장/NNG+의/JKG
호재로	호재/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.398.8.3
조용준 하나금융투자 리서치센터장은 “위안화의 특별인출권(SDR) 편입으로 중국 정부가 내년에 기준금리를 두 차례 더 내릴 것이라는 전망이 많다”며 “이를 통해 풀린 유동성이 증시를 끌어올릴 수 있을 것”이라고 말했다.

조용준	조용준/NNP
하나금융투자	하나금융투자/NNP
리서치센터장은	리서치/NNG+센터장/NNG+은/JX
“위안화의	“/SS+위안화/NNG+의/JKG
특별인출권(SDR)	특별/NNG+인출/NNG+권/XSN+(/SS+SDR/SL+)/SS
편입으로	편입/NNG+으로/JKB
중국	중국/NNP
정부가	정부/NNG+가/JKS
내년에	내년/NNG+에/JKB
기준금리를	기준/NNG+금리/NNG+를/JKO
두	두/MMN
차례	차례/NNG
더	더/MAG
내릴	내리/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“이를	“/SS+이/NP+를/JKO
통해	통하/VV+아/EC
풀린	풀리/VV+ㄴ/ETM
유동성이	유동/NNG+성/XSN+이/JKS
증시를	증시/NNG+를/JKO
끌어올릴	끌어올리/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.398.8.4
하지만 윤항진 한국투자증권 연구원은 “위안화의 신뢰도가 높아진 가운데 중국 자본시장이 더 개방될 경우 해외 투자자들의 위안화 표시 자산에 대한 수요가 늘어날 것”이라며 “이는 한국 시장의 자본 이탈로 이어질 수 있다”고 말했다.

하지만	하지만/MAJ
윤항진	윤항진/NNP
한국투자증권	한국투자증권/NNP
연구원은	연구원/NNG+은/JX
“위안화의	“/SS+위안화/NNG+의/JKG
신뢰도가	신뢰도/NNG+가/JKS
높아진	높아지/VV+ㄴ/ETM
가운데	가운데/NNG
중국	중국/NNP
자본시장이	자본/NNG+시장/NNG+이/JKS
더	더/MAG
개방될	개방/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
해외	해외/NNG
투자자들의	투자자/NNG+들/XSN+의/JKG
위안화	위안화/NNG
표시	표시/NNG
자산에	자산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수요가	수요/NNG+가/JKS
늘어날	늘어나/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이는	“/SS+이/NP+는/JX
한국	한국/NNP
시장의	시장/NNG+의/JKG
자본	자본/NNG
이탈로	이탈/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.398.9.1
위안화의 국제화에 발맞춰 정부도 이를 국내 시장 발전에 활용하기 위한 노력에 박차를 가하고 있다.

위안화의	위안화/NNG+의/JKG
국제화에	국제/NNG+화/XSN+에/JKB
발맞춰	발맞추/VV+어/EC
정부도	정부/NNG+도/JX
이를	이/NP+를/JKO
국내	국내/NNG
시장	시장/NNG
발전에	발전/NNG+에/JKB
활용하기	활용/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
노력에	노력/NNG+에/JKB
박차를	박차/NNG+를/JKO
가하고	가하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.398.9.2
정부는 지난해 12월 서울에 이어 내년에는 중국 상하이에도 원-위안화 직거래 시장을 열 계획이다.

정부는	정부/NNG+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
서울에	서울/NNP+에/JKB
이어	잇/VV+어/EC
내년에는	내년/NNG+에/JKB+는/JX
중국	중국/NNP
상하이에도	상하이/NNP+에/JKB+도/JX
원-위안화	원/NNG+-/SO+위안화/NNG
직거래	직거래/NNG
시장을	시장/NNG+을/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.398.9.3
지난 1년간 원-위안화 직거래 시장의 하루 평균 거래량은 22억6000만 달러로 원-달러 거래량의 26.4% 수준까지 늘었다.

지난	지나/VV+ㄴ/ETM
1년간	1/SN+년/NNB+간/XSN
원-위안화	원/NNG+-/SO+위안화/NNG
직거래	직거래/NNG
시장의	시장/NNG+의/JKG
하루	하루/NNG
평균	평균/NNG
거래량은	거래량/NNG+은/JX
22억6000만	22/SN+억/NR+6000/SN+만/NR
달러로	달러/NNB+로/JKB
원-달러	원/NNB+-/SO+달러/NNG
거래량의	거래량/NNG+의/JKG
26.4%	26/SN+./SP+4/SN+%/SW
수준까지	수준/NNG+까지/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.398.9.4
위안화 무역결제 규모도 지난해 9월 2억4000만 달러에서 올해 9월에는 9억3000만 달러로, 1년 만에 약 4배로 급증했다.

위안화	위안화/NNG
무역결제	무역/NNG+결제/NNG
규모도	규모/NNG+도/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
2억4000만	2/SN+억/NR+4000/SN+만/NR
달러에서	달러/NNB+에서/JKB
올해	올해/NNG
9월에는	9/SN+월/NNB+에/JKB+는/JX
9억3000만	9/SN+억/NR+3000/SN+만/NR
달러로,	달러/NNB+로/JKB+,/SP
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
약	약/MMA
4배로	4/SN+배/NNG+로/JKB
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.398.10.1
전문가들은 향후 한국이 위안화 허브로 성장하려면 위안화를 이용한 무역거래를 지속적으로 늘리면서 국내 금융회사들이 위안화 금융에 적극 참여해야 한다고 지적했다.

전문가들은	전문가/NNG+들/XSN+은/JX
향후	향후/NNG
한국이	한국/NNP+이/JKS
위안화	위안화/NNG
허브로	허브/NNG+로/JKB
성장하려면	성장/NNG+하/XSV+려면/EC
위안화를	위안화/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
무역거래를	무역/NNG+거래/NNG+를/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
늘리면서	늘리/VV+면서/EC
국내	국내/NNG
금융회사들이	금융/NNG+회사/NNG+들/XSN+이/JKS
금융에	금융/NNG+에/JKB
적극	적극/NNG
참여해야	참여/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.398.10.2
지만수 금융연구원 연구위원은 “정부가 구축해 놓은 시스템을 바탕으로 지금부터는 개별 금융회사들이 위안화 금융상품을 얼마나 개발하고 판매하느냐가 중요하다”며 “위안화 채권 발행, 무역금융 서비스 등 다양한 시도를 해야 한다”고 말했다.

지만수	지만수/NNP
금융연구원	금융연구원/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“정부가	“/SS+정부/NNG+가/JKS
구축해	구축/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
시스템을	시스템/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
지금부터는	지금/NNG+부터/JX+는/JX
개별	개별/NNG
금융회사들이	금융/NNG+회사/NNG+들/XSN+이/JKS
위안화	위안화/NNG
금융상품을	금융/NNG+상품/NNG+을/JKO
얼마나	얼마나/MAG
개발하고	개발/NNG+하/XSV+고/EC
판매하느냐가	판매/NNG+하/XSV+느냐/EF+가/JKS
중요하다”며	중요/NNG+하/XSA+다/EF+”/SS+며/EC
“위안화	“/SS+위안화/NNG
채권	채권/NNG
발행,	발행/NNG+,/SP
무역금융	무역/NNG+금융/NNG
서비스	서비스/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
시도를	시도/NNG+를/JKO
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.398.11.1
최희남 기획재정부 국제경제관리관은 1일 열린 원-위안화 직거래시장 개장 1주년 기념 콘퍼런스에 참석해 “위안화 외평채 발행 및 중국 기관의 국내 위안화 채권 발행, 국내 은행의 중국 기업 위안화 대출 확대 등을 추진할 계획”이라고 밝혔다.

최희남	최희남/NNP
기획재정부	기획/NNG+재정부/NNG
국제경제관리관은	국제/NNG+경제/NNG+관리관/NNG+은/JX
1일	1/SN+일/NNB
열린	열리/VV+ㄴ/ETM
원-위안화	원/NNG+-/SO+위안화/NNG
직거래시장	직거래/NNG+시장/NNG
개장	개장/NNG
1주년	1/SN+주년/NNB
기념	기념/NNG
콘퍼런스에	콘퍼런스/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
“위안화	“/SS+위안화/NNG
외평채	외평채/NNG
발행	발행/NNG
및	및/MAG
중국	중국/NNP
기관의	기관/NNG+의/JKG
국내	국내/NNG
위안화	위안화/NNG
채권	채권/NNG
발행,	발행/NNG+,/SP
은행의	은행/NNG+의/JKG
기업	기업/NNG
대출	대출/NNG
확대	확대/NNG
등을	등/NNB+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


