# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.29
metadata : {}


# id : NWRW1800000036.29.1.1
“사회적 기업, 새 자본주의 시스템의 핵심”

“사회적	“/SS+사회/NNG+적/XSN
대공황은	대/XPN+공황/NNG+은/JX
미국·유럽	미국/NNP+·/SP+유럽/NNP
등	등/NNB
서구에	서구/NNG+에/JKB
타격을	타격/NNG+을/JKO
주는	주/VV+는/ETM
것으로	것/NNB+으로/JKB
국한됐지만,	국한/NNG+되/XSV+었/EP+지만/EC+,/SP
이번	이번/NNG
위기는	위기/NNG+는/JX
전세계	전/MMN+세계/NNG
모든	모든/MMN
나라에	나라/NNG+에/JKB
예외	예외/NNG
없이	없이/MAG
여파를	여파/NNG+를/JKO
끼친다는	끼치/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.29.7.1
고용노동부 산하 한국사회적기업진흥원 주최로 열린 이번 공동포럼은 4일까지 이틀 동안 전북 전주 리베라호텔에서 열리며, 21개국 76명의 해외 인사들을 포함해 1000명 안팎이 참가할 예정이다.

고용노동부	고용/NNG+노동부/NNG
산하	산하/NNG
한국사회적기업진흥원	한국사회적기업진흥원/NNP
주최로	주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
이번	이번/NNG
공동포럼은	공동/NNG+포럼/NNG+은/JX
4일까지	4/SN+일/NNB+까지/JX
이틀	이틀/NNG
동안	동안/NNG
전북	전북/NNP
전주	전주/NNP
리베라호텔에서	리베라호텔/NNP+에서/JKB
열리며,	열리/VV+며/EC+,/SP
21개국	21/SN+개국/NNB
76명의	76/SN+명/NNB+의/JKG
해외	해외/NNG
인사들을	인사/NNG+들/XSN+을/JKO
포함해	포함/NNG+하/XSV+아/EC
1000명	1000/SN+명/NNB
안팎이	안팎/NNG+이/JKS
참가할	참가/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.29.7.2
올해 첫 행사에 이어 앞으로는 해마다 전국을 돌며 포럼을 이어나갈 예정이다.

올해	올해/NNG
첫	첫/MMN
행사에	행사/NNG+에/JKB
이어	잇/VV+어/EC
앞으로는	앞/NNG+으로/JKB+는/JX
해마다	해마다/MAG
전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
포럼을	포럼/NNG+을/JKO
이어나갈	잇/VV+어/EC+나가/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.29.8.1
니컬스 교수는 “현 상황을 유지하자는 우파와 변혁을 주장하는 좌파 사이에 말 그대로 전쟁이 벌어지고 있지만, 분명한 사실은 사회적 기업 방식은 새 자본주의 시스템의 중요 부분을 차지하리라는 점”이라고 말했다.

니컬스	니컬스/NNP
교수는	교수/NNG+는/JX
“현	“/SS+현/MMD
상황을	상황/NNG+을/JKO
유지하자는	유지/NNG+하/XSV+자는/ETM
우파와	우파/NNG+와/JC
변혁을	변혁/NNG+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
좌파	좌파/NNG
사이에	사이/NNG+에/JKB
말	말/NNG
그대로	그대로/MAG
전쟁이	전쟁/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
분명한	분명/MAG+하/XSA+ㄴ/ETM
사실은	사실/NNG+은/JX
사회적	사회/NNG+적/XSN
기업	기업/NNG
방식은	방식/NNG+은/JX
새	새/MMA
자본주의	자본주의/NNG
시스템의	시스템/NNG+의/JKG
중요	중요/NNG
부분을	부분/NNG+을/JKO
차지하리라는	차지/NNG+하/XSV+리라는/ETM
점”이라고	점/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.29.8.2
그는 세가지 근거를 들었다.

그는	그/NP+는/JX
세가지	세/MMN+가지/NNB
근거를	근거/NNG+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.29.9.1
첫째, 자유 시장의 실패다.

첫째,	첫째/NR+,/SP
자유	자유/NNG
시장의	시장/NNG+의/JKG
실패다.	실패/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.29.9.2
“금융위기로 2009년 한해에만 자산가치의 30%가 증발했다.

“금융위기로	“/SS+금융/NNG+위기/NNG+로/JKB
2009년	2009/SN+년/NNB
한해에만	한/MMN+해/NNB+에/JKB+만/JX
자산가치의	자산/NNG+가치/NNG+의/JKG
30%가	30/SN+%/SW+가/JKS
증발했다.	증발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.29.9.3
금융적 가치만 추구하는 시장은 그대로 유지할 수 없다는 점이 분명하다.

금융적	금융/NNG+적/XSN
가치만	가치/NNG+만/JX
추구하는	추구/NNG+하/XSV+는/ETM
시장은	시장/NNG+은/JX
그대로	그대로/MAG
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
점이	점/NNG+이/JKS
분명하다.	분명/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000036.29.9.4
사회적 가치, 인간적 가치를 함께 고려하는 시스템을 짜야 한다.”

사회적	사회/NNG+적/XSN
가치,	가치/NNG+,/SP
인간적	인간/NNG+적/XSN
가치를	가치/NNG+를/JKO
함께	함께/MAG
고려하는	고려/NNG+하/XSV+는/ETM
시스템을	시스템/NNG+을/JKO
짜야	짜/VV+아야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000036.29.9.5
한계를 드러내는 정부 능력이 둘째다.

한계를	한계/NNG+를/JKO
드러내는	드러내/VV+는/ETM
정부	정부/NNG
능력이	능력/NNG+이/JKS
둘째다.	둘째/NR+이/VCP+다/EF+./SF


# id : NWRW1800000036.29.9.6
“복잡하고 다양화된 사회에서 정부 복지정책은 한계를 보이고 있다.

“복잡하고	“/SS+복잡하/VA+고/EC
다양화된	다양/NNG+화/XSN+되/XSV+ㄴ/ETM
사회에서	사회/NNG+에서/JKB
정부	정부/NNG
복지정책은	복지/NNG+정책/NNG+은/JX
한계를	한계/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.29.9.7
이 비어 있는 공간을 메워줄 수 있는 조직이 필요하다.”

이	이/MMD
비어	비/VV+어/EC
있는	있/VA+는/ETM
공간을	공간/NNG+을/JKO
메워줄	메우/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
조직이	조직/NNG+이/JKS
필요하다.”	필요/NNG+하/XSA+다/EF+./SF+”/SS


# id : NWRW1800000036.29.9.8
셋째, 자선단체의 비효율성이다.

셋째,	셋째/NR+,/SP
자선단체의	자선/NNG+단체/NNG+의/JKG
비효율성이다.	비/XPN+효율/NNG+성/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.29.9.9
“일부 후원단체들은 사회 변화에 비해 너무 느리고 효율성이 떨어진다.

“일부	“/SS+일부/NNG
후원단체들은	후원/NNG+단체/NNG+들/XSN+은/JX
사회	사회/NNG
변화에	변화/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
너무	너무/MAG
느리고	느리/VA+고/EC
효율성이	효율/NNG+성/XSN+이/JKS
떨어진다.	떨어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.29.9.10
이들에게 변혁을 가져다줄 계기가 필요하다.”

이들에게	이/NP+들/XSN+에게/JKB
변혁을	변혁/NNG+을/JKO
가져다줄	가져다주/VV+ㄹ/ETM
계기가	계기/NNG+가/JKS
필요하다.”	필요/NNG+하/XSA+다/EF+./SF+”/SS


# id : NWRW1800000036.29.9.11
경제 시스템뿐만 아니라 지구 온난화, 인구 증가, 빈곤 등의 문제에 맞서고 있는 상황에서 기존 사회구성원들을 변화시킬 동력으로 사회적 기업가 정신이 필요하다는 설명이다.

경제	경제/NNG
시스템뿐만	시스템/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
지구	지구/NNG
온난화,	온난/NNG+화/XSN+,/SP
인구	인구/NNG
증가,	증가/NNG+,/SP
빈곤	빈곤/NNG
등의	등/NNB+의/JKG
문제에	문제/NNG+에/JKB
맞서고	맞서/VV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
기존	기존/NNG
사회구성원들을	사회/NNG+구성원/NNG+들/XSN+을/JKO
변화시킬	변화/NNG+시키/XSV+ㄹ/ETM
동력으로	동력/NNG+으로/JKB
사회적	사회/NNG+적/XSN
기업가	기업가/NNG
정신이	정신/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.29.10.1
이와 함께 다가오는 세기에 국제 무대의 주인공은 아시아가 맡게 되리라고 니컬스 교수는 예측했다.

이와	이/NP+와/JKB
함께	함께/MAG
다가오는	다가오/VV+는/ETM
세기에	세기/NNG+에/JKB
국제	국제/NNG
무대의	무대/NNG+의/JKG
주인공은	주인공/NNG+은/JX
아시아가	아시아/NNP+가/JKS
맡게	맡/VV+게/EC
되리라고	되/VV+리라고/EC
니컬스	니컬스/NNP
교수는	교수/NNG+는/JX
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.29.10.2
“19세기가 유럽의 시대, 20세기가 미국의 시대였다면, 21세기는 아시아의 시대다.

“19세기가	“/SS+19/SN+세기/NNG+가/JKS
유럽의	유럽/NNP+의/JKG
시대,	시대/NNG+,/SP
20세기가	20/SN+세기/NNG+가/JKS
미국의	미국/NNP+의/JKG
시대였다면,	시대/NNG+이/VCP+었/EP+다면/EC+,/SP
21세기는	21/SN+세기/NNG+는/JX
아시아의	아시아/NNP+의/JKG
시대다.	시대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.29.10.3
최근 20년간 경제 성장률과 현재 세계 경제에서 맡고 있는 역할 등을 보면 쉽게 예상할 수 있다.

최근	최근/NNG
20년간	20/SN+년/NNB+간/XSN
경제	경제/NNG
성장률과	성장/NNG+률/XSN+과/JC
현재	현재/MAG
세계	세계/NNG
경제에서	경제/NNG+에서/JKB
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
역할	역할/NNG
등을	등/NNB+을/JKO
보면	보/VV+면/EC
쉽게	쉽/VA+게/EC
예상할	예상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.29.10.4
서구는 결국 시스템을 망쳐놨다.

서구는	서구/NNG+는/JX
결국	결국/MAG
시스템을	시스템/NNG+을/JKO
망쳐놨다.	망치/VV+어/EC+놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.29.10.5
아시아가 이런 어리석음을 저질러선 안 된다.”

아시아가	아시아/NNP+가/JKS
이런	이런/MMD
어리석음을	어리석/VA+음/ETN+을/JKO
저질러선	저지르/VV+어서/EC+ㄴ/JX
안	안/MAG
된다.”	되/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000036.29.11.1
니컬스 교수는 다양한 발전 단계와 특성을 지닌 아시아 각국을 한데 묶는 공통적인 특징으로, ‘사업가 기질’을 들었다.

니컬스	니컬스/NNP
교수는	교수/NNG+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
발전	발전/NNG
단계와	단계/NNG+와/JC
특성을	특성/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
아시아	아시아/NNP
각국을	각국/NNG+을/JKO
한데	한데/NNG
묶는	묶/VV+는/ETM
공통적인	공통/NNG+적/XSN+이/VCP+ㄴ/ETM
특징으로,	특징/NNG+으로/JKB+,/SP
‘사업가	‘/SS+사업가/NNG
기질’을	기질/NNG+’/SS+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.29.11.2
“모든 아시아 국가는 다 독특한 문제를 안고 있지만, 작은 가게를 비롯한 다양한 사업을 유럽·미국에 비해 훨씬 쉽게 시작하고 발전시킨다는 공통적인 특성이 있다.

“모든	“/SS+모든/MMN
아시아	아시아/NNP
국가는	국가/NNG+는/JX
다	다/MAG
독특한	독특/NNG+하/XSA+ㄴ/ETM
문제를	문제/NNG+를/JKO
안고	안/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
작은	작/VA+은/ETM
가게를	가게/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
사업을	사업/NNG+을/JKO
유럽·미국에	유럽/NNP+·/SP+미국/NNP+에/JKB
비해	비/NNG+하/XSV+아/EC
훨씬	훨씬/MAG
쉽게	쉽/VA+게/EC
시작하고	시작/NNG+하/XSV+고/EC
발전시킨다는	발전/NNG+시키/XSV+ㄴ다는/ETM
공통적인	공통/NNG+적/XSN+이/VCP+ㄴ/ETM
특성이	특성/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.29.11.3
이 ‘기업가 정신’(entrepreneurship)이 아시아에서 사회적 기업을 발전시킬 중요한 토양이 될 것이다.”

이	이/MMD
‘기업가	‘/SS+기업가/NNG
정신’(entrepreneurship)이	정신/NNG+’/SS+(/SS+entrepreneurship/SL+)/SS+이/JKS
아시아에서	아시아/NNP+에서/JKB
사회적	사회/NNG+적/XSN
기업을	기업/NNG+을/JKO
발전시킬	발전/NNG+시키/XSV+ㄹ/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
토양이	토양/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


