# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.378
metadata : {}


# id : NWRW1800000054.378.1.1
청계천 판잣집 소년가장이 쏘아올린 '인간승리 드라마'

청계천	청계천/NNP
인정받아	인정/NNG+받/XSV+아/EC
김영삼	김영삼/NNP
정부부터	정부/NNG+부터/JX
문재인	문재인/NNP
정부까지	정부/NNG+까지/JX
역대	역대/NNG
모든	모든/MMN
정부에서	정부/NNG+에서/JKB
중용돼왔다.	중용/NNG+되/XSV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.378.4.1
◇무허가 판잣집 소년 가장

◇무허가	◇/SW+무/XPN+허가/NNG
판잣집	판잣집/NNG
소년	소년/NNG
가장	가장/NNG


# id : NWRW1800000054.378.5.1
유년 시절 김 후보자는 미곡(米穀) 도매상으로 자수성가한 아버지 덕에 남부럽지 않게 살았다.

유년	유년/NNG
시절	시절/NNG
김	김/NNP
후보자는	후보자/NNG+는/JX
미곡(米穀)	미곡/NNG+(/SS+米穀/SH+)/SS
도매상으로	도매상/NNG+으로/JKB
자수성가한	자수성가/NNG+하/XSV+ㄴ/ETM
아버지	아버지/NNG
덕에	덕/NNG+에/JKB
남부럽지	남부럽/VA+지/EC
않게	않/VX+게/EC
살았다.	살/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.5.2
하지만 열한 살이던 1968년 아버지가 심장마비로 급사하자 가난에 직면했다.

하지만	하지만/MAJ
열한	열한/MMN
살이던	살/NNB+이/VCP+던/ETM
1968년	1968/SN+년/NNB
아버지가	아버지/NNG+가/JKS
심장마비로	심장/NNG+마비/NNG+로/JKB
급사하자	급사/NNG+하/XSV+자/EC
가난에	가난/NNG+에/JKB
직면했다.	직면/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.5.3
장남인 김 후보자는 어머니, 세 동생과 청계천에 무허가 판잣집을 지었다.

장남인	장남/NNG+이/VCP+ㄴ/ETM
김	김/NNP
후보자는	후보자/NNG+는/JX
어머니,	어머니/NNG+,/SP
세	세/MMN
동생과	동생/NNG+과/JKB
청계천에	청계천/NNP+에/JKB
무허가	무/XPN+허가/NNG
판잣집을	판잣집/NNG+을/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.378.5.4
어머니는 나물 행상, 채석장 돌 나르기를 하며 생계를 꾸렸다.

어머니는	어머니/NNG+는/JX
나물	나물/NNG
행상,	행상/NNG+,/SP
채석장	채석장/NNG
돌	돌/NNG
나르기를	나르/VV+기/ETN+를/JKO
하며	하/VV+며/EC
생계를	생계/NNG+를/JKO
꾸렸다.	꾸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.378.5.5
김 후보자는 대학 진학을 엄두도 못 냈다.

김	김/NNP
후보자는	후보자/NNG+는/JX
대학	대학/NNG
진학을	진학/NNG+을/JKO
엄두도	엄두/NNG+도/JX
못	못/MAG
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.378.5.6
가난한 집 수재들이 모이는 덕수상고에 진학해 취업반에 들어갔고, 졸업을 4개월 앞두고 한국신탁은행에 취업했다.

가난한	가난/NNG+하/XSA+ㄴ/ETM
집	집/NNG
수재들이	수재/NNG+들/XSN+이/JKS
모이는	모이/VV+는/ETM
덕수상고에	덕수상고/NNP+에/JKB
진학해	진학/NNG+하/XSV+아/EC
취업반에	취업반/NNG+에/JKB
들어갔고,	들어가/VV+았/EP+고/EC+,/SP
졸업을	졸업/NNG+을/JKO
4개월	4/SN+개월/NNB
앞두고	앞두/VV+고/EC
한국신탁은행에	한국신탁은행/NNP+에/JKB
취업했다.	취업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.5.7
그는 언론 인터뷰에서 "어린 나이에 은행에 들어갔을 때는 우쭐했지만 고졸이라는 현실의 벽은 높았고, 100m 달리기에서 50m쯤 뒤처진 채 출발하는 답답한 기분이 들어 야간 대학에 진학하기로 했다"고 했다.

그는	그/NP+는/JX
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"어린	"/SS+어리/VA+ㄴ/ETM
나이에	나이/NNG+에/JKB
은행에	은행/NNG+에/JKB
들어갔을	들어가/VV+았/EP+을/ETM
때는	때/NNG+는/JX
우쭐했지만	우쭐/MAG+하/XSV+았/EP+지만/EC
고졸이라는	고졸/NNG+이/VCP+라는/ETM
현실의	현실/NNG+의/JKG
벽은	벽/NNG+은/JX
높았고,	높/VA+았/EP+고/EC+,/SP
100m	100/SN+m/SW
달리기에서	달리기/NNG+에서/JKB
50m쯤	50/SN+m/SW+쯤/XSN
뒤처진	뒤처지/VV+ㄴ/ETM
채	채/NNB
출발하는	출발/NNG+하/XSV+는/ETM
답답한	답답하/VA+ㄴ/ETM
기분이	기분/NNG+이/JKS
들어	들/VV+어/EC
야간	야간/NNG
대학에	대학/NNG+에/JKB
진학하기로	진학/NNG+하/XSV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.6.1
국제대(현 서경대) 야간에 들어가 주경야독(晝耕夜讀)하던 그는 은행 합숙소에서 선배가 쓰레기통에 버린 고시(考試) 관련 잡지를 우연히 발견했다.

국제대(현	국제대/NNP+(/SS+현/MMD
서경대)	서경대/NNP+)/SS
야간에	야간/NNG+에/JKB
들어가	들어가/VV+아/EC
주경야독(晝耕夜讀)하던	주경야독/NNG+(/SS+晝耕夜讀/SH+)/SS+하/VV+던/ETM
그는	그/NP+는/JX
은행	은행/NNG
합숙소에서	합숙소/NNG+에서/JKB
선배가	선배/NNG+가/JKS
쓰레기통에	쓰레기통/NNG+에/JKB
버린	버리/VV+ㄴ/ETM
고시(考試)	고시/NNG+(/SS+考試/SH+)/SS
관련	관련/NNG
잡지를	잡지/NNG+를/JKO
우연히	우연히/MAG
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.6.2
이를 계기로 고시에 도전해 1982년 입법고시와 행정고시에 모두 합격했다.

이를	이/NP+를/JKO
계기로	계기/NNG+로/JKB
고시에	고시/NNG+에/JKB
도전해	도전/NNG+하/XSV+아/EC
1982년	1982/SN+년/NNB
입법고시와	입법/NNG+고시/NNG+와/JC
행정고시에	행정/NNG+고시/NNG+에/JKB
모두	모두/MAG
합격했다.	합격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.6.3
집안 형편상 고시 합격 후 처음 출근하기 바로 전날까지 은행을 다녔다.

집안	집안/NNG
형편상	형편/NNG+상/XSN
고시	고시/NNG
합격	합격/NNG
후	후/NNG
처음	처음/NNG
출근하기	출근/NNG+하/XSV+기/ETN
바로	바로/MAG
전날까지	전날/NNG+까지/JX
은행을	은행/NNG+을/JKO
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.378.7.1
1983년 경제기획원에서 공직 생활의 첫발을 내디딘 김 후보자에게 학력의 벽은 높았다.

1983년	1983/SN+년/NNB
경제기획원에서	경제/NNG+기획원/NNG+에서/JKB
공직	공직/NNG
생활의	생활/NNG+의/JKG
첫발을	첫발/NNG+을/JKO
내디딘	내디디/VV+ㄴ/ETM
김	김/NNP
후보자에게	후보자/NNG+에게/JKB
학력의	학력/NNG+의/JKG
벽은	벽/NNG+은/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.378.7.2
명문고, 명문대 출신이 아닌 사람을 찾아보기 어려운 경제기획원에서 그의 이력은 화제가 될 수밖에 없었다.

명문고,	명문고/NNG+,/SP
명문대	명문대/NNG
출신이	출신/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
사람을	사람/NNG+을/JKO
찾아보기	찾아보/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
경제기획원에서	경제/NNG+기획원/NNG+에서/JKB
그의	그/NP+의/JKG
이력은	이력/NNG+은/JX
화제가	화제/NNG+가/JKC
될	되/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.378.7.3
그는 당시를 회상할 때마다 "'희한한 대학 나오고도 고시 붙어서 여기까지 오네'라는 이야기를 들었다"고 했다.

그는	그/NP+는/JX
당시를	당시/NNG+를/JKO
회상할	회상/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
"'희한한	"/SS+'/SS+희한하/VA+ㄴ/ETM
대학	대학/NNG
나오고도	나오/VV+고/EC+도/JX
고시	고시/NNG
붙어서	붙/VV+어서/EC
여기까지	여기/NP+까지/JX
오네'라는	오/VV+네/EF+'/SS+이/VCP+라는/ETM
이야기를	이야기/NNG+를/JKO
들었다"고	듣/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.8.1
학력 극복을 위해 사무관 시절 유학을 준비하면서 잠꼬대를 영어로 할 정도로 영어에 매달렸다.

학력	학력/NNG
극복을	극복/NNG+을/JKO
위해	위하/VV+아/EC
사무관	사무관/NNG
시절	시절/NNG
유학을	유학/NNG+을/JKO
준비하면서	준비/NNG+하/XSV+면서/EC
잠꼬대를	잠꼬대/NNG+를/JKO
영어로	영어/NNP+로/JKB
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
영어에	영어/NNP+에/JKB
매달렸다.	매달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.378.8.2
노력은 열매를 맺었다.

노력은	노력/NNG+은/JX
열매를	열매/NNG+를/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.378.8.3
미국 정부의 풀브라이트 장학생에 선발돼 1993년 미시간대에서 정책학 박사 학위를 받고 돌아왔다.

미국	미국/NNP
정부의	정부/NNG+의/JKG
풀브라이트	풀브라이트/NNP
장학생에	장학/NNG+생/XSN+에/JKB
선발돼	선발/NNG+되/XSV+어/EC
1993년	1993/SN+년/NNB
미시간대에서	미시간대/NNP+에서/JKB
정책학	정책학/NNG
박사	박사/NNG
학위를	학위/NNG+를/JKO
받고	받/VV+고/EC
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.9.1
그는 평소 "어린 시절에는 세상이 원망스럽고 불공평하다고 생각해 열등감도 많았다"며 "그래도 편안한 은행원 생활에 만족하지 않고 늘 다음 단계의 꿈을 키우며 긍정적으로 살았다"고 했다.

그는	그/NP+는/JX
평소	평소/NNG
"어린	"/SS+어리/VA+ㄴ/ETM
시절에는	시절/NNG+에/JKB+는/JX
세상이	세상/NNG+이/JKS
원망스럽고	원망/NNG+스럽/XSA+고/EC
불공평하다고	불/XPN+공평/NNG+하/XSA+다고/EC
생각해	생각/NNG+하/XSV+아/EC
열등감도	열등감/NNG+도/JX
많았다"며	많/VA+았/EP+다/EF+"/SS+며/EC
"그래도	"/SS+그래도/MAJ
편안한	편안/NNG+하/XSA+ㄴ/ETM
은행원	은행원/NNG
생활에	생활/NNG+에/JKB
만족하지	만족/NNG+하/XSA+지/EC
않고	않/VX+고/EC
늘	늘/MAG
다음	다음/NNG
단계의	단계/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
키우며	키우/VV+며/EC
긍정적으로	긍정/NNG+적/XSN+으로/JKB
살았다"고	살/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.10.1
◇이명박·박근혜 정부 시절 장차관 지내

◇이명박·박근혜	◇/SW+이명박/NNP+·/SP+박근혜/NNP
정부	정부/NNG
시절	시절/NNG
장차관	장차관/NNG
지내	지내/VV+어/EF


# id : NWRW1800000054.378.11.1
관료 시절 김 후보자는 디테일에 강하면서도 시야가 넓어 전략 마인드를 갖췄다는 평가를 받아왔다.

관료	관료/NNG
시절	시절/NNG
김	김/NNP
후보자는	후보자/NNG+는/JX
디테일에	디테일/NNG+에/JKB
강하면서도	강하/VA+면서/EC+도/JX
시야가	시야/NNG+가/JKS
넓어	넓/VA+어/EC
전략	전략/NNG
마인드를	마인드/NNG+를/JKO
갖췄다는	갖추/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.378.11.2
김 후보자가 사무관 시절 직속 상관이었던 김광림 자유한국당 의원은 "(김 후보자가) 평소 인품은 부드러운데 업무를 할 때는 강인하기 때문에 다들 좋아하지 않을 수 없었다"며 "윗사람이 듣기 싫어할 만한 소신 발언도 종종 했다"고 말했다.

김	김/NNP
후보자가	후보자/NNG+가/JKS
사무관	사무관/NNG
시절	시절/NNG
직속	직속/NNG
상관이었던	상관/NNG+이/VCP+었/EP+던/ETM
김광림	김광림/NNP
자유한국당	자유한국당/NNP
의원은	의원/NNG+은/JX
"(김	"/SS+(/SS+김/NNP
후보자가)	후보자/NNG+가/JKS+)/SS
평소	평소/NNG
인품은	인품/NNG+은/JX
부드러운데	부드럽/VA+ㄴ데/EC
업무를	업무/NNG+를/JKO
할	하/VV+ㄹ/ETM
때는	때/NNG+는/JX
강인하기	강인하/VA+기/ETN
때문에	때문/NNB+에/JKB
다들	다/MAG+들/XSN
좋아하지	좋아하/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없었다"며	없/VA+었/EP+다/EF+"/SS+며/EC
"윗사람이	"/SS+윗사람/NNG+이/JKS
듣기	듣/VV+기/ETN
싫어할	싫어하/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
소신	소신/NNG
발언도	발언/NNG+도/JX
종종	종종/MAG
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.12.1
김 후보자는 역대 모든 정권에서 요직에 기용돼왔다.

김	김/NNP
후보자는	후보자/NNG+는/JX
역대	역대/NNG
모든	모든/MMN
정권에서	정권/NNG+에서/JKB
요직에	요직/NNG+에/JKB
기용돼왔다.	기용/NNG+되/XSV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.378.12.2
김영삼 정부 시절에는 청와대 기획조정비서관실 행정관으로, 김대중 정부 때는 대통령 비서실장 보좌관(국장급)으로 일했다.

김영삼	김영삼/NNP
정부	정부/NNG
시절에는	시절/NNG+에/JKB+는/JX
청와대	청와대/NNP
기획조정비서관실	기획/NNG+조정/NNG+비서관실/NNG
행정관으로,	행정관/NNG+으로/JKB+,/SP
김대중	김대중/NNP
때는	때/NNG+는/JX
대통령	대통령/NNG
비서실장	비서실장/NNG
보좌관(국장급)으로	보좌관/NNG+(/SS+국장급/NNG+)/SS+으로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.12.3
노무현 정부 시절에는 기획예산처 전략기획관으로 근무하며 '비전 2030' 계획 설계를 주도했다.

노무현	노무현/NNP
정부	정부/NNG
시절에는	시절/NNG+에/JKB+는/JX
기획예산처	기획/NNG+예산처/NNG
전략기획관으로	전략/NNG+기획관/NNG+으로/JKB
근무하며	근무/NNG+하/XSV+며/EC
'비전	'/SS+비전/NNG
2030'	2030/SN+'/SS
계획	계획/NNG
설계를	설계/NNG+를/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.378.13.1
이명박 정부 들어 김 후보자는 경제 관료로서 꽃을 피웠다.

이명박	이명박/NNP
정부	정부/NNG
들어	들/VV+어/EC
김	김/NNP
후보자는	후보자/NNG+는/JX
경제	경제/NNG
관료로서	관료/NNG+로서/JKB
꽃을	꽃/NNG+을/JKO
피웠다.	피우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.378.13.2
청와대 경제금융비서관·국정과제비서관을 지내며 글로벌 금융위기 극복 과정의 중심에 있었고, 이어 기획재정부 예산실장과 2차관을 지냈다.

청와대	청와대/NNP
경제금융비서관·국정과제비서관을	경제/NNG+금융/NNG+비서관/NNG+·/SP+국정/NNG+과제/NNG+비서관/NNG+을/JKO
지내며	지내/VV+며/EC
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
극복	극복/NNG
과정의	과정/NNG+의/JKG
중심에	중심/NNG+에/JKB
있었고,	있/VA+었/EP+고/EC+,/SP
이어	이어/MAG
기획재정부	기획/NNG+재정부/NNG
예산실장과	예산실장/NNG+과/JC
2차관을	2/SN+차관/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.378.13.3
그는 기재부 2차관 시절 "재벌가 손자까지 정부가 보육비를 대주는 것은 문제 있다"며 무상 보육에 반대해서 눈길을 끌기도 했다.

그는	그/NP+는/JX
기재부	기재부/NNG
2차관	2/SN+차관/NNG
시절	시절/NNG
"재벌가	"/SS+재벌가/NNG
손자까지	손자/NNG+까지/JX
정부가	정부/NNG+가/JKS
보육비를	보육비/NNG+를/JKO
대주는	대/VV+어/EC+주/VX+는/ETM
것은	것/NNB+은/JX
문제	문제/NNG
있다"며	있/VA+다/EF+"/SS+며/EC
무상	무상/NNG
보육에	보육/NNG+에/JKB
반대해서	반대/NNG+하/XSV+아서/EC
눈길을	눈길/NNG+을/JKO
끌기도	끌/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.378.14.1
박근혜 정부 들어서도 초대 국무조정실장(장관급)에 기용됐다.

박근혜	박근혜/NNP
정부	정부/NNG
들어서도	들/VV+어서/EC+도/JX
초대	초대/NNG
국무조정실장(장관급)에	국무/NNG+조정실장/NNG+(/SS+장관급/NNG+)/SS+에/JKB
기용됐다.	기용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.378.14.2
국무조정실장 재임 중이던 2013년 10월 백혈병으로 투병하던 장남이 사망했을 때 주변에 알리지 않고 발인한 바로 다음 날 원전(原電) 비리 종합대책을 직접 발표해 주변을 놀라게 했다.

국무조정실장	국무/NNG+조정실장/NNG
재임	재임/NNG
중이던	중/NNB+이/VCP+던/ETM
2013년	2013/SN+년/NNB
10월	10/SN+월/NNB
백혈병으로	백혈병/NNG+으로/JKB
투병하던	투병/NNG+하/XSV+던/ETM
장남이	장남/NNG+이/JKS
사망했을	사망/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
주변에	주변/NNG+에/JKB
알리지	알리/VV+지/EC
않고	않/VX+고/EC
발인한	발인/NNG+하/XSV+ㄴ/ETM
바로	바로/MAG
다음	다음/NNG
날	날/NNG
원전(原電)	원전/NNG+(/SS+原電/SH+)/SS
비리	비리/NNG
종합대책을	종합/NNG+대책/NNG+을/JKO
직접	직접/MAG
발표해	발표/NNG+하/XSV+아/EC
주변을	주변/NNG+을/JKO
놀라게	놀라/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.378.14.3
그는 장남 사망 이후 "이제 가족을 돌보겠다"며 2014년 국무조정실장에서 스스로 물러났고, 이듬해부터는 아주대 총장으로 재임 중이다.

그는	그/NP+는/JX
장남	장남/NNG
사망	사망/NNG
이후	이후/NNG
"이제	"/SS+이제/MAG
가족을	가족/NNG+을/JKO
돌보겠다"며	돌보/VV+겠/EP+다/EF+"/SS+며/EC
2014년	2014/SN+년/NNB
국무조정실장에서	국무/NNG+조정실장/NNG+에서/JKB
스스로	스스로/MAG
물러났고,	물러나/VV+았/EP+고/EC+,/SP
이듬해부터는	이듬해/NNG+부터/JX+는/JX
아주대	아주대/NNP
총장으로	총장/NNG+으로/JKB
재임	재임/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


