# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.332
metadata : {}


# id : NWRW1800000045.332.1.1
[단독]일광그룹, 교회 통해 軍장비 중개료 세탁 정황

[단독]일광그룹,	[/SS+단독/NNG+]/SS+일광그룹/NNP+,/SP
검찰이	검찰/NNG+이/JKS
포착한	포착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
13일	13/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.332.3.2
방위사업비리 정부합동수사단(단장 김기동 검사장)은 이 회장이 장로를 맡고 있는 서울의 한 교회와 일광그룹 계열사의 핵심 관계자들을 체포해 본격적인 자금 추적에 나섰다.

방위사업비리	방위/NNG+사업/NNG+비리/NNG
정부합동수사단(단장	정부/NNG+합동/NNG+수사단/NNG+(/SS+단장/NNG
김기동	김기동/NNP
검사장)은	검사장/NNG+)/SS+은/JX
이	이/NNP
회장이	회장/NNG+이/JKS
장로를	장로/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
서울의	서울/NNP+의/JKG
한	한/MMN
교회와	교회/NNG+와/JC
일광그룹	일광그룹/NNP
계열사의	계열사/NNG+의/JKG
핵심	핵심/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
체포해	체포/NNG+하/XSV+아/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
자금	자금/NNG
추적에	추적/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.332.3.3
합수단은 전날 체포한 일광그룹 계열사 솔브레인의 임원 조모 씨(49)를 상대로 EWTS 중개 과정과 중개료 수수 과정을 조사 중이다.

합수단은	합수단/NNG+은/JX
전날	전날/NNG
체포한	체포/NNG+하/XSV+ㄴ/ETM
일광그룹	일광그룹/NNP
계열사	계열사/NNG
솔브레인의	솔브레인/NNP+의/JKG
임원	임원/NNG
조모	조/NNP+모/NP
씨(49)를	씨/NNB+(/SS+49/SN+)/SS+를/JKO
상대로	상대/NNG+로/JKB
EWTS	EWTS/SL
중개	중개/NNG
과정과	과정/NNG+과/JC
중개료	중개료/NNG
수수	수수/NNG
과정을	과정/NNG+을/JKO
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.332.3.4
조 씨는 이 회장이 시무장로 겸 건축위원장으로 있는 서울의 한 교회 담임목사의 동생이다.

조	조/NNP
씨는	씨/NNB+는/JX
이	이/NNP
회장이	회장/NNG+이/JKS
시무장로	시무/NNG+장로/NNG
겸	겸/NNB
건축위원장으로	건축/NNG+위원장/NNG+으로/JKB
있는	있/VA+는/ETM
서울의	서울/NNP+의/JKG
한	한/MMN
교회	교회/NNG
담임목사의	담임/NNG+목사/NNG+의/JKG
동생이다.	동생/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.332.4.1
조 씨는 솔브레인이 터키 하벨산의 EWTS 연구개발 용역을 재하청받는 과정에서 비용을 부풀린 혐의(사기)로 체포됐지만 이 회장과 하벨산 간 중개 과정 전반에 깊숙이 관여한 것으로 알려져 있다.

조	조/NNP
씨는	씨/NNB+는/JX
솔브레인이	솔브레인/NNP+이/JKS
터키	터키/NNP
하벨산의	하벨산/NNP+의/JKG
EWTS	EWTS/SL
연구개발	연구/NNG+개발/NNG
용역을	용역/NNG+을/JKO
재하청받는	재/XPN+하청/NNG+받/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
비용을	비용/NNG+을/JKO
부풀린	부풀리/VV+ㄴ/ETM
혐의(사기)로	혐의/NNG+(/SS+사기/NNG+)/SS+로/JKB
체포됐지만	체포/NNG+되/XSV+었/EP+지만/EC
이	이/NNP
회장과	회장/NNG+과/JC
하벨산	하벨산/NNP
간	간/NNB
중개	중개/NNG
과정	과정/NNG
전반에	전반/NNG+에/JKB
깊숙이	깊숙이/MAG
관여한	관여/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.332.4.2
2009년 11월 이 회장이 하벨산 한국지사장인 K 씨(43·터키인)에게 로비 자금을 건넬 땐 직접 양측 간 의견 조율 창구 역할도 했다.

2009년	2009/SN+년/NNB
11월	11/SN+월/NNB
이	이/NNP
회장이	회장/NNG+이/JKS
하벨산	하벨산/NNP
한국지사장인	한국/NNP+지사장/NNG+이/VCP+ㄴ/ETM
K	K/SL
씨(43·터키인)에게	씨/NNB+(/SS+43/SN+·/SP+터키인/NNG+)/SS+에게/JKB
로비	로비/NNG
자금을	자금/NNG+을/JKO
건넬	건네/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
직접	직접/MAG
양측	양측/NNG
간	간/NNB
의견	의견/NNG
조율	조율/NNG
창구	창구/NNG
역할도	역할/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.332.5.1
합수단은 이번 EWTS 관련 비리에서도 표면적으로는 방위사업청과 하벨산이 직접 계약을 맺었지만 이 회장 측이 중간에서 거액의 중개료를 챙기는 과정에서 교회를 자금 세탁 창구로 활용했을 것으로 보고 있다.

합수단은	합수단/NNG+은/JX
이번	이번/NNG
EWTS	EWTS/SL
관련	관련/NNG
비리에서도	비리/NNG+에서/JKB+도/JX
표면적으로는	표면/NNG+적/XSN+으로/JKB+는/JX
방위사업청과	방위/NNG+사업청/NNG+과/JC
하벨산이	하벨산/NNP+이/JKS
직접	직접/MAG
계약을	계약/NNG+을/JKO
맺었지만	맺/VV+었/EP+지만/EC
이	이/NNP
회장	회장/NNG
측이	측/NNB+이/JKS
중간에서	중간/NNG+에서/JKB
거액의	거액/NNG+의/JKG
중개료를	중개료/NNG+를/JKO
챙기는	챙기/VV+는/ETM
과정에서	과정/NNG+에서/JKB
교회를	교회/NNG+를/JKO
자금	자금/NNG
세탁	세탁/NNG
창구로	창구/NNG+로/JKB
활용했을	활용/NNG+하/XSV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.332.5.2
합수단은 11일 이 교회에 대한 압수수색에서 장부와 무기 거래 관련 서류를 확보해 분석 중이다.

합수단은	합수단/NNG+은/JX
11일	11/SN+일/NNB
이	이/MMD
교회에	교회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압수수색에서	압수/NNG+수색/NNG+에서/JKB
장부와	장부/NNG+와/JC
무기	무기/NNG
거래	거래/NNG
관련	관련/NNG
서류를	서류/NNG+를/JKO
확보해	확보/NNG+하/XSV+아/EC
분석	분석/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.332.5.3
합수단 관계자는 “이 회장이 다니는 교회를 포함해 이 회장의 자금 흐름을 추적 중”이라고 말했다.

합수단	합수단/NNG
관계자는	관계자/NNG+는/JX
“이	“/SS+이/NNP
회장이	회장/NNG+이/JKS
다니는	다니/VV+는/ETM
교회를	교회/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
이	이/NNP
회장의	회장/NNG+의/JKG
자금	자금/NNG
흐름을	흐름/NNG+을/JKO
추적	추적/NNG
중”이라고	중/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.332.6.1
앞서 이 회장은 2004∼2006년 제2차 불곰사업(러시아에 준 차관을 무기로 돌려받는 사업) 중개료 73억5200만 원을 세탁할 때도 이 교회를 활용한 바 있다.

앞서	앞서/MAG
이	이/MMD
회장은	회장/NNG+은/JX
2004∼2006년	2004/SN+∼/SO+2006/SN+년/NNB
제2차	제/XPN+2/SN+차/NNB
불곰사업(러시아에	불곰/NNG+사업/NNG+(/SS+러시아/NNP+에/JKB
준	주/VV+ㄴ/ETM
차관을	차관/NNG+을/JKO
무기로	무기/NNG+로/JKB
돌려받는	돌려받/VV+는/ETM
사업)	사업/NNG+)/SS
중개료	중개료/NNG
73억5200만	73/SN+억/NR+5200/SN+만/NR
원을	원/NNB+을/JKO
세탁할	세탁/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
교회를	교회/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.332.6.2
이 사건으로 이 회장은 구속 기소됐고, 당시 법원은 “범행 수법이 매우 불량하다”며 징역 3년에 집행유예 4년을 선고했다.

이	이/NNP
사건으로	사건/NNG+으로/JKB
회장은	회장/NNG+은/JX
구속	구속/NNG
기소됐고,	기소/NNG+되/XSV+었/EP+고/EC+,/SP
당시	당시/NNG
법원은	법원/NNG+은/JX
“범행	“/SS+범행/NNG
수법이	수법/NNG+이/JKS
매우	매우/MAG
불량하다”며	불량/NNG+하/XSA+다/EF+”/SS+며/EC
징역	징역/NNG
3년에	3/SN+년/NNB+에/JKB
집행유예	집행/NNG+유예/NNG
4년을	4/SN+년/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.332.7.1
합수단은 이날 이 회장을 사기 혐의로 구속했다.

합수단은	합수단/NNG+은/JX
이날	이날/NNG
이	이/NNP
회장을	회장/NNG+을/JKO
사기	사기/NNG
혐의로	혐의/NNG+로/JKB
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.332.7.2
합수단은 이 회장의 정·관계 로비 의혹에 초점을 맞춰 수사를 확대할 방침이다.

합수단은	합수단/NNG+은/JX
이	이/NNP
회장의	회장/NNG+의/JKG
정·관계	정·관계/NNG
로비	로비/NNG
의혹에	의혹/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞춰	맞추/VV+어/EC
수사를	수사/NNG+를/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.332.7.3
이 회장 측은 “계약금은 방사청 등 군 관계자들이 주도적으로 정했고, 문제가 되는 부분이 있지만 연구개발이 실제로 이뤄졌다”고 주장했다.

이	이/NNP
회장	회장/NNG
측은	측/NNB+은/JX
“계약금은	“/SS+계약금/NNG+은/JX
방사청	방사청/NNG
등	등/NNB
군	군/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
주도적으로	주도/NNG+적/XSN+으로/JKB
정했고,	정하/VV+았/EP+고/EC+,/SP
문제가	문제/NNG+가/JKC
되는	되/VV+는/ETM
부분이	부분/NNG+이/JKS
있지만	있/VA+지만/EC
연구개발이	연구/NNG+개발/NNG+이/JKS
실제로	실제로/MAG
이뤄졌다”고	이뤄지/VV+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


