# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.407
metadata : {}


# id : NWRW1800000030.407.1.1
[수도권I] [경기도 이 사람] 승차권 수집만 40년… 박순구씨 "차표는 나를 훨훨 날게 하는 날개"

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
승차권을	승차/NNG+권/XSN+을/JKO
닥치는	닥치/VV+는/ETM
대로	대로/NNB
모으기	모으/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.3.2
지난 40년간 모은 승차권이 165㎡(약 50평) 규모의 사무실과 창고를 빼곡히 채울 정도다.

지난	지나/VV+ㄴ/ETM
40년간	40/SN+년/NNB+간/XSN
모은	모으/VV+ㄴ/ETM
승차권이	승차/NNG+권/XSN+이/JKS
165㎡(약	165/SN+㎡/SW+(/SS+약/MMA
50평)	50/SN+평/NNB+)/SS
규모의	규모/NNG+의/JKG
사무실과	사무실/NNG+과/JC
창고를	창고/NNG+를/JKO
빼곡히	빼곡히/MAG
채울	채우/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.407.3.3
일제시대 전철권부터 KTX 승차권에 이르기까지 다양하다.

일제시대	일제시대/NNG
전철권부터	전철/NNG+권/XSN+부터/JX
KTX	KTX/SL
승차권에	승차/NNG+권/XSN+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.407.3.4
박씨는 "모은 승차권을 일일이 셀 수 없지만 1억장 정도는 될 것"이라고 했다.

박씨는	박/NNP+씨/NNB+는/JX
"모은	"/SS+모으/VV+ㄴ/ETM
승차권을	승차/NNG+권/XSN+을/JKO
일일이	일일이/MAG
셀	세/VV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
1억장	1/SN+억/NR+장/NNB
정도는	정도/NNG+는/JX
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.3.5
처음 주운 승차권으로 의정부 시내를 돌아다니며 '해방감'을 맛본 박씨는 서울로 진출하기 시작했다.

처음	처음/NNG
주운	줍/VV+ㄴ/ETM
승차권으로	승차/NNG+권/XSN+으로/JKB
의정부	의정부/NNP
시내를	시내/NNG+를/JKO
돌아다니며	돌아다니/VV+며/EC
'해방감'을	'/SS+해방감/NNG+'/SS+을/JKO
맛본	맛보/VV+ㄴ/ETM
박씨는	박/NNP+씨/NNB+는/JX
서울로	서울/NNP+로/JKB
진출하기	진출/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.3.6
"초등학교 6학년 때인 1974년 8월15일에 서울지하철 개통식에 참석해 설레는 마음으로 지하철을 탔던 일이 기억에 생생합니다."

"초등학교	"/SS+초등학교/NNG
6학년	6/SN+학년/NNG
때인	때/NNG+이/VCP+ㄴ/ETM
1974년	1974/SN+년/NNB
8월15일에	8/SN+월/NNB+15/SN+일/NNB+에/JKB
서울지하철	서울지하철/NNP
개통식에	개통식/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
설레는	설레/VV+는/ETM
마음으로	마음/NNG+으로/JKB
지하철을	지하철/NNG+을/JKO
탔던	타/VV+았/EP+던/ETM
일이	일/NNG+이/JKS
기억에	기억/NNG+에/JKB
생생합니다."	생생하/VA+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000030.407.3.7
지하철 1호선 개통기념 20원짜리 서울역∼청량리 간 전철 승차권은 그가 특히 아끼는 자료 중 하나이다.

지하철	지하철/NNG
1호선	1/SN+호선/NNB
개통기념	개통/NNG+기념/NNG
20원짜리	20/SN+원/NNB+짜리/XSN
서울역∼청량리	서울역/NNP+∼/SO+청량리/NNP
간	간/NNB
전철	전철/NNG
승차권은	승차/NNG+권/XSN+은/JX
그가	그/NP+가/JKS
특히	특히/MAG
아끼는	아끼/VV+는/ETM
자료	자료/NNG
중	중/NNB
하나이다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000030.407.4.1
처음에는 여기저기 떨어져 있는 버스표를 주워 시작한 '여행'이었지만, 박씨는 나이가 들면서 중국음식 배달, 신문 배달 등으로 돈을 모아 전국 방방곡곡을 돌아다녔다.

처음에는	처음/NNG+에/JKB+는/JX
여기저기	여기저기/NNG
떨어져	떨어지/VV+어/EC
있는	있/VX+는/ETM
버스표를	버스표/NNG+를/JKO
주워	줍/VV+어/EC
시작한	시작/NNG+하/XSV+ㄴ/ETM
'여행'이었지만,	'/SS+여행/NNG+'/SS+이/VCP+었/EP+지만/EC+,/SP
박씨는	박/NNP+씨/NNB+는/JX
나이가	나이/NNG+가/JKS
들면서	들/VV+면서/EC
중국음식	중국/NNP+음식/NNG
배달,	배달/NNG+,/SP
신문	신문/NNG
배달	배달/NNG
등으로	등/NNB+으로/JKB
돈을	돈/NNG+을/JKO
모아	모으/VV+아/EC
전국	전국/NNG
방방곡곡을	방방곡곡/NNG+을/JKO
돌아다녔다.	돌아다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.407.4.2
그는 "돈이 있어야 승차권을 한 장이라도 더 살 수 있기 때문에 일을 했다"며 "승차권을 모으기 위해 집을 나와 음식점에서 일하니 밥도 배불리 먹을 수 있어 마냥 행복했다"고 했다.

그는	그/NP+는/JX
"돈이	"/SS+돈/NNG+이/JKS
있어야	있/VA+어야/EC
승차권을	승차/NNG+권/XSN+을/JKO
한	한/MMN
장이라도	장/NNB+이/VCP+라도/EC
더	더/MAG
살	사/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
일을	일/NNG+을/JKO
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"승차권을	"/SS+승차/NNG+권/XSN+을/JKO
모으기	모으/VV+기/ETN
위해	위하/VV+아/EC
집을	집/NNG+을/JKO
나와	나오/VV+아/EC
음식점에서	음식점/NNG+에서/JKB
일하니	일/NNG+하/XSV+니/EC
밥도	밥/NNG+도/JX
배불리	배불리/MAG
먹을	먹/VV+을/ETM
있어	있/VA+어/EC
마냥	마냥/MAG
행복했다"고	행복/NNG+하/XSA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.5.1
고등학교에 다닐 나이가 될 때쯤에는 승차권뿐만 아니라 교통범칙금 스티커, 주차권 등 교통과 관련된 자료가 있다면 가리지 않고 수집하기 시작했다.

고등학교에	고등학교/NNG+에/JKB
다닐	다니/VV+ㄹ/ETM
나이가	나이/NNG+가/JKC
될	되/VV+ㄹ/ETM
때쯤에는	때/NNG+쯤/XSN+에/JKB+는/JX
승차권뿐만	승차/NNG+권/XSN+뿐/JX+만/JX
아니라	아니/VCN+라/EC
교통범칙금	교통/NNG+범칙금/NNG
스티커,	스티커/NNG+,/SP
주차권	주차/NNG+권/XSN
등	등/NNB
교통과	교통/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
자료가	자료/NNG+가/JKS
있다면	있/VA+다면/EC
가리지	가리/VV+지/EC
않고	않/VX+고/EC
수집하기	수집/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.5.2
박씨는 "안내양, 운전기사들과 이야기하는 게 그렇게 즐거울 수가 없었다"고 했다.

박씨는	박/NNP+씨/NNB+는/JX
"안내양,	"/SS+안내양/NNG+,/SP
운전기사들과	운전기사/NNG+들/XSN+과/JKB
이야기하는	이야기/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
그렇게	그렇/VA+게/EC
즐거울	즐겁/VA+ㄹ/ETM
수가	수/NNB+가/JKS
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.5.3
승차권을 모으는 것이 목표였기 때문에 어디를 가더라도 관광은 관심 밖이었다.

승차권을	승차/NNG+권/XSN+을/JKO
모으는	모으/VV+는/ETM
것이	것/NNB+이/JKS
목표였기	목표/NNG+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
어디를	어디/NP+를/JKO
가더라도	가/VV+더라도/EC
관광은	관광/NNG+은/JX
관심	관심/NNG
밖이었다.	밖/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.407.5.4
곧장 돌아오거나 또 다른 곳으로 가는 승차권이 그의 손에 들리기 일쑤였다.

곧장	곧장/MAG
돌아오거나	돌아오/VV+거나/EC
또	또/MAG
다른	다른/MMD
곳으로	곳/NNG+으로/JKB
가는	가/VV+는/ETM
승차권이	승차/NNG+권/XSN+이/JKS
그의	그/NP+의/JKG
손에	손/NNG+에/JKB
들리기	들리/VV+기/ETN
일쑤였다.	일쑤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.407.5.5
그렇게 승차권 수집에 푹 빠졌다.

그렇게	그렇/VA+게/EC
승차권	승차/NNG+권/XSN
수집에	수집/NNG+에/JKB
푹	푹/MAG
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.407.6.1
한때는 신문 지국을 운영하며 오산과 평택에 집을 3채나 장만하는 등 남부럽지 않게 살았다.

한때는	한때/NNG+는/JX
신문	신문/NNG
지국을	지국/NNG+을/JKO
운영하며	운영/NNG+하/XSV+며/EC
오산과	오산/NNP+과/JC
평택에	평택/NNP+에/JKB
집을	집/NNG+을/JKO
3채나	3/SN+채/NNB+나/JX
장만하는	장만/NNG+하/XSV+는/ETM
등	등/NNB
남부럽지	남부럽/VA+지/EC
않게	않/VX+게/EC
살았다.	살/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.6.2
그러나 승차권에 대한 그의 별난 집착은 나이를 먹을수록 더 심해졌다.

그러나	그러나/MAJ
승차권에	승차/NNG+권/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
그의	그/NP+의/JKG
별난	별나/VA+ㄴ/ETM
집착은	집착/NNG+은/JX
나이를	나이/NNG+를/JKO
먹을수록	먹/VV+을수록/EC
더	더/MAG
심해졌다.	심하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.407.6.3
당연한 결과로 가정생활은 순탄치 않았다.

당연한	당연/NNG+하/XSA+ㄴ/ETM
결과로	결과/NNG+로/JKB
가정생활은	가정생활/NNG+은/JX
순탄치	순탄하/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.407.6.4
박씨는 승차권 수집과 가정의 행복을 맞바꿔 버렸다고 했다.

박씨는	박/NNP+씨/NNB+는/JX
승차권	승차/NNG+권/XSN
수집과	수집/NNG+과/JC
가정의	가정/NNG+의/JKG
행복을	행복/NNG+을/JKO
맞바꿔	맞바꾸/VV+어/EC
버렸다고	버리/VX+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.7.1
박씨는 "내가 모은 승차권을 사람들에게 나눠주면 '고맙다'고 하는데 그 말을 들을 때 가장 큰 보람을 느꼈다"며 "힘들게 모은 재산도 1991년 교통문화의식개혁운동본부를 만들고 승차권 전시회 등 문화행사를 열면서 다 써버렸다"고 했다.

박씨는	박/NNP+씨/NNB+는/JX
"내가	"/SS+내/NP+가/JKS
모은	모으/VV+ㄴ/ETM
승차권을	승차/NNG+권/XSN+을/JKO
사람들에게	사람/NNG+들/XSN+에게/JKB
나눠주면	나누/VV+어/EC+주/VX+면/EC
'고맙다'고	'/SS+고맙/VA+다/EF+'/SS+고/JKQ
하는데	하/VV+는데/EC
그	그/MMD
말을	말/NNG+을/JKO
들을	듣/VV+을/ETM
때	때/NNG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
보람을	보람/NNG+을/JKO
느꼈다"며	느끼/VV+었/EP+다/EF+"/SS+며/EC
"힘들게	"/SS+힘들/VA+게/EC
재산도	재산/NNG+도/JX
1991년	1991/SN+년/NNB
교통문화의식개혁운동본부를	교통/NNG+문화/NNG+의식/NNG+개혁/NNG+운동/NNG+본부/NNG+를/JKO
만들고	만들/VV+고/EC
승차권	승차/NNG+권/XSN
전시회	전시회/NNG
등	등/NNB
문화행사를	문화/NNG+행사/NNG+를/JKO
열면서	열/VV+면서/EC
다	다/MAG
써버렸다"고	쓰/VV+어/EC+버리/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.7.2
박씨는 2003년부터는 교통문화의식개혁운동본부의 명칭을 철도문화협력회로 바꿨다.

박씨는	박/NNP+씨/NNB+는/JX
2003년부터는	2003/SN+년/NNB+부터/JX+는/JX
교통문화의식개혁운동본부의	교통/NNG+문화/NNG+의식/NNG+개혁/NNG+운동/NNG+본부/NNG+의/JKG
명칭을	명칭/NNG+을/JKO
철도문화협력회로	철도문화협력회/NNP+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.407.7.3
현재 인터넷 포털사이트에 올라있는 철도문화협력회 모임에는 철도를 좋아하는 회원 2300여명이 가입해있고, 박씨는 모임 운영자를 맡고 있다.

현재	현재/MAG
인터넷	인터넷/NNG
포털사이트에	포털/NNG+사이트/NNG+에/JKB
올라있는	오르/VV+아/EC+있/VX+는/ETM
철도문화협력회	철도문화협력회/NNP
모임에는	모임/NNG+에/JKB+는/JX
철도를	철도/NNG+를/JKO
좋아하는	좋아하/VV+는/ETM
회원	회원/NNG
2300여명이	2300/SN+여/XSN+명/NNB+이/JKS
가입해있고,	가입/NNG+하/XSV+아/EC+있/VX+고/EC+,/SP
박씨는	박/NNP+씨/NNB+는/JX
모임	모임/NNG
운영자를	운영자/NNG+를/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.407.7.4
박씨는 "철도는 국가가 운영하면서 자료가 가장 방대하고, 사람의 추억과 향기가 가장 많이 담겨 있다"며 "주변에서 코레일(한국철도공사)과 어떤 이해관계가 있는 거 아니냐며 의심하는데 순수하게 철도를 사랑하는 사람들의 모임"이라고 했다.

박씨는	박/NNP+씨/NNB+는/JX
"철도는	"/SS+철도/NNG+는/JX
국가가	국가/NNG+가/JKS
운영하면서	운영/NNG+하/XSV+면서/EC
자료가	자료/NNG+가/JKS
가장	가장/MAG
방대하고,	방대하/VA+고/EC+,/SP
사람의	사람/NNG+의/JKG
추억과	추억/NNG+과/JKB
향기가	향기/NNG+가/JKS
많이	많이/MAG
담겨	담기/VV+어/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"주변에서	"/SS+주변/NNG+에서/JKB
코레일(한국철도공사)과	코레일/NNP+(/SS+한국철도공사/NNP+)/SS+과/JKB
어떤	어떤/MMD
이해관계가	이해관계/NNG+가/JKS
있는	있/VA+는/ETM
거	거/NNB
아니냐며	아니/VCN+냐며/EC
의심하는데	의심/NNG+하/XSV+는데/EC
순수하게	순수/NNG+하/XSA+게/EC
철도를	철도/NNG+를/JKO
사랑하는	사랑/NNG+하/XSV+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
모임"이라고	모임/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.7.5
박씨는 현재 평택에 있는 송탄시외버스터미널 주차장 한 쪽에 허름한 가건물 사무실을 만들어 활동 중이다.

박씨는	박/NNP+씨/NNB+는/JX
현재	현재/MAG
평택에	평택/NNP+에/JKB
있는	있/VA+는/ETM
송탄시외버스터미널	송탄시외버스터미널/NNP
주차장	주차장/NNG
한	한/MMN
쪽에	쪽/NNB+에/JKB
허름한	허름하/VA+ㄴ/ETM
가건물	가/XPN+건물/NNG
사무실을	사무실/NNG+을/JKO
만들어	만들/VV+어/EC
활동	활동/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.407.7.6
회원들과 함께 각종 철도나 지하철 시승회에 참여하거나 정부나 지자체가 주최하는 철도 관련 사업 공청회에 시민 대표로 참석하기도 한다.

회원들과	회원/NNG+들/XSN+과/JKB
함께	함께/MAG
각종	각종/NNG
철도나	철도/NNG+나/JC
지하철	지하철/NNG
시승회에	시승회/NNG+에/JKB
참여하거나	참여/NNG+하/XSV+거나/EC
정부나	정부/NNG+나/JC
지자체가	지자체/NNG+가/JKS
주최하는	주최/NNG+하/XSV+는/ETM
철도	철도/NNG
관련	관련/NNG
사업	사업/NNG
공청회에	공청회/NNG+에/JKB
시민	시민/NNG
대표로	대표/NNG+로/JKB
참석하기도	참석/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.407.8.1
그러나 박씨의 사무실과 창고가 있는 땅이 최근 경매로 한 대기업에 낙찰되면서 조만간 비워줘야 할 상황이다.

그러나	그러나/MAJ
박씨의	박/NNP+씨/NNB+의/JKG
사무실과	사무실/NNG+과/JC
창고가	창고/NNG+가/JKS
있는	있/VA+는/ETM
땅이	땅/NNG+이/JKS
최근	최근/NNG
경매로	경매/NNG+로/JKB
한	한/MMN
대기업에	대/XPN+기업/NNG+에/JKB
낙찰되면서	낙찰/NNG+되/XSV+면서/EC
조만간	조만간/MAG
비워줘야	비우/VV+어/EC+주/VX+어야/EC
할	하/VX+ㄹ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.407.8.2
그는 "내가 수집한 승차권 전부가 내 마음이고 살붙이"라며 "아직 승차권을 새로 보관할 곳을 구하지 못했지만 버리는 일은 절대 없을 것"이라고 했다.

그는	그/NP+는/JX
"내가	"/SS+내/NP+가/JKS
수집한	수집/NNG+하/XSV+ㄴ/ETM
승차권	승차/NNG+권/XSN
전부가	전부/NNG+가/JKS
내	나/NP+의/JKG
마음이고	마음/NNG+이/VCP+고/EC
살붙이"라며	살붙이/NNG+"/SS+이/VCP+라며/EC
"아직	"/SS+아직/MAG
승차권을	승차/NNG+권/XSN+을/JKO
새로	새로/MAG
보관할	보관/NNG+하/XSV+ㄹ/ETM
곳을	곳/NNG+을/JKO
구하지	구하/VV+지/EC
못했지만	못하/VX+았/EP+지만/EC
버리는	버리/VV+는/ETM
일은	일/NNG+은/JX
절대	절대/MAG
없을	없/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


