# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.114
metadata : {}


# id : NWRW1800000024.114.1.1
북 언론들 “김위원장, 발사과정 관찰”

북	북/NNP
주체적인	주체/NNG+적/XSN+이/VCP+ㄴ/ETM
과학기술의	과학/NNG+기술/NNG+의/JKG
자랑찬	자랑차/VA+ㄴ/ETM
위력의	위력/NNG+의/JKG
과시”라며	과시/NNG+”/SS+이/VCP+라며/EC
과학자,	과학자/NNG+,/SP
기술자들의	기술자/NNG+들/XSN+의/JKG
애국적	애국/NNG+적/XSN
헌신성을	헌신/NNG+성/XSN+을/JKO
거듭	거듭/MAG
치하하고	치하/NNG+하/XSV+고/EC
이들과	이/NP+들/XSN+과/JKB
기념사진을	기념사진/NNG+을/JKO
찍었다고도	찍/VV+었/EP+다고/EC+도/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.114.5.1
또 이 방송은 김 위원장이 “광명성 2호의 성공적인 발사에 토대해 우주 공간의 정복과 평화적 이용 분야에서 새로운 전환을 가져와야 한다”며 그를 위한 강령적인 과업들을 제시했다고 덧붙였다.

또	또/MAG
이	이/MMD
방송은	방송/NNG+은/JX
김	김/NNP
위원장이	위원장/NNG+이/JKS
“광명성	“/SS+광명성/NNP
2호의	2/SN+호/NNB+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
발사에	발사/NNG+에/JKB
토대해	토대/NNG+하/XSV+아/EC
우주	우주/NNG
공간의	공간/NNG+의/JKG
정복과	정복/NNG+과/JC
평화적	평화/NNG+적/XSN
이용	이용/NNG
분야에서	분야/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
전환을	전환/NNG+을/JKO
가져와야	가져오/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
그를	그/NP+를/JKO
위한	위하/VV+ㄴ/ETM
강령적인	강령/NNG+적/XSN+이/VCP+ㄴ/ETM
과업들을	과업/NNG+들/XSN+을/JKO
제시했다고	제시/NNG+하/XSV+았/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.114.5.2
김 위원장의 종합지휘소 방문엔 전병호 당 군수공업 담당비서, 주규창 당 군수공업부 제1부부장이 동행했다.

김	김/NNP
위원장의	위원장/NNG+의/JKG
종합지휘소	종합/NNG+지휘소/NNG
방문엔	방문/NNG+에/JKB+ㄴ/JX
전병호	전병호/NNP
당	당/NNG
군수공업	군수/NNG+공업/NNG
담당비서,	담당/NNG+비서/NNG+,/SP
주규창	주규창/NNP
군수공업부	군수/NNG+공업부/NNG
제1부부장이	제/XPN+1/SN+부부장/NNG+이/JKS
동행했다.	동행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.114.6.1
북한은 1998년 ‘광명성 1호’를, 2006년 ‘대포동 2호’ 로켓을 발사했으나 김 위원장이 종합지휘소에서 발사 과정을 지켜봤다는 북한 언론 보도가 나온 것은 이번이 처음이다.

북한은	북한/NNP+은/JX
1998년	1998/SN+년/NNB
‘광명성	‘/SS+광명성/NNP
1호’를,	1/SN+호/NNB+’/SS+를/JKO+,/SP
2006년	2006/SN+년/NNB
‘대포동	‘/SS+대포동/NNP
2호’	2/SN+호/NNB+’/SS
로켓을	로켓/NNG+을/JKO
발사했으나	발사/NNG+하/XSV+았/EP+으나/EC
김	김/NNP
위원장이	위원장/NNG+이/JKS
종합지휘소에서	종합/NNG+지휘소/NNG+에서/JKB
발사	발사/NNG
과정을	과정/NNG+을/JKO
지켜봤다는	지켜보/VV+았/EP+다는/ETM
북한	북한/NNP
언론	언론/NNG
보도가	보도/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.114.6.2
로켓 발사 당일 행적이 드러난 것도 역시 전례 없는 일이다.

로켓	로켓/NNG
발사	발사/NNG
당일	당일/NNG
행적이	행적/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
것도	것/NNB+도/JX
역시	역시/MAG
전례	전례/NNG
없는	없/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.114.6.3
오는 9일 열리는 12기 최고인민회의 1차 회의의 ‘김정일 3기 체제’ 출범을 앞두고 김 위원장의 ‘과학기술 혁명 영도력’을 과시하는 동시에 로켓 발사가 김 위원장의 직접 지휘 아래 이뤄졌다는 메시지를 미국 등에 전달하고자 한 것으로 보인다.

오는	오/VV+는/ETM
9일	9/SN+일/NNB
열리는	열리/VV+는/ETM
12기	12/SN+기/NNG
최고인민회의	최고인민회의/NNG
1차	1/SN+차/NNB
회의의	회의/NNG+의/JKG
‘김정일	‘/SS+김정일/NNP
3기	3/SN+기/NNG
체제’	체제/NNG+’/SS
출범을	출범/NNG+을/JKO
앞두고	앞두/VV+고/EC
김	김/NNP
위원장의	위원장/NNG+의/JKG
‘과학기술	‘/SS+과학/NNG+기술/NNG
혁명	혁명/NNG
영도력’을	영도력/NNG+’/SS+을/JKO
과시하는	과시/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
로켓	로켓/NNG
발사가	발사/NNG+가/JKS
직접	직접/NNG
지휘	지휘/NNG
아래	아래/NNG
이뤄졌다는	이뤄지/VV+었/EP+다는/ETM
메시지를	메시지/NNG+를/JKO
미국	미국/NNP
등에	등/NNB+에/JKB
전달하고자	전달/NNG+하/XSV+고자/EC
한	하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.114.7.1
그러나 ‘실패’로 드러난 위성 발사를 ‘성공’으로 강변하는 일종의 선전전에 김 위원장이 직접 출연한 것은 대외적으로 그의 신뢰도 저하로 귀결될 수 있다.

그러나	그러나/MAJ
‘실패’로	‘/SS+실패/NNG+’/SS+로/JKB
드러난	드러나/VV+ㄴ/ETM
위성	위성/NNG
발사를	발사/NNG+를/JKO
‘성공’으로	‘/SS+성공/NNG+’/SS+으로/JKB
강변하는	강변/NNG+하/XSV+는/ETM
일종의	일종/NNG+의/JKG
선전전에	선전전/NNG+에/JKB
김	김/NNP
위원장이	위원장/NNG+이/JKS
직접	직접/MAG
출연한	출연/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
대외적으로	대외/NNG+적/XSN+으로/JKB
그의	그/NP+의/JKG
신뢰도	신뢰도/NNG
저하로	저하/NNG+로/JKB
귀결될	귀결/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.114.7.2
‘신성 훼손’의 위험을 감수해야 할 만큼 북한 당국이 내부 정치적 측면에 이번 위성 발사의 방점을 찍은 것 아니냐는 지적도 있다.

‘신성	‘/SS+신성/NNG
훼손’의	훼손/NNG+’/SS+의/JKG
위험을	위험/NNG+을/JKO
감수해야	감수/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
만큼	만큼/NNB
북한	북한/NNP
당국이	당국/NNG+이/JKS
내부	내부/NNG
정치적	정치/NNG+적/XSN
측면에	측면/NNG+에/JKB
이번	이번/NNG
위성	위성/NNG
발사의	발사/NNG+의/JKG
방점을	방점/NNG+을/JKO
찍은	찍/VV+은/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.114.8.1
북한 매체들은 종합지휘소가 어디 있는지는 밝히지 않았다.

북한	북한/NNP
매체들은	매체/NNG+들/XSN+은/JX
종합지휘소가	종합/NNG+지휘소/NNG+가/JKS
어디	어디/NP
있는지는	있/VA+는지/EF+는/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.114.8.2
정부 소식통은 “김 위원장은 발사 당일 평양에 머물렀다”고 밝혀, 평양에 자리한 것으로 보인다.

정부	정부/NNG
소식통은	소식통/NNG+은/JX
“김	“/SS+김/NNP
위원장은	위원장/NNG+은/JX
발사	발사/NNG
당일	당일/NNG
평양에	평양/NNP+에/JKB
머물렀다”고	머무르/VV+었/EP+다/EF+”/SS+고/JKQ
밝혀,	밝히/VV+어/EC+,/SP
자리한	자리/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


